date,3. low,1. open,2. high,4. close,6. volume,5. adjusted close,8. split coefficient,7. dividend amount
2002-08-12,266.0,300.0,300.0,274.0,600.0,234.4157,1.0,0.0
2002-08-13,273.7,288.0,288.0,275.2,100.0,235.4423,1.0,0.0
2002-08-14,252.0,252.0,280.0,274.3,700.0,234.6723,1.0,0.0
2002-08-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-08-16,249.85,249.85,290.0,273.05,700.0,233.6029,1.0,0.0
2002-08-19,258.0,258.0,277.0,275.6,1300.0,235.7845,1.0,0.0
2002-08-20,257.0,278.0,278.0,276.05,1100.0,236.1695,1.0,0.0
2002-08-21,273.0,273.0,276.15,274.5,1300.0,234.8434,1.0,0.0
2002-08-22,274.65,274.75,275.0,274.65,1100.0,234.9718,1.0,0.0
2002-08-23,271.0,271.0,279.95,275.4,500.0,235.6134,1.0,0.0
2002-08-26,275.0,275.0,278.0,276.0,400.0,236.1267,1.0,0.0
2002-08-27,273.25,278.0,278.0,273.25,100.0,233.774,1.0,0.0
2002-08-28,275.05,275.05,279.0,275.65,200.0,235.8273,1.0,0.0
2002-08-29,275.05,275.05,275.5,275.25,100.0,235.4851,1.0,0.0
2002-08-30,272.15,272.15,277.95,275.2,87.0,235.4423,1.0,0.0
2002-09-02,274.5,275.0,279.8,279.35,500.0,238.9928,1.0,0.0
2002-09-03,275.35,276.2,278.0,276.6,1700.0,236.6401,1.0,0.0
2002-09-04,271.5,271.5,279.5,276.25,100.0,236.3406,1.0,0.0
2002-09-05,275.0,275.1,278.0,278.0,800.0,237.8378,1.0,0.0
2002-09-06,276.0,277.05,278.75,276.1,2900.0,236.2123,1.0,0.0
2002-09-09,272.5,275.0,275.0,275.0,1600.0,235.2712,1.0,0.0
2002-09-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-09-11,273.0,273.5,275.7,273.0,500.0,233.5602,1.0,0.0
2002-09-12,271.6,275.0,275.0,272.9,400.0,233.4746,1.0,0.0
2002-09-13,272.0,272.0,278.0,275.1,100.0,235.3568,1.0,0.0
2002-09-16,273.15,273.5,278.0,276.0,300.0,236.1267,1.0,0.0
2002-09-17,276.05,277.0,278.9,277.45,800.0,237.3673,1.0,0.0
2002-09-18,273.55,275.0,275.55,275.4,100.0,235.6134,1.0,0.0
2002-09-19,268.0,271.25,272.0,270.0,100.0,230.9936,1.0,0.0
2002-09-20,270.0,271.0,277.0,274.9,400.0,235.1856,1.0,0.0
2002-09-23,272.6,273.0,274.0,272.65,300.0,233.2607,1.0,0.0
2002-09-24,266.3,266.3,274.0,269.0,900.0,230.138,1.0,0.0
2002-09-25,270.0,270.4,271.8,270.5,500.0,231.4213,1.0,0.0
2002-09-26,272.4,275.0,277.5,276.0,1100.0,236.1267,1.0,0.0
2002-09-27,271.6,275.2,279.5,275.0,1100.0,235.2712,1.0,0.0
2002-09-30,274.15,275.5,276.9,274.15,1100.0,234.544,1.0,0.0
2002-10-01,272.25,274.0,274.0,272.25,65.0,232.9185,1.0,0.0
2002-10-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-10-03,271.0,271.1,275.0,275.0,700.0,235.2712,1.0,0.0
2002-10-04,274.0,275.95,287.0,280.5,900.0,239.9767,1.0,0.0
2002-10-07,277.05,277.05,280.0,278.05,90.0,237.8806,1.0,0.0
2002-10-08,270.0,270.0,280.0,278.65,600.0,238.3939,1.0,0.0
2002-10-09,279.0,279.0,282.5,282.2,1300.0,241.431,1.0,0.0
2002-10-10,278.3,280.0,282.9,282.65,400.0,241.816,1.0,0.0
2002-10-11,281.75,281.75,284.0,282.55,100.0,241.7305,1.0,0.0
2002-10-14,280.0,285.0,285.0,283.95,400.0,242.9282,1.0,0.0
2002-10-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-10-16,282.5,294.9,294.9,284.3,300.0,243.2276,1.0,0.0
2002-10-17,278.0,278.0,288.4,285.3,1300.0,244.0831,1.0,0.0
2002-10-18,281.0,290.0,290.0,289.95,3300.0,248.0614,1.0,0.0
2002-10-21,277.0,277.0,290.0,289.2,600.0,247.4198,1.0,0.0
2002-10-22,291.5,291.9,295.0,293.7,1500.0,251.2697,1.0,0.0
2002-10-23,290.55,290.65,295.05,294.05,1400.0,251.5691,1.0,0.0
2002-10-24,292.4,292.8,293.7,292.45,1400.0,250.2002,1.0,0.0
2002-10-25,291.0,292.3,293.0,292.5,2300.0,250.243,1.0,0.0
2002-10-28,267.0,267.0,310.0,291.3,2100.0,249.2164,1.0,0.0
2002-10-29,286.5,286.5,290.0,290.0,1200.0,248.1042,1.0,0.0
2002-10-30,287.25,287.25,291.0,289.0,200.0,247.2486,1.0,0.0
2002-10-31,289.4,290.0,291.0,289.4,500.0,247.5909,1.0,0.0
2002-11-01,289.0,292.0,292.0,289.0,12.0,247.2486,1.0,0.0
2002-11-04,285.0,290.0,290.0,288.25,100.0,246.607,1.0,0.0
2002-11-05,290.0,291.0,294.0,291.25,19.0,249.1736,1.0,0.0
2002-11-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-07,285.0,292.9,292.95,290.25,500.0,248.3181,1.0,0.0
2002-11-08,290.0,290.0,290.0,290.0,11.0,248.1042,1.0,0.0
2002-11-11,291.95,291.95,293.75,293.5,100.0,251.0985,1.0,0.0
2002-11-12,293.4,294.0,298.0,296.6,1400.0,253.7507,1.0,0.0
2002-11-13,294.35,294.35,294.5,294.5,100.0,251.9541,1.0,0.0
2002-11-14,291.0,294.5,294.5,293.9,200.0,251.4408,1.0,0.0
2002-11-15,289.0,289.0,294.0,291.55,500.0,249.4302,1.0,0.0
2002-11-18,289.0,289.0,296.6,291.8,200.0,249.6441,1.0,0.0
2002-11-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-11-20,288.0,288.0,292.9,292.4,34.0,250.1575,1.0,0.0
2002-11-21,282.05,295.0,295.0,290.0,700.0,248.1042,1.0,0.0
2002-11-22,286.0,286.05,290.5,290.5,600.0,248.532,1.0,0.0
2002-11-25,286.1,286.1,290.0,289.5,1000.0,247.6765,1.0,0.0
2002-11-26,287.5,287.5,290.9,289.75,300.0,247.8903,1.0,0.0
