Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,GUJAMBCEM,EQ,271.5,268.0,285.5,268.0,,282.0,280.75,9700,2.723315e+11,,,
1996-01-02,GUJAMBCEM,EQ,282.0,282.0,286.25,279.05,,282.2,283.0,8300,2.34887e+11,,,
1996-01-03,GUJAMBCEM,EQ,282.2,282.2,285.0,281.0,,282.0,282.93,6100,1.725845e+11,,,
1996-01-04,GUJAMBCEM,EQ,282.0,282.0,278.25,276.0,,278.0,277.05,1100,30475000000.0,,,
1996-01-05,GUJAMBCEM,EQ,278.0,278.0,276.75,274.0,,274.4,275.04,2200,60509000000.0,,,
1996-01-08,GUJAMBCEM,EQ,274.4,274.0,276.0,271.0,,271.0,275.67,6300,1.736745e+11,,,
1996-01-09,GUJAMBCEM,EQ,271.0,271.0,270.0,263.5,,265.0,265.94,3700,98396500000.0,,,
1996-01-10,GUJAMBCEM,EQ,265.0,269.0,274.0,269.0,,272.05,272.94,25400,6.932785e+11,,,
1996-01-11,GUJAMBCEM,EQ,272.05,272.05,274.0,270.0,,273.0,272.31,32900,8.959015e+11,,,
1996-01-12,GUJAMBCEM,EQ,273.0,273.0,277.75,271.0,,272.0,273.7,7300,1.998045e+11,,,
1996-01-15,GUJAMBCEM,EQ,272.0,272.0,275.0,269.05,,273.5,273.43,81700,2.2339105e+12,,,
1996-01-16,GUJAMBCEM,EQ,273.5,273.5,275.4,268.65,,274.2,273.76,36700,1.004702e+12,,,
1996-01-17,GUJAMBCEM,EQ,274.2,274.2,273.0,271.0,,271.0,271.67,2600,70634000000.0,,,
1996-01-18,GUJAMBCEM,EQ,271.0,271.0,270.0,266.05,,269.0,267.78,3400,91045000000.0,,,
1996-01-19,GUJAMBCEM,EQ,269.0,269.0,271.0,267.05,,271.0,270.94,73900,2.0022135e+12,,,
1996-01-22,GUJAMBCEM,EQ,271.0,271.0,272.0,268.0,,271.05,270.7,2900,78503000000.0,,,
1996-01-23,GUJAMBCEM,EQ,271.05,271.05,273.5,270.0,,271.9,271.73,9000,2.44553e+11,,,
1996-01-24,GUJAMBCEM,EQ,271.9,271.9,271.0,269.05,,270.85,269.96,7100,1.916685e+11,,,
1996-01-25,GUJAMBCEM,EQ,270.85,270.85,271.7,268.5,,271.4,270.28,6000,1.621705e+11,,,
1996-01-29,GUJAMBCEM,EQ,271.4,271.4,277.9,270.5,,276.0,275.2,38300,1.0540065e+12,,,
