Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,APOLLOHOSP,EQ,36.0,36.0,36.75,36.0,,36.5,36.5,1150,4197500000.0,,,
1996-01-02,APOLLOHOSP,EQ,36.5,36.5,36.5,35.0,,35.0,35.85,1350,4840000000.0,,,
1996-01-03,APOLLOHOSP,EQ,35.0,35.0,36.0,35.15,,35.25,35.44,850,3012250000.0,,,
1996-01-04,APOLLOHOSP,EQ,35.25,35.25,35.5,35.25,,35.25,35.35,250,883750000.0,,,
1996-01-05,APOLLOHOSP,EQ,35.25,35.25,35.5,34.0,,34.0,35.22,850,2993750000.0,,,
1996-01-08,APOLLOHOSP,EQ,34.0,34.0,35.0,33.6,,34.0,34.09,800,2727000000.0,,,
1996-01-09,APOLLOHOSP,EQ,34.0,34.0,34.0,33.25,,34.0,33.62,850,2857750000.0,,,
1996-01-10,APOLLOHOSP,EQ,34.0,34.25,34.25,34.0,,34.1,34.11,400,1364500000.0,,,
1996-01-11,APOLLOHOSP,EQ,34.1,34.1,35.0,34.05,,34.75,34.66,1100,3812500000.0,,,
1996-01-12,APOLLOHOSP,EQ,34.75,34.75,36.5,35.05,,36.5,35.54,1200,4265000000.0,,,
1996-01-15,APOLLOHOSP,EQ,36.5,35.75,35.75,34.5,,34.5,35.06,650,2278750000.0,,,
1996-01-16,APOLLOHOSP,EQ,34.5,35.5,37.75,35.5,,37.75,36.06,1200,4327500000.0,,,
1996-01-17,APOLLOHOSP,EQ,37.75,35.05,35.05,35.05,,35.05,35.05,50,175250000.0,,,
1996-01-18,APOLLOHOSP,EQ,35.05,32.5,35.5,32.5,,35.5,33.93,700,2375000000.0,,,
1996-01-19,APOLLOHOSP,EQ,35.5,35.5,34.25,34.25,,34.25,34.25,300,1027500000.0,,,
1996-01-22,APOLLOHOSP,EQ,34.25,33.05,34.0,33.05,,33.8,33.77,1400,4728000000.0,,,
1996-01-23,APOLLOHOSP,EQ,33.8,33.8,33.0,30.5,,32.5,32.51,3500,11379500000.0,,,
1996-01-24,APOLLOHOSP,EQ,32.5,32.5,32.5,31.0,,32.0,32.12,2950,9476000000.0,,,
1996-01-25,APOLLOHOSP,EQ,32.0,32.25,32.25,31.0,,31.0,32.0,250,800000000.0,,,
1996-01-29,APOLLOHOSP,EQ,31.0,31.0,31.75,31.0,,31.0,31.13,1150,3580000000.0,,,
1996-01-30,APOLLOHOSP,EQ,31.0,31.0,32.75,32.0,,32.0,32.25,300,967500000.0,,,
1996-01-31,APOLLOHOSP,EQ,32.0,32.0,33.0,31.0,,33.0,32.39,1700,5505500000.0,,,
1996-02-01,APOLLOHOSP,EQ,33.0,33.0,33.75,33.0,,33.75,33.25,150,498750000.0,,,
1996-02-02,APOLLOHOSP,EQ,33.75,33.75,35.0,33.25,,35.0,34.05,1100,3746000000.0,,,
1996-02-05,APOLLOHOSP,EQ,35.0,35.0,37.5,35.0,,36.0,36.01,2350,8461250000.0,,,
1996-02-06,APOLLOHOSP,EQ,36.0,36.0,37.25,35.0,,36.0,35.43,2550,9034250000.0,,,
1996-02-07,APOLLOHOSP,EQ,36.0,36.0,35.0,34.95,,35.0,34.99,550,1924250000.0,,,
1996-02-08,APOLLOHOSP,EQ,35.0,35.0,36.0,35.0,,35.5,35.38,2000,7075000000.0,,,
1996-02-09,APOLLOHOSP,EQ,35.5,36.0,36.5,36.0,,36.5,36.08,1200,4330000000.0,,,
1996-02-12,APOLLOHOSP,EQ,36.5,36.5,40.0,36.0,,39.0,38.76,3050,11820500000.0,,,
1996-02-13,APOLLOHOSP,EQ,39.0,39.0,43.0,39.0,,43.0,40.68,3150,12814250000.0,,,
1996-02-14,APOLLOHOSP,EQ,43.0,43.95,46.5,40.5,,40.5,42.49,7200,30593000000.0,,,
1996-02-15,APOLLOHOSP,EQ,40.5,40.1,42.25,40.1,,41.9,41.61,6250,26009000000.0,,,
1996-02-16,APOLLOHOSP,EQ,41.9,41.9,42.5,40.0,,41.8,41.61,5300,22053500000.0,,,
1996-02-19,APOLLOHOSP,EQ,41.8,42.5,42.5,40.0,,40.25,40.81,2850,11632000000.0,,,
1996-02-20,APOLLOHOSP,EQ,40.25,40.25,40.15,36.5,,36.8,38.68,4850,18761000000.0,,,
1996-02-22,APOLLOHOSP,EQ,36.8,36.8,39.95,37.0,,39.15,39.01,6200,24185500000.0,,,
1996-02-23,APOLLOHOSP,EQ,39.15,39.15,39.5,37.05,,37.85,38.32,3500,13413000000.0,,,
1996-02-26,APOLLOHOSP,EQ,37.85,37.85,40.0,38.1,,39.0,38.46,3750,14422500000.0,,,
1996-02-27,APOLLOHOSP,EQ,39.0,39.0,39.0,38.25,,38.7,38.58,2800,10803000000.0,,,
1996-02-28,APOLLOHOSP,EQ,38.7,38.4,38.45,37.5,,38.0,38.17,1250,4771500000.0,,,
1996-02-29,APOLLOHOSP,EQ,38.0,38.0,38.05,36.05,,36.05,37.28,2250,8387250000.0,,,
1996-03-01,APOLLOHOSP,EQ,36.05,36.05,37.25,36.5,,37.25,36.71,1250,4589000000.0,,,
1996-03-04,APOLLOHOSP,EQ,37.25,35.0,36.65,35.0,,35.55,35.97,3750,13490000000.0,,,
1996-03-06,APOLLOHOSP,EQ,35.55,36.25,37.25,36.05,,36.95,36.93,2300,8494250000.0,,,
1996-03-07,APOLLOHOSP,EQ,36.95,36.5,37.4,35.5,,35.9,36.37,4400,16004250000.0,,,
1996-03-08,APOLLOHOSP,EQ,35.9,35.8,36.25,35.5,,36.25,35.69,2100,7495750000.0,,,
1996-03-11,APOLLOHOSP,EQ,36.25,36.25,36.0,35.15,,35.15,35.53,1450,5151250000.0,,,
1996-03-12,APOLLOHOSP,EQ,35.15,35.15,35.5,34.5,,35.0,35.11,2400,8426000000.0,,,
1996-03-13,APOLLOHOSP,EQ,35.0,35.0,35.5,34.55,,35.5,35.16,1000,3515500000.0,,,
1996-03-14,APOLLOHOSP,EQ,35.5,35.5,39.0,35.5,,38.05,37.04,2350,8704500000.0,,,
1996-03-15,APOLLOHOSP,EQ,38.05,38.05,40.0,35.75,,38.65,38.37,7950,30506000000.0,,,
1996-03-18,APOLLOHOSP,EQ,38.65,38.65,40.5,36.0,,39.75,38.74,17650,68379000000.0,,,
1996-03-19,APOLLOHOSP,EQ,39.75,39.75,39.0,35.8,,35.9,37.22,15600,58065750000.0,,,
1996-03-21,APOLLOHOSP,EQ,35.9,35.9,37.45,36.0,,37.45,36.77,9500,34934500000.0,,,
1996-03-22,APOLLOHOSP,EQ,37.45,37.45,36.05,35.3,,35.9,35.9,2200,7897250000.0,,,
1996-03-25,APOLLOHOSP,EQ,35.9,35.9,39.0,35.25,,37.3,36.9,18250,67346750000.0,,,
1996-03-26,APOLLOHOSP,EQ,37.3,37.3,36.45,33.75,,35.6,35.5,16150,57326500000.0,,,
1996-03-27,APOLLOHOSP,EQ,35.6,35.6,35.5,34.0,,34.0,34.64,7100,24592000000.0,,,
