Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,ASIANPAINT,EQ,323.0,323.0,324.0,320.0,,320.6,320.53,450,14424000000.0,,,,13.3583333333,24.0
1996-01-02,ASIANPAINT,EQ,320.6,320.6,325.0,321.05,,322.5,322.88,1350,43589250000.0,,,,13.4375,24.0
1996-01-03,ASIANPAINT,EQ,322.5,322.5,321.0,320.0,,320.0,320.67,450,14430000000.0,,,,13.3333333333,24.0
1996-01-04,ASIANPAINT,EQ,320.0,320.0,320.0,319.0,,320.0,319.75,400,12790000000.0,,,,13.3333333333,24.0
1996-01-05,ASIANPAINT,EQ,320.0,320.0,321.0,317.0,,317.0,318.0,900,28620250000.0,,,,13.2083333333,24.0
1996-01-08,ASIANPAINT,EQ,317.0,317.0,318.0,310.05,,310.05,315.51,850,26818750000.0,,,,12.91875,24.0
1996-01-09,ASIANPAINT,EQ,310.05,310.05,315.0,305.05,,307.45,312.81,1150,35973000000.0,,,,12.8104166667,24.0
1996-01-10,ASIANPAINT,EQ,307.45,307.45,316.0,315.0,,315.5,315.94,1700,53710000000.0,,,,13.1458333333,24.0
1996-01-11,ASIANPAINT,EQ,315.5,315.5,319.0,315.0,,317.95,315.78,1150,36314250000.0,,,,13.2479166667,24.0
1996-01-12,ASIANPAINT,EQ,317.95,317.95,320.0,318.05,,319.0,319.01,250,7975250000.0,,,,13.2916666667,24.0
1996-01-15,ASIANPAINT,EQ,319.0,319.0,323.95,314.0,,323.0,321.43,900,28929000000.0,,,,13.4583333333,24.0
1996-01-16,ASIANPAINT,EQ,323.0,323.0,325.0,315.0,,324.0,321.59,600,19295500000.0,,,,13.5,24.0
1996-01-17,ASIANPAINT,EQ,324.0,324.0,320.0,312.0,,313.4,314.96,650,20472500000.0,,,,13.0583333333,24.0
1996-01-18,ASIANPAINT,EQ,313.4,313.4,325.0,311.0,,324.0,319.05,8100,2.5843025e+11,,,,13.5,24.0
1996-01-19,ASIANPAINT,EQ,324.0,324.0,327.75,322.05,,327.35,325.11,4400,1.4304775e+11,,,,13.6395833333,24.0
1996-01-22,ASIANPAINT,EQ,327.35,327.35,325.5,322.55,,324.5,324.43,1500,48663750000.0,,,,13.5208333333,24.0
1996-01-23,ASIANPAINT,EQ,324.5,324.5,339.75,327.0,,336.0,333.18,3700,1.23278e+11,,,,14.0,24.0
1996-01-24,ASIANPAINT,EQ,336.0,336.0,326.0,324.0,,326.0,325.22,1350,43905000000.0,,,,13.5833333333,24.0
1996-01-25,ASIANPAINT,EQ,326.0,326.0,330.0,325.05,,325.9,326.93,7850,2.5664125e+11,,,,13.5791666667,24.0
1996-01-29,ASIANPAINT,EQ,325.9,325.9,327.0,324.5,,326.85,325.95,1350,44003250000.0,,,,13.61875,24.0
1996-01-30,ASIANPAINT,EQ,326.85,326.85,330.0,327.0,,327.5,328.17,3050,1.000905e+11,,,,13.6458333333,24.0
1996-01-31,ASIANPAINT,EQ,327.5,327.5,326.5,324.0,,324.9,325.21,850,27642500000.0,,,,13.5375,24.0
1996-02-01,ASIANPAINT,EQ,324.9,324.9,334.0,330.0,,330.9,330.67,1800,59519750000.0,,,,13.7875,24.0
