Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1998-12-03,UTIBANK,EQ,0.0,19.45,19.45,16.8,17.0,17.0,17.31,107600,1.86248e+11,,,
1998-12-04,UTIBANK,EQ,17.0,16.85,16.95,16.3,16.55,16.55,16.59,36400,60385000000.0,,,
1998-12-07,UTIBANK,EQ,16.55,16.55,16.75,16.45,16.65,16.65,16.63,22500,37423000000.0,,,
1998-12-08,UTIBANK,EQ,16.65,16.35,16.6,16.0,16.25,16.25,16.25,54200,88061500000.0,,,
1998-12-09,UTIBANK,EQ,16.25,16.65,16.65,16.0,16.15,16.15,16.15,30200,48775500000.0,,,
1998-12-10,UTIBANK,EQ,16.15,16.3,16.3,15.75,15.9,15.9,15.94,15800,25193000000.0,,,
1998-12-11,UTIBANK,EQ,15.9,16.0,16.0,15.8,15.95,15.95,15.91,15500,24654000000.0,,,
1998-12-14,UTIBANK,EQ,15.95,15.95,16.0,15.75,15.85,15.85,15.85,5900,9352500000.0,,,
1998-12-15,UTIBANK,EQ,15.85,15.6,15.95,15.55,15.95,15.95,15.71,20800,32687000000.0,,,
1998-12-16,UTIBANK,EQ,15.95,15.5,15.9,15.35,15.9,15.9,15.72,12400,19497500000.0,,,
1998-12-17,UTIBANK,EQ,15.9,15.7,15.75,15.5,15.65,15.65,15.61,11400,17795000000.0,,,
1998-12-18,UTIBANK,EQ,15.65,15.6,15.7,15.25,15.5,15.5,15.47,12800,19798000000.0,,,
1998-12-21,UTIBANK,EQ,15.5,15.75,15.9,15.25,15.3,15.3,15.49,8500,13167000000.0,,,
1998-12-22,UTIBANK,EQ,15.3,15.7,15.7,15.0,15.05,15.05,15.24,14600,22245500000.0,,,
1998-12-23,UTIBANK,EQ,15.05,15.5,15.6,15.05,15.35,15.35,15.31,12800,19601500000.0,,,
1998-12-24,UTIBANK,EQ,15.35,15.35,15.35,15.05,15.2,15.2,15.2,9400,14291500000.0,,,
1998-12-28,UTIBANK,EQ,15.2,15.2,15.2,14.9,15.0,15.0,15.02,19600,29444500000.0,,,
1998-12-29,UTIBANK,EQ,15.0,15.0,15.15,14.95,15.15,15.15,15.04,13700,20608500000.0,,,
