Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,BAJAUTOFIN,EQ,85.0,83.0,83.0,83.0,,83.0,83.0,100,830000000.0,,,,8.3,10.0
1996-01-02,BAJAUTOFIN,EQ,83.0,83.0,83.95,80.6,,80.6,82.79,700,5795000000.0,,,,8.06,10.0
1996-01-03,BAJAUTOFIN,EQ,80.6,82.0,82.9,82.0,,82.7,82.35,400,3294000000.0,,,,8.27,10.0
1996-01-04,BAJAUTOFIN,EQ,82.7,82.5,82.5,82.5,,82.5,82.5,200,1650000000.0,,,,8.25,10.0
1996-01-05,BAJAUTOFIN,EQ,82.5,80.0,80.0,79.0,,79.0,79.5,200,1590000000.0,,,,7.9,10.0
1996-01-08,BAJAUTOFIN,EQ,79.0,79.0,80.0,77.55,,77.55,79.37,900,7143000000.0,,,,7.755,10.0
1996-01-09,BAJAUTOFIN,EQ,77.55,77.15,77.5,76.0,,76.0,77.01,500,3850500000.0,,,,7.6,10.0
1996-01-10,BAJAUTOFIN,EQ,76.0,80.0,80.0,74.6,,77.95,76.6,600,4596000000.0,,,,7.795,10.0
1996-01-11,BAJAUTOFIN,EQ,77.95,75.0,76.0,74.5,,75.5,75.24,1400,10533000000.0,,,,7.55,10.0
1996-01-12,BAJAUTOFIN,EQ,75.5,75.0,76.0,74.25,,75.5,75.29,800,6023000000.0,,,,7.55,10.0
1996-01-15,BAJAUTOFIN,EQ,75.5,75.0,75.0,75.0,,75.0,75.0,100,750000000.0,,,,7.5,10.0
1996-01-16,BAJAUTOFIN,EQ,75.0,74.0,75.0,73.05,,73.15,73.73,600,4424000000.0,,,,7.315,10.0
1996-01-17,BAJAUTOFIN,EQ,73.15,73.15,73.05,71.05,,73.0,72.69,600,4361500000.0,,,,7.3,10.0
1996-01-18,BAJAUTOFIN,EQ,73.0,73.0,70.5,70.0,,70.5,70.25,200,1405000000.0,,,,7.05,10.0
1996-01-19,BAJAUTOFIN,EQ,70.5,69.55,69.55,69.0,,69.0,69.33,400,2773000000.0,,,,6.9,10.0
1996-01-22,BAJAUTOFIN,EQ,69.0,67.0,67.0,64.6,,64.95,65.53,1000,6553000000.0,,,,6.495,10.0
1996-01-23,BAJAUTOFIN,EQ,64.95,64.95,70.0,64.05,,68.65,66.63,1300,8662000000.0,,,,6.865,10.0
1996-01-24,BAJAUTOFIN,EQ,68.65,65.0,65.25,64.0,,64.0,64.6,1300,8397500000.0,,,,6.4,10.0
1996-01-25,BAJAUTOFIN,EQ,64.0,64.0,62.0,60.55,,60.6,61.38,900,5524000000.0,,,,6.06,10.0
1996-01-29,BAJAUTOFIN,EQ,60.6,60.6,62.0,60.0,,60.8,61.38,900,5524000000.0,,,,6.08,10.0
1996-01-30,BAJAUTOFIN,EQ,60.8,60.8,64.6,61.5,,63.0,63.47,1500,9521000000.0,,,,6.3,10.0
