Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-02-26,BALKRISIND,EQ,124.25,123.95,123.95,123.95,,123.95,123.95,100,1239500000.0,,,,4.13166666667,30.0
1996-02-27,BALKRISIND,EQ,123.95,114.95,114.95,114.95,,114.95,114.95,100,1149500000.0,,,,3.83166666667,30.0
1996-06-03,BALKRISIND,EQ,114.95,60.0,60.0,60.0,,60.0,60.0,250,1500000000.0,,,,2.0,30.0
1996-06-11,BALKRISIND,EQ,60.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,,2.0,30.0
1996-07-09,BALKRISIND,EQ,60.0,61.1,61.1,61.0,,61.05,61.03,400,2441000000.0,,,,2.035,30.0
1996-07-15,BALKRISIND,EQ,61.05,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,,2.0,30.0
1996-07-16,BALKRISIND,EQ,60.0,60.0,60.0,55.0,,55.0,58.0,300,1740000000.0,,,,1.83333333333,30.0
1996-07-24,BALKRISIND,EQ,55.0,49.5,60.5,49.5,,60.5,52.75,200,1055000000.0,,,,2.01666666667,30.0
1996-07-25,BALKRISIND,EQ,60.5,66.5,66.5,66.5,,66.5,66.5,50,332500000.0,,,,2.21666666667,30.0
1996-07-30,BALKRISIND,EQ,66.5,73.0,73.0,73.0,,73.0,73.0,50,365000000.0,,,,2.43333333333,30.0
1996-08-02,BALKRISIND,EQ,73.0,80.0,80.0,80.0,,80.0,80.0,50,400000000.0,,,,2.66666666667,30.0
1996-08-05,BALKRISIND,EQ,80.0,88.0,88.0,88.0,,88.0,88.0,50,440000000.0,,,,2.93333333333,30.0
1996-08-20,BALKRISIND,EQ,88.0,78.8,78.8,78.8,,78.8,78.8,300,2364000000.0,,,,2.62666666667,30.0
1996-09-26,BALKRISIND,EQ,78.8,70.95,70.95,70.95,,70.95,70.95,50,354750000.0,,,,2.365,30.0
1996-11-21,BALKRISIND,EQ,70.95,35.0,35.0,35.0,,35.0,35.0,50,175000000.0,,,,1.16666666667,30.0
1996-11-22,BALKRISIND,EQ,35.0,37.0,37.0,37.0,,37.0,37.0,400,1480000000.0,,,,1.23333333333,30.0
1996-11-25,BALKRISIND,EQ,37.0,40.45,40.5,40.45,,40.5,40.49,400,1619750000.0,,,,1.35,30.0
1996-11-26,BALKRISIND,EQ,40.5,39.05,39.05,39.0,,39.0,39.03,100,390250000.0,,,,1.3,30.0
1996-11-27,BALKRISIND,EQ,39.0,38.05,42.0,37.0,,42.0,37.27,5050,18820500000.0,,,,1.4,30.0
1996-11-28,BALKRISIND,EQ,42.0,37.9,38.0,37.9,,38.0,37.99,1150,4368500000.0,,,,1.26666666667,30.0
1996-11-29,BALKRISIND,EQ,38.0,37.25,38.0,36.5,,38.0,37.08,10850,40229500000.0,,,,1.26666666667,30.0
1996-12-02,BALKRISIND,EQ,38.0,37.25,37.25,37.25,,37.25,37.25,400,1490000000.0,,,,1.24166666667,30.0
1996-12-03,BALKRISIND,EQ,37.25,37.1,37.1,37.1,,37.1,37.1,200,742000000.0,,,,1.23666666667,30.0
1996-12-04,BALKRISIND,EQ,37.1,37.05,37.05,37.0,,37.0,37.04,600,2222500000.0,,,,1.23333333333,30.0
1996-12-06,BALKRISIND,EQ,37.0,37.6,37.6,37.6,,37.6,37.6,50,188000000.0,,,,1.25333333333,30.0
1996-12-12,BALKRISIND,EQ,37.6,39.5,39.5,39.5,,39.5,39.5,100,395000000.0,,,,1.31666666667,30.0
1996-12-18,BALKRISIND,EQ,39.5,42.0,43.25,42.0,,43.25,42.42,150,636250000.0,,,,1.44166666667,30.0
1996-12-20,BALKRISIND,EQ,43.25,46.0,46.0,46.0,,46.0,46.0,100,460000000.0,,,,1.53333333333,30.0
1996-12-23,BALKRISIND,EQ,46.0,49.0,49.0,49.0,,49.0,49.0,200,980000000.0,,,,1.63333333333,30.0
1997-01-01,BALKRISIND,EQ,49.0,47.3,47.3,47.3,,47.3,47.3,2000,9460000000.0,,,,1.57666666667,30.0
1997-01-02,BALKRISIND,EQ,47.3,49.0,52.0,47.75,,47.75,50.86,1850,9409000000.0,,,,1.59166666667,30.0
1997-01-03,BALKRISIND,EQ,47.75,51.85,51.85,51.85,,51.85,51.85,100,518500000.0,,,,1.72833333333,30.0
1997-01-06,BALKRISIND,EQ,51.85,57.0,57.0,52.0,,52.0,56.65,2300,13030000000.0,,,,1.73333333333,30.0
1997-01-07,BALKRISIND,EQ,52.0,52.9,53.0,52.75,,52.75,52.93,600,3175500000.0,,,,1.75833333333,30.0
1997-01-08,BALKRISIND,EQ,52.75,53.5,53.5,53.5,,53.5,53.5,50,267500000.0,,,,1.78333333333,30.0
1997-01-10,BALKRISIND,EQ,53.5,52.05,52.05,52.05,,52.05,52.05,100,520500000.0,,,,1.735,30.0
1997-01-13,BALKRISIND,EQ,52.05,55.0,57.0,53.0,,57.0,54.5,400,2180000000.0,,,,1.9,30.0
1997-01-14,BALKRISIND,EQ,57.0,55.25,55.25,55.25,,55.25,55.25,100,552500000.0,,,,1.84166666667,30.0
1997-01-15,BALKRISIND,EQ,55.25,57.0,59.0,57.0,,59.0,57.75,400,2310000000.0,,,,1.96666666667,30.0
1997-01-16,BALKRISIND,EQ,59.0,59.0,59.5,59.0,,59.5,59.26,500,2963000000.0,,,,1.98333333333,30.0
1997-01-17,BALKRISIND,EQ,59.5,55.05,59.5,55.05,,59.5,57.28,16000,91640000000.0,,,,1.98333333333,30.0
1997-01-20,BALKRISIND,EQ,59.5,55.0,57.0,55.0,,57.0,56.39,700,3947500000.0,,,,1.9,30.0
1997-01-22,BALKRISIND,EQ,57.0,52.0,56.5,52.0,,56.5,55.0,150,825000000.0,,,,1.88333333333,30.0
1997-01-27,BALKRISIND,EQ,56.5,52.0,52.0,51.0,,51.0,51.67,150,775000000.0,,,,1.7,30.0
1997-01-29,BALKRISIND,EQ,51.0,46.5,46.5,46.5,,46.5,46.5,100,465000000.0,,,,1.55,30.0
1997-01-30,BALKRISIND,EQ,46.5,48.0,48.0,48.0,,48.0,48.0,100,480000000.0,,,,1.6,30.0
1997-02-05,BALKRISIND,EQ,48.0,52.5,52.5,52.5,,52.5,52.5,50,262500000.0,,,,1.75,30.0
1997-02-07,BALKRISIND,EQ,52.5,57.0,57.0,57.0,,57.0,57.0,50,285000000.0,,,,1.9,30.0
1997-02-10,BALKRISIND,EQ,57.0,51.5,51.5,51.5,,51.5,51.5,100,515000000.0,,,,1.71666666667,30.0
1997-02-13,BALKRISIND,EQ,51.5,48.0,56.0,48.0,,56.0,48.73,550,2680000000.0,,,,1.86666666667,30.0
1997-02-14,BALKRISIND,EQ,56.0,61.0,61.0,61.0,,61.0,61.0,50,305000000.0,,,,2.03333333333,30.0
1997-02-19,BALKRISIND,EQ,61.0,67.0,67.0,67.0,,67.0,67.0,50,335000000.0,,,,2.23333333333,30.0
1997-03-05,BALKRISIND,EQ,67.0,60.3,60.3,60.3,,60.3,60.3,500,3015000000.0,,,,2.01,30.0
1997-03-06,BALKRISIND,EQ,60.3,54.3,54.3,54.3,,54.3,54.3,50,271500000.0,,,,1.81,30.0
1997-03-10,BALKRISIND,EQ,54.3,51.0,51.0,51.0,,51.0,51.0,50,255000000.0,,,,1.7,30.0
1997-03-12,BALKRISIND,EQ,51.0,46.0,46.0,46.0,,46.0,46.0,50,230000000.0,,,,1.53333333333,30.0
1997-03-13,BALKRISIND,EQ,46.0,41.75,41.75,41.75,,41.75,41.75,50,208750000.0,,,,1.39166666667,30.0
1997-03-14,BALKRISIND,EQ,41.75,45.0,45.0,43.0,,44.0,43.94,800,3515000000.0,,,,1.46666666667,30.0
1997-03-17,BALKRISIND,EQ,44.0,43.0,48.0,43.0,,43.0,43.81,800,3505000000.0,,,,1.43333333333,30.0
1997-03-19,BALKRISIND,EQ,43.0,43.0,43.0,43.0,,43.0,43.0,200,860000000.0,,,,1.43333333333,30.0
1997-03-20,BALKRISIND,EQ,43.0,42.75,42.75,42.75,,42.75,42.75,450,1923750000.0,,,,1.425,30.0
1997-03-21,BALKRISIND,EQ,42.75,47.0,47.0,47.0,,47.0,47.0,50,235000000.0,,,,1.56666666667,30.0
1997-03-25,BALKRISIND,EQ,47.0,42.5,42.5,42.5,,42.5,42.5,500,2125000000.0,,,,1.41666666667,30.0
1997-03-27,BALKRISIND,EQ,42.5,42.95,43.0,42.95,,43.0,42.98,200,859500000.0,,,,1.43333333333,30.0
1997-04-01,BALKRISIND,EQ,43.0,39.75,39.75,39.7,,39.7,39.73,200,794500000.0,,,,1.32333333333,30.0
1997-04-02,BALKRISIND,EQ,39.7,43.25,43.25,43.25,,43.25,43.25,100,432500000.0,,,,1.44166666667,30.0
1997-04-03,BALKRISIND,EQ,43.25,44.5,44.5,44.5,,44.5,44.5,100,445000000.0,,,,1.48333333333,30.0
1997-04-07,BALKRISIND,EQ,44.5,42.0,42.0,42.0,,42.0,42.0,400,1680000000.0,,,,1.4,30.0
1997-04-10,BALKRISIND,EQ,42.0,42.0,42.0,42.0,,42.0,42.0,300,1260000000.0,,,,1.4,30.0
1997-04-15,BALKRISIND,EQ,42.0,39.05,39.05,39.05,,39.05,39.05,200,781000000.0,,,,1.30166666667,30.0
1997-04-22,BALKRISIND,EQ,39.05,38.25,38.25,35.25,,35.25,35.63,19350,68936750000.0,,,,1.175,30.0
1997-04-23,BALKRISIND,EQ,35.25,35.55,35.55,35.0,,35.0,35.44,1750,6202250000.0,,,,1.16666666667,30.0
1997-04-24,BALKRISIND,EQ,35.0,35.75,35.75,35.0,,35.0,35.28,3200,11291000000.0,,,,1.16666666667,30.0
1997-04-25,BALKRISIND,EQ,35.0,35.5,37.0,35.0,,35.0,35.55,2800,9954500000.0,,,,1.16666666667,30.0
1997-04-28,BALKRISIND,EQ,35.0,35.5,36.0,34.0,,34.0,35.39,4200,14863000000.0,,,,1.13333333333,30.0
1997-04-29,BALKRISIND,EQ,34.0,33.5,33.5,32.0,,32.6,32.66,2000,6531500000.0,,,,1.08666666667,30.0
1997-04-30,BALKRISIND,EQ,32.6,34.75,34.75,34.75,,34.75,34.75,600,2085000000.0,,,,1.15833333333,30.0
1997-05-02,BALKRISIND,EQ,34.75,35.0,35.0,34.0,,34.0,34.71,700,2430000000.0,,,,1.13333333333,30.0
1997-05-05,BALKRISIND,EQ,34.0,33.5,35.95,33.5,,35.5,35.19,500,1759500000.0,,,,1.18333333333,30.0
1997-05-06,BALKRISIND,EQ,35.5,37.0,37.5,36.2,,36.2,36.76,1400,5147000000.0,,,,1.20666666667,30.0
1997-05-07,BALKRISIND,EQ,36.2,38.45,39.8,37.55,,39.8,38.67,1900,7348000000.0,,,,1.32666666667,30.0
1997-05-08,BALKRISIND,EQ,39.8,40.0,40.4,40.0,,40.4,40.3,400,1612000000.0,,,,1.34666666667,30.0
1997-05-09,BALKRISIND,EQ,40.4,39.05,39.05,39.05,,39.05,39.05,100,390500000.0,,,,1.30166666667,30.0
1997-05-12,BALKRISIND,EQ,39.05,40.4,41.75,38.6,,38.6,40.99,800,3279000000.0,,,,1.28666666667,30.0
1997-05-13,BALKRISIND,EQ,38.6,40.0,40.0,36.5,,36.5,39.11,850,3324000000.0,,,,1.21666666667,30.0
1997-05-14,BALKRISIND,EQ,36.5,36.0,36.0,36.0,,36.0,36.0,50,180000000.0,,,,1.2,30.0
1997-05-15,BALKRISIND,EQ,36.0,37.0,37.0,37.0,,37.0,37.0,100,370000000.0,,,,1.23333333333,30.0
1997-05-19,BALKRISIND,EQ,37.0,35.0,35.0,34.1,,34.75,34.79,900,3131000000.0,,,,1.15833333333,30.0
1997-05-20,BALKRISIND,EQ,34.75,34.0,34.0,34.0,,34.0,34.0,100,340000000.0,,,,1.13333333333,30.0
1997-05-23,BALKRISIND,EQ,34.0,34.5,34.5,34.5,,34.5,34.5,100,345000000.0,,,,1.15,30.0
1997-05-26,BALKRISIND,EQ,34.5,33.25,33.25,33.25,,33.25,33.25,100,332500000.0,,,,1.10833333333,30.0
1997-05-27,BALKRISIND,EQ,33.25,33.0,33.0,33.0,,33.0,33.0,200,660000000.0,,,,1.1,30.0
1997-06-05,BALKRISIND,EQ,33.0,34.0,34.0,34.0,,34.0,34.0,50,170000000.0,,,,1.13333333333,30.0
1997-06-09,BALKRISIND,EQ,34.0,31.0,31.0,31.0,,31.0,31.0,200,620000000.0,,,,1.03333333333,30.0
