Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,BANKRAJAS,EQ,248.2,248.2,252.8,246.0,,251.25,250.6,13650,3.42074e+11,,,
1996-01-02,BANKRAJAS,EQ,251.25,251.25,267.0,251.25,,261.5,261.36,43450,1.135614e+12,,,
1996-01-03,BANKRAJAS,EQ,261.5,261.5,265.5,252.0,,253.45,258.08,39550,1.0206985e+12,,,
1996-01-04,BANKRAJAS,EQ,253.45,253.45,254.85,248.0,,254.05,251.44,32050,8.058765e+11,,,
1996-01-05,BANKRAJAS,EQ,254.05,254.05,253.0,249.0,,252.0,250.95,16150,4.052885e+11,,,
1996-01-08,BANKRAJAS,EQ,252.0,252.0,250.5,244.0,,244.95,246.46,25400,6.2601375e+11,,,
1996-01-09,BANKRAJAS,EQ,244.95,244.95,243.0,230.0,,231.9,235.66,44500,1.0486675e+12,,,
1996-01-10,BANKRAJAS,EQ,231.9,231.9,241.25,230.0,,236.7,237.48,60050,1.42607825e+12,,,
1996-01-11,BANKRAJAS,EQ,236.7,236.7,237.5,231.75,,235.4,233.37,21500,5.0173475e+11,,,
1996-01-12,BANKRAJAS,EQ,235.4,235.4,235.9,233.0,,233.6,233.7,9400,2.19679e+11,,,
1996-01-15,BANKRAJAS,EQ,233.6,233.6,237.4,216.1,,228.45,231.29,52750,1.22004225e+12,,,
1996-01-16,BANKRAJAS,EQ,228.45,228.45,230.0,224.05,,225.2,226.68,34900,7.911085e+11,,,
1996-01-17,BANKRAJAS,EQ,225.2,225.2,227.0,220.0,,220.7,223.35,24250,5.4161525e+11,,,
1996-01-18,BANKRAJAS,EQ,220.7,220.7,217.5,205.0,,212.25,211.6,22700,4.803395e+11,,,
1996-01-19,BANKRAJAS,EQ,212.25,212.25,209.95,190.95,,196.3,196.26,87850,1.724152e+12,,,
1996-01-22,BANKRAJAS,EQ,196.3,196.3,204.0,195.05,,197.05,197.95,28350,5.611845e+11,,,
1996-01-23,BANKRAJAS,EQ,197.05,197.05,198.75,185.05,,186.2,191.98,52850,1.0146275e+12,,,
1996-01-24,BANKRAJAS,EQ,186.2,186.2,184.95,168.0,,172.45,173.67,48600,8.440155e+11,,,
1996-01-25,BANKRAJAS,EQ,172.45,172.45,181.0,170.5,,177.35,174.15,46100,8.0280975e+11,,,
1996-01-29,BANKRAJAS,EQ,177.35,179.0,196.0,178.0,,195.95,191.15,117350,2.24312725e+12,,,
1996-01-30,BANKRAJAS,EQ,195.95,209.0,216.55,205.0,,214.9,213.21,130050,2.77281525e+12,,,
1996-01-31,BANKRAJAS,EQ,214.9,214.9,231.5,214.55,,220.75,223.09,81000,1.806989e+12,,,
1996-02-01,BANKRAJAS,EQ,220.75,220.75,243.95,221.1,,242.4,232.93,128500,2.99316275e+12,,,
1996-02-02,BANKRAJAS,EQ,242.4,242.4,274.3,252.0,,270.85,262.33,158450,4.156656e+12,,,
1996-02-05,BANKRAJAS,EQ,270.85,270.85,285.75,277.0,,285.75,284.55,73750,2.09854225e+12,,,
1996-02-06,BANKRAJAS,EQ,285.75,285.75,300.05,258.0,,267.25,286.32,167400,4.79300425e+12,,,
1996-02-07,BANKRAJAS,EQ,267.25,267.25,282.0,252.0,,265.3,266.64,117600,3.13574375e+12,,,
1996-02-08,BANKRAJAS,EQ,265.3,265.3,278.0,263.0,,274.4,271.05,56100,1.5206185e+12,,,
1996-02-09,BANKRAJAS,EQ,274.4,274.4,281.0,269.5,,277.15,274.73,35400,9.7255225e+11,,,
1996-02-12,BANKRAJAS,EQ,277.15,277.15,278.0,266.0,,267.8,272.42,25300,6.892115e+11,,,
1996-02-13,BANKRAJAS,EQ,267.8,267.8,270.0,250.0,,258.8,256.62,96550,2.4776745e+12,,,
1996-02-14,BANKRAJAS,EQ,258.8,258.8,280.0,265.05,,265.75,270.68,24150,6.536955e+11,,,
1996-02-15,BANKRAJAS,EQ,265.75,265.75,267.0,262.0,,264.3,264.56,9250,2.447185e+11,,,
1996-02-16,BANKRAJAS,EQ,264.3,264.3,264.9,253.1,,255.55,257.69,12850,3.3113175e+11,,,
1996-02-19,BANKRAJAS,EQ,255.55,255.55,259.0,246.0,,247.6,252.64,16700,4.219155e+11,,,
1996-02-20,BANKRAJAS,EQ,247.6,247.6,257.0,235.0,,236.65,242.17,33750,8.1733075e+11,,,
1996-02-22,BANKRAJAS,EQ,236.65,236.65,245.2,240.0,,243.6,242.48,20200,4.8980975e+11,,,
1996-02-23,BANKRAJAS,EQ,243.6,243.6,248.95,232.25,,238.05,237.4,32450,7.7034925e+11,,,
1996-02-26,BANKRAJAS,EQ,238.05,238.05,261.0,237.0,,255.0,254.85,81650,2.08088e+12,,,
1996-02-27,BANKRAJAS,EQ,255.0,255.0,258.95,246.0,,248.0,251.47,48050,1.20831e+12,,,
1996-02-28,BANKRAJAS,EQ,248.0,248.0,255.0,245.0,,246.3,249.63,29600,7.3889475e+11,,,
