Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,BATAINDIA,EQ,67.0,64.0,67.0,63.55,,64.95,64.93,6450,41881500000.0,,,,32.475,2.0
1996-01-02,BATAINDIA,EQ,64.95,66.0,66.0,64.55,,65.05,65.32,800,5225750000.0,,,,32.525,2.0
1996-01-03,BATAINDIA,EQ,65.05,68.0,68.0,66.5,,66.5,67.5,150,1012500000.0,,,,33.25,2.0
1996-01-04,BATAINDIA,EQ,66.5,67.75,67.75,66.0,,66.0,67.17,150,1007500000.0,,,,33.0,2.0
1996-01-05,BATAINDIA,EQ,66.0,65.5,65.5,64.5,,64.8,65.05,1600,10407250000.0,,,,32.4,2.0
1996-01-08,BATAINDIA,EQ,64.8,64.25,64.25,62.0,,64.2,63.91,700,4473500000.0,,,,32.1,2.0
1996-01-09,BATAINDIA,EQ,64.2,61.3,62.0,60.0,,60.0,60.86,1450,8824750000.0,,,,30.0,2.0
1996-01-10,BATAINDIA,EQ,60.0,60.5,61.5,60.0,,60.0,60.11,3500,21038000000.0,,,,30.0,2.0
1996-01-11,BATAINDIA,EQ,60.0,59.5,60.25,59.5,,60.0,60.06,2650,15915750000.0,,,,30.0,2.0
1996-01-12,BATAINDIA,EQ,60.0,60.0,60.5,59.5,,60.0,60.0,1200,7200000000.0,,,,30.0,2.0
1996-01-15,BATAINDIA,EQ,60.0,60.0,62.0,60.0,,60.0,61.14,3200,19564750000.0,,,,30.0,2.0
1996-01-16,BATAINDIA,EQ,60.0,60.5,60.5,59.6,,59.75,60.09,1800,10816250000.0,,,,29.875,2.0
1996-01-17,BATAINDIA,EQ,59.75,59.75,61.7,60.25,,61.05,60.85,1550,9431500000.0,,,,30.525,2.0
1996-01-18,BATAINDIA,EQ,61.05,61.0,61.5,61.0,,61.25,61.19,1000,6119250000.0,,,,30.625,2.0
1996-01-19,BATAINDIA,EQ,61.25,59.55,61.25,59.55,,61.25,60.18,1350,8124250000.0,,,,30.625,2.0
1996-01-22,BATAINDIA,EQ,61.25,61.0,62.5,61.0,,61.2,61.62,1100,6778000000.0,,,,30.6,2.0
1996-01-23,BATAINDIA,EQ,61.2,61.2,60.0,55.2,,58.0,58.78,2750,16165000000.0,,,,29.0,2.0
1996-01-24,BATAINDIA,EQ,58.0,58.0,56.25,52.0,,55.25,55.13,1950,10750250000.0,,,,27.625,2.0
1996-01-25,BATAINDIA,EQ,55.25,54.0,55.0,54.0,,54.5,54.58,600,3275000000.0,,,,27.25,2.0
1996-01-29,BATAINDIA,EQ,54.5,58.0,58.0,55.0,,55.0,56.28,1300,7316500000.0,,,,27.5,2.0
1996-01-30,BATAINDIA,EQ,55.0,53.5,56.1,53.0,,55.1,54.72,4050,22163500000.0,,,,27.55,2.0
