Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,BERGEPAINT,EQ,89.5,90.5,90.5,89.0,,89.0,89.75,200,1795000000.0,,,
1996-01-02,BERGEPAINT,EQ,89.0,89.0,89.0,88.0,,88.0,88.33,300,2650000000.0,,,
1996-01-03,BERGEPAINT,EQ,88.0,88.0,89.75,88.0,,89.75,88.95,500,4447500000.0,,,
1996-01-05,BERGEPAINT,EQ,89.75,83.25,83.25,83.25,,83.25,83.25,100,832500000.0,,,
1996-01-08,BERGEPAINT,EQ,83.25,83.25,84.0,84.0,,84.0,84.0,100,840000000.0,,,
1996-01-09,BERGEPAINT,EQ,84.0,84.5,87.25,84.5,,84.5,85.28,800,6822500000.0,,,
1996-01-10,BERGEPAINT,EQ,84.5,86.5,88.0,86.0,,87.3,87.03,900,7833000000.0,,,
1996-01-15,BERGEPAINT,EQ,87.3,81.1,81.1,81.1,,81.1,81.1,100,811000000.0,,,
1996-01-16,BERGEPAINT,EQ,81.1,81.1,82.0,80.0,,80.2,80.73,1300,10494500000.0,,,
1996-01-17,BERGEPAINT,EQ,80.2,80.2,81.0,78.0,,78.0,79.03,400,3161000000.0,,,
1996-01-18,BERGEPAINT,EQ,78.0,78.0,78.0,77.0,,77.0,77.5,200,1550000000.0,,,
1996-01-19,BERGEPAINT,EQ,77.0,78.0,79.0,78.0,,79.0,78.33,300,2350000000.0,,,
1996-01-22,BERGEPAINT,EQ,79.0,76.0,76.0,72.5,,72.5,73.83,300,2215000000.0,,,
1996-01-23,BERGEPAINT,EQ,72.5,72.5,73.5,72.0,,72.0,72.75,200,1455000000.0,,,
1996-01-25,BERGEPAINT,EQ,72.0,70.0,70.0,70.0,,70.0,70.0,200,1400000000.0,,,
1996-01-29,BERGEPAINT,EQ,70.0,65.0,65.0,65.0,,65.0,65.0,200,1300000000.0,,,
1996-01-30,BERGEPAINT,EQ,65.0,61.5,61.5,59.75,,60.0,60.42,300,1812500000.0,,,
