date,3. low,1. open,2. high,4. close,6. volume,5. adjusted close,8. split coefficient,7. dividend amount
2000-01-03,141.0,141.0,151.9,151.38,37560.0,61.6905,1.0,0.0
2000-01-04,142.0,142.0,154.0,150.91,40675.0,61.499,1.0,0.0
2000-01-05,141.0,151.0,151.8,147.06,30475.0,59.93,1.0,0.0
2000-01-06,148.0,148.0,158.83,157.13,98485.0,64.0338,1.0,0.0
2000-01-07,159.6,161.6,169.7,169.7,165535.0,69.1563,1.0,0.0
2000-01-10,173.0,180.0,183.28,182.44,147875.0,74.3481,1.0,0.0
2000-01-11,167.85,184.0,184.0,170.75,103175.0,69.5842,1.0,0.0
2000-01-12,172.11,180.0,180.0,176.54,46560.0,71.9438,1.0,0.0
2000-01-13,175.0,178.0,184.0,176.28,97630.0,71.8378,1.0,0.0
2000-01-14,172.8,174.5,176.0,173.93,78375.0,70.8801,1.0,0.0
2000-01-17,174.0,176.0,178.0,175.19,35625.0,71.3936,1.0,0.0
2000-01-18,173.6,174.02,179.8,176.21,62630.0,71.8093,1.0,0.0
2000-01-19,177.8,177.8,182.2,180.17,70540.0,73.4231,1.0,0.0
2000-01-20,178.71,181.4,183.98,179.14,28355.0,73.0033,1.0,0.0
2000-01-21,177.05,179.58,179.58,177.65,9440.0,72.3961,1.0,0.0
2000-01-24,170.2,176.0,179.0,176.95,31755.0,72.1108,1.0,0.0
2000-01-25,174.0,174.2,178.0,176.25,34295.0,71.8256,1.0,0.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000-01-27,162.15,173.18,177.0,166.06,73390.0,67.6729,1.0,0.0
2000-01-28,156.4,160.0,163.0,158.49,32090.0,64.588,1.0,0.0
2000-01-31,145.85,155.73,157.6,149.35,27080.0,60.8633,1.0,0.0
2000-02-01,144.2,150.2,151.8,146.3,36735.0,59.6203,1.0,0.0
2000-02-02,140.0,148.0,150.4,146.21,24695.0,59.5837,1.0,0.0
2000-02-03,139.0,150.0,150.0,142.83,58095.0,58.2062,1.0,0.0
2000-02-04,141.2,144.0,144.0,142.7,65735.0,58.1532,1.0,0.0
2000-02-07,140.0,140.2,143.4,140.34,35975.0,57.1915,1.0,0.0
2000-02-08,136.0,140.8,140.8,137.1,75415.0,55.8711,1.0,0.0
2000-02-09,139.0,142.8,148.07,141.48,116785.0,57.6561,1.0,0.0
2000-02-10,141.4,143.8,146.0,142.42,56705.0,58.0391,1.0,0.0
2000-02-11,140.0,144.6,145.8,140.83,103975.0,57.3912,1.0,0.0
2000-02-14,138.0,142.0,142.2,138.12,38825.0,56.2868,1.0,0.0
2000-02-15,128.0,136.2,136.2,130.66,93110.0,53.2467,1.0,0.0
2000-02-16,132.4,134.0,136.0,134.94,54380.0,54.9909,1.0,0.0
2000-02-17,134.0,134.0,139.6,135.4,44630.0,55.1783,1.0,0.0
2000-02-18,132.2,134.0,138.98,133.41,57300.0,54.3674,1.0,0.0
2000-02-21,131.0,135.0,138.0,133.14,39965.0,54.2573,1.0,0.0
2000-02-22,131.0,134.0,134.0,131.49,55710.0,53.5849,1.0,0.0
2000-02-23,131.0,131.6,136.0,133.13,28965.0,54.2533,1.0,0.0
2000-02-24,128.4,135.0,135.4,132.42,41025.0,53.9639,1.0,0.0
2000-02-25,128.0,134.8,134.8,128.37,31730.0,52.3135,1.0,0.0
2000-02-28,121.83,128.0,131.2,127.17,45355.0,51.8244,1.0,0.0
2000-02-29,121.0,130.0,131.97,122.3,80915.0,49.8398,1.0,0.0
2000-03-01,112.52,125.0,125.0,112.52,46515.0,45.8543,1.0,0.0
2000-03-02,103.52,105.4,106.0,103.52,43515.0,42.1866,1.0,0.0
2000-03-03,95.24,95.24,109.09,100.92,131530.0,41.127,1.0,0.0
2000-03-06,92.85,105.0,105.0,95.06,93045.0,38.7389,1.0,0.0
2000-03-07,92.4,95.98,98.0,93.87,89170.0,38.254,1.0,0.0
2000-03-08,93.02,97.6,101.29,97.88,196585.0,39.8882,1.0,0.0
2000-03-09,95.0,100.0,100.0,99.93,174550.0,40.7236,1.0,0.0
