Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,BRITANNIA,EQ,160.0,159.0,159.0,159.0,,159.0,159.0,100,1590000000.0,,,
1996-01-03,BRITANNIA,EQ,159.0,160.0,160.0,157.0,,157.0,158.5,200,3170000000.0,,,
1996-01-05,BRITANNIA,EQ,157.0,160.0,160.0,157.0,,157.1,157.81,400,6312500000.0,,,
1996-01-08,BRITANNIA,EQ,157.1,155.0,158.0,155.0,,158.0,156.5,200,3130000000.0,,,
1996-01-10,BRITANNIA,EQ,158.0,151.0,151.0,151.0,,151.0,151.0,100,1510000000.0,,,
1996-01-16,BRITANNIA,EQ,151.0,151.0,151.0,145.0,,145.0,148.0,200,2960000000.0,,,
1996-01-18,BRITANNIA,EQ,145.0,145.0,145.0,142.0,,142.0,143.5,200,2870000000.0,,,
1996-01-19,BRITANNIA,EQ,142.0,148.0,148.0,148.0,,148.0,148.0,100,1480000000.0,,,
1996-01-23,BRITANNIA,EQ,148.0,147.5,148.25,144.0,,148.0,147.58,1000,14757500000.0,,,
1996-01-24,BRITANNIA,EQ,148.0,148.0,148.0,148.0,,148.0,148.0,400,5920000000.0,,,
1996-01-25,BRITANNIA,EQ,148.0,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-01-29,BRITANNIA,EQ,150.0,145.0,145.0,145.0,,145.0,145.0,100,1450000000.0,,,
1996-01-30,BRITANNIA,EQ,145.0,148.0,148.5,145.0,,145.0,147.94,800,11835000000.0,,,
1996-01-31,BRITANNIA,EQ,145.0,147.5,147.5,147.5,,147.5,147.5,100,1475000000.0,,,
1996-02-01,BRITANNIA,EQ,147.5,152.0,157.0,152.0,,157.0,153.25,400,6130000000.0,,,
1996-02-02,BRITANNIA,EQ,157.0,172.0,172.0,172.0,,172.0,172.0,100,1720000000.0,,,
1996-02-05,BRITANNIA,EQ,172.0,172.0,177.0,172.0,,175.75,175.0,700,12250000000.0,,,
1996-02-06,BRITANNIA,EQ,175.75,175.75,185.0,175.05,,177.0,178.97,1300,23265500000.0,,,
1996-02-07,BRITANNIA,EQ,177.0,173.0,173.0,173.0,,173.0,173.0,100,1730000000.0,,,
1996-02-08,BRITANNIA,EQ,173.0,173.0,175.0,173.0,,173.9,174.1,1600,27855500000.0,,,
1996-02-09,BRITANNIA,EQ,173.9,180.0,191.0,180.0,,190.0,189.62,1300,24650000000.0,,,
1996-02-12,BRITANNIA,EQ,190.0,200.0,200.0,195.0,,195.0,196.25,400,7850000000.0,,,
1996-02-13,BRITANNIA,EQ,195.0,195.0,195.0,190.0,,190.0,191.86,700,13430000000.0,,,
1996-02-14,BRITANNIA,EQ,190.0,205.0,205.0,196.5,,196.5,203.5,1400,28490000000.0,,,
1996-02-15,BRITANNIA,EQ,196.5,196.0,196.0,196.0,,196.0,196.0,100,1960000000.0,,,
1996-02-16,BRITANNIA,EQ,196.0,195.0,195.0,190.0,,190.5,192.09,800,15367500000.0,,,
1996-02-19,BRITANNIA,EQ,190.5,190.0,190.0,190.0,,190.0,190.0,1300,24700000000.0,,,
1996-02-20,BRITANNIA,EQ,190.0,190.0,192.0,192.0,,192.0,192.0,500,9600000000.0,,,
1996-02-22,BRITANNIA,EQ,192.0,205.0,205.0,190.0,,193.0,193.67,600,11620000000.0,,,
1996-02-23,BRITANNIA,EQ,193.0,193.0,197.0,192.0,,193.9,194.38,700,13606500000.0,,,
1996-02-26,BRITANNIA,EQ,193.9,193.0,197.75,193.0,,193.55,194.82,2500,48705500000.0,,,
1996-02-27,BRITANNIA,EQ,193.55,197.0,200.0,195.0,,200.0,197.54,2400,47410500000.0,,,
