Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2007-01-09,CAIRN,EQ,160.0,152.0,162.0,128.8,137.5,137.4,136.57,67909138,9.2740371929e+14,,23538850,0.3466,137.4,1.0
2007-01-10,CAIRN,EQ,137.4,137.2,141.7,132.1,133.55,134.35,137.02,13707139,1.8781399078e+14,,4447806,0.3245,134.35,1.0
2007-01-11,CAIRN,EQ,134.35,135.0,137.55,130.25,134.15,133.25,133.68,8041090,1.07493591505e+14,,4051598,0.5039,133.25,1.0
2007-01-12,CAIRN,EQ,133.25,134.15,139.9,132.7,135.05,134.75,134.48,5819860,7.8263204275e+13,,3572470,0.6138,134.75,1.0
2007-01-15,CAIRN,EQ,134.75,136.85,145.0,136.25,141.45,141.05,141.8,7557592,1.0716988463e+14,,2763054,0.3656,141.05,1.0
2007-01-16,CAIRN,EQ,141.05,144.95,146.4,139.85,142.35,142.65,143.92,6249072,8.9939052925e+13,,2404957,0.3849,142.65,1.0
2007-01-17,CAIRN,EQ,142.65,143.0,145.4,142.4,145.0,145.1,144.44,4916312,7.1013300345e+13,,2940791,0.5982,145.1,1.0
2007-01-18,CAIRN,EQ,145.1,145.5,150.75,145.15,147.7,146.65,147.85,6154543,9.0997007125e+13,,2661387,0.4324,146.65,1.0
2007-01-19,CAIRN,EQ,146.65,148.5,148.5,145.0,147.4,146.3,146.07,2303573,3.364773684e+13,,1332277,0.5784,146.3,1.0
2007-01-22,CAIRN,EQ,146.3,148.0,148.0,145.4,146.8,146.25,146.84,4286429,6.294025691e+13,,2686036,0.6266,146.25,1.0
2007-01-23,CAIRN,EQ,146.25,146.05,148.85,145.4,146.25,146.25,147.29,3427080,5.047905505e+13,,1666797,0.4864,146.25,1.0
2007-01-24,CAIRN,EQ,146.25,147.0,148.5,146.2,148.45,148.05,147.76,3328802,4.918593167e+13,,2484636,0.7464,148.05,1.0
2007-01-25,CAIRN,EQ,148.05,150.0,150.0,147.5,148.0,147.9,147.99,1258945,1.86316168e+13,,874580,0.6947,147.9,1.0
2007-01-29,CAIRN,EQ,147.9,148.0,155.0,146.1,150.1,150.1,150.45,7960341,1.1976091752e+14,,3829091,0.481,150.1,1.0
2007-01-31,CAIRN,EQ,150.1,151.0,151.3,145.0,147.5,147.6,148.8,6228162,9.267804188e+13,,4373591,0.7022,147.6,1.0
2007-02-01,CAIRN,EQ,147.6,151.0,151.0,146.6,147.6,147.65,147.91,1402835,2.0749564725e+13,,916940,0.6536,147.65,1.0
2007-02-02,CAIRN,EQ,147.65,147.0,149.25,147.0,148.4,148.2,148.39,3831769,5.68604183e+13,,2388177,0.6233,148.2,1.0
2007-02-05,CAIRN,EQ,148.2,148.65,149.4,144.6,145.75,145.95,146.54,2569029,3.764592686e+13,,1662974,0.6473,145.95,1.0
