Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-12-23,CANBK,EQ,35.0,42.0,49.75,41.85,48.6,48.65,45.62,17189102,7.842402895e+13,,3724831.0,0.2167
2002-12-24,CANBK,EQ,48.65,49.4,52.0,49.0,49.45,49.6,50.4,15267153,7.6950587115e+13,,2926239.0,0.1917
2002-12-26,CANBK,EQ,49.6,50.0,50.75,48.8,49.15,49.05,49.59,4068056,2.0173591185e+13,,1036760.0,0.2549
2002-12-27,CANBK,EQ,49.05,50.45,51.6,49.0,50.35,50.35,50.47,5734723,2.894038327e+13,,1701974.0,0.2968
2002-12-30,CANBK,EQ,50.35,50.0,50.0,48.7,49.05,49.05,49.17,2078946,1.022308722e+13,,720629.0,0.3466
2002-12-31,CANBK,EQ,49.05,48.95,50.45,48.8,49.75,49.65,49.84,2629342,1.3104609685e+13,,876616.0,0.3334
2003-01-01,CANBK,EQ,49.65,50.0,50.3,49.1,49.4,49.55,49.75,1926344,9.583428065e+12,,491876.0,0.2553
2003-01-02,CANBK,EQ,49.55,49.75,50.2,48.75,49.05,49.0,49.49,1626683,8.05098498e+12,,648703.0,0.3988
2003-01-03,CANBK,EQ,49.0,49.5,50.0,49.05,49.55,49.5,49.59,2426288,1.2031486715e+13,,1306106.0,0.5383
2003-01-06,CANBK,EQ,49.5,49.65,49.7,46.2,46.2,46.4,47.41,2038412,9.66412272e+12,,713226.0,0.3499
2003-01-07,CANBK,EQ,46.4,46.45,47.65,45.1,47.25,47.15,46.77,3025043,1.4146976915e+13,,729712.0,0.2412
2003-01-08,CANBK,EQ,47.15,47.2,48.1,47.15,47.4,47.45,47.57,1461358,6.951688145e+12,,509772.0,0.3488
2003-01-09,CANBK,EQ,47.45,47.5,51.95,47.4,51.45,51.3,50.21,7319484,3.675401526e+13,,2595678.0,0.3546
2003-01-10,CANBK,EQ,51.3,51.95,54.55,50.5,52.4,52.4,52.86,8681353,4.5892197235e+13,,2023960.0,0.2331
2003-01-13,CANBK,EQ,52.4,52.9,54.4,52.2,53.95,53.65,53.38,3482132,1.8588965155e+13,,1129724.0,0.3244
2003-01-14,CANBK,EQ,53.65,54.15,54.9,53.0,54.4,54.2,54.16,3621221,1.961084955e+13,,925727.0,0.2556
2003-01-15,CANBK,EQ,54.2,54.7,55.75,54.1,55.35,55.25,55.18,4026281,2.2217347215e+13,,1110296.0,0.2758
2003-01-16,CANBK,EQ,55.25,55.1,56.4,55.1,55.85,55.75,55.82,3640011,2.0318935835e+13,,1121439.0,0.3081
2003-01-17,CANBK,EQ,55.75,56.0,56.4,54.85,55.55,55.6,55.63,2468855,1.3733926615e+13,,810612.0,0.3283
2003-01-20,CANBK,EQ,55.6,55.75,59.3,55.75,58.5,58.75,57.81,8025796,4.6398305965e+13,,2121048.0,0.2643
2003-01-21,CANBK,EQ,58.75,60.5,68.7,59.2,68.0,67.85,64.94,17884178,1.1613246437e+14,,3641911.0,0.2036
2003-01-22,CANBK,EQ,67.85,69.0,72.65,65.95,67.85,67.6,68.84,17788366,1.22457506965e+14,,2697139.0,0.1516
2003-01-23,CANBK,EQ,67.6,67.5,72.05,66.1,69.3,69.75,69.83,15688470,1.095598805e+14,,1926943.0,0.1228
2003-01-24,CANBK,EQ,69.75,69.75,70.7,64.4,65.15,65.3,67.7,7941877,5.376354857e+13,,1277942.0,0.1609
2003-01-27,CANBK,EQ,65.3,66.5,66.5,60.25,62.1,61.45,62.58,6117103,3.828023025e+13,,1550882.0,0.2535
2003-01-28,CANBK,EQ,61.45,62.0,65.3,61.15,65.0,64.6,63.41,6654527,4.219829557e+13,,1169463.0,0.1757
2003-01-29,CANBK,EQ,64.6,65.5,67.75,64.6,65.3,65.4,66.21,7201844,4.7682997225e+13,,1246445.0,0.1731
2003-01-30,CANBK,EQ,65.4,65.95,66.5,63.65,64.2,64.05,64.83,3502818,2.270790558e+13,,776422.0,0.2217
2003-01-31,CANBK,EQ,64.05,64.0,64.2,61.5,62.55,62.25,62.39,4687368,2.9245901375e+13,,949174.0,0.2025
2003-02-03,CANBK,EQ,62.25,63.0,65.3,62.65,65.15,64.95,64.3,3985975,2.5630625995e+13,,833358.0,0.2091
2003-02-04,CANBK,EQ,64.95,65.8,70.65,65.8,67.6,67.75,68.97,15789158,1.08892209985e+14,,2655791.0,0.1682
2003-02-05,CANBK,EQ,67.75,68.0,69.2,66.4,67.2,67.15,67.61,6702353,4.5316233145e+13,,1103160.0,0.1646
2003-02-06,CANBK,EQ,67.15,67.0,69.2,65.3,68.85,68.75,67.35,9594146,6.4616796105e+13,,1461989.0,0.1524
2003-02-07,CANBK,EQ,68.75,69.35,69.35,66.5,66.6,66.85,67.63,5427913,3.670922481e+13,,917378.0,0.169
2003-02-10,CANBK,EQ,66.85,67.0,67.0,63.35,63.55,63.8,64.86,4150409,2.692072343e+13,,917589.0,0.2211
2003-02-11,CANBK,EQ,63.8,64.0,64.85,61.9,62.05,62.2,62.99,5179914,3.26297976e+13,,795409.0,0.1536
2003-02-12,CANBK,EQ,62.2,62.0,63.8,60.4,62.25,62.3,62.81,5457936,3.4280103625e+13,,643521.0,0.1179
2003-02-14,CANBK,EQ,62.3,62.75,62.75,58.5,58.6,58.85,59.88,6104258,3.6551587585e+13,,1011891.0,0.1658
2003-02-17,CANBK,EQ,58.85,60.7,64.7,60.0,64.4,63.95,62.5,6905542,4.31619961e+13,,1418808.0,0.2055
2003-02-18,CANBK,EQ,63.95,66.0,66.6,64.85,65.25,65.4,65.67,7512749,4.9334935255e+13,,1224711.0,0.163
