Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2008-02-01,CEATLTD,EQ,226.25,261.0,261.0,181.0,181.0,181.0,181.92,213242,3.879326365e+12,,152039,0.713,181.0,1.0
2008-02-04,CEATLTD,EQ,181.0,156.55,199.0,156.55,192.0,191.45,187.65,185908,3.4886019e+12,,71482,0.3845,191.45,1.0
2008-02-05,CEATLTD,EQ,191.45,192.0,197.0,184.0,190.6,192.25,193.34,115340,2.22992673e+12,,57738,0.5006,192.25,1.0
2008-02-06,CEATLTD,EQ,192.25,185.0,192.0,185.0,187.0,186.55,188.58,33737,6.3620604e+11,,12489,0.3702,186.55,1.0
2008-02-07,CEATLTD,EQ,186.55,182.0,191.65,171.5,176.5,175.7,184.02,115873,2.13234338e+12,,97814,0.8441,175.7,1.0
2008-02-08,CEATLTD,EQ,175.7,166.95,174.6,159.2,160.0,161.35,164.71,33306,5.48578125e+11,,23667,0.7106,161.35,1.0
2008-02-11,CEATLTD,EQ,161.35,156.35,163.95,137.05,137.1,140.0,147.29,49334,7.266263e+11,,39784,0.8064,140.0,1.0
2008-02-12,CEATLTD,EQ,140.0,133.95,149.9,133.95,143.05,143.15,141.29,24710,3.49136815e+11,,14133,0.572,143.15,1.0
2008-02-13,CEATLTD,EQ,143.15,140.1,147.95,134.0,136.0,135.35,139.51,12039,1.6795007e+11,,9385,0.7795,135.35,1.0
2008-02-14,CEATLTD,EQ,135.35,125.0,143.0,125.0,140.0,141.45,141.06,12377,1.7459152e+11,,8444,0.6822,141.45,1.0
2008-02-15,CEATLTD,EQ,141.45,136.0,149.0,136.0,146.0,146.65,145.4,10373,1.50821335e+11,,5517,0.5319,146.65,1.0
2008-02-18,CEATLTD,EQ,146.65,135.2,151.1,135.2,151.0,149.95,148.36,7720,1.1453326e+11,,6135,0.7947,149.95,1.0
2008-02-19,CEATLTD,EQ,149.95,145.05,152.5,145.05,146.0,146.15,147.96,12157,1.79881035e+11,,7953,0.6542,146.15,1.0
2008-02-20,CEATLTD,EQ,146.15,135.2,149.0,135.2,144.5,143.15,141.79,16847,2.38877675e+11,,15081,0.8952,143.15,1.0
2008-02-21,CEATLTD,EQ,143.15,140.3,146.8,140.3,145.0,145.0,144.65,13261,1.91825455e+11,,11662,0.8794,145.0,1.0
2008-02-22,CEATLTD,EQ,145.0,135.2,147.65,135.2,145.85,144.95,144.33,4330,62495765000.0,,3334,0.77,144.95,1.0
2008-02-25,CEATLTD,EQ,144.95,145.0,147.5,140.0,147.5,146.6,144.54,8109,1.17205125e+11,,5081,0.6266,146.6,1.0
2008-02-26,CEATLTD,EQ,146.6,136.2,157.0,136.2,145.0,145.3,149.92,39232,5.88180195e+11,,9269,0.2363,145.3,1.0
2008-02-27,CEATLTD,EQ,145.3,146.4,149.75,136.95,143.35,143.7,145.19,13746,1.99582205e+11,,10520,0.7653,143.7,1.0
2008-02-28,CEATLTD,EQ,143.7,140.2,147.4,140.2,143.0,142.3,143.95,22235,3.2008252e+11,,18637,0.8382,142.3,1.0
2008-02-29,CEATLTD,EQ,142.3,138.2,147.0,137.05,140.0,139.45,141.7,9287,1.31593415e+11,,4733,0.5096,139.45,1.0
2008-03-03,CEATLTD,EQ,139.45,137.0,139.0,131.05,132.5,132.3,135.06,17207,2.3238966e+11,,12752,0.7411,132.3,1.0
2008-03-04,CEATLTD,EQ,132.3,107.65,138.35,107.65,128.9,127.5,123.7,46810,5.7903345e+11,,36280,0.775,127.5,1.0
2008-03-05,CEATLTD,EQ,127.5,125.0,127.95,122.0,125.0,124.7,124.79,7107,88691480000.0,,5263,0.7405,124.7,1.0
2008-03-07,CEATLTD,EQ,124.7,114.95,132.25,114.95,125.0,125.4,123.17,46341,5.7079746e+11,,38304,0.8266,125.4,1.0
2008-03-10,CEATLTD,EQ,125.4,115.95,144.8,115.05,141.1,140.3,131.83,70066,9.2370454e+11,,51388,0.7334,140.3,1.0
2008-03-11,CEATLTD,EQ,140.3,141.25,148.95,136.25,141.0,140.0,143.75,111011,1.59577104e+12,,56304,0.5072,140.0,1.0
