Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2004-07-20,CENTEXT,EQ,1.0,6.55,6.55,4.4,4.4,4.4,5.03,732,368470000.0,,721.0,0.985,4.4,1.0
2004-07-21,CENTEXT,EQ,4.4,4.25,4.25,3.55,3.6,3.6,3.91,6201,2425165000.0,,4753.0,0.7665,3.6,1.0
2004-07-22,CENTEXT,EQ,3.6,3.25,4.35,2.9,4.25,4.35,3.98,14752,5868635000.0,,12812.0,0.8685,4.35,1.0
2004-07-23,CENTEXT,EQ,4.35,4.6,5.25,4.45,4.45,4.8,5.0,54989,27498275000.0,,46802.0,0.8511,4.8,1.0
2004-07-26,CENTEXT,EQ,4.8,5.0,5.2,4.1,4.25,4.15,4.56,25495,11633450000.0,,23545.0,0.9235,4.15,1.0
2004-07-27,CENTEXT,EQ,4.15,5.0,5.0,3.8,4.5,4.15,4.03,6040,2433650000.0,,5790.0,0.9586,4.15,1.0
2004-07-28,CENTEXT,EQ,4.15,4.8,4.8,3.7,3.95,4.0,3.95,19900,7855000000.0,,14410.0,0.7241,4.0,1.0
2004-07-29,CENTEXT,EQ,4.0,3.7,4.8,3.7,4.6,4.7,4.56,41182,18767900000.0,,39332.0,0.9551,4.7,1.0
2004-07-30,CENTEXT,EQ,4.7,4.7,4.7,4.35,4.4,4.4,4.43,4505,1997875000.0,,4505.0,1.0,4.4,1.0
2004-08-02,CENTEXT,EQ,4.4,4.65,4.65,4.2,4.5,4.3,4.28,5087,2179185000.0,,3885.0,0.7637,4.3,1.0
2004-08-03,CENTEXT,EQ,4.3,4.55,4.55,4.1,4.3,4.2,4.21,5358,2253515000.0,,4967.0,0.927,4.2,1.0
2004-08-04,CENTEXT,EQ,4.2,4.8,4.8,3.75,4.0,3.8,3.84,9958,3825025000.0,,9848.0,0.989,3.8,1.0
2004-08-05,CENTEXT,EQ,3.8,4.05,4.1,3.8,4.05,3.95,3.92,6385,2502425000.0,,6385.0,1.0,3.95,1.0
2004-08-06,CENTEXT,EQ,3.95,3.95,4.0,3.75,4.0,4.0,3.93,1000,392750000.0,,1000.0,1.0,4.0,1.0
2004-08-09,CENTEXT,EQ,4.0,4.05,4.1,3.9,4.0,4.0,4.02,8691,3493990000.0,,8500.0,0.978,4.0,1.0
2004-08-10,CENTEXT,EQ,4.0,3.85,4.0,3.5,3.6,3.6,3.66,4101,1500215000.0,,4101.0,1.0,3.6,1.0
