Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,CROMPGREAV,EQ,199.0,199.0,197.5,195.0,,195.0,196.68,550,10817500000.0,,,
1996-01-03,CROMPGREAV,EQ,195.0,195.0,193.5,193.5,,193.5,193.5,50,967500000.0,,,
1996-01-04,CROMPGREAV,EQ,193.5,194.0,199.0,194.0,,199.0,197.5,200,3950000000.0,,,
1996-01-05,CROMPGREAV,EQ,199.0,199.0,196.0,194.25,,196.0,195.71,300,5871250000.0,,,
1996-01-08,CROMPGREAV,EQ,196.0,196.0,192.0,191.25,,191.25,191.5,150,2872500000.0,,,
1996-01-09,CROMPGREAV,EQ,191.25,184.0,191.75,180.0,,191.75,187.52,450,8438250000.0,,,
1996-01-10,CROMPGREAV,EQ,191.75,191.75,190.0,190.0,,190.0,190.0,50,950000000.0,,,
1996-01-12,CROMPGREAV,EQ,190.0,187.55,196.0,187.55,,195.0,194.48,1650,32089000000.0,,,
1996-01-15,CROMPGREAV,EQ,195.0,193.25,193.25,193.25,,193.25,193.25,100,1932500000.0,,,
1996-01-16,CROMPGREAV,EQ,193.25,195.05,197.0,195.05,,197.0,195.61,350,6846250000.0,,,
1996-01-17,CROMPGREAV,EQ,197.0,197.0,197.0,197.0,,197.0,197.0,300,5910000000.0,,,
1996-01-18,CROMPGREAV,EQ,197.0,194.0,194.0,194.0,,194.0,194.0,100,1940000000.0,,,
1996-01-19,CROMPGREAV,EQ,194.0,197.0,197.0,197.0,,197.0,197.0,50,985000000.0,,,
1996-01-22,CROMPGREAV,EQ,197.0,197.0,200.0,198.0,,200.0,199.48,200,3989500000.0,,,
1996-01-23,CROMPGREAV,EQ,200.0,200.0,207.0,195.75,,204.65,206.35,52100,1.075099e+12,,,
1996-01-24,CROMPGREAV,EQ,204.65,204.65,203.0,200.0,,202.25,201.03,12000,2.412365e+11,,,
1996-01-25,CROMPGREAV,EQ,202.25,202.25,205.0,200.05,,202.65,203.4,4550,92547250000.0,,,
1996-01-29,CROMPGREAV,EQ,202.65,202.65,203.0,201.0,,202.55,202.51,800,16201000000.0,,,
1996-01-30,CROMPGREAV,EQ,202.55,202.55,206.5,204.0,,206.1,205.16,2450,50265000000.0,,,
1996-01-31,CROMPGREAV,EQ,206.1,205.0,205.0,202.0,,202.0,203.85,650,13250000000.0,,,
1996-02-01,CROMPGREAV,EQ,202.0,202.0,209.0,203.1,,209.0,208.86,25850,5.39891e+11,,,
1996-02-05,CROMPGREAV,EQ,209.0,225.0,225.0,206.25,,214.0,213.9,25650,5.4864675e+11,,,
1996-02-06,CROMPGREAV,EQ,214.0,214.0,214.0,207.0,,214.0,213.97,100450,2.1493505e+12,,,
1996-02-07,CROMPGREAV,EQ,214.0,214.0,216.0,207.0,,216.0,215.95,50400,1.08839e+12,,,
1996-02-08,CROMPGREAV,EQ,216.0,216.0,218.0,211.0,,218.0,213.85,1000,21384750000.0,,,
1996-02-09,CROMPGREAV,EQ,218.0,220.0,228.5,218.0,,228.25,222.74,2300,51230000000.0,,,
1996-02-12,CROMPGREAV,EQ,228.25,228.25,232.0,222.0,,232.0,229.85,650,14940500000.0,,,
1996-02-13,CROMPGREAV,EQ,232.0,232.0,235.0,224.0,,235.0,230.74,1850,42687500000.0,,,
1996-02-14,CROMPGREAV,EQ,235.0,235.0,255.0,245.0,,247.0,246.38,650,16015000000.0,,,
1996-02-15,CROMPGREAV,EQ,247.0,245.0,250.0,235.0,,250.0,249.83,51000,1.27414e+12,,,
1996-02-16,CROMPGREAV,EQ,250.0,235.0,240.0,232.0,,240.0,236.5,1000,23649500000.0,,,
1996-02-19,CROMPGREAV,EQ,240.0,236.0,242.0,236.0,,242.0,237.93,1150,27361500000.0,,,
1996-02-20,CROMPGREAV,EQ,242.0,242.0,243.0,240.05,,242.0,241.3,3400,82040500000.0,,,
1996-02-22,CROMPGREAV,EQ,242.0,242.0,251.75,244.5,,248.5,246.61,2550,62885250000.0,,,
