Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2015-11-02,COFFEEDAY,EQ,328.0,317.0,317.0,266.3,271.0,270.45,285.36,18353828,5.2374832627e+14,227002,4540154,0.2474,270.45,1.0
2015-11-03,COFFEEDAY,EQ,270.45,274.0,284.85,272.15,274.85,276.25,278.59,4773563,1.32984405625e+14,79419,1899143,0.3978,276.25,1.0
2015-11-04,COFFEEDAY,EQ,276.25,277.45,283.5,275.1,280.8,281.6,279.92,1853793,5.1891211215e+13,26099,567059,0.3059,281.6,1.0
2015-11-05,COFFEEDAY,EQ,281.6,280.95,281.4,276.0,277.0,277.0,278.73,785960,2.1907443385e+13,17134,359600,0.4575,277.0,1.0
2015-11-06,COFFEEDAY,EQ,277.0,279.0,279.0,270.0,271.25,271.05,272.13,521576,1.4193895005e+13,12267,206896,0.3967,271.05,1.0
2015-11-09,COFFEEDAY,EQ,271.05,266.5,276.0,253.6,274.0,273.9,271.57,603103,1.6378253395e+13,16684,307507,0.5099,273.9,1.0
2015-11-10,COFFEEDAY,EQ,273.9,276.1,280.5,267.8,268.5,269.8,276.0,564758,1.558730578e+13,13023,265560,0.4702,269.8,1.0
2015-11-11,COFFEEDAY,EQ,269.8,273.9,275.6,273.0,274.0,273.55,273.8,89578,2.452676335e+12,2240,39687,0.443,273.55,1.0
2015-11-13,COFFEEDAY,EQ,273.55,271.5,271.95,263.5,266.8,265.8,266.34,264878,7.05465358e+12,5225,126022,0.4758,265.8,1.0
2015-11-16,COFFEEDAY,EQ,265.8,266.0,274.7,260.05,267.25,268.05,268.09,534428,1.432764544e+13,10926,127382,0.2384,268.05,1.0
2015-11-17,COFFEEDAY,EQ,268.05,270.1,274.4,264.55,265.6,265.55,269.01,354953,9.54845626e+12,6866,119211,0.3359,265.55,1.0
2015-11-18,COFFEEDAY,EQ,265.55,265.9,267.7,260.25,262.0,261.3,263.56,236271,6.227262e+12,4641,135762,0.5746,261.3,1.0
2015-11-19,COFFEEDAY,EQ,261.3,263.0,263.75,259.25,261.95,260.55,261.21,269156,7.030495395e+12,4588,142353,0.5289,260.55,1.0
2015-11-20,COFFEEDAY,EQ,260.55,261.6,266.0,258.5,259.05,259.15,261.52,251995,6.590163185e+12,5173,116773,0.4634,259.15,1.0
2015-11-23,COFFEEDAY,EQ,259.15,260.0,267.5,257.5,264.75,264.85,263.77,413189,1.0898879245e+13,7084,175761,0.4254,264.85,1.0
2015-11-24,COFFEEDAY,EQ,264.85,265.8,270.0,262.05,265.1,266.4,266.21,298584,7.948467415e+12,6683,133538,0.4472,266.4,1.0
2015-11-26,COFFEEDAY,EQ,266.4,268.4,269.4,264.0,266.5,266.3,267.14,172026,4.595539445e+12,3925,77298,0.4493,266.3,1.0
2015-11-27,COFFEEDAY,EQ,266.3,267.0,267.05,257.15,258.1,258.25,259.59,644846,1.673931221e+13,12777,449981,0.6978,258.25,1.0
2015-11-30,COFFEEDAY,EQ,258.25,259.8,261.75,254.0,254.5,255.35,257.54,447105,1.151467849e+13,6716,327775,0.7331,255.35,1.0
2015-12-01,COFFEEDAY,EQ,255.35,255.75,264.4,255.5,258.15,257.75,259.3,578648,1.500409277e+13,8025,332177,0.5741,257.75,1.0
