Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1999-04-30,CUB,EQ,14.7,15.0,15.0,15.0,15.0,15.0,15.0,1100,1650000000.0,,,,1.23966942149,12.1
1999-05-03,CUB,EQ,15.0,15.6,15.6,15.6,15.6,15.6,15.6,400,624000000.0,,,,1.28925619835,12.1
1999-05-04,CUB,EQ,15.6,14.3,14.95,14.0,14.7,14.7,14.25,4400,6270000000.0,,,,1.21487603306,12.1
1999-05-05,CUB,EQ,14.7,14.75,14.75,14.25,14.45,14.45,14.44,1500,2166500000.0,,,,1.19421487603,12.1
1999-05-06,CUB,EQ,14.45,15.5,15.5,15.5,15.5,15.5,15.5,100,155000000.0,,,,1.28099173554,12.1
1999-05-07,CUB,EQ,15.5,15.55,15.55,15.4,15.4,15.4,15.48,200,309500000.0,,,,1.27272727273,12.1
1999-05-10,CUB,EQ,15.4,14.3,14.85,14.3,14.85,14.85,14.39,900,1295500000.0,,,,1.22727272727,12.1
1999-05-11,CUB,EQ,14.85,15.25,15.25,15.2,15.25,15.25,15.24,800,1219500000.0,,,,1.26033057851,12.1
1999-05-12,CUB,EQ,15.25,15.5,15.5,15.5,15.5,15.5,15.5,100,155000000.0,,,,1.28099173554,12.1
1999-05-13,CUB,EQ,15.5,15.5,16.0,15.25,15.25,15.25,15.86,1600,2537500000.0,,,,1.26033057851,12.1
1999-05-14,CUB,EQ,15.25,15.0,15.55,15.0,15.55,15.55,15.38,1000,1538000000.0,,,,1.28512396694,12.1
1999-05-17,CUB,EQ,15.55,15.45,15.45,15.25,15.25,15.25,15.35,400,614000000.0,,,,1.26033057851,12.1
1999-05-18,CUB,EQ,15.25,15.5,15.6,15.5,15.5,15.5,15.54,3000,4662500000.0,,,,1.28099173554,12.1
1999-05-19,CUB,EQ,15.5,15.95,16.75,15.3,16.75,16.75,15.71,6800,10686000000.0,,,,1.38429752066,12.1
1999-05-20,CUB,EQ,16.75,16.85,17.0,15.65,15.65,15.65,16.43,6000,9859500000.0,,,,1.29338842975,12.1
1999-05-21,CUB,EQ,15.65,16.0,16.0,16.0,16.0,16.0,16.0,300,480000000.0,,,,1.32231404959,12.1
1999-05-24,CUB,EQ,16.0,14.65,15.45,14.65,14.75,14.75,14.77,1900,2806000000.0,,,,1.21900826446,12.1
1999-05-25,CUB,EQ,14.75,16.75,16.75,15.25,15.25,15.25,15.9,2400,3815000000.0,,,,1.26033057851,12.1
1999-05-26,CUB,EQ,15.25,16.7,16.7,16.7,16.7,16.7,16.7,100,167000000.0,,,,1.38016528926,12.1
1999-05-27,CUB,EQ,16.7,15.5,15.5,15.5,15.5,15.5,15.5,200,310000000.0,,,,1.28099173554,12.1
