date,3. low,1. open,2. high,4. close,6. volume,5. adjusted close,8. split coefficient,7. dividend amount
2002-07-01,8.535,8.61,8.675,8.585,2331240.0,3.9805,1.0,0.0
2002-07-02,8.525,8.575,8.615,8.585,925272.0,3.9805,1.0,0.0
2002-07-03,8.54,8.585,8.64,8.585,1304064.0,3.9805,1.0,0.0
2002-07-04,8.54,8.66,8.665,8.56,1589202.0,3.9689,1.0,0.0
2002-07-05,8.565,8.635,9.0,8.815,3139716.0,4.0872,1.0,0.0
2002-07-08,9.0,9.25,9.435,9.2,3198990.0,4.2657,1.0,0.0
2002-07-09,8.935,9.325,9.325,8.985,1227414.0,4.166,1.0,0.0
2002-07-10,8.815,9.115,9.335,8.91,2063592.0,4.1312,1.0,0.0
2002-07-11,8.79,8.95,8.95,8.815,833010.0,4.0872,1.0,0.0
2002-07-12,8.735,9.0,9.0,8.785,731904.0,4.0732,1.0,0.0
2002-07-15,8.6,8.815,8.815,8.625,447222.0,3.9991,1.0,0.0
2002-07-16,8.535,8.665,8.665,8.56,563910.0,3.9689,1.0,0.0
2002-07-17,8.385,8.54,8.575,8.41,1429992.0,3.8994,1.0,0.0
2002-07-18,8.415,8.515,8.54,8.49,647460.0,3.9365,1.0,0.0
2002-07-19,8.415,8.565,8.565,8.465,600246.0,3.9249,1.0,0.0
2002-07-22,8.015,8.5,8.5,8.09,1284174.0,3.751,1.0,0.0
2002-07-23,7.815,8.09,8.335,7.99,909546.0,3.7046,1.0,0.0
2002-07-24,7.84,7.96,8.04,7.96,856566.0,3.6907,1.0,0.0
2002-07-25,8.035,8.035,8.275,8.135,546036.0,3.7719,1.0,0.0
2002-07-26,7.865,8.05,8.16,7.965,789396.0,3.693,1.0,0.0
2002-07-29,7.66,8.06,8.21,7.765,503064.0,3.6003,1.0,0.0
2002-07-30,7.61,7.835,8.085,7.665,533520.0,3.5539,1.0,0.0
2002-07-31,7.525,7.835,7.835,7.74,794052.0,3.5887,1.0,0.0
2002-08-01,7.685,7.76,8.04,7.95,604092.0,3.6861,1.0,0.0
2002-08-02,7.665,7.665,8.04,7.975,304596.0,3.6977,1.0,0.0
2002-08-05,7.96,8.085,8.485,8.135,457794.0,3.7719,1.0,0.0
2002-08-06,8.01,8.035,8.165,8.115,339018.0,3.7626,1.0,0.0
2002-08-07,8.05,8.175,8.25,8.175,457122.0,3.7904,1.0,0.0
2002-08-08,7.715,8.1,8.15,7.81,794556.0,3.6212,1.0,0.0
2002-08-09,7.79,7.875,8.085,8.06,264414.0,3.7371,1.0,0.0
2002-08-12,7.94,8.085,8.125,8.01,172794.0,3.7139,1.0,0.0
2002-08-13,7.94,7.985,8.3,8.175,375816.0,3.7904,1.0,0.0
2002-08-14,8.0,8.0,8.165,8.09,238728.0,3.751,1.0,0.0
2002-08-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-08-16,8.015,8.065,8.165,8.11,256134.0,3.7603,1.0,0.0
2002-08-19,8.035,8.25,8.25,8.085,155046.0,3.7487,1.0,0.0
2002-08-20,8.015,8.15,8.15,8.065,215832.0,3.7394,1.0,0.0
2002-08-21,8.01,8.025,8.125,8.065,253200.0,3.7394,1.0,0.0
2002-08-22,8.0,8.1,8.1,8.025,204330.0,3.7209,1.0,0.0
2002-08-23,7.975,8.01,8.165,8.11,225000.0,3.7603,1.0,0.0
2002-08-26,8.01,8.21,8.21,8.1,240966.0,3.7556,1.0,0.0
2002-08-27,7.95,8.075,8.1,7.985,481866.0,3.7023,1.0,0.0
2002-08-28,7.865,8.085,8.085,7.99,241764.0,3.7046,1.0,0.0
2002-08-29,7.865,7.865,8.075,8.0,168246.0,3.7093,1.0,0.0
2002-08-30,7.935,8.085,8.085,7.965,128442.0,3.693,1.0,0.0
2002-09-02,7.985,8.085,8.11,8.06,325770.0,3.7371,1.0,0.0
2002-09-03,7.975,8.085,8.085,8.035,174888.0,3.7255,1.0,0.0
2002-09-04,7.875,7.875,8.065,8.025,97704.0,3.7209,1.0,0.0
2002-09-05,8.0,8.185,8.985,8.025,192510.0,3.7209,1.0,0.0
2002-09-06,7.985,8.085,8.125,7.99,459342.0,3.7046,1.0,0.0
2002-09-09,7.885,8.04,8.04,7.915,141114.0,3.6699,1.0,0.0
2002-09-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-09-11,7.865,8.0,8.0,7.89,149490.0,3.6583,1.0,0.0
2002-09-12,7.875,8.165,8.165,7.89,116004.0,3.6583,1.0,0.0
2002-09-13,7.79,7.915,7.95,7.815,281646.0,3.6235,1.0,0.0
2002-09-16,7.785,7.915,7.99,7.885,521232.0,3.656,1.0,0.0
2002-09-17,7.79,8.165,8.165,7.8,335394.0,3.6165,1.0,0.0
2002-09-18,7.7,7.91,7.91,7.725,368346.0,3.5818,1.0,0.0
2002-09-19,7.535,7.75,7.75,7.6,390168.0,3.5238,1.0,0.0
2002-09-20,7.415,7.665,7.665,7.565,393702.0,3.5076,1.0,0.0
2002-09-23,7.55,7.665,7.7,7.66,173502.0,3.5516,1.0,0.0
2002-09-24,7.55,7.665,7.825,7.74,192036.0,3.5887,1.0,0.0
2002-09-25,7.56,7.56,7.825,7.7,140124.0,3.5702,1.0,0.0
2002-09-26,7.685,7.765,7.815,7.76,88536.0,3.598,1.0,0.0
2002-09-27,7.725,7.725,7.8,7.75,207378.0,3.5934,1.0,0.0
2002-09-30,7.59,7.815,7.835,7.615,169770.0,3.5308,1.0,0.0
2002-10-01,7.54,7.615,7.65,7.59,117984.0,3.5192,1.0,0.0
2002-10-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-10-03,7.575,7.585,7.75,7.685,197052.0,3.5632,1.0,0.0
2002-10-04,7.625,7.785,7.785,7.7,145416.0,3.5702,1.0,0.0
2002-10-07,7.585,7.665,7.74,7.59,233460.0,3.5192,1.0,0.0
2002-10-08,7.525,7.59,7.74,7.55,185538.0,3.5006,1.0,0.0
2002-10-09,7.51,7.51,7.61,7.56,211134.0,3.5053,1.0,0.0
2002-10-10,7.5,7.515,7.585,7.525,108648.0,3.489,1.0,0.0
2002-10-11,7.5,7.515,7.6,7.525,120528.0,3.489,1.0,0.0
2002-10-14,7.515,7.8,7.8,7.535,97398.0,3.4937,1.0,0.0
2002-10-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-10-16,7.5,7.55,7.665,7.525,93396.0,3.489,1.0,0.0
2002-10-17,7.46,7.51,7.565,7.525,224196.0,3.489,1.0,0.0
2002-10-18,7.5,7.525,7.565,7.515,232680.0,3.4844,1.0,0.0
2002-10-21,7.5,7.535,7.615,7.535,167964.0,3.4937,1.0,0.0
2002-10-22,7.485,7.565,7.565,7.525,150720.0,3.489,1.0,0.0
2002-10-23,7.485,7.5,7.55,7.51,221526.0,3.4821,1.0,0.0
2002-10-24,7.475,7.475,7.565,7.51,212994.0,3.4821,1.0,0.0
2002-10-25,7.465,7.5,7.575,7.51,339534.0,3.4821,1.0,0.0
2002-10-28,7.44,7.575,7.575,7.525,274698.0,3.489,1.0,0.0
2002-10-29,7.475,7.51,7.54,7.485,192612.0,3.4705,1.0,0.0
2002-10-30,7.3,7.425,7.49,7.45,474294.0,3.4543,1.0,0.0
2002-10-31,7.335,7.55,7.665,7.34,512574.0,3.4033,1.0,0.0
