Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,DABUR,EQ,225.65,225.65,225.0,223.0,,223.0,224.25,1400,31395000000.0,,,
1996-01-02,DABUR,EQ,223.0,223.0,228.0,222.0,,228.0,225.33,7100,1.599865e+11,,,
1996-01-03,DABUR,EQ,228.0,228.0,232.0,224.0,,230.0,228.6,3600,82296500000.0,,,
1996-01-04,DABUR,EQ,230.0,230.0,229.5,226.05,,228.5,227.56,900,20480000000.0,,,
1996-01-05,DABUR,EQ,228.5,228.5,228.0,226.25,,227.0,226.79,3600,81645000000.0,,,
1996-01-08,DABUR,EQ,227.0,227.0,227.25,224.0,,225.8,226.28,4300,97300500000.0,,,
1996-01-09,DABUR,EQ,225.8,225.8,226.25,220.0,,220.1,224.16,2500,56039500000.0,,,
1996-01-10,DABUR,EQ,220.1,220.1,227.0,223.0,,227.0,225.48,2500,56369000000.0,,,
1996-01-11,DABUR,EQ,227.0,227.0,229.75,226.0,,228.65,227.93,3800,86615000000.0,,,
1996-01-12,DABUR,EQ,228.65,228.65,230.3,227.0,,230.3,229.09,1300,29782000000.0,,,
1996-01-15,DABUR,EQ,230.3,230.3,235.5,228.0,,232.0,231.72,1500,34758000000.0,,,
1996-01-16,DABUR,EQ,232.0,232.0,234.0,230.0,,232.5,231.77,4000,92708000000.0,,,
1996-01-17,DABUR,EQ,232.5,232.5,233.5,232.0,,233.0,232.43,2400,55782000000.0,,,
1996-01-18,DABUR,EQ,233.0,230.0,234.45,230.0,,233.4,233.12,4200,97908500000.0,,,
1996-01-19,DABUR,EQ,233.4,233.4,233.0,231.05,,231.55,231.76,6600,1.529595e+11,,,
1996-01-22,DABUR,EQ,231.55,231.55,231.75,229.0,,229.55,230.53,1800,41495500000.0,,,
1996-01-23,DABUR,EQ,229.55,229.0,231.95,227.0,,231.95,229.33,2700,61920000000.0,,,
1996-01-24,DABUR,EQ,231.95,231.95,227.95,222.0,,222.0,224.75,1200,26969500000.0,,,
1996-01-25,DABUR,EQ,222.0,222.0,220.15,216.0,,216.0,217.61,2400,52227500000.0,,,
1996-01-29,DABUR,EQ,216.0,216.0,220.0,215.0,,218.1,217.94,3000,65383000000.0,,,
1996-01-30,DABUR,EQ,218.1,218.1,224.0,218.0,,224.0,220.54,1600,35286000000.0,,,
1996-01-31,DABUR,EQ,224.0,224.0,225.0,219.05,,223.05,222.82,1000,22281500000.0,,,
1996-02-01,DABUR,EQ,223.05,223.05,224.5,222.05,,224.3,223.29,1400,31260000000.0,,,
1996-02-02,DABUR,EQ,224.3,228.0,232.0,226.0,,231.0,229.23,2400,55015000000.0,,,
1996-02-05,DABUR,EQ,231.0,231.0,248.0,230.0,,235.0,236.21,1900,44879500000.0,,,
1996-02-06,DABUR,EQ,235.0,235.0,238.0,234.0,,238.0,235.27,4100,96460500000.0,,,
1996-02-07,DABUR,EQ,238.0,238.0,240.0,235.0,,238.05,237.32,3600,85435000000.0,,,
1996-02-08,DABUR,EQ,238.05,238.05,242.0,239.1,,240.75,240.09,1500,36013500000.0,,,
1996-02-09,DABUR,EQ,240.75,245.0,252.0,240.0,,249.1,244.79,4000,97915500000.0,,,
1996-02-12,DABUR,EQ,249.1,249.1,250.0,242.0,,245.05,247.93,4300,1.066115e+11,,,
1996-02-13,DABUR,EQ,245.05,245.05,247.25,238.0,,243.4,241.86,3300,79814500000.0,,,
1996-02-14,DABUR,EQ,243.4,243.4,254.95,246.0,,251.75,251.64,2300,57877000000.0,,,
1996-02-15,DABUR,EQ,251.75,251.75,254.0,248.0,,253.5,250.81,2700,67719500000.0,,,
1996-02-16,DABUR,EQ,253.5,253.5,251.75,246.0,,250.0,249.6,3700,92352500000.0,,,
1996-02-19,DABUR,EQ,250.0,250.0,256.0,250.05,,255.0,252.88,3500,88507000000.0,,,
1996-02-20,DABUR,EQ,255.0,255.0,253.0,249.5,,250.15,250.57,3500,87700000000.0,,,
1996-02-22,DABUR,EQ,250.15,250.15,250.95,248.0,,250.6,249.44,2200,54877000000.0,,,
1996-02-23,DABUR,EQ,250.6,250.6,251.0,248.25,,250.0,249.89,1800,44981000000.0,,,
1996-02-26,DABUR,EQ,250.0,250.0,253.0,248.0,,251.05,251.15,3100,77855500000.0,,,
1996-02-27,DABUR,EQ,251.05,251.05,255.0,251.0,,254.95,253.42,2000,50683500000.0,,,
1996-02-28,DABUR,EQ,254.95,254.95,260.0,252.3,,259.0,255.36,2700,68948500000.0,,,
1996-02-29,DABUR,EQ,259.0,254.0,262.0,254.0,,255.05,257.94,3800,98016000000.0,,,
1996-03-01,DABUR,EQ,255.05,255.05,258.0,255.05,,256.6,256.2,3500,89670500000.0,,,
1996-03-04,DABUR,EQ,256.6,256.6,265.0,256.35,,260.8,263.03,7700,2.025335e+11,,,
1996-03-06,DABUR,EQ,260.8,260.8,267.5,258.1,,267.15,263.35,2800,73738500000.0,,,
1996-03-07,DABUR,EQ,267.15,267.15,272.0,265.05,,266.05,267.68,1400,37475000000.0,,,
1996-03-08,DABUR,EQ,266.05,266.05,267.0,260.1,,266.0,262.62,4000,1.05047e+11,,,
1996-03-11,DABUR,EQ,266.0,266.0,268.0,263.15,,264.05,265.39,3400,90231000000.0,,,
1996-03-12,DABUR,EQ,264.05,264.05,268.0,262.0,,262.75,265.37,5600,1.486095e+11,,,
1996-03-13,DABUR,EQ,262.75,262.75,263.5,262.0,,263.35,263.21,1900,50009000000.0,,,
1996-03-14,DABUR,EQ,263.35,263.35,263.0,261.6,,262.0,262.22,500,13111000000.0,,,
1996-03-15,DABUR,EQ,262.0,262.0,265.0,258.05,,262.5,261.61,2300,60170000000.0,,,
1996-03-18,DABUR,EQ,262.5,262.5,262.0,260.0,,261.5,260.77,1000,26077000000.0,,,
1996-03-19,DABUR,EQ,261.5,261.5,263.0,257.05,,261.25,260.4,4500,1.171805e+11,,,
1996-03-21,DABUR,EQ,261.25,260.0,262.0,245.0,,245.0,259.2,2200,57025000000.0,,,
1996-03-22,DABUR,EQ,245.0,245.0,250.0,245.05,,245.05,247.72,1500,37158000000.0,,,
1996-03-25,DABUR,EQ,245.05,245.05,246.5,242.05,,245.15,245.0,1000,24499500000.0,,,
1996-03-26,DABUR,EQ,245.15,245.15,248.7,244.05,,244.05,245.18,1100,26970000000.0,,,
1996-03-27,DABUR,EQ,244.05,244.05,246.5,245.0,,246.5,245.55,1500,36833000000.0,,,
1996-03-28,DABUR,EQ,246.5,246.55,247.95,246.55,,247.95,247.23,600,14834000000.0,,,
1996-03-29,DABUR,EQ,247.95,247.95,252.5,251.0,,252.0,251.96,3900,98265000000.0,,,
1996-04-01,DABUR,EQ,252.0,252.0,256.0,250.0,,256.0,254.41,2300,58514500000.0,,,
1996-04-02,DABUR,EQ,256.0,256.0,258.0,254.5,,257.95,255.85,700,17909500000.0,,,
1996-04-03,DABUR,EQ,257.95,257.95,257.0,255.5,,256.5,256.29,700,17940500000.0,,,
1996-04-04,DABUR,EQ,256.5,256.5,260.0,256.0,,256.6,258.23,2700,69721000000.0,,,
1996-04-08,DABUR,EQ,256.6,256.6,256.0,253.55,,255.05,254.54,1900,48362500000.0,,,
1996-04-09,DABUR,EQ,255.05,255.05,254.5,250.25,,250.4,252.64,2200,55581000000.0,,,
1996-04-10,DABUR,EQ,250.4,250.4,253.0,250.0,,252.25,250.87,1200,30104500000.0,,,
1996-04-11,DABUR,EQ,252.25,252.25,248.75,247.0,,247.05,248.02,1300,32243000000.0,,,
1996-04-12,DABUR,EQ,247.05,247.05,246.0,243.0,,243.0,244.41,600,14664500000.0,,,
1996-04-15,DABUR,EQ,243.0,243.0,244.5,242.5,,242.5,243.43,600,14605500000.0,,,
1996-04-16,DABUR,EQ,242.5,242.5,242.0,240.05,,241.5,241.14,700,16879500000.0,,,
1996-04-17,DABUR,EQ,241.5,241.5,246.5,244.2,,244.2,245.59,1400,34383000000.0,,,
1996-04-18,DABUR,EQ,244.2,244.2,249.95,244.0,,246.35,247.29,3100,76660000000.0,,,
1996-04-19,DABUR,EQ,246.35,246.35,253.75,249.05,,251.7,251.65,4000,1.00658e+11,,,
1996-04-22,DABUR,EQ,251.7,251.7,252.0,246.0,,247.25,249.19,4900,1.22102e+11,,,
1996-04-23,DABUR,EQ,247.25,247.25,246.5,244.05,,245.55,245.34,1300,31894000000.0,,,
1996-04-24,DABUR,EQ,245.55,245.55,257.55,245.0,,250.5,249.7,3400,84896500000.0,,,
1996-04-25,DABUR,EQ,250.5,250.5,265.0,251.0,,253.85,253.74,3900,98958000000.0,,,
1996-04-26,DABUR,EQ,253.85,253.85,254.0,251.25,,253.45,253.95,52600,1.335796e+12,,,
1996-04-29,DABUR,EQ,253.45,253.45,257.0,252.05,,254.0,254.14,11800,2.9988e+11,,,
1996-04-30,DABUR,EQ,254.0,254.0,255.75,249.8,,255.5,253.69,6000,1.52215e+11,,,
1996-05-01,DABUR,EQ,255.5,255.5,257.0,254.05,,255.95,255.26,2500,63815000000.0,,,
1996-05-02,DABUR,EQ,255.95,255.95,254.9,253.15,,254.05,254.08,1300,33030000000.0,,,
1996-05-03,DABUR,EQ,254.05,254.05,255.0,254.05,,254.05,254.2,1800,45756500000.0,,,
1996-05-06,DABUR,EQ,254.05,254.05,253.0,248.25,,248.25,250.62,1200,30074500000.0,,,
1996-05-07,DABUR,EQ,248.25,248.25,248.0,242.0,,247.0,245.69,1700,41768000000.0,,,
1996-05-08,DABUR,EQ,247.0,245.0,246.95,244.0,,246.5,245.82,1200,29498000000.0,,,
1996-05-09,DABUR,EQ,246.5,246.5,244.0,243.25,,244.0,243.46,700,17042500000.0,,,
1996-05-10,DABUR,EQ,244.0,244.0,240.9,238.0,,238.1,239.38,1000,23937500000.0,,,
1996-05-13,DABUR,EQ,238.1,238.1,237.0,235.0,,237.0,235.88,1300,30664000000.0,,,
1996-05-14,DABUR,EQ,237.0,237.0,242.0,237.0,,239.05,238.73,1500,35809500000.0,,,
1996-05-15,DABUR,EQ,239.05,239.05,244.0,234.0,,237.65,239.7,1600,38352500000.0,,,
