Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2006-10-27,DCB,EQ,26.0,35.0,48.7,35.0,46.8,47.45,44.95,81863292,3.67954796605e+14,,24693908,0.3016,47.45,1.0
2006-10-30,DCB,EQ,47.45,47.5,47.5,44.35,45.1,45.05,45.52,10926131,4.973240174e+13,,4058071,0.3714,45.05,1.0
2006-10-31,DCB,EQ,45.05,45.0,45.4,41.5,42.3,42.2,43.12,4896552,2.11129811e+13,,1874282,0.3828,42.2,1.0
2006-11-01,DCB,EQ,42.2,43.9,47.35,41.0,46.45,46.55,45.29,13725104,6.215681263e+13,,2206155,0.1607,46.55,1.0
2006-11-02,DCB,EQ,46.55,46.55,49.15,45.6,46.95,47.3,47.65,13062234,6.2239689795e+13,,2201722,0.1686,47.3,1.0
2006-11-03,DCB,EQ,47.3,47.45,47.45,44.55,45.25,45.05,45.99,3628222,1.6685565235e+13,,1104520,0.3044,45.05,1.0
2006-11-06,DCB,EQ,45.05,45.3,46.4,44.0,44.9,44.9,45.29,2555226,1.1572825105e+13,,844662,0.3306,44.9,1.0
2006-11-07,DCB,EQ,44.9,45.1,52.9,45.1,50.0,50.6,49.48,21274408,1.05260996415e+14,,6730613,0.3164,50.6,1.0
2006-11-08,DCB,EQ,50.6,50.5,51.8,47.4,48.65,48.7,49.55,8100403,4.013852077e+13,,2049126,0.253,48.7,1.0
2006-11-09,DCB,EQ,48.7,49.0,54.15,47.8,51.25,51.1,51.68,10396992,5.373205654e+13,,1613243,0.1552,51.1,1.0
2006-11-10,DCB,EQ,51.1,51.15,54.45,50.8,51.9,51.95,52.61,7635122,4.0165754845e+13,,1368509,0.1792,51.95,1.0
2006-11-13,DCB,EQ,51.95,52.0,54.2,52.0,52.7,52.5,53.02,4137494,2.193880314e+13,,1218422,0.2945,52.5,1.0
2006-11-14,DCB,EQ,52.5,52.35,57.6,52.35,54.85,55.15,55.71,11892374,6.624670878e+13,,2770312,0.2329,55.15,1.0
2006-11-15,DCB,EQ,55.15,56.0,56.25,54.1,54.35,54.35,55.05,4291384,2.362615128e+13,,846452,0.1972,54.35,1.0
2006-11-16,DCB,EQ,54.35,54.8,57.15,54.05,54.25,54.4,55.56,5955549,3.308951715e+13,,1495939,0.2512,54.4,1.0
2006-11-17,DCB,EQ,54.4,54.9,55.0,50.65,52.1,51.7,52.52,4026967,2.1147674305e+13,,991839,0.2463,51.7,1.0
2006-11-20,DCB,EQ,51.7,52.5,54.3,50.8,52.95,52.7,53.01,5897835,3.126206822e+13,,1411405,0.2393,52.7,1.0
2006-11-21,DCB,EQ,52.7,52.0,63.25,52.0,63.25,63.15,59.6,22324491,1.3305428822e+14,,4637758,0.2077,63.15,1.0
