Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,DCMSRMCONS,EQ,188.2,170.0,187.0,170.0,,187.0,175.67,150,2635000000.0,,,
1996-01-03,DCMSRMCONS,EQ,187.0,187.0,192.0,180.0,,192.0,188.56,450,8485000000.0,,,
1996-01-04,DCMSRMCONS,EQ,192.0,192.0,190.0,184.0,,190.0,188.69,250,4717250000.0,,,
1996-01-08,DCMSRMCONS,EQ,190.0,190.0,185.0,179.0,,182.0,180.38,1450,26155000000.0,,,
1996-01-09,DCMSRMCONS,EQ,182.0,175.0,194.0,175.0,,185.1,184.15,550,10128000000.0,,,
1996-01-11,DCMSRMCONS,EQ,185.1,185.1,193.5,183.0,,189.0,185.43,700,12980000000.0,,,
1996-01-12,DCMSRMCONS,EQ,189.0,189.0,192.0,185.0,,188.9,188.89,350,6611250000.0,,,
1996-01-15,DCMSRMCONS,EQ,188.9,188.9,189.0,189.0,,189.0,189.0,50,945000000.0,,,
1996-01-16,DCMSRMCONS,EQ,189.0,189.0,188.0,186.0,,188.0,186.46,650,12120000000.0,,,
1996-01-17,DCMSRMCONS,EQ,188.0,190.0,190.0,183.0,,183.0,185.33,150,2780000000.0,,,
1996-01-19,DCMSRMCONS,EQ,183.0,183.0,183.0,183.0,,183.0,183.0,200,3660000000.0,,,
1996-01-23,DCMSRMCONS,EQ,183.0,183.0,170.0,170.0,,170.0,170.0,50,850000000.0,,,
1996-01-24,DCMSRMCONS,EQ,170.0,170.0,170.0,170.0,,170.0,170.0,50,850000000.0,,,
1996-01-25,DCMSRMCONS,EQ,170.0,171.0,171.0,170.0,,170.0,170.5,200,3410000000.0,,,
1996-01-30,DCMSRMCONS,EQ,170.0,160.0,171.0,155.0,,168.6,167.55,3000,50264000000.0,,,
1996-01-31,DCMSRMCONS,EQ,168.6,169.95,185.0,162.0,,165.0,167.64,700,11734500000.0,,,
1996-02-01,DCMSRMCONS,EQ,165.0,161.5,163.0,155.25,,159.25,159.33,900,14339500000.0,,,
1996-02-02,DCMSRMCONS,EQ,159.25,159.25,175.0,160.85,,175.0,162.65,400,6506000000.0,,,
1996-02-05,DCMSRMCONS,EQ,175.0,175.0,186.0,158.0,,172.95,165.74,3750,62152000000.0,,,
1996-02-06,DCMSRMCONS,EQ,172.95,172.95,175.25,170.8,,173.7,173.95,1550,26961500000.0,,,
1996-02-07,DCMSRMCONS,EQ,173.7,170.0,190.0,170.0,,182.0,178.78,2000,35755500000.0,,,
1996-02-08,DCMSRMCONS,EQ,182.0,182.0,175.0,174.6,,175.0,174.97,1250,21871000000.0,,,
1996-02-12,DCMSRMCONS,EQ,175.0,174.0,174.95,174.0,,174.95,174.76,250,4369000000.0,,,
1996-02-13,DCMSRMCONS,EQ,174.95,174.95,172.0,170.0,,171.5,171.52,2150,36876000000.0,,,
1996-02-14,DCMSRMCONS,EQ,171.5,165.5,188.0,165.5,,180.6,172.7,6150,1.0621225e+11,,,
1996-02-15,DCMSRMCONS,EQ,180.6,180.6,178.0,174.0,,174.05,175.34,1100,19287000000.0,,,
1996-02-16,DCMSRMCONS,EQ,174.05,174.05,171.5,165.0,,170.15,168.9,15400,2.60105e+11,,,
1996-02-19,DCMSRMCONS,EQ,170.15,170.15,177.85,171.0,,172.5,174.39,2900,50573250000.0,,,
1996-02-20,DCMSRMCONS,EQ,172.5,172.5,175.95,170.0,,174.95,174.35,3100,54049250000.0,,,
1996-02-22,DCMSRMCONS,EQ,174.95,174.0,176.0,170.0,,170.0,173.67,600,10420000000.0,,,
1996-02-23,DCMSRMCONS,EQ,170.0,172.0,180.0,170.05,,175.3,174.24,1800,31362750000.0,,,
1996-02-26,DCMSRMCONS,EQ,175.3,175.3,180.0,169.5,,171.75,171.96,600,10317500000.0,,,
1996-02-27,DCMSRMCONS,EQ,171.75,180.0,180.0,165.1,,166.1,168.69,450,7591250000.0,,,
1996-02-28,DCMSRMCONS,EQ,166.1,180.0,180.0,160.0,,165.0,166.4,1100,18304500000.0,,,
1996-02-29,DCMSRMCONS,EQ,165.0,165.0,168.0,162.0,,162.0,164.53,1000,16452500000.0,,,
1996-03-01,DCMSRMCONS,EQ,162.0,162.0,162.0,158.0,,160.5,160.29,1050,16830000000.0,,,
1996-03-04,DCMSRMCONS,EQ,160.5,160.5,163.0,156.0,,157.25,159.86,900,14387750000.0,,,
1996-03-07,DCMSRMCONS,EQ,157.25,157.25,157.0,157.0,,157.0,157.0,50,785000000.0,,,
1996-03-08,DCMSRMCONS,EQ,157.0,157.0,170.0,156.5,,159.95,161.12,950,15306750000.0,,,
1996-03-11,DCMSRMCONS,EQ,159.95,159.95,153.0,153.0,,153.0,153.0,50,765000000.0,,,
1996-03-12,DCMSRMCONS,EQ,153.0,153.0,156.0,155.0,,155.35,155.77,450,7009750000.0,,,
1996-03-13,DCMSRMCONS,EQ,155.35,155.35,163.0,155.05,,157.95,158.75,700,11112500000.0,,,
1996-03-14,DCMSRMCONS,EQ,157.95,157.95,156.0,155.0,,155.0,155.06,3150,48845000000.0,,,
1996-03-15,DCMSRMCONS,EQ,155.0,155.0,155.25,154.25,,155.0,154.95,550,8522500000.0,,,
1996-03-18,DCMSRMCONS,EQ,155.0,155.0,154.0,150.0,,150.45,151.96,400,6078250000.0,,,
1996-03-19,DCMSRMCONS,EQ,150.45,150.45,150.0,140.0,,144.25,145.01,950,13775750000.0,,,
1996-03-21,DCMSRMCONS,EQ,144.25,144.25,147.25,147.0,,147.1,147.06,250,3676500000.0,,,
1996-03-22,DCMSRMCONS,EQ,147.1,147.1,151.85,146.05,,151.5,150.61,600,9036750000.0,,,
1996-03-25,DCMSRMCONS,EQ,151.5,151.5,150.0,150.0,,150.0,150.0,300,4500000000.0,,,
1996-03-26,DCMSRMCONS,EQ,150.0,150.0,149.5,147.6,,147.6,148.55,100,1485500000.0,,,
1996-03-27,DCMSRMCONS,EQ,147.6,147.6,150.0,150.0,,150.0,150.0,400,6000000000.0,,,
1996-03-28,DCMSRMCONS,EQ,150.0,150.0,148.0,145.0,,146.0,146.67,450,6600000000.0,,,
1996-03-29,DCMSRMCONS,EQ,146.0,146.0,150.0,145.0,,145.5,147.82,550,8130250000.0,,,
1996-04-01,DCMSRMCONS,EQ,145.5,145.5,142.0,142.0,,142.0,142.0,100,1420000000.0,,,
1996-04-02,DCMSRMCONS,EQ,142.0,142.0,147.9,145.25,,147.9,146.58,400,5863000000.0,,,
1996-04-03,DCMSRMCONS,EQ,147.9,147.9,138.0,135.4,,135.4,136.27,150,2044000000.0,,,
1996-04-04,DCMSRMCONS,EQ,135.4,128.0,128.0,128.0,,128.0,128.0,100,1280000000.0,,,
1996-04-08,DCMSRMCONS,EQ,128.0,129.0,130.0,129.0,,129.5,129.5,100,1295000000.0,,,
1996-04-09,DCMSRMCONS,EQ,129.5,129.5,133.0,129.0,,130.0,130.9,500,6545000000.0,,,
1996-04-10,DCMSRMCONS,EQ,130.0,130.0,132.0,131.0,,131.0,131.4,500,6570000000.0,,,
1996-04-11,DCMSRMCONS,EQ,131.0,133.25,133.25,133.0,,133.05,133.01,2550,33918750000.0,,,
1996-04-12,DCMSRMCONS,EQ,133.05,130.5,133.4,129.0,,130.5,132.26,6950,91917250000.0,,,
1996-04-15,DCMSRMCONS,EQ,130.5,133.0,133.25,131.5,,131.5,132.49,1700,22523000000.0,,,
1996-04-16,DCMSRMCONS,EQ,131.5,131.5,133.75,131.0,,133.4,132.28,1650,21826750000.0,,,
1996-04-17,DCMSRMCONS,EQ,133.4,134.75,140.0,133.0,,135.25,134.81,3250,43812000000.0,,,
1996-04-18,DCMSRMCONS,EQ,135.25,135.25,148.5,138.0,,145.1,138.39,5450,75422500000.0,,,
1996-04-19,DCMSRMCONS,EQ,145.1,143.0,154.4,143.0,,150.0,147.42,3950,58230000000.0,,,
1996-04-22,DCMSRMCONS,EQ,150.0,150.0,150.0,142.0,,143.0,149.53,3200,47850000000.0,,,
1996-04-23,DCMSRMCONS,EQ,143.0,143.0,148.0,137.0,,137.1,142.34,6350,90387500000.0,,,
1996-04-24,DCMSRMCONS,EQ,137.1,137.1,148.0,142.0,,145.75,146.3,3200,46815000000.0,,,
1996-04-25,DCMSRMCONS,EQ,145.75,145.75,149.5,141.9,,144.85,144.99,5250,76119500000.0,,,
1996-04-26,DCMSRMCONS,EQ,144.85,150.0,150.0,139.0,,143.5,149.37,3300,49292500000.0,,,
1996-04-29,DCMSRMCONS,EQ,143.5,143.5,150.0,130.5,,144.05,143.8,4700,67585250000.0,,,
1996-04-30,DCMSRMCONS,EQ,144.05,144.05,147.0,140.25,,141.55,145.91,3750,54715500000.0,,,
1996-05-01,DCMSRMCONS,EQ,141.55,141.55,149.0,142.0,,145.75,148.59,3300,49035000000.0,,,
1996-05-02,DCMSRMCONS,EQ,145.75,145.75,146.75,146.75,,146.75,146.75,2500,36687500000.0,,,
1996-05-03,DCMSRMCONS,EQ,146.75,144.75,145.0,141.0,,144.5,144.64,3700,53517500000.0,,,
1996-05-06,DCMSRMCONS,EQ,144.5,144.5,145.0,140.1,,143.65,143.6,2550,36616750000.0,,,
1996-05-07,DCMSRMCONS,EQ,143.65,144.75,144.9,139.0,,143.1,143.29,2250,32239750000.0,,,
1996-05-08,DCMSRMCONS,EQ,143.1,146.0,146.0,138.0,,142.6,143.63,3350,48117500000.0,,,
1996-05-09,DCMSRMCONS,EQ,142.6,143.8,143.8,141.05,,142.75,143.63,2200,31598000000.0,,,
1996-05-10,DCMSRMCONS,EQ,142.75,142.75,142.25,142.25,,142.25,142.25,2000,28450000000.0,,,
1996-05-13,DCMSRMCONS,EQ,142.25,142.25,143.75,140.5,,142.0,143.5,2250,32287500000.0,,,
1996-05-14,DCMSRMCONS,EQ,142.0,144.75,144.75,140.5,,141.25,143.82,2650,38112250000.0,,,
1996-05-15,DCMSRMCONS,EQ,141.25,141.25,144.75,141.0,,141.0,143.76,1900,27315000000.0,,,
1996-05-16,DCMSRMCONS,EQ,141.0,141.0,145.25,145.0,,145.25,145.01,2100,30452500000.0,,,
