Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2003-03-12,DIVISLAB,EQ,140.0,155.0,183.9,155.0,176.0,176.25,178.31,1233452,2.1993992575e+13,,436806.0,0.3541,8.8125,20.0
2003-03-13,DIVISLAB,EQ,176.25,174.0,186.65,174.0,180.0,180.0,180.96,1177678,2.131132936e+13,,116181.0,0.0987,9.0,20.0
2003-03-17,DIVISLAB,EQ,180.0,180.0,180.0,167.65,173.5,171.0,175.04,176654,3.092206945e+12,,60778.0,0.3441,8.55,20.0
2003-03-19,DIVISLAB,EQ,171.0,174.0,178.9,172.7,175.0,176.75,175.39,106862,1.87420307e+12,,39774.0,0.3722,8.8375,20.0
2003-03-20,DIVISLAB,EQ,176.75,175.8,191.2,175.0,182.8,183.55,184.42,433277,7.99052883e+12,,130802.0,0.3019,9.1775,20.0
2003-03-21,DIVISLAB,EQ,183.55,183.0,191.8,183.0,187.0,185.55,187.02,227349,4.251782995e+12,,50321.0,0.2213,9.2775,20.0
2003-03-22,DIVISLAB,EQ,185.55,188.0,195.0,187.1,194.0,193.2,191.17,148001,2.829408495e+12,,44880.0,0.3032,9.66,20.0
2003-03-24,DIVISLAB,EQ,193.2,195.0,205.8,191.5,198.6,201.45,201.01,790914,1.58979528e+13,,218583.0,0.2764,10.0725,20.0
2003-03-25,DIVISLAB,EQ,201.45,200.4,222.0,196.8,216.85,218.0,212.79,1583444,3.369333514e+13,,172407.0,0.1089,10.9,20.0
2003-03-26,DIVISLAB,EQ,218.0,218.8,231.8,217.0,218.9,219.7,226.02,1656273,3.743580921e+13,,237976.0,0.1437,10.985,20.0
2003-03-27,DIVISLAB,EQ,219.7,220.05,221.6,205.0,208.15,207.4,211.81,1031428,2.1846814875e+13,,127796.0,0.1239,10.37,20.0
2003-03-28,DIVISLAB,EQ,207.4,205.0,240.85,205.0,231.9,234.45,225.61,2680172,6.046694292e+13,,343343.0,0.1281,11.7225,20.0
2003-03-31,DIVISLAB,EQ,234.45,228.0,234.75,217.0,221.1,219.15,226.98,1526826,3.465515143e+13,,140650.0,0.0921,10.9575,20.0
2003-04-01,DIVISLAB,EQ,219.15,224.0,238.3,220.95,229.95,230.75,232.45,1234990,2.870716947e+13,,67255.0,0.0545,11.5375,20.0
2003-04-02,DIVISLAB,EQ,230.75,233.9,237.95,230.5,236.65,235.8,234.82,585978,1.376018412e+13,,30397.0,0.0519,11.79,20.0
2003-04-03,DIVISLAB,EQ,235.8,238.1,243.7,235.0,235.1,236.35,239.04,596968,1.4270033015e+13,,67937.0,0.1138,11.8175,20.0
2003-04-04,DIVISLAB,EQ,236.35,236.1,238.4,233.0,234.0,233.65,235.16,332725,7.824515505e+12,,64177.0,0.1929,11.6825,20.0
2003-04-07,DIVISLAB,EQ,233.65,235.0,239.25,234.35,237.25,236.2,237.07,273976,6.4951379e+12,,81859.0,0.2988,11.81,20.0
2003-04-08,DIVISLAB,EQ,236.2,235.0,260.8,235.0,250.4,250.5,251.89,1294743,3.2613558365e+13,,242030.0,0.1869,12.525,20.0
2003-04-09,DIVISLAB,EQ,250.5,251.05,263.85,251.05,255.95,255.65,258.8,701154,1.8145684595e+13,,143314.0,0.2044,12.7825,20.0
2003-04-10,DIVISLAB,EQ,255.65,258.0,258.0,242.0,242.0,243.8,250.17,250513,6.266991405e+12,,58749.0,0.2345,12.19,20.0
2003-04-11,DIVISLAB,EQ,243.8,244.5,253.9,241.0,251.5,248.1,247.71,136630,3.38450438e+12,,30883.0,0.226,12.405,20.0
2003-04-15,DIVISLAB,EQ,248.1,254.0,275.0,252.55,256.0,256.15,261.85,272453,7.134232905e+12,,65687.0,0.2411,12.8075,20.0
2003-04-16,DIVISLAB,EQ,256.15,259.5,262.0,249.15,252.25,251.95,255.07,165178,4.21314969e+12,,44336.0,0.2684,12.5975,20.0
