Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2007-12-12,EDELWEISS,EQ,825.0,1443.75,1608.75,1443.75,1511.0,1510.25,1525.21,6686196,1.0197852142e+15,,2497745,0.3736,151.025,10.0
2007-12-13,EDELWEISS,EQ,1510.25,1510.0,1514.8,1442.25,1456.0,1457.65,1468.18,910971,1.337465491e+14,,398191,0.4371,145.765,10.0
2007-12-14,EDELWEISS,EQ,1457.65,1453.35,1522.15,1435.0,1467.0,1473.75,1484.59,896021,1.33022580455e+14,,243005,0.2712,147.375,10.0
2007-12-17,EDELWEISS,EQ,1473.75,1468.0,1489.0,1415.05,1434.5,1426.35,1455.03,265520,3.8633956605e+13,,94344,0.3553,142.635,10.0
2007-12-18,EDELWEISS,EQ,1426.35,1444.75,1444.75,1371.1,1406.3,1403.7,1400.34,228115,3.1943815145e+13,,133211,0.584,140.37,10.0
2007-12-19,EDELWEISS,EQ,1403.7,1470.0,1500.0,1396.0,1404.1,1406.3,1424.26,233550,3.326365108e+13,,125885,0.539,140.63,10.0
2007-12-20,EDELWEISS,EQ,1406.3,1421.0,1424.0,1390.25,1401.0,1398.25,1405.78,117779,1.655716044e+13,,63064,0.5354,139.825,10.0
2007-12-24,EDELWEISS,EQ,1398.25,1420.0,1425.0,1395.0,1396.0,1401.45,1408.48,125487,1.767453602e+13,,87094,0.694,140.145,10.0
2007-12-26,EDELWEISS,EQ,1401.45,1390.0,1425.0,1390.0,1420.1,1420.6,1419.4,123618,1.7546284105e+13,,81291,0.6576,142.06,10.0
2007-12-27,EDELWEISS,EQ,1420.6,1428.45,1447.0,1408.0,1420.0,1416.65,1427.17,315637,4.5046916405e+13,,179975,0.5702,141.665,10.0
2007-12-28,EDELWEISS,EQ,1416.65,1401.35,1540.0,1401.35,1536.5,1523.55,1492.73,712060,1.0629120337e+14,,253912,0.3566,152.355,10.0
2007-12-31,EDELWEISS,EQ,1523.55,1540.0,1642.0,1525.0,1613.95,1618.8,1603.55,935541,1.50018447355e+14,,257378,0.2751,161.88,10.0
2008-01-01,EDELWEISS,EQ,1618.8,1624.95,1706.6,1605.0,1689.2,1688.05,1673.64,883802,1.4791640269e+14,,173888,0.1967,168.805,10.0
2008-01-02,EDELWEISS,EQ,1688.05,1664.35,1795.0,1664.35,1762.15,1755.9,1747.1,851139,1.48702114085e+14,,217265,0.2553,175.59,10.0
2008-01-03,EDELWEISS,EQ,1755.9,1784.8,1794.9,1730.25,1744.0,1740.5,1756.73,279193,4.9046568935e+13,,66735,0.239,174.05,10.0
2008-01-04,EDELWEISS,EQ,1740.5,1765.0,1765.0,1705.25,1712.0,1716.25,1734.91,190692,3.308340389e+13,,77116,0.4044,171.625,10.0
2008-01-07,EDELWEISS,EQ,1716.25,1680.0,1759.85,1680.0,1724.0,1722.75,1736.01,199881,3.469950716e+13,,68908,0.3447,172.275,10.0
2008-01-08,EDELWEISS,EQ,1722.75,1739.9,1740.0,1650.0,1684.15,1683.15,1701.23,337739,5.7457133125e+13,,117509,0.3479,168.315,10.0
2008-01-09,EDELWEISS,EQ,1683.15,1660.25,1689.6,1631.1,1643.15,1645.15,1661.0,146396,2.4316328155e+13,,64545,0.4409,164.515,10.0
2008-01-10,EDELWEISS,EQ,1645.15,1631.0,1669.95,1510.0,1565.0,1538.0,1603.77,185896,2.981352492e+13,,105444,0.5672,153.8,10.0
2008-01-11,EDELWEISS,EQ,1538.0,1560.0,1610.0,1519.8,1599.0,1567.05,1560.81,205259,3.203711009e+13,,95646,0.466,156.705,10.0
2008-01-14,EDELWEISS,EQ,1567.05,1670.0,1670.0,1575.05,1580.0,1583.25,1601.26,177360,2.8399916945e+13,,85422,0.4816,158.325,10.0
2008-01-15,EDELWEISS,EQ,1583.25,1598.0,1598.0,1535.5,1550.0,1549.9,1565.05,89166,1.395493609e+13,,42619,0.478,154.99,10.0
2008-01-16,EDELWEISS,EQ,1549.9,1506.0,1534.5,1445.05,1511.0,1501.6,1489.79,205223,3.057399277e+13,,130144,0.6342,150.16,10.0
2008-01-17,EDELWEISS,EQ,1501.6,1515.0,1550.0,1488.0,1510.35,1510.05,1512.75,146727,2.2196148815e+13,,72238,0.4923,151.005,10.0
2008-01-18,EDELWEISS,EQ,1510.05,1480.0,1510.0,1395.15,1415.0,1412.75,1442.67,126166,1.8201625465e+13,,78836,0.6249,141.275,10.0
2008-01-21,EDELWEISS,EQ,1412.75,1499.0,1499.0,1015.0,1068.0,1110.8,1192.0,318788,3.7999485835e+13,,204010,0.64,111.08,10.0
2008-01-22,EDELWEISS,EQ,1110.8,910.0,1070.0,601.55,900.0,859.8,798.12,519599,4.147033996e+13,,362442,0.6975,85.98,10.0
2008-01-23,EDELWEISS,EQ,859.8,995.1,1135.0,903.0,1125.0,1101.0,1026.21,347825,3.56942355e+13,,219612,0.6314,110.1,10.0
2008-01-24,EDELWEISS,EQ,1101.0,1150.0,1188.0,950.0,1000.0,1000.45,1038.34,181556,1.885170624e+13,,93117,0.5129,100.045,10.0
2008-01-25,EDELWEISS,EQ,1000.45,1032.0,1074.4,1001.0,1047.5,1057.95,1040.78,98500,1.02516582e+13,,47187,0.4791,105.795,10.0
2008-01-28,EDELWEISS,EQ,1057.95,1030.0,1030.0,953.0,1000.1,1010.5,992.85,83590,8.29924345e+12,,46811,0.56,101.05,10.0
2008-01-29,EDELWEISS,EQ,1010.5,1051.1,1056.1,1011.0,1050.2,1045.5,1033.75,61323,6.33926841e+12,,23443,0.3823,104.55,10.0
2008-01-30,EDELWEISS,EQ,1045.5,1052.9,1085.0,1015.55,1039.55,1050.95,1049.28,93670,9.82858888e+12,,29415,0.314,105.095,10.0
2008-01-31,EDELWEISS,EQ,1050.95,1041.1,1120.0,979.0,1085.0,1051.6,1059.2,451778,4.785251586e+13,,275691,0.6102,105.16,10.0
2008-02-01,EDELWEISS,EQ,1051.6,1072.1,1124.0,1002.0,1014.7,1016.75,1021.73,59605,6.090014465e+12,,23673,0.3972,101.675,10.0
2008-02-04,EDELWEISS,EQ,1016.75,1040.0,1080.0,1025.0,1030.0,1034.55,1048.64,44525,4.669076775e+12,,13887,0.3119,103.455,10.0
2008-02-05,EDELWEISS,EQ,1034.55,1029.2,1044.0,1005.95,1017.0,1013.6,1023.83,33301,3.40944579e+12,,13149,0.3949,101.36,10.0
