Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,EICHERMOT,EQ,36.25,36.0,36.0,36.0,,36.0,36.0,2200,7920000000.0,,,
1996-01-02,EICHERMOT,EQ,36.0,36.0,36.4,36.0,,36.1,36.08,3100,11184500000.0,,,
1996-01-03,EICHERMOT,EQ,36.1,36.5,36.5,36.5,,36.5,36.5,1100,4015000000.0,,,
1996-01-04,EICHERMOT,EQ,36.5,36.0,36.5,36.0,,36.5,36.15,1600,5783500000.0,,,
1996-01-05,EICHERMOT,EQ,36.5,36.5,36.5,35.4,,36.0,35.88,600,2153000000.0,,,
1996-01-08,EICHERMOT,EQ,36.0,36.5,36.5,34.5,,34.7,34.88,1700,5930000000.0,,,
1996-01-09,EICHERMOT,EQ,34.7,32.0,32.9,32.0,,32.9,32.3,300,969000000.0,,,
1996-01-10,EICHERMOT,EQ,32.9,30.5,34.0,30.5,,33.5,33.35,2100,7004000000.0,,,
1996-01-11,EICHERMOT,EQ,33.5,33.95,34.0,33.3,,33.5,33.63,1400,4707500000.0,,,
1996-01-12,EICHERMOT,EQ,33.5,33.5,33.5,33.3,,33.4,33.47,2400,8033000000.0,,,
1996-01-15,EICHERMOT,EQ,33.4,32.5,33.0,32.45,,33.0,32.66,900,2939500000.0,,,
1996-01-16,EICHERMOT,EQ,33.0,32.6,33.0,32.6,,33.0,32.74,500,1637000000.0,,,
1996-01-17,EICHERMOT,EQ,33.0,33.75,34.25,32.55,,32.55,33.52,1400,4692500000.0,,,
1996-01-18,EICHERMOT,EQ,32.55,33.0,33.0,30.25,,30.5,32.02,1300,4162500000.0,,,
1996-01-19,EICHERMOT,EQ,30.5,27.5,30.4,27.5,,28.0,28.22,16700,47126500000.0,,,
1996-01-22,EICHERMOT,EQ,28.0,28.35,30.0,28.3,,28.3,28.91,3000,8673000000.0,,,
1996-01-23,EICHERMOT,EQ,28.3,26.3,30.0,26.3,,29.25,28.85,3300,9521000000.0,,,
1996-01-24,EICHERMOT,EQ,29.25,30.0,30.0,29.1,,29.1,29.63,900,2667000000.0,,,
1996-01-25,EICHERMOT,EQ,29.1,32.0,32.0,29.95,,30.2,30.16,1300,3921000000.0,,,
1996-01-29,EICHERMOT,EQ,30.2,30.0,30.1,30.0,,30.0,30.01,1000,3001000000.0,,,
1996-01-30,EICHERMOT,EQ,30.0,30.0,31.0,30.0,,30.05,30.23,2700,8162500000.0,,,
1996-01-31,EICHERMOT,EQ,30.05,30.05,32.65,30.05,,32.65,32.21,1000,3221000000.0,,,
1996-02-01,EICHERMOT,EQ,32.65,32.65,32.45,31.1,,31.1,31.79,1900,6040000000.0,,,
1996-02-02,EICHERMOT,EQ,31.1,32.5,32.95,32.4,,32.95,32.52,2900,9432000000.0,,,
1996-02-05,EICHERMOT,EQ,32.95,32.95,36.15,35.0,,35.5,35.9,4100,14719000000.0,,,
1996-02-06,EICHERMOT,EQ,35.5,35.5,37.5,34.5,,36.2,36.24,5300,19209500000.0,,,
1996-02-07,EICHERMOT,EQ,36.2,36.2,36.25,35.5,,36.05,35.8,3000,10739500000.0,,,
1996-02-08,EICHERMOT,EQ,36.05,36.5,37.5,36.0,,37.45,36.69,4500,16511000000.0,,,
1996-02-09,EICHERMOT,EQ,37.45,37.45,41.0,39.0,,40.25,39.74,4500,17883000000.0,,,
1996-02-12,EICHERMOT,EQ,40.25,40.25,44.0,40.05,,41.7,42.42,5200,22056000000.0,,,
1996-02-13,EICHERMOT,EQ,41.7,41.7,42.25,41.1,,41.25,41.56,6100,25351500000.0,,,
1996-02-14,EICHERMOT,EQ,41.25,41.25,45.0,42.0,,43.0,43.3,4600,19920000000.0,,,
1996-02-15,EICHERMOT,EQ,43.0,43.0,46.0,44.0,,44.75,44.68,12300,54960000000.0,,,
1996-02-16,EICHERMOT,EQ,44.75,44.75,45.0,43.0,,44.75,44.22,8900,39360000000.0,,,
1996-02-19,EICHERMOT,EQ,44.75,44.75,45.5,44.0,,44.95,44.6,9100,40585000000.0,,,
1996-02-20,EICHERMOT,EQ,44.95,44.95,46.8,43.0,,46.1,45.64,11800,53860000000.0,,,
1996-02-22,EICHERMOT,EQ,46.1,46.1,50.7,42.55,,50.0,49.4,11000,54343500000.0,,,
1996-02-23,EICHERMOT,EQ,50.0,50.0,50.0,47.1,,48.25,48.41,12700,61475000000.0,,,
1996-02-26,EICHERMOT,EQ,48.25,47.95,49.65,47.5,,49.0,49.0,20800,1.01919e+11,,,
1996-02-27,EICHERMOT,EQ,49.0,49.0,53.0,47.25,,49.95,48.73,23800,1.159655e+11,,,
1996-02-28,EICHERMOT,EQ,49.95,52.5,52.5,48.6,,49.8,49.8,16900,84161500000.0,,,
1996-02-29,EICHERMOT,EQ,49.8,49.8,49.0,47.25,,48.6,48.46,21300,1.03229e+11,,,
1996-03-01,EICHERMOT,EQ,48.6,48.6,49.0,47.0,,47.7,47.83,11200,53572000000.0,,,
1996-03-04,EICHERMOT,EQ,47.7,47.7,47.95,46.55,,47.15,47.2,10600,50032500000.0,,,
1996-03-06,EICHERMOT,EQ,47.15,47.0,47.0,44.05,,46.0,46.05,5100,23483500000.0,,,
1996-03-07,EICHERMOT,EQ,46.0,46.0,46.45,45.0,,46.0,45.85,4500,20634000000.0,,,
1996-03-08,EICHERMOT,EQ,46.0,46.0,46.0,45.0,,45.5,45.48,5400,24559000000.0,,,
1996-03-11,EICHERMOT,EQ,45.5,45.5,45.25,44.25,,45.1,45.0,9000,40497500000.0,,,
1996-03-12,EICHERMOT,EQ,45.1,45.1,46.75,44.95,,45.55,45.62,12100,55205000000.0,,,
1996-03-13,EICHERMOT,EQ,45.55,45.0,46.0,45.0,,46.0,45.64,3800,17341500000.0,,,
1996-03-14,EICHERMOT,EQ,46.0,46.0,46.75,45.5,,46.75,46.36,3900,18080000000.0,,,
1996-03-15,EICHERMOT,EQ,46.75,46.75,47.5,46.65,,46.9,46.83,2700,12644000000.0,,,
1996-03-18,EICHERMOT,EQ,46.9,46.9,47.0,45.55,,46.25,46.07,6100,28103000000.0,,,
1996-03-19,EICHERMOT,EQ,46.25,46.25,46.5,45.55,,46.1,45.96,6400,29414000000.0,,,
1996-03-21,EICHERMOT,EQ,46.1,46.1,46.5,45.9,,46.25,46.18,3200,14778000000.0,,,
1996-03-22,EICHERMOT,EQ,46.25,46.25,46.1,45.0,,45.0,45.12,1600,7218500000.0,,,
1996-03-25,EICHERMOT,EQ,45.0,45.0,45.7,45.05,,45.05,45.31,1300,5890000000.0,,,
1996-03-26,EICHERMOT,EQ,45.05,45.05,46.0,45.1,,46.0,45.77,3600,16477000000.0,,,
1996-03-27,EICHERMOT,EQ,46.0,46.0,46.0,45.0,,45.55,45.62,2100,9581000000.0,,,
1996-03-28,EICHERMOT,EQ,45.55,45.55,46.5,46.0,,46.45,46.36,400,1854500000.0,,,
1996-03-29,EICHERMOT,EQ,46.45,46.45,47.0,46.0,,47.0,46.53,2300,10701000000.0,,,
1996-04-01,EICHERMOT,EQ,47.0,46.5,47.0,46.0,,47.0,46.12,3100,14297500000.0,,,
1996-04-02,EICHERMOT,EQ,47.0,48.0,48.75,47.1,,47.7,48.08,4700,22595500000.0,,,
1996-04-03,EICHERMOT,EQ,47.7,47.7,48.5,47.55,,47.8,47.97,3600,17269500000.0,,,
1996-04-04,EICHERMOT,EQ,47.8,47.25,47.5,47.1,,47.2,47.2,2900,13688000000.0,,,
1996-04-08,EICHERMOT,EQ,47.2,48.0,48.1,47.25,,48.0,47.87,2900,13883500000.0,,,
1996-04-09,EICHERMOT,EQ,48.0,48.0,47.9,47.5,,47.5,47.61,5400,25710500000.0,,,
1996-04-10,EICHERMOT,EQ,47.5,47.5,47.95,47.5,,47.6,47.65,800,3812000000.0,,,
1996-04-11,EICHERMOT,EQ,47.6,47.6,47.75,47.25,,47.6,47.5,4200,19951500000.0,,,
1996-04-12,EICHERMOT,EQ,47.6,47.05,47.65,47.05,,47.5,47.42,2300,10907500000.0,,,
1996-04-15,EICHERMOT,EQ,47.5,47.5,48.25,47.5,,48.05,48.0,9900,47521000000.0,,,
1996-04-16,EICHERMOT,EQ,48.05,48.05,47.9,46.5,,47.5,47.48,4600,21842500000.0,,,
1996-04-17,EICHERMOT,EQ,47.5,47.75,52.5,47.75,,52.35,50.48,11800,59562500000.0,,,
1996-04-18,EICHERMOT,EQ,52.35,52.35,56.5,53.7,,54.65,54.67,16300,89119500000.0,,,
1996-04-19,EICHERMOT,EQ,54.65,54.65,55.0,52.0,,52.0,52.92,4400,23284500000.0,,,
1996-04-22,EICHERMOT,EQ,52.0,52.0,51.75,47.0,,51.25,51.0,10200,52020500000.0,,,
1996-04-23,EICHERMOT,EQ,51.25,51.25,51.0,48.25,,48.95,49.86,8500,42378500000.0,,,
1996-04-24,EICHERMOT,EQ,48.95,48.95,51.75,49.0,,50.45,51.04,2700,13780500000.0,,,
1996-04-25,EICHERMOT,EQ,50.45,50.45,50.9,49.0,,49.0,49.78,5800,28874500000.0,,,
1996-04-26,EICHERMOT,EQ,49.0,49.0,52.5,49.6,,51.2,50.94,7100,36164500000.0,,,
1996-04-29,EICHERMOT,EQ,51.2,51.2,51.95,50.5,,51.4,51.09,5500,28097500000.0,,,
1996-04-30,EICHERMOT,EQ,51.4,51.4,53.7,52.0,,53.3,53.16,21900,1.164265e+11,,,
1996-05-01,EICHERMOT,EQ,53.3,53.3,58.55,53.1,,58.5,55.08,28400,1.56427e+11,,,
1996-05-02,EICHERMOT,EQ,58.5,58.5,60.0,56.0,,59.3,58.1,52000,3.021075e+11,,,
1996-05-03,EICHERMOT,EQ,59.3,59.3,64.0,59.25,,61.3,60.9,91300,5.560205e+11,,,
1996-05-06,EICHERMOT,EQ,61.3,61.3,59.25,56.1,,56.85,57.61,30700,1.768745e+11,,,
1996-05-07,EICHERMOT,EQ,56.85,56.85,56.8,53.25,,56.25,55.4,20300,1.12454e+11,,,
1996-05-08,EICHERMOT,EQ,56.25,56.25,56.65,53.0,,56.55,55.68,11400,63477000000.0,,,
1996-05-09,EICHERMOT,EQ,56.55,56.55,55.75,53.75,,54.05,54.83,13200,72370500000.0,,,
1996-05-10,EICHERMOT,EQ,54.05,54.05,53.5,51.05,,52.25,51.7,8800,45499500000.0,,,
1996-05-13,EICHERMOT,EQ,52.25,52.25,56.5,52.25,,55.5,54.8,16400,89880000000.0,,,
1996-05-14,EICHERMOT,EQ,55.5,55.5,54.95,53.0,,54.35,54.28,12500,67851000000.0,,,
1996-05-15,EICHERMOT,EQ,54.35,54.35,56.0,55.05,,55.6,55.66,10900,60665000000.0,,,
1996-05-16,EICHERMOT,EQ,55.6,55.6,57.85,56.05,,56.35,57.0,9800,55856000000.0,,,
1996-05-17,EICHERMOT,EQ,56.35,56.35,56.0,54.05,,54.7,54.84,8400,46063000000.0,,,
1996-05-20,EICHERMOT,EQ,54.7,54.7,55.0,53.3,,54.95,54.5,23200,1.264355e+11,,,
1996-05-21,EICHERMOT,EQ,54.95,54.95,53.25,52.05,,53.05,52.96,22600,1.1968e+11,,,
1996-05-22,EICHERMOT,EQ,53.05,53.05,54.05,52.5,,53.4,53.73,5200,27940000000.0,,,
1996-05-23,EICHERMOT,EQ,53.4,53.4,53.1,51.5,,51.95,52.41,7000,36689500000.0,,,
1996-05-24,EICHERMOT,EQ,51.95,51.95,52.5,51.95,,52.25,52.27,3900,20383500000.0,,,
1996-05-27,EICHERMOT,EQ,52.25,52.0,53.2,52.0,,53.0,52.5,7400,38848000000.0,,,
1996-05-28,EICHERMOT,EQ,53.0,53.0,54.0,52.5,,53.15,52.83,12100,63924500000.0,,,
1996-05-29,EICHERMOT,EQ,53.15,53.15,58.5,53.3,,57.15,55.91,15400,86107500000.0,,,
1996-05-30,EICHERMOT,EQ,57.15,57.15,59.5,56.1,,58.35,58.41,13000,75929500000.0,,,
1996-05-31,EICHERMOT,EQ,58.35,58.35,59.4,58.25,,58.55,58.84,7700,45309500000.0,,,
1996-06-03,EICHERMOT,EQ,58.55,58.55,60.75,58.0,,59.75,59.87,17300,1.035715e+11,,,
1996-06-04,EICHERMOT,EQ,59.75,59.75,60.7,58.25,,59.1,59.27,18800,1.11421e+11,,,
1996-06-05,EICHERMOT,EQ,59.1,58.0,58.0,57.0,,57.35,57.34,4200,24083500000.0,,,
1996-06-06,EICHERMOT,EQ,57.35,58.0,58.9,57.1,,57.2,57.66,11300,65157000000.0,,,
1996-06-07,EICHERMOT,EQ,57.2,54.0,57.0,52.5,,56.65,54.97,12000,65969000000.0,,,
1996-06-10,EICHERMOT,EQ,56.65,60.0,60.0,56.1,,57.4,57.8,13400,77445500000.0,,,
1996-06-11,EICHERMOT,EQ,57.4,56.5,63.2,56.2,,63.05,61.5,61300,3.769735e+11,,,
1996-06-12,EICHERMOT,EQ,63.05,64.5,69.0,63.2,,63.95,65.31,83100,5.427675e+11,,,
1996-06-13,EICHERMOT,EQ,63.95,63.0,65.0,62.75,,63.4,63.34,31700,2.007725e+11,,,
1996-06-14,EICHERMOT,EQ,63.4,63.95,64.0,63.25,,63.6,63.59,15800,1.00465e+11,,,
1996-06-17,EICHERMOT,EQ,63.6,64.0,65.45,63.5,,64.85,64.93,74100,4.811445e+11,,,
1996-06-18,EICHERMOT,EQ,64.85,64.5,66.65,62.5,,64.95,63.64,74100,4.71587e+11,,,
1996-06-19,EICHERMOT,EQ,64.95,66.2,67.0,62.0,,64.8,64.14,43200,2.770795e+11,,,
1996-06-20,EICHERMOT,EQ,64.8,65.5,65.5,62.5,,63.0,63.28,16700,1.056755e+11,,,
1996-06-21,EICHERMOT,EQ,63.0,62.5,63.0,60.75,,61.0,61.94,14100,87339000000.0,,,
1996-06-24,EICHERMOT,EQ,61.0,60.75,61.4,58.55,,58.75,59.52,8000,47617500000.0,,,
1996-06-25,EICHERMOT,EQ,58.75,59.0,59.0,56.85,,56.9,57.55,15500,89199500000.0,,,
1996-06-26,EICHERMOT,EQ,56.9,56.55,56.6,55.4,,55.65,56.18,5100,28650000000.0,,,
1996-06-27,EICHERMOT,EQ,55.65,58.0,58.0,53.55,,54.0,54.65,6400,34973500000.0,,,
1996-06-28,EICHERMOT,EQ,54.0,54.0,58.0,53.9,,57.7,56.37,21300,1.200595e+11,,,
1996-07-01,EICHERMOT,EQ,57.7,57.0,58.9,57.0,,58.25,58.13,13200,76737500000.0,,,
1996-07-02,EICHERMOT,EQ,58.25,58.0,60.0,57.15,,59.25,58.67,26400,1.54898e+11,,,
1996-07-03,EICHERMOT,EQ,59.25,57.0,57.0,54.6,,55.8,55.95,7100,39724500000.0,,,
1996-07-04,EICHERMOT,EQ,55.8,54.55,54.8,53.0,,54.8,53.92,10600,57159500000.0,,,
1996-07-05,EICHERMOT,EQ,54.8,59.0,59.0,52.25,,52.7,54.06,7500,40545000000.0,,,
1996-07-08,EICHERMOT,EQ,0.0,52.5,52.55,51.0,,51.0,52.22,4900,25589500000.0,,,
1996-07-09,EICHERMOT,EQ,51.0,51.0,52.0,49.05,,49.95,50.19,8400,42160500000.0,,,
1996-07-10,EICHERMOT,EQ,49.95,49.7,51.45,49.7,,50.5,50.79,4500,22854000000.0,,,
1996-07-11,EICHERMOT,EQ,50.5,51.0,52.0,51.0,,51.0,51.21,2600,13314000000.0,,,
1996-07-12,EICHERMOT,EQ,51.0,50.5,51.0,49.0,,49.85,50.13,6400,32085000000.0,,,
1996-07-15,EICHERMOT,EQ,49.85,48.5,49.0,46.0,,48.0,48.34,5700,27555500000.0,,,
1996-07-16,EICHERMOT,EQ,48.0,50.0,51.5,50.0,,50.9,50.57,21400,1.08213e+11,,,
1996-07-17,EICHERMOT,EQ,50.9,54.0,56.05,54.0,,56.0,55.18,24400,1.34635e+11,,,
