Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-08-09,EMPEESUG,EQ,62.4,65.0,65.0,62.75,64.0,63.4,63.31,69482,4.398667e+11,,38666,0.5565
2010-08-10,EMPEESUG,EQ,63.4,64.0,66.0,62.55,66.0,64.5,64.96,163217,1.060292845e+12,,14390,0.0882
2010-08-11,EMPEESUG,EQ,64.5,64.75,66.0,63.15,63.5,63.6,64.08,48593,3.11384985e+11,,27749,0.571
2010-08-12,EMPEESUG,EQ,63.6,63.45,63.85,62.7,63.05,63.4,63.21,126246,7.9797293e+11,,77681,0.6153
2010-08-13,EMPEESUG,EQ,63.4,64.0,68.4,63.3,65.05,65.25,65.17,72772,4.74259165e+11,,16289,0.2238
2010-08-16,EMPEESUG,EQ,65.25,65.95,66.95,63.25,65.75,65.7,65.73,124714,8.1968602e+11,,39546,0.3171
2010-08-17,EMPEESUG,EQ,65.7,68.0,68.0,64.5,65.0,65.25,66.12,96029,6.3495358e+11,,40910,0.426
2010-08-18,EMPEESUG,EQ,65.25,66.1,66.5,63.3,64.05,64.05,64.58,129758,8.38035505e+11,,25185,0.1941
2010-08-19,EMPEESUG,EQ,64.05,64.0,65.4,61.2,64.0,63.9,62.91,107341,6.7526203e+11,,63310,0.5898
2010-08-20,EMPEESUG,EQ,63.9,63.7,64.95,62.25,64.45,64.3,64.04,102399,6.557979e+11,,59487,0.5809
2010-08-23,EMPEESUG,EQ,64.3,65.0,65.5,63.25,63.95,63.9,64.17,36833,2.36364005e+11,,30748,0.8348
2010-08-24,EMPEESUG,EQ,63.9,65.0,65.0,63.75,64.0,64.1,64.14,35568,2.2813066e+11,,29823,0.8385
2010-08-25,EMPEESUG,EQ,64.1,64.75,64.75,63.65,64.25,64.25,64.15,36824,2.36239895e+11,,23418,0.6359
2010-08-26,EMPEESUG,EQ,64.25,64.5,65.1,64.3,64.3,64.45,64.85,49391,3.2028996e+11,,24215,0.4903
2010-08-27,EMPEESUG,EQ,64.45,65.0,66.2,63.5,64.2,64.3,64.19,272214,1.747277855e+12,,236418,0.8685
2010-08-30,EMPEESUG,EQ,64.3,66.0,66.0,64.0,64.25,64.3,64.59,60592,3.9135174e+11,,38100,0.6288
2010-08-31,EMPEESUG,EQ,64.3,64.7,64.8,62.75,64.25,63.35,64.01,195681,1.252547035e+12,,171240,0.8751
2010-09-01,EMPEESUG,EQ,63.35,64.25,66.0,63.5,65.35,65.0,65.11,119154,7.7586861e+11,,105412,0.8847
2010-09-02,EMPEESUG,EQ,65.0,65.75,68.1,64.3,65.6,65.9,66.08,113276,7.48540025e+11,,50426,0.4452
2010-09-03,EMPEESUG,EQ,65.9,68.0,68.0,65.7,67.0,66.4,66.51,200017,1.33029312e+12,,96169,0.4808
2010-09-06,EMPEESUG,EQ,66.4,66.65,67.0,65.25,65.35,65.4,65.94,68889,4.54234605e+11,,58834,0.854
2010-09-07,EMPEESUG,EQ,65.4,65.0,67.0,63.35,64.2,64.0,64.24,68153,4.37815405e+11,,59566,0.874
2010-09-08,EMPEESUG,EQ,64.0,63.5,64.25,63.1,63.2,63.5,63.5,43653,2.77212485e+11,,34600,0.7926
2010-09-09,EMPEESUG,EQ,63.5,63.25,64.0,63.0,63.0,63.2,63.67,23073,1.4690464e+11,,14528,0.6297
2010-09-13,EMPEESUG,EQ,63.2,64.5,64.5,62.25,62.3,62.45,62.94,29395,1.8502487e+11,,15726,0.535
2010-09-14,EMPEESUG,EQ,62.45,62.35,62.95,60.1,60.1,61.45,61.7,46557,2.87244775e+11,,35771,0.7683
2010-09-15,EMPEESUG,EQ,61.45,61.45,63.5,59.8,63.5,62.95,61.49,64425,3.96151185e+11,,59934,0.9303
2010-09-16,EMPEESUG,EQ,62.95,60.1,66.8,60.1,65.75,65.3,64.28,113141,7.27233575e+11,,52154,0.461
2010-09-17,EMPEESUG,EQ,65.3,66.2,68.4,66.0,68.0,67.65,67.42,157295,1.060445965e+12,,105880,0.6731
2010-09-20,EMPEESUG,EQ,67.65,69.0,69.0,67.0,67.5,67.95,68.11,34809,2.3707254e+11,,9437,0.2711
2010-09-21,EMPEESUG,EQ,67.95,72.0,78.0,67.0,67.55,67.55,69.14,235519,1.62839703e+12,,65480,0.278
2010-09-22,EMPEESUG,EQ,67.55,66.6,68.0,65.2,66.0,66.0,66.48,36141,2.4025607e+11,,19033,0.5266
2010-09-23,EMPEESUG,EQ,66.0,65.85,65.85,64.55,65.0,64.95,65.18,96673,6.30113205e+11,,45410,0.4697
2010-09-24,EMPEESUG,EQ,64.95,64.0,66.6,63.0,65.0,65.4,65.56,88361,5.79315705e+11,,36476,0.4128
2010-09-27,EMPEESUG,EQ,65.4,66.0,66.4,64.5,65.4,65.45,65.49,118706,7.77355425e+11,,50426,0.4248
2010-09-28,EMPEESUG,EQ,65.45,66.45,66.45,64.5,65.25,64.9,64.93,55395,3.5965593e+11,,53266,0.9616
2010-09-29,EMPEESUG,EQ,64.9,65.0,65.9,64.5,64.5,64.75,65.36,23357,1.52662695e+11,,19282,0.8255
2010-09-30,EMPEESUG,EQ,64.75,64.2,65.25,62.0,62.3,62.6,63.22,88175,5.5746836e+11,,34804,0.3947
2010-10-01,EMPEESUG,EQ,62.6,62.5,64.25,62.5,64.1,63.9,63.92,62149,3.97281895e+11,,60326,0.9707
2010-10-04,EMPEESUG,EQ,63.9,64.95,65.0,63.5,64.0,63.55,63.97,167293,1.070126555e+12,,63443,0.3792
2010-10-05,EMPEESUG,EQ,63.55,65.0,65.0,63.4,64.2,64.25,64.16,217386,1.394842765e+12,,61330,0.2821
2010-10-06,EMPEESUG,EQ,64.25,64.8,65.8,64.5,65.8,65.7,65.22,164539,1.07315262e+12,,51191,0.3111
2010-10-07,EMPEESUG,EQ,65.7,66.0,67.2,63.05,63.15,64.0,65.82,192004,1.263757145e+12,,86336,0.4497
2010-10-08,EMPEESUG,EQ,64.0,64.0,65.15,63.0,65.0,65.0,64.54,143642,9.2699785e+11,,28603,0.1991
2010-10-11,EMPEESUG,EQ,65.0,63.2,65.7,63.2,63.7,63.8,64.12,172023,1.102961685e+12,,33366,0.194
2010-10-12,EMPEESUG,EQ,63.8,62.05,65.0,62.05,62.75,62.9,63.37,257989,1.634834775e+12,,64909,0.2516
2010-10-13,EMPEESUG,EQ,62.9,63.25,64.6,63.25,64.2,64.4,64.1,177592,1.138284345e+12,,76532,0.4309
2010-10-14,EMPEESUG,EQ,64.4,68.0,68.05,63.05,63.05,63.15,64.5,207558,1.338686025e+12,,40595,0.1956
2010-10-15,EMPEESUG,EQ,63.15,63.5,64.1,62.65,63.0,63.0,63.24,134544,8.50880495e+11,,49779,0.37
2010-10-18,EMPEESUG,EQ,63.0,63.5,63.55,62.65,63.35,63.35,63.24,105246,6.65577165e+11,,48003,0.4561
2010-10-19,EMPEESUG,EQ,63.35,63.25,63.5,62.4,62.4,62.55,63.02,139154,8.7692622e+11,,65622,0.4716
2010-10-20,EMPEESUG,EQ,62.55,62.5,63.15,62.5,62.6,62.6,62.87,105171,6.61224735e+11,,34639,0.3294
2010-10-21,EMPEESUG,EQ,62.6,63.0,63.25,62.35,63.0,63.0,63.02,64176,4.04431775e+11,,21038,0.3278
2010-10-22,EMPEESUG,EQ,63.0,63.15,63.15,62.05,62.15,62.2,62.58,136935,8.5697203e+11,,13307,0.0972
2010-10-25,EMPEESUG,EQ,62.2,63.0,63.5,61.1,61.4,61.55,62.29,165626,1.031682615e+12,,26473,0.1598
2010-10-26,EMPEESUG,EQ,61.55,61.5,63.9,60.8,61.8,62.0,62.36,275025,1.714959195e+12,,61926,0.2252
2010-10-27,EMPEESUG,EQ,62.0,61.5,62.35,59.95,60.5,60.1,60.93,285920,1.742192195e+12,,49745,0.174
2010-10-28,EMPEESUG,EQ,60.1,61.0,63.0,57.75,60.75,60.4,59.65,306008,1.825479105e+12,,54836,0.1792
2010-10-29,EMPEESUG,EQ,60.4,59.1,62.7,57.5,62.0,61.6,59.7,456123,2.723275655e+12,,80755,0.177
2010-11-01,EMPEESUG,EQ,61.6,65.0,66.45,58.5,66.45,65.85,64.19,209341,1.343741395e+12,,36164,0.1728
2010-11-02,EMPEESUG,EQ,65.85,65.0,69.05,65.0,68.2,68.4,68.25,151708,1.03541499e+12,,39516,0.2605
2010-11-03,EMPEESUG,EQ,68.4,68.55,71.25,68.55,70.7,70.3,69.83,250500,1.749209335e+12,,63241,0.2525
2010-11-04,EMPEESUG,EQ,70.3,71.0,73.5,69.05,72.5,72.7,71.65,222408,1.59352183e+12,,61014,0.2743
2010-11-05,EMPEESUG,EQ,72.7,74.4,75.2,73.85,74.9,74.2,74.32,39038,2.90113755e+11,,16281,0.4171
