Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1997-09-16,ENGINERSIN,EQ,0.0,650.0,650.0,650.0,,650.0,650.0,100,6500000000.0,,,,18.0555555556,36.0
1997-09-18,ENGINERSIN,EQ,650.0,650.0,650.0,650.0,,650.0,650.0,100,6500000000.0,,,,18.0555555556,36.0
1997-09-19,ENGINERSIN,EQ,650.0,650.0,650.0,650.0,,650.0,650.0,200,13000000000.0,,,,18.0555555556,36.0
1997-09-22,ENGINERSIN,EQ,650.0,650.0,650.0,650.0,,650.0,650.0,100,6500000000.0,,,,18.0555555556,36.0
1997-09-23,ENGINERSIN,EQ,650.0,650.0,650.0,650.0,,650.0,650.0,100,6500000000.0,,,,18.0555555556,36.0
1997-09-25,ENGINERSIN,EQ,650.0,650.0,650.0,650.0,,650.0,650.0,100,6500000000.0,,,,18.0555555556,36.0
1997-09-26,ENGINERSIN,EQ,650.0,665.0,665.0,665.0,,665.0,665.0,200,13300000000.0,,,,18.4722222222,36.0
1997-09-29,ENGINERSIN,EQ,665.0,665.0,665.0,635.0,,665.0,659.0,500,32950000000.0,,,,18.4722222222,36.0
1997-09-30,ENGINERSIN,EQ,665.0,665.0,665.0,635.0,,665.0,660.71,700,46250000000.0,,,,18.4722222222,36.0
1997-10-01,ENGINERSIN,EQ,665.0,665.0,665.0,665.0,,665.0,665.0,200,13300000000.0,,,,18.4722222222,36.0
1997-10-09,ENGINERSIN,EQ,665.0,665.0,665.0,665.0,,665.0,665.0,100,6650000000.0,,,,18.4722222222,36.0
1997-10-10,ENGINERSIN,EQ,665.0,665.0,665.0,665.0,,665.0,665.0,100,6650000000.0,,,,18.4722222222,36.0
1997-10-13,ENGINERSIN,EQ,665.0,665.0,665.0,665.0,,665.0,665.0,100,6650000000.0,,,,18.4722222222,36.0
1997-10-14,ENGINERSIN,EQ,665.0,665.0,665.0,665.0,,665.0,665.0,100,6650000000.0,,,,18.4722222222,36.0
1997-10-16,ENGINERSIN,EQ,665.0,660.0,660.0,660.0,,660.0,660.0,100,6600000000.0,,,,18.3333333333,36.0
1997-10-28,ENGINERSIN,EQ,660.0,670.0,670.0,670.0,,670.0,670.0,100,6700000000.0,,,,18.6111111111,36.0
1997-12-22,ENGINERSIN,EQ,670.0,638.0,699.5,638.0,,699.5,668.75,6000,4.0125e+11,,,,19.4305555556,36.0
1998-02-05,ENGINERSIN,EQ,699.5,699.0,699.0,699.0,,699.0,699.0,100,6990000000.0,,,,19.4166666667,36.0
1998-02-25,ENGINERSIN,EQ,699.0,629.5,629.5,629.5,,629.5,629.5,100,6295000000.0,,,,17.4861111111,36.0
1998-03-05,ENGINERSIN,EQ,629.5,566.55,566.55,566.55,,566.55,566.55,200,11331000000.0,,,,15.7375,36.0
1998-03-12,ENGINERSIN,EQ,566.55,535.0,535.0,535.0,,535.0,535.0,400,21400000000.0,,,,14.8611111111,36.0
1998-03-20,ENGINERSIN,EQ,535.0,482.0,482.0,482.0,,482.0,482.0,1500,72300000000.0,,,,13.3888888889,36.0
1998-03-26,ENGINERSIN,EQ,482.0,500.0,500.0,500.0,500.0,500.0,500.0,100,5000000000.0,,,,13.8888888889,36.0
1998-03-27,ENGINERSIN,EQ,500.0,545.0,545.0,545.0,545.0,545.0,545.0,100,5450000000.0,,,,15.1388888889,36.0
1998-03-30,ENGINERSIN,EQ,545.0,570.0,570.0,491.0,491.0,491.0,522.0,300,15660000000.0,,,,13.6388888889,36.0
1998-03-31,ENGINERSIN,EQ,491.0,460.0,499.0,460.0,499.0,499.0,473.0,300,14190000000.0,,,,13.8611111111,36.0
1998-04-01,ENGINERSIN,EQ,499.0,450.0,450.0,450.0,450.0,450.0,450.0,200,9000000000.0,,,,12.5,36.0
1998-04-02,ENGINERSIN,EQ,450.0,405.0,450.0,405.0,425.0,425.0,430.0,600,25800000000.0,,,,11.8055555556,36.0
1998-04-03,ENGINERSIN,EQ,425.0,450.0,450.0,405.0,405.0,405.0,417.14,700,29200000000.0,,,,11.25,36.0
1998-04-06,ENGINERSIN,EQ,405.0,405.0,405.0,400.0,400.0,400.0,402.5,200,8050000000.0,,,,11.1111111111,36.0
1998-04-07,ENGINERSIN,EQ,400.0,380.0,380.0,375.0,375.0,377.5,377.5,200,7550000000.0,,,,10.4861111111,36.0
1998-04-09,ENGINERSIN,EQ,377.5,415.0,415.0,415.0,415.0,415.0,415.0,100,4150000000.0,,,,11.5277777778,36.0
1998-04-10,ENGINERSIN,EQ,415.0,453.0,455.0,425.0,425.0,425.0,438.6,500,21930000000.0,,,,11.8055555556,36.0
1998-04-15,ENGINERSIN,EQ,425.0,383.0,400.0,383.0,385.0,385.0,391.8,500,19590000000.0,,,,10.6944444444,36.0
1998-04-21,ENGINERSIN,EQ,385.0,385.0,400.0,385.0,400.0,400.0,392.5,200,7850000000.0,,,,11.1111111111,36.0
1998-04-22,ENGINERSIN,EQ,400.0,385.0,385.0,385.0,385.0,385.0,385.0,600,23100000000.0,,,,10.6944444444,36.0
1998-05-05,ENGINERSIN,EQ,385.0,376.0,376.0,376.0,376.0,376.0,376.0,200,7520000000.0,,,,10.4444444444,36.0
1998-05-11,ENGINERSIN,EQ,376.0,400.0,400.0,340.0,340.0,340.0,395.28,2900,1.1463e+11,,,,9.44444444444,36.0
1998-05-13,ENGINERSIN,EQ,340.0,370.0,370.0,370.0,370.0,370.0,370.0,100,3700000000.0,,,,10.2777777778,36.0
1998-05-18,ENGINERSIN,EQ,370.0,399.0,399.0,370.0,370.0,370.0,384.5,200,7690000000.0,,,,10.2777777778,36.0
1998-05-19,ENGINERSIN,EQ,370.0,370.0,370.0,370.0,370.0,370.0,370.0,500,18500000000.0,,,,10.2777777778,36.0
1998-05-22,ENGINERSIN,EQ,370.0,405.0,407.0,370.0,370.0,370.0,384.4,500,19220000000.0,,,,10.2777777778,36.0
1998-05-25,ENGINERSIN,EQ,370.0,404.0,404.0,404.0,404.0,404.0,404.0,100,4040000000.0,,,,11.2222222222,36.0
