Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,ESCORTS,EQ,85.0,85.0,86.0,85.0,,85.0,85.36,850,7255500000.0,,,
1996-01-02,ESCORTS,EQ,85.0,83.25,86.75,83.25,,85.25,85.22,3100,26419500000.0,,,
1996-01-03,ESCORTS,EQ,85.25,86.15,86.25,86.0,,86.25,86.18,450,3878000000.0,,,
1996-01-04,ESCORTS,EQ,86.25,86.0,87.0,86.0,,87.0,86.67,300,2600000000.0,,,
1996-01-05,ESCORTS,EQ,87.0,85.5,86.5,85.5,,86.0,85.93,1900,16327500000.0,,,
1996-01-08,ESCORTS,EQ,86.0,86.0,86.5,85.0,,85.0,85.51,3700,31640000000.0,,,
1996-01-09,ESCORTS,EQ,85.0,85.0,84.9,84.0,,84.0,84.48,1250,10560000000.0,,,
1996-01-10,ESCORTS,EQ,84.0,85.0,85.0,84.2,,84.2,84.43,400,3377000000.0,,,
1996-01-11,ESCORTS,EQ,84.2,84.5,84.5,83.9,,83.95,84.13,900,7571500000.0,,,
1996-01-12,ESCORTS,EQ,83.95,84.0,86.5,83.0,,83.0,84.25,1250,10531000000.0,,,
1996-01-15,ESCORTS,EQ,83.0,83.0,83.0,82.0,,82.95,82.79,850,7037250000.0,,,
1996-01-16,ESCORTS,EQ,82.95,80.5,82.0,80.05,,81.5,80.58,500,4029000000.0,,,
1996-01-17,ESCORTS,EQ,81.5,80.05,80.05,80.05,,80.05,80.05,50,400250000.0,,,
1996-01-18,ESCORTS,EQ,80.05,81.0,83.0,81.0,,81.95,81.92,300,2457500000.0,,,
1996-01-19,ESCORTS,EQ,81.95,80.85,80.85,79.5,,80.0,79.96,200,1599250000.0,,,
1996-01-22,ESCORTS,EQ,80.0,80.0,76.0,76.0,,76.0,76.0,50,380000000.0,,,
1996-01-23,ESCORTS,EQ,76.0,83.0,83.0,81.0,,81.0,81.75,1050,8583500000.0,,,
1996-01-24,ESCORTS,EQ,81.0,78.0,78.5,76.8,,78.45,78.14,900,7033000000.0,,,
1996-01-25,ESCORTS,EQ,78.45,78.45,79.25,78.5,,79.1,79.01,2300,18172000000.0,,,
1996-01-29,ESCORTS,EQ,79.1,79.1,80.45,79.0,,80.25,79.86,850,6788250000.0,,,
1996-01-30,ESCORTS,EQ,80.25,80.25,82.0,79.0,,82.0,81.55,7800,63609750000.0,,,
1996-01-31,ESCORTS,EQ,82.0,82.0,83.0,82.0,,83.0,82.5,7950,65586500000.0,,,
1996-02-01,ESCORTS,EQ,83.0,83.5,84.0,83.5,,84.0,83.69,350,2929000000.0,,,
1996-02-02,ESCORTS,EQ,84.0,84.0,88.5,85.0,,88.2,86.24,11350,97887000000.0,,,
1996-02-05,ESCORTS,EQ,88.2,88.2,92.0,88.05,,89.55,89.83,13300,1.1947625e+11,,,
1996-02-06,ESCORTS,EQ,89.55,89.55,93.0,89.0,,90.9,91.28,10350,94471500000.0,,,
1996-02-07,ESCORTS,EQ,90.9,90.9,90.0,89.0,,89.7,89.46,2150,19234250000.0,,,
1996-02-08,ESCORTS,EQ,89.7,90.75,94.0,90.05,,93.8,91.38,6350,58023500000.0,,,
1996-02-09,ESCORTS,EQ,93.8,93.0,99.0,93.0,,97.05,95.36,5550,52925250000.0,,,
1996-02-12,ESCORTS,EQ,97.05,97.05,106.5,100.0,,100.15,102.78,6250,64236250000.0,,,
