Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-09-21,FCSSOFT,EQ,50.0,100.0,199.9,100.0,184.0,178.5,158.58,20618443,3.2695795078e+14,,749317,0.0363
2005-09-22,FCSSOFT,EQ,178.5,180.0,214.2,180.0,214.1,214.15,207.94,6555541,1.36314614465e+14,,416370,0.0635
2005-09-23,FCSSOFT,EQ,214.15,220.0,255.7,175.05,176.05,178.05,214.23,20487823,4.3891373013e+14,,915118,0.0447
2005-09-26,FCSSOFT,EQ,178.05,185.0,213.7,163.3,213.7,213.7,191.89,7254268,1.3920335827e+14,,844161,0.1164
2005-09-27,FCSSOFT,EQ,213.7,230.0,256.25,230.0,256.05,256.0,249.46,7795788,1.9447302718e+14,,610918,0.0784
2005-09-28,FCSSOFT,EQ,256.0,263.0,298.9,260.15,282.0,284.35,281.75,14645244,4.1262624562e+14,,381425,0.026
2005-09-29,FCSSOFT,EQ,284.35,286.0,308.0,255.95,255.95,255.95,285.74,12982160,3.7095691722e+14,,746325,0.0575
2005-09-30,FCSSOFT,EQ,255.95,241.25,243.4,230.35,230.35,230.35,234.21,1382831,3.238739975e+13,,322646,0.2333
2005-10-03,FCSSOFT,EQ,230.35,220.0,220.0,207.35,207.35,207.35,208.91,160011,3.342774635e+12,,71041,0.444
2005-10-04,FCSSOFT,EQ,207.35,187.3,216.0,186.65,187.7,188.05,197.95,6128209,1.2131049818e+14,,553529,0.0903
2005-10-05,FCSSOFT,EQ,188.05,189.0,199.4,169.25,169.25,169.65,180.64,5062193,9.144440541e+13,,662505,0.1309
2005-10-06,FCSSOFT,EQ,169.65,165.0,173.4,161.2,161.35,163.8,166.96,4407816,7.3594172315e+13,,186450,0.0423
2005-10-07,FCSSOFT,EQ,163.8,161.0,167.5,155.65,155.65,155.95,161.6,1512282,2.4438965975e+13,,158063,0.1045
