Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,FEDERALBNK,EQ,176.0,176.0,175.25,173.55,,173.55,174.56,1700,29676000000.0,,,,5.785,30.0
1996-01-02,FEDERALBNK,EQ,173.55,173.55,178.0,171.25,,176.45,175.87,3200,56279000000.0,,,,5.88166666667,30.0
1996-01-03,FEDERALBNK,EQ,176.45,174.0,174.5,172.5,,172.9,173.66,2400,41679500000.0,,,,5.76333333333,30.0
1996-01-04,FEDERALBNK,EQ,172.9,172.9,171.75,170.0,,170.25,170.38,3100,52816500000.0,,,,5.675,30.0
1996-01-05,FEDERALBNK,EQ,170.25,170.25,170.0,166.0,,166.5,167.91,3100,52052000000.0,,,,5.55,30.0
1996-01-08,FEDERALBNK,EQ,166.5,166.5,165.0,161.75,,161.9,164.17,2000,32833000000.0,,,,5.39666666667,30.0
1996-01-09,FEDERALBNK,EQ,161.9,161.9,163.0,160.0,,162.0,161.18,3200,51577000000.0,,,,5.4,30.0
1996-01-10,FEDERALBNK,EQ,162.0,162.0,164.0,160.0,,160.8,162.09,3900,63217000000.0,,,,5.36,30.0
1996-01-11,FEDERALBNK,EQ,160.8,160.8,161.0,158.25,,159.0,159.43,10500,1.673995e+11,,,,5.3,30.0
1996-01-12,FEDERALBNK,EQ,159.0,159.0,160.0,158.6,,158.7,159.14,2800,44558000000.0,,,,5.29,30.0
1996-01-15,FEDERALBNK,EQ,158.7,156.0,160.45,156.0,,160.05,159.6,10300,1.64383e+11,,,,5.335,30.0
1996-01-16,FEDERALBNK,EQ,160.05,160.05,161.75,160.0,,160.7,160.58,5500,88317000000.0,,,,5.35666666667,30.0
1996-01-17,FEDERALBNK,EQ,160.7,160.0,167.5,160.0,,164.05,162.38,35800,5.81308e+11,,,,5.46833333333,30.0
1996-01-18,FEDERALBNK,EQ,164.05,164.05,165.0,161.05,,162.15,162.25,11000,1.784735e+11,,,,5.405,30.0
1996-01-19,FEDERALBNK,EQ,162.15,162.15,162.5,162.0,,162.05,162.03,15900,2.57623e+11,,,,5.40166666667,30.0
1996-01-22,FEDERALBNK,EQ,162.05,162.05,162.3,162.0,,162.15,162.02,12000,1.9442e+11,,,,5.405,30.0
1996-01-23,FEDERALBNK,EQ,162.15,162.15,162.75,162.0,,162.15,162.05,18000,2.91693e+11,,,,5.405,30.0
1996-01-24,FEDERALBNK,EQ,162.15,162.05,163.0,162.0,,162.0,162.05,20400,3.30588e+11,,,,5.4,30.0
1996-01-25,FEDERALBNK,EQ,162.0,162.0,162.05,162.0,,162.0,162.0,14300,2.316605e+11,,,,5.4,30.0
1996-01-29,FEDERALBNK,EQ,162.0,162.0,162.5,162.0,,162.4,162.02,33400,5.41156e+11,,,,5.41333333333,30.0
1996-01-30,FEDERALBNK,EQ,162.4,162.4,163.0,160.0,,160.15,161.05,12000,1.9326e+11,,,,5.33833333333,30.0
1996-01-31,FEDERALBNK,EQ,160.15,160.15,161.5,160.0,,160.05,160.02,9000,1.44022e+11,,,,5.335,30.0
1996-02-01,FEDERALBNK,EQ,160.05,160.05,163.0,160.0,,160.25,160.67,8400,1.34962e+11,,,,5.34166666667,30.0
1996-02-02,FEDERALBNK,EQ,160.25,160.25,162.0,160.0,,160.1,160.73,4100,65898500000.0,,,,5.33666666667,30.0
1996-02-05,FEDERALBNK,EQ,160.1,160.1,171.0,161.0,,161.8,163.85,14000,2.29389e+11,,,,5.39333333333,30.0
1996-02-06,FEDERALBNK,EQ,161.8,161.8,167.0,161.0,,161.2,163.33,11800,1.927245e+11,,,,5.37333333333,30.0
1996-02-07,FEDERALBNK,EQ,161.2,161.2,164.0,160.0,,162.0,160.88,6000,96525000000.0,,,,5.4,30.0
1996-02-08,FEDERALBNK,EQ,162.0,162.0,173.0,162.0,,167.8,167.74,26500,4.44506e+11,,,,5.59333333333,30.0
1996-02-09,FEDERALBNK,EQ,167.8,167.8,200.0,171.0,,193.05,183.15,46000,8.42489e+11,,,,6.435,30.0
1996-02-12,FEDERALBNK,EQ,193.05,193.05,207.5,187.0,,198.05,199.7,78800,1.573599e+12,,,,6.60166666667,30.0
1996-02-13,FEDERALBNK,EQ,198.05,198.05,198.0,191.55,,195.45,195.58,47200,9.23132e+11,,,,6.515,30.0
1996-02-14,FEDERALBNK,EQ,195.45,195.45,207.75,195.0,,199.8,200.47,59700,1.1968355e+12,,,,6.66,30.0
1996-02-15,FEDERALBNK,EQ,199.8,199.8,198.5,191.1,,194.95,195.08,63200,1.232923e+12,,,,6.49833333333,30.0
1996-02-16,FEDERALBNK,EQ,194.95,194.95,197.55,187.5,,196.95,194.04,117500,2.27998e+12,,,,6.565,30.0
1996-02-19,FEDERALBNK,EQ,196.95,196.95,193.0,188.25,,189.95,190.23,27600,5.250275e+11,,,,6.33166666667,30.0
1996-02-20,FEDERALBNK,EQ,189.95,191.25,192.4,181.1,,186.2,189.32,45800,8.67098e+11,,,,6.20666666667,30.0
1996-02-22,FEDERALBNK,EQ,186.2,186.2,196.0,186.0,,194.35,191.77,44400,8.514695e+11,,,,6.47833333333,30.0
1996-02-23,FEDERALBNK,EQ,194.35,194.35,205.0,197.05,,201.85,200.74,58900,1.1823335e+12,,,,6.72833333333,30.0
1996-02-26,FEDERALBNK,EQ,201.85,201.85,207.8,200.05,,205.65,205.26,56800,1.165859e+12,,,,6.855,30.0
1996-02-27,FEDERALBNK,EQ,205.65,205.65,204.0,198.0,,202.4,200.54,30400,6.096515e+11,,,,6.74666666667,30.0
1996-02-28,FEDERALBNK,EQ,202.4,202.4,203.0,198.0,,200.3,199.88,18700,3.737805e+11,,,,6.67666666667,30.0
1996-02-29,FEDERALBNK,EQ,200.3,200.3,198.25,192.0,,194.05,194.42,27500,5.34661e+11,,,,6.46833333333,30.0
1996-03-01,FEDERALBNK,EQ,194.05,194.05,202.0,192.05,,200.45,196.43,30700,6.030535e+11,,,,6.68166666667,30.0
1996-03-04,FEDERALBNK,EQ,200.45,200.45,202.95,197.5,,200.4,200.07,29000,5.802015e+11,,,,6.68,30.0
