Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2007-05-09,FORTIS,EQ,108.0,110.0,110.0,98.05,100.0,100.15,102.92,22950815,2.3621015985e+14,,5322209,0.2319,100.15,1.0
2007-05-10,FORTIS,EQ,100.15,101.6,105.9,100.1,101.55,101.65,103.54,6763044,7.002629105e+13,,963917,0.1425,101.65,1.0
2007-05-11,FORTIS,EQ,101.65,99.0,102.4,98.0,101.0,100.5,100.76,2991496,3.014277475e+13,,490962,0.1641,100.5,1.0
2007-05-14,FORTIS,EQ,100.5,103.0,103.3,100.5,100.85,100.9,101.74,1118231,1.1377420825e+13,,329364,0.2945,100.9,1.0
2007-05-15,FORTIS,EQ,100.9,102.0,102.0,97.1,97.4,97.7,98.83,1479512,1.4621636155e+13,,642386,0.4342,97.7,1.0
2007-05-16,FORTIS,EQ,97.7,99.0,99.0,96.6,96.95,97.15,97.73,674369,6.59039949e+12,,284804,0.4223,97.15,1.0
2007-05-17,FORTIS,EQ,97.15,97.75,101.2,96.65,96.65,97.2,98.62,1439051,1.4192288615e+13,,406503,0.2825,97.2,1.0
2007-05-18,FORTIS,EQ,97.2,97.5,97.5,94.55,94.6,95.0,95.98,706310,6.779228295e+12,,402876,0.5704,95.0,1.0
2007-05-21,FORTIS,EQ,95.0,94.0,95.15,89.55,90.15,90.35,91.45,2486929,2.27439984e+13,,1088871,0.4378,90.35,1.0
2007-05-22,FORTIS,EQ,90.35,90.5,95.4,90.0,92.4,92.3,93.5,2758594,2.5791517425e+13,,807335,0.2927,92.3,1.0
2007-05-23,FORTIS,EQ,92.3,92.9,94.45,91.0,91.4,91.3,92.7,1081075,1.002185471e+13,,315744,0.2921,91.3,1.0
2007-05-24,FORTIS,EQ,91.3,91.9,93.15,90.6,91.9,91.9,91.83,1054225,9.681085705e+12,,294509,0.2794,91.9,1.0
2007-05-25,FORTIS,EQ,91.9,91.1,93.0,90.5,92.0,91.85,92.24,740830,6.83324309e+12,,257237,0.3472,91.85,1.0
2007-05-28,FORTIS,EQ,91.85,93.95,96.7,92.85,93.3,93.1,94.22,874379,8.238815195e+12,,372271,0.4258,93.1,1.0
2007-05-29,FORTIS,EQ,93.1,92.6,93.9,92.05,92.3,92.25,92.6,426051,3.94536183e+12,,182412,0.4281,92.25,1.0
