Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,GICHSGFIN,EQ,25.5,25.75,25.75,25.5,,25.5,25.63,400,1025000000.0,,,
1996-01-02,GICHSGFIN,EQ,25.5,25.75,25.75,25.0,,25.55,25.51,1800,4592500000.0,,,
1996-01-03,GICHSGFIN,EQ,25.55,25.5,25.5,25.5,,25.5,25.5,100,255000000.0,,,
1996-01-05,GICHSGFIN,EQ,25.5,25.55,25.55,25.5,,25.55,25.54,600,1532500000.0,,,
1996-01-08,GICHSGFIN,EQ,25.55,25.0,25.0,25.0,,25.0,25.0,100,250000000.0,,,
1996-01-09,GICHSGFIN,EQ,25.0,24.0,24.0,24.0,,24.0,24.0,300,720000000.0,,,
1996-01-12,GICHSGFIN,EQ,24.0,24.95,24.95,24.5,,24.5,24.8,300,744000000.0,,,
1996-01-15,GICHSGFIN,EQ,24.5,25.5,25.5,25.5,,25.5,25.5,100,255000000.0,,,
1996-01-16,GICHSGFIN,EQ,25.5,25.1,25.1,25.1,,25.1,25.1,100,251000000.0,,,
1996-01-17,GICHSGFIN,EQ,25.1,25.7,25.7,25.0,,25.0,25.35,400,1014000000.0,,,
1996-01-18,GICHSGFIN,EQ,25.0,24.0,24.0,24.0,,24.0,24.0,200,480000000.0,,,
1996-01-22,GICHSGFIN,EQ,24.0,23.75,23.75,23.5,,23.5,23.71,600,1422500000.0,,,
1996-01-23,GICHSGFIN,EQ,23.5,23.45,23.5,23.45,,23.5,23.48,200,469500000.0,,,
1996-01-24,GICHSGFIN,EQ,23.5,23.0,23.0,23.0,,23.0,23.0,100,230000000.0,,,
1996-01-29,GICHSGFIN,EQ,23.0,22.5,22.5,22.5,,22.5,22.5,100,225000000.0,,,
1996-01-30,GICHSGFIN,EQ,22.5,22.0,22.0,22.0,,22.0,22.0,100,220000000.0,,,
1996-01-31,GICHSGFIN,EQ,22.0,22.25,23.0,22.0,,23.0,22.16,900,1994000000.0,,,
1996-02-01,GICHSGFIN,EQ,23.0,23.0,23.0,23.0,,23.0,23.0,300,690000000.0,,,
1996-02-02,GICHSGFIN,EQ,23.0,24.5,25.0,24.0,,25.0,24.74,10100,24990000000.0,,,
