Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2000-02-10,GLENMARK,EQ,200.0,650.0,1500.0,510.0,546.7,542.35,551.5,696000,3.838466775e+13,,,,27.1175,20.0
2000-02-11,GLENMARK,EQ,542.35,555.0,558.0,499.0,499.0,499.0,507.5,159450,8.09211675e+12,,,,24.95,20.0
2000-02-14,GLENMARK,EQ,499.0,460.0,477.4,459.1,459.1,459.1,459.88,14100,6.48429e+11,,,,22.955,20.0
2000-02-15,GLENMARK,EQ,459.1,422.4,422.4,422.4,422.4,422.4,422.4,14500,6.1248e+11,,,,21.12,20.0
2000-02-16,GLENMARK,EQ,422.4,391.0,415.0,388.65,398.0,395.05,394.55,158850,6.26739925e+12,,,,19.7525,20.0
2000-02-17,GLENMARK,EQ,395.05,390.25,426.65,390.25,426.65,426.65,414.68,114650,4.75434475e+12,,,,21.3325,20.0
2000-02-18,GLENMARK,EQ,426.65,430.0,460.8,405.05,430.0,424.25,429.6,166700,7.16148625e+12,,,,21.2125,20.0
2000-02-21,GLENMARK,EQ,424.25,430.0,430.0,390.35,401.0,394.45,398.36,76200,3.03549275e+12,,,,19.7225,20.0
2000-02-22,GLENMARK,EQ,394.45,390.0,400.0,362.9,380.0,379.6,373.57,99100,3.7020595e+12,,,,18.98,20.0
2000-02-23,GLENMARK,EQ,379.6,390.0,410.0,361.05,372.5,371.9,381.71,49750,1.89899475e+12,,,,18.595,20.0
2000-02-24,GLENMARK,EQ,371.9,370.0,393.9,357.0,370.0,368.45,374.97,39400,1.47738825e+12,,,,18.4225,20.0
2000-02-25,GLENMARK,EQ,368.45,361.25,365.0,339.5,343.05,345.95,348.29,24450,8.5158e+11,,,,17.2975,20.0
2000-02-28,GLENMARK,EQ,345.95,330.1,335.1,318.3,321.65,323.55,323.55,33250,1.07579125e+12,,,,16.1775,20.0
2000-02-29,GLENMARK,EQ,323.55,322.0,347.0,297.7,312.0,301.75,329.73,73000,2.40703975e+12,,,,15.0875,20.0
2000-03-01,GLENMARK,EQ,301.75,280.25,323.9,280.25,306.9,306.05,306.94,57800,1.77413625e+12,,,,15.3025,20.0
2000-03-02,GLENMARK,EQ,306.05,300.2,308.9,281.6,281.6,281.6,287.68,38900,1.119056e+12,,,,14.08,20.0
2000-03-03,GLENMARK,EQ,281.6,265.0,295.0,259.1,280.0,267.85,266.94,80250,2.142194e+12,,,,13.3925,20.0
2000-03-06,GLENMARK,EQ,267.85,270.5,289.3,247.5,289.3,275.6,266.8,84350,2.2504365e+12,,,,13.78,20.0
2000-03-07,GLENMARK,EQ,275.6,297.65,297.65,255.25,297.65,283.95,278.85,78550,2.19034625e+12,,,,14.1975,20.0
2000-03-08,GLENMARK,EQ,283.95,298.0,298.0,265.0,265.0,268.45,276.56,33800,9.347595e+11,,,,13.4225,20.0
2000-03-09,GLENMARK,EQ,268.45,265.0,269.95,249.0,268.0,265.8,261.58,46400,1.21372e+12,,,,13.29,20.0
2000-03-10,GLENMARK,EQ,265.8,257.1,270.0,251.0,260.0,258.95,261.19,20700,5.4066325e+11,,,,12.9475,20.0
2000-03-13,GLENMARK,EQ,258.95,265.0,278.0,245.75,246.05,249.65,263.05,50250,1.3218175e+12,,,,12.4825,20.0
2000-03-14,GLENMARK,EQ,249.65,240.0,260.0,236.25,241.35,248.1,249.81,53150,1.32772625e+12,,,,12.405,20.0
2000-03-15,GLENMARK,EQ,248.1,259.9,267.95,250.0,267.95,267.95,259.74,18650,4.8441875e+11,,,,13.3975,20.0
2000-03-16,GLENMARK,EQ,267.95,274.5,289.25,263.0,277.95,277.5,275.83,37400,1.0316215e+12,,,,13.875,20.0
2000-03-21,GLENMARK,EQ,277.5,275.5,275.5,256.2,260.1,259.2,262.8,37250,9.7893925e+11,,,,12.96,20.0
2000-03-22,GLENMARK,EQ,259.2,271.3,271.3,271.3,271.3,271.3,271.3,300,8139000000.0,,,,13.565,20.0
2000-03-23,GLENMARK,EQ,271.3,292.85,293.0,277.0,285.0,282.7,287.08,43750,1.25598525e+12,,,,14.135,20.0
2000-03-24,GLENMARK,EQ,282.7,273.25,286.5,267.25,279.75,279.7,276.37,21550,5.9557825e+11,,,,13.985,20.0
2000-03-27,GLENMARK,EQ,279.7,274.0,280.0,266.5,268.25,267.4,273.32,22650,6.1907425e+11,,,,13.37,20.0
2000-03-28,GLENMARK,EQ,267.4,265.0,267.5,254.0,264.5,262.3,259.13,29450,7.6313575e+11,,,,13.115,20.0
2000-03-29,GLENMARK,EQ,262.3,260.05,265.0,256.25,258.25,258.5,259.45,10350,2.6853475e+11,,,,12.925,20.0
2000-03-30,GLENMARK,EQ,258.5,254.9,258.0,252.0,255.1,255.75,254.78,9650,2.4586625e+11,,,,12.7875,20.0
2000-03-31,GLENMARK,EQ,255.75,255.0,269.0,252.0,261.45,259.3,259.31,13600,3.526565e+11,,,,12.965,20.0
2000-04-03,GLENMARK,EQ,259.3,265.0,265.0,248.0,248.3,250.5,253.74,19250,4.88447e+11,,,,12.525,20.0
2000-04-04,GLENMARK,EQ,250.5,242.0,242.0,230.5,235.3,235.75,233.57,31600,7.38093e+11,,,,11.7875,20.0
2000-04-05,GLENMARK,EQ,235.75,235.9,249.5,231.75,248.7,247.15,241.41,23500,5.67309e+11,,,,12.3575,20.0
2000-04-06,GLENMARK,EQ,247.15,245.0,247.0,233.6,242.9,240.15,239.66,17300,4.146185e+11,,,,12.0075,20.0
2000-04-07,GLENMARK,EQ,240.15,242.0,259.4,242.0,259.4,258.65,252.56,28500,7.1979325e+11,,,,12.9325,20.0
2000-04-10,GLENMARK,EQ,258.65,260.05,277.0,255.05,258.0,259.2,264.85,47100,1.247426e+12,,,,12.96,20.0
2000-04-11,GLENMARK,EQ,259.2,247.5,261.9,240.25,253.4,252.0,250.99,18300,4.5931975e+11,,,,12.6,20.0
2000-04-12,GLENMARK,EQ,252.0,250.0,260.0,248.0,260.0,257.05,254.3,21200,5.39109e+11,,,,12.8525,20.0
2000-04-13,GLENMARK,EQ,257.05,251.2,262.5,245.0,260.0,258.95,254.6,27600,7.0270525e+11,,,,12.9475,20.0
2000-04-17,GLENMARK,EQ,258.95,256.2,256.2,240.0,255.0,252.85,247.08,37750,9.327385e+11,,,,12.6425,20.0
2000-04-18,GLENMARK,EQ,252.85,252.0,261.9,250.0,255.05,256.9,255.91,36800,9.4176375e+11,,,,12.845,20.0
2000-04-19,GLENMARK,EQ,256.9,260.0,261.0,252.0,256.0,256.6,255.2,19650,5.0146225e+11,,,,12.83,20.0
2000-04-20,GLENMARK,EQ,256.6,253.0,262.0,250.0,262.0,259.95,254.04,32300,8.20553e+11,,,,12.9975,20.0
2000-04-24,GLENMARK,EQ,259.95,258.0,263.0,257.0,262.0,262.0,261.03,10650,2.7800075e+11,,,,13.1,20.0
2000-04-25,GLENMARK,EQ,262.0,250.0,254.0,241.2,247.0,248.65,247.28,27550,6.8125475e+11,,,,12.4325,20.0
2000-04-26,GLENMARK,EQ,248.65,254.0,268.55,250.05,268.55,268.55,261.85,14900,3.901635e+11,,,,13.4275,20.0
2000-04-27,GLENMARK,EQ,268.55,260.1,290.05,260.1,290.05,290.05,286.81,44300,1.2705725e+12,,,,14.5025,20.0
2000-04-28,GLENMARK,EQ,290.05,292.05,313.25,268.0,274.1,277.05,289.74,30050,8.7066075e+11,,,,13.8525,20.0
2000-05-02,GLENMARK,EQ,277.05,272.05,273.0,258.0,270.0,264.1,264.25,24900,6.579705e+11,,,,13.205,20.0
2000-05-03,GLENMARK,EQ,264.1,252.1,263.0,243.0,262.0,259.5,249.75,15500,3.8711625e+11,,,,12.975,20.0
2000-05-04,GLENMARK,EQ,259.5,270.9,288.0,268.0,285.0,284.1,281.79,20000,5.63578e+11,,,,14.205,20.0
2000-05-05,GLENMARK,EQ,284.1,296.0,305.0,280.0,302.4,303.05,297.52,34450,1.02495075e+12,,,,15.1525,20.0
2000-05-08,GLENMARK,EQ,303.05,296.0,309.0,268.1,281.45,280.5,289.26,23050,6.667535e+11,,,,14.025,20.0
2000-05-09,GLENMARK,EQ,280.5,277.0,298.0,276.0,290.2,294.1,288.6,27050,7.80653e+11,,,,14.705,20.0
2000-05-10,GLENMARK,EQ,294.1,290.0,291.0,278.5,285.0,285.05,286.06,7550,2.159735e+11,,,,14.2525,20.0
2000-05-11,GLENMARK,EQ,285.05,276.0,285.0,271.1,280.0,280.15,280.0,6200,1.7359925e+11,,,,14.0075,20.0
2000-05-12,GLENMARK,EQ,280.15,275.1,284.0,270.1,276.5,273.4,278.06,7650,2.127195e+11,,,,13.67,20.0
2000-05-15,GLENMARK,EQ,273.4,277.0,277.0,253.0,270.0,268.9,263.31,25050,6.59604e+11,,,,13.445,20.0
2000-05-16,GLENMARK,EQ,268.9,274.0,285.0,269.9,281.9,279.65,278.76,15100,4.2093425e+11,,,,13.9825,20.0
2000-05-17,GLENMARK,EQ,279.65,283.8,289.75,277.25,277.25,277.5,283.14,6750,1.91122e+11,,,,13.875,20.0
2000-05-18,GLENMARK,EQ,277.5,273.0,275.9,260.0,260.05,260.75,264.76,5250,1.390005e+11,,,,13.0375,20.0
2000-05-19,GLENMARK,EQ,260.75,267.5,267.5,257.0,263.5,261.55,260.91,4200,1.09582e+11,,,,13.0775,20.0
2000-05-22,GLENMARK,EQ,261.55,260.0,260.0,250.0,252.0,252.5,252.49,4000,1.0099675e+11,,,,12.625,20.0
2000-05-23,GLENMARK,EQ,252.5,250.0,254.0,250.0,251.55,250.45,250.38,9900,2.478785e+11,,,,12.5225,20.0
2000-05-24,GLENMARK,EQ,250.45,250.0,254.9,248.05,254.9,253.3,250.97,7650,1.91989e+11,,,,12.665,20.0
2000-05-25,GLENMARK,EQ,253.3,253.0,259.5,253.0,255.0,255.7,256.02,4600,1.1777025e+11,,,,12.785,20.0
2000-05-26,GLENMARK,EQ,255.7,261.0,264.5,251.4,262.95,260.2,260.37,6150,1.601305e+11,,,,13.01,20.0
2000-05-29,GLENMARK,EQ,260.2,269.0,269.0,256.0,256.0,259.85,261.43,6150,1.60781e+11,,,,12.9925,20.0
2000-05-30,GLENMARK,EQ,259.85,262.0,270.0,260.0,270.0,267.7,263.9,6750,1.781325e+11,,,,13.385,20.0
2000-05-31,GLENMARK,EQ,267.7,280.0,294.0,277.1,293.0,291.75,284.95,14500,4.13181e+11,,,,14.5875,20.0
2000-06-01,GLENMARK,EQ,291.75,285.0,287.0,282.25,285.0,285.35,285.15,5900,1.6824025e+11,,,,14.2675,20.0
2000-06-02,GLENMARK,EQ,285.35,290.0,297.0,286.75,287.05,287.25,289.91,5000,1.4495575e+11,,,,14.3625,20.0
2000-06-05,GLENMARK,EQ,287.25,293.0,301.0,282.1,290.0,287.65,293.38,7750,2.2736975e+11,,,,14.3825,20.0
2000-06-06,GLENMARK,EQ,287.65,272.0,293.8,272.0,292.9,289.5,289.38,7500,2.1703275e+11,,,,14.475,20.0
2000-06-07,GLENMARK,EQ,289.5,294.5,294.75,282.0,285.0,283.9,287.16,4300,1.23477e+11,,,,14.195,20.0
2000-06-08,GLENMARK,EQ,283.9,282.0,283.0,275.0,276.0,276.25,278.39,3050,84909750000.0,,,,13.8125,20.0
2000-06-09,GLENMARK,EQ,276.25,275.0,277.4,270.0,272.0,272.1,273.68,3450,94420250000.0,,,,13.605,20.0
2000-06-12,GLENMARK,EQ,272.1,270.0,276.0,270.0,270.65,270.65,272.19,2400,65326500000.0,,,,13.5325,20.0
2000-06-13,GLENMARK,EQ,270.65,270.0,275.0,260.0,266.0,265.45,265.92,7800,2.074205e+11,,,,13.2725,20.0
