Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-05,CARBEVFLOW,EQ,53.0,50.0,50.0,50.0,,50.0,50.0,50,250000000.0,,,,10.0,5.0
1996-02-13,CARBEVFLOW,EQ,50.0,46.0,46.0,46.0,,46.0,46.0,100,460000000.0,,,,9.2,5.0
1996-02-14,CARBEVFLOW,EQ,46.0,46.0,46.0,46.0,,46.0,46.0,100,460000000.0,,,,9.2,5.0
1996-02-16,CARBEVFLOW,EQ,46.0,50.5,50.5,50.5,,50.5,50.5,150,757500000.0,,,,10.1,5.0
1996-02-19,CARBEVFLOW,EQ,50.5,55.0,55.5,55.0,,55.5,55.08,300,1652500000.0,,,,11.1,5.0
1996-02-20,CARBEVFLOW,EQ,55.5,57.0,58.0,57.0,,58.0,57.52,2200,12655000000.0,,,,11.6,5.0
1996-02-22,CARBEVFLOW,EQ,58.0,57.0,60.0,57.0,,60.0,58.96,4150,24469000000.0,,,,12.0,5.0
1996-02-23,CARBEVFLOW,EQ,60.0,57.0,58.0,57.0,,58.0,57.5,200,1150000000.0,,,,11.6,5.0
1996-02-26,CARBEVFLOW,EQ,58.0,58.0,60.0,58.0,,60.0,58.81,800,4705000000.0,,,,12.0,5.0
1996-02-27,CARBEVFLOW,EQ,60.0,55.0,55.0,55.0,,55.0,55.0,100,550000000.0,,,,11.0,5.0
1996-02-28,CARBEVFLOW,EQ,55.0,55.0,57.5,55.0,,56.5,57.0,1200,6840000000.0,,,,11.3,5.0
1996-02-29,CARBEVFLOW,EQ,56.5,54.9,54.9,54.9,,54.9,54.9,100,549000000.0,,,,10.98,5.0
1996-03-01,CARBEVFLOW,EQ,54.9,53.0,53.0,53.0,,53.0,53.0,350,1855000000.0,,,,10.6,5.0
1996-03-04,CARBEVFLOW,EQ,53.0,54.0,54.0,54.0,,54.0,54.0,100,540000000.0,,,,10.8,5.0
1996-03-08,CARBEVFLOW,EQ,54.0,57.5,57.5,57.5,,57.5,57.5,50,287500000.0,,,,11.5,5.0
1996-03-11,CARBEVFLOW,EQ,57.5,55.0,55.0,55.0,,55.0,55.0,100,550000000.0,,,,11.0,5.0
1996-03-12,CARBEVFLOW,EQ,55.0,54.5,54.5,54.5,,54.5,54.5,50,272500000.0,,,,10.9,5.0
1996-03-18,CARBEVFLOW,EQ,54.5,54.05,54.05,54.0,,54.0,54.03,100,540250000.0,,,,10.8,5.0
1996-03-21,CARBEVFLOW,EQ,54.0,56.5,56.5,54.0,,54.0,55.29,1650,9122500000.0,,,,10.8,5.0
1996-03-22,CARBEVFLOW,EQ,54.0,53.0,54.0,52.0,,54.0,53.0,2200,11660000000.0,,,,10.8,5.0
1996-03-25,CARBEVFLOW,EQ,54.0,52.0,52.0,52.0,,52.0,52.0,550,2860000000.0,,,,10.4,5.0
1996-03-26,CARBEVFLOW,EQ,52.0,54.05,55.0,54.05,,55.0,54.76,400,2190500000.0,,,,11.0,5.0
1996-03-27,CARBEVFLOW,EQ,55.0,55.0,56.0,54.0,,54.0,55.0,500,2750000000.0,,,,10.8,5.0
1996-03-29,CARBEVFLOW,EQ,54.0,54.0,59.5,54.0,,59.5,57.88,200,1157500000.0,,,,11.9,5.0
1996-04-01,CARBEVFLOW,EQ,59.5,59.5,65.0,62.0,,64.55,63.83,5750,36700000000.0,,,,12.91,5.0
1996-04-02,CARBEVFLOW,EQ,64.55,64.55,66.0,59.0,,63.5,61.92,700,4334500000.0,,,,12.7,5.0
1996-04-03,CARBEVFLOW,EQ,63.5,63.5,58.0,57.0,,57.05,57.31,500,2865250000.0,,,,11.41,5.0
1996-04-04,CARBEVFLOW,EQ,57.05,56.0,59.0,55.5,,59.0,57.07,1100,6277500000.0,,,,11.8,5.0
