Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,HDFCBANK,EQ,30.3,30.3,30.3,29.25,,29.8,29.78,35000,1.0423e+11,,,
1996-01-02,HDFCBANK,EQ,29.8,29.8,30.25,29.5,,29.75,29.71,41200,1.2242e+11,,,
1996-01-03,HDFCBANK,EQ,29.75,29.75,29.95,29.5,,29.85,29.68,28400,84284500000.0,,,
1996-01-04,HDFCBANK,EQ,29.85,29.85,29.8,29.4,,29.65,29.65,28200,83624500000.0,,,
1996-01-05,HDFCBANK,EQ,29.65,29.65,29.8,29.5,,29.6,29.61,18900,55961500000.0,,,
1996-01-08,HDFCBANK,EQ,29.6,29.6,29.5,29.1,,29.25,29.32,23700,69498000000.0,,,
1996-01-09,HDFCBANK,EQ,29.25,29.25,29.25,28.0,,28.3,28.56,48300,1.37961e+11,,,
1996-01-10,HDFCBANK,EQ,28.3,28.3,28.65,28.1,,28.4,28.44,22600,64282000000.0,,,
1996-01-11,HDFCBANK,EQ,28.4,28.4,28.8,28.0,,28.3,28.28,31800,89919500000.0,,,
1996-01-12,HDFCBANK,EQ,28.3,28.3,28.35,28.0,,28.25,28.22,43100,1.21612e+11,,,
1996-01-15,HDFCBANK,EQ,28.25,28.25,28.15,27.75,,27.9,27.96,18100,50611500000.0,,,
1996-01-16,HDFCBANK,EQ,27.9,27.9,28.0,27.4,,27.4,27.68,35800,99076500000.0,,,
1996-01-17,HDFCBANK,EQ,27.4,27.4,27.95,26.3,,26.55,26.89,42900,1.153735e+11,,,
1996-01-18,HDFCBANK,EQ,26.55,26.55,26.55,26.0,,26.4,26.22,33000,86538000000.0,,,
1996-01-19,HDFCBANK,EQ,26.4,26.4,26.3,25.35,,25.55,25.77,42600,1.09794e+11,,,
1996-01-22,HDFCBANK,EQ,25.55,25.55,25.9,25.2,,25.45,25.53,35900,91660500000.0,,,
1996-01-23,HDFCBANK,EQ,25.45,25.45,26.0,25.1,,25.3,25.38,39900,1.012735e+11,,,
1996-01-24,HDFCBANK,EQ,25.3,25.3,25.3,24.5,,24.65,24.72,44900,1.110095e+11,,,
1996-01-25,HDFCBANK,EQ,24.65,24.65,24.5,24.1,,24.35,24.28,39000,94709500000.0,,,
1996-01-29,HDFCBANK,EQ,24.35,24.35,24.95,23.95,,24.85,24.4,31100,75869000000.0,,,
1996-01-30,HDFCBANK,EQ,24.85,24.85,25.5,24.85,,25.2,25.27,45200,1.14216e+11,,,
1996-01-31,HDFCBANK,EQ,25.2,25.2,26.35,25.5,,25.9,25.91,34400,89145500000.0,,,
1996-02-01,HDFCBANK,EQ,25.9,25.9,28.0,26.0,,27.8,27.04,42400,1.14631e+11,,,
1996-02-02,HDFCBANK,EQ,27.8,27.8,29.95,28.0,,29.15,29.0,81900,2.37526e+11,,,
1996-02-05,HDFCBANK,EQ,29.15,29.15,31.0,29.5,,29.95,30.13,90600,2.729565e+11,,,
1996-02-06,HDFCBANK,EQ,29.95,29.95,30.5,29.5,,29.75,30.0,88800,2.6641e+11,,,
1996-02-07,HDFCBANK,EQ,29.75,29.75,29.25,28.25,,28.65,28.84,58600,1.690085e+11,,,
1996-02-08,HDFCBANK,EQ,28.65,28.65,31.5,28.85,,30.45,29.7,66700,1.98094e+11,,,
1996-02-09,HDFCBANK,EQ,30.45,30.45,36.55,33.5,,36.5,34.71,172000,5.970785e+11,,,
1996-02-12,HDFCBANK,EQ,36.5,36.5,37.95,34.5,,35.1,35.95,285100,1.0250615e+12,,,
1996-02-13,HDFCBANK,EQ,35.1,36.0,36.0,33.25,,34.5,34.25,145100,4.969205e+11,,,
1996-02-14,HDFCBANK,EQ,34.5,34.5,38.0,35.9,,37.1,37.34,246400,9.200915e+11,,,
1996-02-15,HDFCBANK,EQ,37.1,37.1,37.7,36.7,,36.85,37.02,119100,4.408725e+11,,,
1996-02-16,HDFCBANK,EQ,36.85,36.85,36.75,35.1,,35.6,35.75,139600,4.990985e+11,,,
1996-02-19,HDFCBANK,EQ,35.6,35.6,36.5,35.0,,35.15,35.73,129700,4.63426e+11,,,
1996-02-20,HDFCBANK,EQ,35.15,35.15,35.15,33.05,,33.65,34.12,136100,4.643125e+11,,,
1996-02-22,HDFCBANK,EQ,33.65,33.65,34.75,34.0,,34.25,34.29,84800,2.9076e+11,,,
1996-02-23,HDFCBANK,EQ,34.25,34.25,35.0,34.0,,34.2,34.25,68700,2.352935e+11,,,
1996-02-26,HDFCBANK,EQ,34.2,34.2,34.75,33.75,,33.85,34.26,64700,2.21691e+11,,,
1996-02-27,HDFCBANK,EQ,33.85,33.9,34.25,33.0,,33.95,33.64,84100,2.82885e+11,,,
1996-02-28,HDFCBANK,EQ,33.95,33.95,34.45,33.05,,33.25,33.77,42200,1.42496e+11,,,
1996-02-29,HDFCBANK,EQ,33.25,33.0,33.0,30.0,,30.65,30.7,127500,3.91412e+11,,,
1996-03-01,HDFCBANK,EQ,30.65,30.65,31.5,30.0,,31.1,31.04,73200,2.2722e+11,,,
1996-03-04,HDFCBANK,EQ,31.1,31.1,31.0,30.5,,30.65,30.72,64700,1.98773e+11,,,
1996-03-06,HDFCBANK,EQ,30.65,30.65,31.5,30.8,,31.0,31.08,36000,1.11889e+11,,,
1996-03-07,HDFCBANK,EQ,31.0,31.0,31.5,30.25,,30.6,30.91,48600,1.50246e+11,,,
1996-03-08,HDFCBANK,EQ,30.6,30.6,30.7,30.0,,30.5,30.27,38700,1.17155e+11,,,
1996-03-11,HDFCBANK,EQ,30.5,30.5,30.45,29.75,,29.95,29.99,32400,97169000000.0,,,
1996-03-12,HDFCBANK,EQ,29.95,29.95,29.95,29.3,,29.55,29.63,40000,1.18522e+11,,,
1996-03-13,HDFCBANK,EQ,29.55,29.55,31.0,30.0,,30.8,30.4,48600,1.47759e+11,,,
1996-03-14,HDFCBANK,EQ,30.8,30.8,31.5,30.45,,30.7,30.79,52900,1.62887e+11,,,
1996-03-15,HDFCBANK,EQ,30.7,31.0,31.0,30.0,,30.0,30.15,80700,2.43339e+11,,,
1996-03-18,HDFCBANK,EQ,30.0,30.0,30.25,29.3,,29.85,29.74,38800,1.154055e+11,,,
1996-03-19,HDFCBANK,EQ,29.85,29.85,30.0,29.0,,29.55,29.58,61700,1.824945e+11,,,
1996-03-21,HDFCBANK,EQ,29.55,29.55,30.15,29.5,,30.05,29.97,64300,1.927065e+11,,,
1996-03-22,HDFCBANK,EQ,30.05,30.05,30.2,29.35,,29.95,29.84,19400,57882000000.0,,,
1996-03-25,HDFCBANK,EQ,29.95,29.95,30.5,29.8,,30.25,30.13,41300,1.244355e+11,,,
1996-03-26,HDFCBANK,EQ,30.25,30.25,30.8,29.8,,30.45,30.18,64300,1.940895e+11,,,
1996-03-27,HDFCBANK,EQ,30.45,30.45,31.1,30.3,,31.0,30.77,79500,2.44619e+11,,,
1996-03-28,HDFCBANK,EQ,31.0,31.0,32.75,31.3,,32.1,31.92,112400,3.587365e+11,,,
1996-03-29,HDFCBANK,EQ,32.1,32.1,33.1,32.0,,32.45,32.58,135600,4.417225e+11,,,
1996-04-01,HDFCBANK,EQ,32.45,32.45,33.0,32.4,,32.9,32.75,96300,3.153625e+11,,,
1996-04-02,HDFCBANK,EQ,32.9,32.9,34.5,32.8,,34.0,33.61,183500,6.167685e+11,,,
1996-04-03,HDFCBANK,EQ,34.0,34.0,36.0,34.0,,34.9,35.15,208200,7.31791e+11,,,
1996-04-04,HDFCBANK,EQ,34.9,34.9,34.55,33.5,,34.05,33.93,113400,3.847875e+11,,,
1996-04-08,HDFCBANK,EQ,34.05,34.05,34.7,34.1,,34.5,34.43,92500,3.18451e+11,,,
1996-04-09,HDFCBANK,EQ,34.5,34.5,34.6,33.55,,33.85,34.15,121900,4.16235e+11,,,
1996-04-10,HDFCBANK,EQ,33.85,33.85,34.6,32.4,,32.85,33.4,90400,3.019795e+11,,,
1996-04-11,HDFCBANK,EQ,32.85,32.5,33.4,32.5,,33.35,33.04,63100,2.084905e+11,,,
1996-04-12,HDFCBANK,EQ,33.35,33.35,33.85,32.8,,33.5,33.26,56400,1.875905e+11,,,
1996-04-15,HDFCBANK,EQ,33.5,34.1,34.55,33.75,,34.25,34.14,98800,3.372665e+11,,,
1996-04-16,HDFCBANK,EQ,34.25,34.2,34.35,33.6,,33.75,33.91,78300,2.65534e+11,,,
1996-04-17,HDFCBANK,EQ,33.75,33.75,35.25,34.25,,35.05,34.8,154600,5.38034e+11,,,
1996-04-18,HDFCBANK,EQ,35.05,35.5,36.95,35.05,,36.55,36.27,270600,9.81469e+11,,,
1996-04-19,HDFCBANK,EQ,36.55,37.0,40.25,36.25,,38.45,38.79,635000,2.46309e+12,,,
