Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,HEG,EQ,31.75,31.0,31.95,31.0,,31.0,31.38,4350,13650500000.0,,,,31.0,1.0
1996-01-02,HEG,EQ,31.0,31.0,31.6,31.0,,31.5,31.38,4500,14120250000.0,,,,31.5,1.0
1996-01-03,HEG,EQ,31.5,31.55,31.65,31.5,,31.65,31.52,900,2836500000.0,,,,31.65,1.0
1996-01-04,HEG,EQ,31.65,31.65,31.75,30.5,,30.5,31.28,3500,10947500000.0,,,,30.5,1.0
1996-01-05,HEG,EQ,30.5,30.75,30.95,30.5,,30.5,30.75,2400,7379500000.0,,,,30.5,1.0
1996-01-08,HEG,EQ,30.5,30.5,30.5,28.2,,28.3,29.56,4200,12413500000.0,,,,28.3,1.0
1996-01-09,HEG,EQ,28.3,28.3,29.5,27.25,,29.5,28.3,1900,5377500000.0,,,,29.5,1.0
1996-01-10,HEG,EQ,29.5,28.0,29.85,28.0,,29.05,28.75,1950,5606500000.0,,,,29.05,1.0
1996-01-11,HEG,EQ,29.05,29.05,29.6,29.5,,29.6,29.53,400,1181000000.0,,,,29.6,1.0
1996-01-12,HEG,EQ,29.6,29.6,30.0,28.5,,29.7,29.37,1050,3084250000.0,,,,29.7,1.0
1996-01-15,HEG,EQ,29.7,29.7,30.0,28.5,,29.55,29.63,850,2518250000.0,,,,29.55,1.0
1996-01-16,HEG,EQ,29.55,29.55,29.5,29.0,,29.25,29.27,1600,4682750000.0,,,,29.25,1.0
1996-01-17,HEG,EQ,29.25,29.25,29.0,27.5,,28.75,28.44,1150,3270750000.0,,,,28.75,1.0
1996-01-18,HEG,EQ,28.75,27.0,29.0,26.5,,29.0,27.99,1100,3079000000.0,,,,29.0,1.0
1996-01-19,HEG,EQ,29.0,29.0,28.7,28.0,,28.7,28.16,400,1126500000.0,,,,28.7,1.0
1996-01-22,HEG,EQ,28.7,28.7,28.75,28.05,,28.75,28.35,1650,4677500000.0,,,,28.75,1.0
1996-01-23,HEG,EQ,28.75,28.75,29.0,27.55,,28.1,28.2,750,2115000000.0,,,,28.1,1.0
1996-01-24,HEG,EQ,28.1,27.9,27.9,26.6,,26.6,27.07,650,1759500000.0,,,,26.6,1.0
1996-01-25,HEG,EQ,26.6,26.6,27.0,26.3,,26.5,26.72,1750,4676000000.0,,,,26.5,1.0
1996-01-29,HEG,EQ,26.5,26.5,27.95,25.3,,27.95,26.41,1150,3036750000.0,,,,27.95,1.0
1996-01-30,HEG,EQ,27.95,27.0,27.0,25.85,,25.9,26.44,1400,3701750000.0,,,,25.9,1.0
1996-01-31,HEG,EQ,25.9,26.5,27.95,26.5,,27.0,27.27,800,2181750000.0,,,,27.0,1.0
1996-02-01,HEG,EQ,27.0,27.0,27.5,27.0,,27.5,27.33,1800,4920000000.0,,,,27.5,1.0
1996-02-02,HEG,EQ,27.5,27.5,30.0,29.5,,30.0,29.79,1900,5659500000.0,,,,30.0,1.0
1996-02-05,HEG,EQ,30.0,30.0,33.0,31.0,,33.0,32.43,950,3081000000.0,,,,33.0,1.0
1996-06-17,HEG,EQ,30.25,30.0,30.95,29.25,,30.0,30.27,5500,16650750000.0,,,,30.0,1.0
1996-06-18,HEG,EQ,30.0,30.0,30.0,28.8,,29.6,29.45,16450,48446000000.0,,,,29.6,1.0
1996-06-19,HEG,EQ,29.6,29.5,29.6,29.0,,29.4,29.23,3700,10816000000.0,,,,29.4,1.0
1996-06-20,HEG,EQ,29.4,29.5,29.5,29.3,,29.45,29.46,1650,4861250000.0,,,,29.45,1.0
1996-06-21,HEG,EQ,29.45,28.25,29.75,28.25,,29.4,29.4,2300,6761500000.0,,,,29.4,1.0
1996-06-24,HEG,EQ,29.4,29.25,29.75,29.25,,29.75,29.39,4450,13080250000.0,,,,29.75,1.0
1996-06-25,HEG,EQ,29.75,29.25,29.75,29.25,,29.55,29.44,3000,8832000000.0,,,,29.55,1.0
1996-06-26,HEG,EQ,29.55,29.05,29.85,29.05,,29.75,29.54,7350,21708500000.0,,,,29.75,1.0
1996-06-27,HEG,EQ,29.75,29.0,30.0,28.5,,30.0,29.31,4350,12747750000.0,,,,30.0,1.0
1996-06-28,HEG,EQ,30.0,28.75,30.0,28.75,,29.75,29.65,4050,12007000000.0,,,,29.75,1.0
1996-07-01,HEG,EQ,29.75,29.25,29.6,29.1,,29.6,29.37,2900,8516000000.0,,,,29.6,1.0
1996-07-02,HEG,EQ,29.6,29.5,30.0,28.85,,29.75,29.59,5600,16570750000.0,,,,29.75,1.0
1996-07-03,HEG,EQ,29.75,29.0,29.75,29.0,,29.7,29.64,4250,12595250000.0,,,,29.7,1.0
1996-07-04,HEG,EQ,29.7,28.9,29.9,28.85,,29.75,29.52,5400,15943000000.0,,,,29.75,1.0
1996-07-05,HEG,EQ,29.75,28.65,29.95,28.65,,29.85,29.64,8050,23863750000.0,,,,29.85,1.0
1996-07-08,HEG,EQ,0.0,28.5,30.0,28.5,,28.85,29.18,3450,10068250000.0,,,,28.85,1.0
1996-07-09,HEG,EQ,28.85,28.75,29.2,28.75,,29.2,29.01,1700,4931500000.0,,,,29.2,1.0
1996-07-10,HEG,EQ,29.2,28.5,29.75,28.5,,29.7,29.62,4050,11996000000.0,,,,29.7,1.0
1996-07-11,HEG,EQ,29.7,29.0,29.75,29.0,,29.7,29.63,7350,21777500000.0,,,,29.7,1.0
1996-07-12,HEG,EQ,29.7,29.5,29.85,29.15,,29.85,29.6,2650,7845250000.0,,,,29.85,1.0
1996-07-15,HEG,EQ,29.85,29.3,29.9,29.0,,29.0,29.44,3950,11630500000.0,,,,29.0,1.0
1996-07-16,HEG,EQ,29.0,29.5,29.5,28.6,,28.6,28.88,8200,23680500000.0,,,,28.6,1.0
1996-07-17,HEG,EQ,28.6,28.75,29.0,28.55,,28.8,28.89,3000,8666000000.0,,,,28.8,1.0
1996-07-18,HEG,EQ,28.8,28.5,28.7,27.0,,28.55,28.01,4900,13725000000.0,,,,28.55,1.0
1996-07-19,HEG,EQ,28.55,28.6,28.75,27.65,,28.75,28.51,4650,13258250000.0,,,,28.75,1.0
1996-07-22,HEG,EQ,28.75,28.75,29.45,28.75,,29.15,29.23,2800,8185500000.0,,,,29.15,1.0
1996-07-23,HEG,EQ,29.15,28.3,29.25,27.8,,29.15,28.51,5850,16680500000.0,,,,29.15,1.0
1996-07-24,HEG,EQ,29.15,28.0,29.15,28.0,,28.5,28.59,6650,19014750000.0,,,,28.5,1.0
1996-07-25,HEG,EQ,28.5,27.8,29.0,27.8,,28.85,28.44,4300,12227250000.0,,,,28.85,1.0
1996-07-26,HEG,EQ,28.85,28.0,28.55,28.0,,28.55,28.32,2700,7645750000.0,,,,28.55,1.0
1996-07-29,HEG,EQ,28.55,28.95,28.95,27.0,,27.65,28.18,6850,19304500000.0,,,,27.65,1.0
1996-07-30,HEG,EQ,27.65,27.05,27.75,27.0,,27.45,27.34,4100,11208250000.0,,,,27.45,1.0
1996-07-31,HEG,EQ,27.45,27.25,27.7,27.25,,27.35,27.55,3750,10333000000.0,,,,27.35,1.0
1996-08-01,HEG,EQ,27.35,27.3,28.0,27.3,,27.55,27.7,1850,5123750000.0,,,,27.55,1.0
1996-08-02,HEG,EQ,27.55,28.0,28.0,26.75,,26.95,27.22,5950,16193750000.0,,,,26.95,1.0
1996-08-05,HEG,EQ,26.95,25.6,26.25,25.0,,25.45,25.72,3500,9001750000.0,,,,25.45,1.0
1996-08-06,HEG,EQ,25.45,25.0,25.9,24.6,,24.6,25.0,1400,3499500000.0,,,,24.6,1.0
1996-08-07,HEG,EQ,24.6,24.55,25.5,24.5,,25.0,24.87,1050,2611000000.0,,,,25.0,1.0
1996-08-08,HEG,EQ,25.0,24.75,26.5,24.75,,25.5,25.67,1500,3851000000.0,,,,25.5,1.0
1996-08-09,HEG,EQ,25.5,25.05,25.85,25.0,,25.85,25.38,2550,6471500000.0,,,,25.85,1.0
1996-08-12,HEG,EQ,25.85,25.25,25.45,24.5,,24.7,24.88,2650,6593750000.0,,,,24.7,1.0
1996-08-13,HEG,EQ,24.7,24.75,24.95,24.5,,24.55,24.71,2100,5189500000.0,,,,24.55,1.0
1996-08-14,HEG,EQ,24.55,23.5,24.25,23.0,,23.65,23.58,1850,4361750000.0,,,,23.65,1.0
1996-08-16,HEG,EQ,23.65,23.25,24.5,22.55,,24.0,23.66,4850,11476750000.0,,,,24.0,1.0
1996-08-19,HEG,EQ,24.0,23.5,24.2,23.25,,24.05,23.75,1800,4274250000.0,,,,24.05,1.0
