Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-03-08,HINDMOTORS,EQ,16.7,17.0,17.75,16.7,17.25,17.35,17.3,183957,3.1820059e+11,,68076,0.3701
2011-03-09,HINDMOTORS,EQ,17.35,17.5,17.7,17.0,17.25,17.1,17.29,134525,2.32658305e+11,,62703,0.4661
2011-03-10,HINDMOTORS,EQ,17.1,17.2,17.2,16.8,16.95,17.0,17.02,82984,1.41197605e+11,,41410,0.499
2011-03-11,HINDMOTORS,EQ,17.0,16.8,16.95,16.25,16.6,16.6,16.51,182932,3.0202837e+11,,141886,0.7756
2011-03-14,HINDMOTORS,EQ,16.6,16.6,17.0,16.5,16.7,16.7,16.74,79753,1.33541605e+11,,55676,0.6981
2011-03-15,HINDMOTORS,EQ,16.7,16.7,16.7,15.85,16.0,15.95,16.1,85083,1.3701936e+11,,55197,0.6487
2011-03-16,HINDMOTORS,EQ,15.95,16.05,16.5,15.95,16.2,16.05,16.2,106951,1.733021e+11,,67413,0.6303
2011-03-17,HINDMOTORS,EQ,16.05,16.0,16.4,15.8,16.1,16.0,16.03,54063,86657750000.0,,37610,0.6957
2011-03-18,HINDMOTORS,EQ,16.0,16.0,16.25,15.7,16.05,15.85,15.83,151996,2.40661685e+11,,107410,0.7067
2011-03-21,HINDMOTORS,EQ,15.85,16.05,16.35,15.65,15.95,15.75,15.87,83697,1.32801065e+11,,52558,0.628
2011-03-22,HINDMOTORS,EQ,15.75,15.7,16.5,15.1,15.25,15.2,15.43,293537,4.53014235e+11,,226559,0.7718
2011-03-23,HINDMOTORS,EQ,15.2,15.5,15.5,15.15,15.2,15.3,15.31,111253,1.7031087e+11,,93421,0.8397
2011-03-24,HINDMOTORS,EQ,15.3,15.2,15.55,15.2,15.2,15.25,15.38,145750,2.24202655e+11,,125985,0.8644
2011-03-25,HINDMOTORS,EQ,15.25,15.3,15.45,15.2,15.3,15.3,15.33,144074,2.20827125e+11,,117803,0.8177
2011-03-28,HINDMOTORS,EQ,15.3,15.45,16.1,15.2,15.25,15.3,15.57,132468,2.0629499e+11,,82980,0.6264
2011-03-29,HINDMOTORS,EQ,15.3,15.3,16.1,15.0,15.15,15.25,15.5,394200,6.1091844e+11,,211718,0.5371
2011-03-30,HINDMOTORS,EQ,15.25,15.35,15.9,15.3,15.65,15.55,15.58,160527,2.50035655e+11,,100842,0.6282
2011-03-31,HINDMOTORS,EQ,15.55,15.6,15.75,15.0,15.25,15.2,15.29,224141,3.4274884e+11,,158141,0.7055
2011-04-01,HINDMOTORS,EQ,15.2,15.1,18.25,15.05,17.8,17.7,17.41,2328558,4.053298465e+12,,403081,0.1731
2011-04-04,HINDMOTORS,EQ,17.7,18.15,18.6,17.2,18.05,18.0,17.91,628296,1.12521184e+12,,253516,0.4035
2011-04-05,HINDMOTORS,EQ,18.0,18.2,18.5,17.9,18.05,18.15,18.15,286055,5.1916874e+11,,126866,0.4435
2011-04-06,HINDMOTORS,EQ,18.15,18.15,18.75,17.9,18.1,18.05,18.2,357949,6.51469005e+11,,172240,0.4812
2011-04-07,HINDMOTORS,EQ,18.05,18.1,21.4,18.1,21.0,21.0,20.42,2749117,5.614836255e+12,,745513,0.2712
2011-04-08,HINDMOTORS,EQ,21.0,21.2,23.35,21.2,22.0,21.85,22.22,3141766,6.97985915e+12,,730474,0.2325
2011-04-11,HINDMOTORS,EQ,21.85,22.5,22.75,20.9,21.3,21.3,22.0,1176356,2.58844316e+12,,361400,0.3072
2011-04-13,HINDMOTORS,EQ,21.3,21.05,21.95,20.85,21.45,21.45,21.44,715095,1.53299488e+12,,214640,0.3002
2011-04-15,HINDMOTORS,EQ,21.45,21.5,21.85,20.9,21.0,21.0,21.35,431946,9.222178e+11,,182175,0.4218
2011-04-18,HINDMOTORS,EQ,21.0,21.0,21.45,20.05,20.3,20.15,20.68,394952,8.16785595e+11,,180053,0.4559
2011-04-19,HINDMOTORS,EQ,20.15,20.15,20.65,19.7,19.75,19.9,20.18,287713,5.8067048e+11,,122667,0.4264
2011-04-20,HINDMOTORS,EQ,19.9,20.4,21.0,20.1,20.25,20.3,20.48,421659,8.63423645e+11,,160528,0.3807
2011-04-21,HINDMOTORS,EQ,20.3,20.5,20.5,19.75,20.0,19.85,20.09,205486,4.1274056e+11,,124358,0.6052
2011-04-25,HINDMOTORS,EQ,19.85,20.0,20.2,19.2,19.25,19.3,19.64,233295,4.58250845e+11,,119557,0.5125
2011-04-26,HINDMOTORS,EQ,19.3,19.5,19.5,18.9,19.05,19.15,19.14,221613,4.24206295e+11,,76900,0.347
2011-04-27,HINDMOTORS,EQ,19.15,19.6,20.4,19.15,19.5,19.6,19.93,489847,9.76053485e+11,,129243,0.2638
2011-04-28,HINDMOTORS,EQ,19.6,20.0,20.0,18.85,18.9,18.95,19.21,283461,5.44635925e+11,,137986,0.4868
2011-04-29,HINDMOTORS,EQ,18.95,19.35,19.8,18.35,18.5,18.55,18.85,275837,5.19946855e+11,,94599,0.343
2011-05-02,HINDMOTORS,EQ,18.55,18.95,19.0,18.3,18.35,18.4,18.65,189915,3.54123765e+11,,78450,0.4131
2011-05-03,HINDMOTORS,EQ,18.4,18.15,18.9,17.85,18.2,17.9,18.17,342531,6.2251358e+11,,107097,0.3127
2011-05-04,HINDMOTORS,EQ,17.9,17.9,18.3,17.75,17.85,17.85,18.0,228041,4.10452575e+11,,97408,0.4272
2011-05-05,HINDMOTORS,EQ,17.85,18.5,18.5,17.4,17.6,17.55,17.82,183580,3.271713e+11,,74133,0.4038
2011-05-06,HINDMOTORS,EQ,17.55,17.95,18.35,17.5,17.9,17.9,17.88,245003,4.3804868e+11,,82092,0.3351
2011-05-06,HINDMOTORS,EQ,17.55,17.95,18.35,17.5,17.9,17.9,17.88,245003,4.3804868e+11,,82092,0.3351
2011-05-09,HINDMOTORS,EQ,17.9,18.0,18.05,17.4,17.6,17.55,17.63,263239,4.6403407e+11,,85134,0.3234
2011-05-10,HINDMOTORS,EQ,17.55,17.6,18.25,17.55,18.15,18.0,17.91,326872,5.8545737e+11,,120796,0.3696
2011-05-11,HINDMOTORS,EQ,18.0,18.1,18.4,18.05,18.2,18.15,18.22,152124,2.77110425e+11,,76996,0.5061
2011-05-12,HINDMOTORS,EQ,18.15,18.2,18.2,17.7,18.1,17.9,17.97,148062,2.6602351e+11,,87602,0.5917
2011-05-13,HINDMOTORS,EQ,17.9,17.9,18.85,17.1,18.6,18.5,18.43,402526,7.41987105e+11,,143730,0.3571
2011-05-16,HINDMOTORS,EQ,18.5,18.5,19.05,18.2,18.35,18.35,18.54,261807,4.8550838e+11,,103592,0.3957
2011-05-17,HINDMOTORS,EQ,18.35,18.6,19.05,18.15,18.15,18.3,18.57,600981,1.11607734e+12,,133718,0.2225
2011-05-18,HINDMOTORS,EQ,18.3,18.05,18.5,17.8,18.0,17.95,18.17,194301,3.53003435e+11,,77846,0.4006
2011-05-19,HINDMOTORS,EQ,17.95,18.0,18.15,17.65,17.8,17.7,17.89,174322,3.1178413e+11,,72487,0.4158
2011-05-20,HINDMOTORS,EQ,17.7,17.85,17.9,17.4,17.5,17.5,17.56,202536,3.5566552e+11,,69497,0.3431
2011-05-23,HINDMOTORS,EQ,17.5,17.5,17.5,16.7,16.7,16.8,17.01,115433,1.96384365e+11,,72317,0.6265
2011-05-24,HINDMOTORS,EQ,16.8,16.95,17.2,16.5,16.65,16.6,16.79,105211,1.76682745e+11,,55249,0.5251
2011-05-25,HINDMOTORS,EQ,16.6,16.55,18.85,16.35,18.15,18.3,18.0,1006032,1.810914635e+12,,267202,0.2656
2011-05-26,HINDMOTORS,EQ,18.3,18.7,18.7,17.5,17.6,17.65,18.01,363021,6.538677e+11,,146411,0.4033
2011-05-27,HINDMOTORS,EQ,17.65,17.95,18.35,17.55,17.65,17.65,17.88,211225,3.77707375e+11,,89111,0.4219
2011-05-30,HINDMOTORS,EQ,17.65,17.85,17.85,17.3,17.3,17.35,17.55,259516,4.55515455e+11,,147010,0.5665
2011-05-31,HINDMOTORS,EQ,17.35,17.3,17.85,17.2,17.4,17.5,17.52,296604,5.1969298e+11,,119879,0.4042
2011-06-01,HINDMOTORS,EQ,17.5,17.6,18.2,17.45,17.8,17.85,17.89,380468,6.8075978e+11,3455.0,159371,0.4189
2011-06-02,HINDMOTORS,EQ,17.85,17.45,17.8,17.25,17.4,17.35,17.46,284584,4.96792325e+11,2695.0,126268,0.4437
2011-06-03,HINDMOTORS,EQ,17.35,17.5,17.85,17.2,17.3,17.25,17.5,203043,3.5532206e+11,3997.0,85641,0.4218
2011-06-06,HINDMOTORS,EQ,17.25,17.35,17.65,17.15,17.25,17.25,17.33,258955,4.4875042e+11,1470.0,76594,0.2958
2011-06-07,HINDMOTORS,EQ,17.25,17.2,17.95,17.2,17.85,17.75,17.63,343352,6.05161875e+11,1711.0,150394,0.438
2011-06-08,HINDMOTORS,EQ,17.75,17.7,18.8,17.6,18.05,18.15,18.37,654720,1.202649715e+12,2696.0,205196,0.3134
2011-06-09,HINDMOTORS,EQ,18.15,18.15,18.5,18.0,18.3,18.35,18.29,253454,4.63582055e+11,885.0,138825,0.5477
2011-06-10,HINDMOTORS,EQ,18.35,18.3,18.75,18.1,18.15,18.2,18.43,321155,5.91842385e+11,1399.0,160599,0.5001
2011-06-13,HINDMOTORS,EQ,18.2,18.2,18.35,17.85,17.95,17.95,18.13,208514,3.78106765e+11,953.0,90375,0.4334
2011-06-14,HINDMOTORS,EQ,17.95,18.25,18.35,17.8,17.9,17.9,18.05,214332,3.8688942e+11,851.0,95121,0.4438
2011-06-15,HINDMOTORS,EQ,17.9,17.8,18.05,17.6,17.6,17.65,17.87,186523,3.3329356e+11,751.0,77872,0.4175
2011-06-16,HINDMOTORS,EQ,17.65,17.25,17.7,17.1,17.55,17.55,17.54,111579,1.95671695e+11,488.0,61361,0.5499
2011-06-17,HINDMOTORS,EQ,17.55,17.7,17.7,17.05,17.15,17.1,17.28,181893,3.14277325e+11,1034.0,122191,0.6718
2011-06-20,HINDMOTORS,EQ,17.1,17.2,17.45,15.75,16.05,16.15,16.34,269762,4.40875245e+11,1016.0,136203,0.5049
2011-06-21,HINDMOTORS,EQ,16.15,16.7,16.7,15.7,15.75,15.9,16.09,201359,3.23934125e+11,781.0,135936,0.6751
2011-06-22,HINDMOTORS,EQ,15.9,16.05,16.1,15.45,15.5,15.55,15.67,166015,2.60111565e+11,770.0,91602,0.5518
2011-06-23,HINDMOTORS,EQ,15.55,15.25,15.55,15.1,15.25,15.25,15.29,193812,2.9624635e+11,1238.0,109628,0.5656
2011-06-24,HINDMOTORS,EQ,15.25,15.1,16.05,15.1,15.8,15.75,15.69,260016,4.0806225e+11,1021.0,137574,0.5291
2011-06-27,HINDMOTORS,EQ,15.75,15.8,16.25,15.5,15.9,15.75,15.92,140948,2.2440695e+11,703.0,71521,0.5074
