Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,HINDLEVER,EQ,622.0,622.0,625.75,618.05,,618.05,622.0,1100,68419750000.0,,,,61.805,10.0
1996-01-02,HINDLEVER,EQ,618.05,618.05,627.0,618.25,,624.65,622.8,20350,1.26739275e+12,,,,62.465,10.0
1996-01-03,HINDLEVER,EQ,624.65,624.65,623.5,618.0,,620.95,620.5,5800,3.5989275e+11,,,,62.095,10.0
1996-01-04,HINDLEVER,EQ,620.95,620.0,623.0,619.0,,621.0,620.37,11150,6.9171425e+11,,,,62.1,10.0
1996-01-05,HINDLEVER,EQ,621.0,621.0,624.0,615.0,,620.0,620.31,3950,2.4502275e+11,,,,62.0,10.0
1996-01-08,HINDLEVER,EQ,620.0,620.0,621.5,615.25,,620.25,619.8,10750,6.662805e+11,,,,62.025,10.0
1996-01-09,HINDLEVER,EQ,620.25,620.25,625.0,618.0,,622.6,620.68,11450,7.1067625e+11,,,,62.26,10.0
1996-01-10,HINDLEVER,EQ,622.6,622.6,628.0,620.05,,627.05,625.44,11350,7.09877e+11,,,,62.705,10.0
1996-01-11,HINDLEVER,EQ,627.05,627.05,628.0,620.05,,624.0,623.59,6750,4.209205e+11,,,,62.4,10.0
1996-01-12,HINDLEVER,EQ,624.0,624.0,628.0,624.0,,624.35,625.43,5700,3.5649575e+11,,,,62.435,10.0
1996-01-15,HINDLEVER,EQ,624.35,624.35,626.0,624.0,,624.0,624.53,1850,1.155375e+11,,,,62.4,10.0
1996-01-16,HINDLEVER,EQ,624.0,624.0,627.0,623.0,,626.35,624.74,6200,3.8734175e+11,,,,62.635,10.0
1996-01-17,HINDLEVER,EQ,626.35,626.35,631.0,624.0,,629.25,629.2,13950,8.777285e+11,,,,62.925,10.0
1996-01-18,HINDLEVER,EQ,629.25,629.25,631.0,624.0,,630.0,627.74,10550,6.6226775e+11,,,,63.0,10.0
1996-01-19,HINDLEVER,EQ,630.0,630.0,644.2,627.55,,636.8,638.82,34500,2.20391975e+12,,,,63.68,10.0
1996-01-22,HINDLEVER,EQ,636.8,636.8,637.0,631.25,,635.6,634.09,6550,4.1533175e+11,,,,63.56,10.0
1996-01-23,HINDLEVER,EQ,635.6,635.6,641.0,635.0,,636.5,636.69,10950,6.97172e+11,,,,63.65,10.0
1996-01-24,HINDLEVER,EQ,636.5,636.5,635.0,628.0,,633.4,632.72,8250,5.21991e+11,,,,63.34,10.0
1996-01-25,HINDLEVER,EQ,633.4,633.4,635.0,616.0,,633.0,630.03,13650,8.599845e+11,,,,63.3,10.0
1996-01-29,HINDLEVER,EQ,633.0,633.0,641.5,625.0,,638.75,635.33,16900,1.07371e+12,,,,63.875,10.0
1996-01-30,HINDLEVER,EQ,638.75,638.75,645.0,637.5,,643.4,640.8,4600,2.9477e+11,,,,64.34,10.0
1996-01-31,HINDLEVER,EQ,643.4,643.4,644.0,640.0,,642.95,641.74,8400,5.390635e+11,,,,64.295,10.0
1996-02-01,HINDLEVER,EQ,642.95,642.95,648.0,641.0,,647.95,647.15,21400,1.384909e+12,,,,64.795,10.0
1996-02-02,HINDLEVER,EQ,647.95,647.95,699.0,648.0,,659.65,659.19,9550,6.29524e+11,,,,65.965,10.0
1996-02-05,HINDLEVER,EQ,659.65,659.65,694.5,663.0,,679.8,676.49,21600,1.46121225e+12,,,,67.98,10.0
1996-02-06,HINDLEVER,EQ,679.8,679.8,680.0,650.0,,669.15,670.07,14200,9.51494e+11,,,,66.915,10.0
1996-02-07,HINDLEVER,EQ,669.15,669.15,672.0,625.0,,670.65,668.32,9850,6.5829175e+11,,,,67.065,10.0
1996-02-08,HINDLEVER,EQ,670.65,670.65,693.0,671.0,,686.0,680.47,16300,1.1091735e+12,,,,68.6,10.0
1996-02-09,HINDLEVER,EQ,686.0,686.0,688.0,672.5,,682.45,681.11,11300,7.6965975e+11,,,,68.245,10.0
1996-02-12,HINDLEVER,EQ,682.45,682.45,703.0,675.0,,698.5,695.84,22750,1.58302575e+12,,,,69.85,10.0
1996-02-13,HINDLEVER,EQ,698.5,698.5,715.0,678.9,,709.4,702.74,21900,1.5390045e+12,,,,70.94,10.0
1996-02-14,HINDLEVER,EQ,709.4,709.4,725.0,701.0,,706.0,710.99,9600,6.8254725e+11,,,,70.6,10.0
1996-02-15,HINDLEVER,EQ,706.0,706.0,718.0,701.3,,714.1,710.08,14850,1.05446625e+12,,,,71.41,10.0
1996-02-16,HINDLEVER,EQ,714.1,714.1,711.0,703.0,,705.0,707.75,17750,1.2562485e+12,,,,70.5,10.0
1996-02-19,HINDLEVER,EQ,705.0,705.0,715.0,696.0,,710.85,706.52,16650,1.17635575e+12,,,,71.085,10.0
1996-02-20,HINDLEVER,EQ,710.85,710.85,711.4,702.1,,705.1,706.01,13900,9.8135375e+11,,,,70.51,10.0
1996-02-22,HINDLEVER,EQ,705.1,705.1,720.0,702.25,,717.25,712.66,11850,8.4450025e+11,,,,71.725,10.0
1996-02-23,HINDLEVER,EQ,717.25,717.25,721.0,712.5,,719.4,718.1,18200,1.306933e+12,,,,71.94,10.0
1996-02-26,HINDLEVER,EQ,719.4,719.4,720.0,713.0,,714.2,716.83,7250,5.1969925e+11,,,,71.42,10.0
1996-02-27,HINDLEVER,EQ,714.2,714.2,718.0,708.0,,714.05,712.79,12300,8.7673475e+11,,,,71.405,10.0
1996-02-28,HINDLEVER,EQ,714.05,714.05,718.8,711.0,,714.95,715.17,5400,3.86194e+11,,,,71.495,10.0
1996-02-29,HINDLEVER,EQ,714.95,714.95,712.0,706.0,,709.25,708.54,6750,4.782625e+11,,,,70.925,10.0
1996-03-01,HINDLEVER,EQ,709.25,709.25,710.0,695.15,,709.9,705.62,8000,5.64496e+11,,,,70.99,10.0
1996-03-04,HINDLEVER,EQ,709.9,709.9,710.0,699.5,,706.7,704.73,9100,6.413e+11,,,,70.67,10.0
1996-03-06,HINDLEVER,EQ,706.7,706.7,715.0,701.5,,703.2,707.1,5100,3.6062325e+11,,,,70.32,10.0
1996-03-07,HINDLEVER,EQ,703.2,703.2,703.0,680.0,,683.95,693.41,12900,8.944945e+11,,,,68.395,10.0
1996-03-08,HINDLEVER,EQ,683.95,683.95,680.0,660.0,,670.5,668.99,13050,8.7303275e+11,,,,67.05,10.0
1996-03-11,HINDLEVER,EQ,670.5,670.5,675.0,656.25,,672.35,664.45,12100,8.0398475e+11,,,,67.235,10.0
1996-03-12,HINDLEVER,EQ,672.35,672.35,690.0,668.5,,683.35,677.83,20550,1.3929445e+12,,,,68.335,10.0
1996-03-13,HINDLEVER,EQ,683.35,683.35,692.0,672.5,,691.55,685.64,7050,4.83373e+11,,,,69.155,10.0
1996-03-14,HINDLEVER,EQ,691.55,691.55,701.85,690.6,,699.7,698.56,11600,8.10335e+11,,,,69.97,10.0
1996-03-15,HINDLEVER,EQ,699.7,699.7,708.5,696.3,,700.25,705.35,29300,2.066672e+12,,,,70.025,10.0
1996-03-18,HINDLEVER,EQ,700.25,700.25,716.0,699.0,,714.0,706.94,15950,1.1275695e+12,,,,71.4,10.0
1996-03-19,HINDLEVER,EQ,714.0,714.0,715.0,708.0,,712.25,712.64,41750,2.97529025e+12,,,,71.225,10.0
1996-03-21,HINDLEVER,EQ,712.25,712.25,712.0,708.25,,710.15,710.13,11750,8.34406e+11,,,,71.015,10.0
1996-03-22,HINDLEVER,EQ,710.15,710.15,711.0,705.05,,706.2,707.86,2350,1.6634725e+11,,,,70.62,10.0
1996-03-25,HINDLEVER,EQ,706.2,706.2,713.55,703.0,,709.55,710.84,12550,8.9210775e+11,,,,70.955,10.0
1996-03-26,HINDLEVER,EQ,709.55,709.55,715.0,706.0,,713.8,711.88,17650,1.2564645e+12,,,,71.38,10.0
1996-03-27,HINDLEVER,EQ,713.8,713.8,715.0,700.05,,706.65,711.72,8900,6.3343475e+11,,,,70.665,10.0
1996-03-28,HINDLEVER,EQ,706.65,706.65,708.0,705.1,,707.05,706.64,1650,1.1659525e+11,,,,70.705,10.0
1996-03-29,HINDLEVER,EQ,707.05,707.05,707.0,705.0,,706.1,705.69,3950,2.7874625e+11,,,,70.61,10.0
1996-04-01,HINDLEVER,EQ,706.1,706.1,706.0,702.0,,705.25,704.79,3850,2.713445e+11,,,,70.525,10.0
1996-04-02,HINDLEVER,EQ,705.25,705.25,719.0,705.0,,714.15,712.42,13350,9.51075e+11,,,,71.415,10.0
1996-04-03,HINDLEVER,EQ,714.15,714.15,724.0,710.0,,723.25,719.92,18750,1.349853e+12,,,,72.325,10.0
1996-04-04,HINDLEVER,EQ,723.25,723.25,719.0,714.0,,717.45,715.43,5800,4.1494825e+11,,,,71.745,10.0
1996-04-08,HINDLEVER,EQ,717.45,717.45,725.0,715.0,,721.8,719.91,23400,1.684589e+12,,,,72.18,10.0
1996-04-09,HINDLEVER,EQ,721.8,721.8,725.0,715.0,,716.35,718.37,5550,3.9869725e+11,,,,71.635,10.0
1996-04-10,HINDLEVER,EQ,716.35,716.35,727.0,710.0,,726.35,722.51,15000,1.0837675e+12,,,,72.635,10.0
1996-04-11,HINDLEVER,EQ,726.35,726.35,723.4,708.0,,712.95,721.9,16650,1.2019695e+12,,,,71.295,10.0
1996-04-12,HINDLEVER,EQ,712.95,712.95,712.0,709.0,,709.45,710.29,4150,2.9477175e+11,,,,70.945,10.0
1996-04-15,HINDLEVER,EQ,709.45,709.45,730.0,709.0,,724.15,719.81,9700,6.982175e+11,,,,72.415,10.0
1996-04-16,HINDLEVER,EQ,724.15,724.15,770.0,730.0,,765.0,751.11,24650,1.851482e+12,,,,76.5,10.0
1996-04-17,HINDLEVER,EQ,765.0,765.0,802.0,762.0,,783.15,786.31,29600,2.32748e+12,,,,78.315,10.0
1996-04-18,HINDLEVER,EQ,783.15,783.15,797.0,764.25,,778.25,779.87,16800,1.31018425e+12,,,,77.825,10.0
1996-04-19,HINDLEVER,EQ,778.25,778.25,780.0,766.0,,772.85,775.79,14050,1.08998825e+12,,,,77.285,10.0
1996-04-22,HINDLEVER,EQ,772.85,772.85,775.0,732.1,,759.05,749.97,22050,1.65369175e+12,,,,75.905,10.0
1996-04-23,HINDLEVER,EQ,759.05,759.05,765.0,737.1,,758.85,758.78,38850,2.947869e+12,,,,75.885,10.0
1996-04-24,HINDLEVER,EQ,758.85,758.85,780.0,764.9,,775.25,772.41,20800,1.60661225e+12,,,,77.525,10.0
1996-04-25,HINDLEVER,EQ,775.25,790.0,805.0,780.0,,800.8,799.21,92950,7.42867575e+12,,,,80.08,10.0
1996-04-26,HINDLEVER,EQ,800.8,780.05,799.95,777.0,,793.95,786.92,32450,2.55354925e+12,,,,79.395,10.0
1996-04-29,HINDLEVER,EQ,793.95,793.95,789.9,772.5,,782.8,779.41,13750,1.07169e+12,,,,78.28,10.0
1996-04-30,HINDLEVER,EQ,782.8,782.8,791.0,780.0,,786.85,786.29,32500,2.5554365e+12,,,,78.685,10.0
1996-05-01,HINDLEVER,EQ,786.85,800.0,815.0,796.5,,800.1,801.98,31100,2.494149e+12,,,,80.01,10.0
1996-05-02,HINDLEVER,EQ,800.1,800.1,798.0,789.0,,790.95,791.83,12900,1.02145425e+12,,,,79.095,10.0
1996-05-03,HINDLEVER,EQ,790.95,790.95,794.45,781.0,,783.4,787.56,10800,8.505645e+11,,,,78.34,10.0
1996-05-06,HINDLEVER,EQ,783.4,783.4,779.75,772.25,,775.6,775.4,24750,1.919118e+12,,,,77.56,10.0
1996-05-07,HINDLEVER,EQ,775.6,775.6,776.7,762.0,,774.6,773.19,12200,9.4329375e+11,,,,77.46,10.0
1996-05-08,HINDLEVER,EQ,774.6,774.6,807.0,762.95,,799.85,796.31,93900,7.47735975e+12,,,,79.985,10.0
1996-05-09,HINDLEVER,EQ,799.85,799.85,793.2,774.1,,775.6,783.44,23600,1.84891725e+12,,,,77.56,10.0
1996-05-10,HINDLEVER,EQ,775.6,775.6,775.0,761.0,,771.5,768.93,30350,2.33370375e+12,,,,77.15,10.0
1996-05-13,HINDLEVER,EQ,771.5,771.5,774.25,770.0,,773.0,771.87,8450,6.52228e+11,,,,77.3,10.0
1996-05-14,HINDLEVER,EQ,773.0,773.0,783.0,770.25,,780.75,777.34,14450,1.1232615e+12,,,,78.075,10.0
1996-05-15,HINDLEVER,EQ,780.75,780.75,780.0,768.5,,778.4,774.62,17450,1.351712e+12,,,,77.84,10.0
1996-05-16,HINDLEVER,EQ,778.4,778.4,786.0,775.6,,777.95,781.02,11650,9.09884e+11,,,,77.795,10.0
1996-05-17,HINDLEVER,EQ,777.95,777.95,776.0,770.5,,772.25,771.91,4750,3.66657e+11,,,,77.225,10.0
1996-05-20,HINDLEVER,EQ,772.25,772.25,765.05,756.0,,760.95,762.72,8350,6.3687475e+11,,,,76.095,10.0
1996-05-21,HINDLEVER,EQ,760.95,760.95,772.9,757.0,,766.0,763.33,19450,1.48467875e+12,,,,76.6,10.0
1996-05-22,HINDLEVER,EQ,766.0,766.0,768.9,762.55,,765.35,766.27,11000,8.4289575e+11,,,,76.535,10.0
