Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-04,TATAHONEY,EQ,71.0,70.0,70.0,70.0,,70.0,70.0,100,700000000.0,,,,70.0,1.0
1996-01-12,TATAHONEY,EQ,70.0,70.0,70.0,70.0,,70.0,70.0,100,700000000.0,,,,70.0,1.0
1996-01-15,TATAHONEY,EQ,70.0,70.0,70.0,70.0,,70.0,70.0,100,700000000.0,,,,70.0,1.0
1996-01-16,TATAHONEY,EQ,70.0,70.0,70.0,67.5,,70.0,68.75,200,1375000000.0,,,,70.0,1.0
1996-01-17,TATAHONEY,EQ,70.0,70.0,68.5,68.5,,68.5,68.5,100,685000000.0,,,,68.5,1.0
1996-01-22,TATAHONEY,EQ,68.5,68.0,70.0,68.0,,68.0,68.75,800,5500000000.0,,,,68.0,1.0
1996-01-23,TATAHONEY,EQ,68.0,68.0,69.55,65.0,,69.5,68.02,300,2040500000.0,,,,69.5,1.0
1996-01-24,TATAHONEY,EQ,69.5,69.5,69.95,69.95,,69.95,69.95,100,699500000.0,,,,69.95,1.0
1996-01-25,TATAHONEY,EQ,69.95,69.8,69.8,69.8,,69.8,69.8,100,698000000.0,,,,69.8,1.0
1996-01-29,TATAHONEY,EQ,69.8,65.0,67.05,65.0,,66.4,66.18,700,4632500000.0,,,,66.4,1.0
1996-01-30,TATAHONEY,EQ,66.4,67.0,68.0,60.0,,60.0,62.14,700,4350000000.0,,,,60.0,1.0
1996-01-31,TATAHONEY,EQ,60.0,60.0,66.0,66.0,,66.0,66.0,300,1980000000.0,,,,66.0,1.0
1996-02-01,TATAHONEY,EQ,66.0,67.0,67.0,67.0,,67.0,67.0,100,670000000.0,,,,67.0,1.0
1996-02-05,TATAHONEY,EQ,67.0,71.0,71.0,71.0,,71.0,71.0,100,710000000.0,,,,71.0,1.0
1996-02-08,TATAHONEY,EQ,71.0,69.8,69.8,69.8,,69.8,69.8,100,698000000.0,,,,69.8,1.0
1996-02-09,TATAHONEY,EQ,69.8,70.0,71.0,70.0,,71.0,70.5,200,1410000000.0,,,,71.0,1.0
1996-02-12,TATAHONEY,EQ,71.0,71.0,71.0,71.0,,71.0,71.0,100,710000000.0,,,,71.0,1.0
1996-02-13,TATAHONEY,EQ,71.0,72.0,72.0,72.0,,72.0,72.0,100,720000000.0,,,,72.0,1.0
1996-02-16,TATAHONEY,EQ,72.0,75.1,75.1,75.1,,75.1,75.1,100,751000000.0,,,,75.1,1.0
1996-02-22,TATAHONEY,EQ,75.1,83.0,83.0,83.0,,83.0,83.0,200,1660000000.0,,,,83.0,1.0
1996-02-26,TATAHONEY,EQ,83.0,83.95,91.0,83.95,,91.0,88.99,400,3559500000.0,,,,91.0,1.0
1996-02-27,TATAHONEY,EQ,91.0,95.0,95.0,95.0,,95.0,95.0,200,1900000000.0,,,,95.0,1.0
1996-02-28,TATAHONEY,EQ,95.0,92.0,93.0,88.0,,92.55,91.86,1000,9185500000.0,,,,92.55,1.0
1996-02-29,TATAHONEY,EQ,92.55,92.55,92.75,91.05,,91.05,91.9,200,1838000000.0,,,,91.05,1.0
1996-03-04,TATAHONEY,EQ,91.05,91.05,92.0,92.0,,92.0,92.0,100,920000000.0,,,,92.0,1.0
1996-03-07,TATAHONEY,EQ,92.0,92.0,90.0,90.0,,90.0,90.0,100,900000000.0,,,,90.0,1.0
1996-03-12,TATAHONEY,EQ,90.0,84.0,88.5,84.0,,88.5,87.0,300,2610000000.0,,,,88.5,1.0
1996-03-15,TATAHONEY,EQ,88.5,88.5,90.0,90.0,,90.0,90.0,100,900000000.0,,,,90.0,1.0
1996-03-19,TATAHONEY,EQ,90.0,84.05,89.5,84.05,,89.5,86.78,6000,52065000000.0,,,,89.5,1.0
1996-03-27,TATAHONEY,EQ,89.5,88.0,88.0,88.0,,88.0,88.0,100,880000000.0,,,,88.0,1.0
1996-03-29,TATAHONEY,EQ,88.0,80.05,80.05,80.0,,80.0,80.02,300,2400500000.0,,,,80.0,1.0
1996-04-01,TATAHONEY,EQ,80.0,86.0,86.0,86.0,,86.0,86.0,100,860000000.0,,,,86.0,1.0
1996-04-02,TATAHONEY,EQ,86.0,84.0,84.0,84.0,,84.0,84.0,100,840000000.0,,,,84.0,1.0
1996-04-08,TATAHONEY,EQ,84.0,84.0,84.0,84.0,,84.0,84.0,200,1680000000.0,,,,84.0,1.0
1996-04-09,TATAHONEY,EQ,84.0,83.8,83.8,83.8,,83.8,83.8,100,838000000.0,,,,83.8,1.0
1996-04-15,TATAHONEY,EQ,83.8,82.0,82.0,82.0,,82.0,82.0,100,820000000.0,,,,82.0,1.0
1996-04-17,TATAHONEY,EQ,82.0,82.0,84.0,80.5,,80.5,82.3,500,4115000000.0,,,,80.5,1.0
1996-04-18,TATAHONEY,EQ,80.5,80.25,84.0,80.25,,84.0,81.82,300,2454500000.0,,,,84.0,1.0
1996-04-19,TATAHONEY,EQ,84.0,88.0,89.0,85.0,,85.0,87.75,400,3510000000.0,,,,85.0,1.0
1996-04-23,TATAHONEY,EQ,85.0,80.0,81.0,80.0,,80.05,80.35,300,2410500000.0,,,,80.05,1.0
1996-04-24,TATAHONEY,EQ,80.05,79.5,82.05,79.5,,82.05,81.39,400,3255500000.0,,,,82.05,1.0
1996-04-25,TATAHONEY,EQ,82.05,82.0,83.0,82.0,,82.0,82.29,1000,8228500000.0,,,,82.0,1.0
1996-04-29,TATAHONEY,EQ,82.0,80.0,80.0,80.0,,80.0,80.0,200,1600000000.0,,,,80.0,1.0
1996-04-30,TATAHONEY,EQ,80.0,81.95,81.95,81.0,,81.0,81.26,400,3250500000.0,,,,81.0,1.0
1996-05-01,TATAHONEY,EQ,81.0,83.0,83.0,83.0,,83.0,83.0,200,1660000000.0,,,,83.0,1.0
1996-05-02,TATAHONEY,EQ,83.0,84.0,84.0,83.0,,83.75,83.7,500,4185000000.0,,,,83.75,1.0
1996-05-03,TATAHONEY,EQ,83.75,83.75,85.1,84.0,,84.0,84.66,500,4233000000.0,,,,84.0,1.0
1996-05-06,TATAHONEY,EQ,84.0,92.0,92.0,87.0,,87.0,89.5,200,1790000000.0,,,,87.0,1.0
1996-05-07,TATAHONEY,EQ,87.0,86.95,86.95,86.95,,86.95,86.95,100,869500000.0,,,,86.95,1.0
1996-05-08,TATAHONEY,EQ,86.95,89.0,89.0,89.0,,89.0,89.0,400,3560000000.0,,,,89.0,1.0
1996-05-09,TATAHONEY,EQ,89.0,89.0,90.0,90.0,,90.0,90.0,200,1800000000.0,,,,90.0,1.0
1996-05-10,TATAHONEY,EQ,90.0,81.15,81.15,81.15,,81.15,81.15,100,811500000.0,,,,81.15,1.0
1996-05-13,TATAHONEY,EQ,81.15,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,,80.0,1.0
1996-05-14,TATAHONEY,EQ,80.0,81.0,81.0,81.0,,81.0,81.0,100,810000000.0,,,,81.0,1.0
1996-05-15,TATAHONEY,EQ,81.0,78.0,80.0,77.05,,77.05,78.35,300,2350500000.0,,,,77.05,1.0
1996-05-16,TATAHONEY,EQ,77.05,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,,80.0,1.0
1996-05-17,TATAHONEY,EQ,80.0,79.5,79.5,79.5,,79.5,79.5,100,795000000.0,,,,79.5,1.0
1996-05-21,TATAHONEY,EQ,79.5,79.45,79.45,79.45,,79.45,79.45,100,794500000.0,,,,79.45,1.0
1996-05-22,TATAHONEY,EQ,79.45,78.0,78.0,78.0,,78.0,78.0,100,780000000.0,,,,78.0,1.0
1996-05-23,TATAHONEY,EQ,78.0,75.0,75.0,75.0,,75.0,75.0,100,750000000.0,,,,75.0,1.0
1996-05-24,TATAHONEY,EQ,75.0,77.0,77.0,77.0,,77.0,77.0,100,770000000.0,,,,77.0,1.0
1996-05-30,TATAHONEY,EQ,77.0,76.0,79.0,76.0,,79.0,77.98,300,2339500000.0,,,,79.0,1.0
1996-06-03,TATAHONEY,EQ,79.0,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,,80.0,1.0
1996-06-04,TATAHONEY,EQ,80.0,80.0,78.0,78.0,,78.0,78.0,100,780000000.0,,,,78.0,1.0
1996-06-05,TATAHONEY,EQ,78.0,78.0,78.0,78.0,,78.0,78.0,300,2340000000.0,,,,78.0,1.0
1996-06-06,TATAHONEY,EQ,78.0,76.0,78.0,76.0,,78.0,77.69,900,6992500000.0,,,,78.0,1.0
1996-06-11,TATAHONEY,EQ,78.0,73.0,77.5,73.0,,75.0,75.41,1400,10558000000.0,,,,75.0,1.0
1996-06-12,TATAHONEY,EQ,75.0,80.1,82.5,80.1,,82.5,81.43,500,4071500000.0,,,,82.5,1.0
1996-06-13,TATAHONEY,EQ,82.5,86.9,89.0,84.0,,89.0,86.67,1400,12133500000.0,,,,89.0,1.0
1996-06-14,TATAHONEY,EQ,89.0,90.0,93.75,90.0,,93.75,91.99,1100,10118500000.0,,,,93.75,1.0
1996-06-17,TATAHONEY,EQ,93.75,93.05,93.75,93.05,,93.75,93.64,1300,12173500000.0,,,,93.75,1.0
1996-06-18,TATAHONEY,EQ,93.75,93.8,93.8,93.8,,93.8,93.8,700,6566000000.0,,,,93.8,1.0
1996-06-19,TATAHONEY,EQ,93.8,95.0,95.0,87.95,,87.95,89.81,900,8082500000.0,,,,87.95,1.0
1996-06-20,TATAHONEY,EQ,87.95,80.25,80.25,80.25,,80.25,80.25,100,802500000.0,,,,80.25,1.0
