Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-09-24,ICICIBANK,EQ,0.0,35.0,50.25,35.0,,49.4,47.27,10671000,5.0441156e+13,,,
1997-09-25,ICICIBANK,EQ,49.4,49.8,52.25,49.0,,51.85,50.81,7390200,3.75483235e+13,,,
1997-09-26,ICICIBANK,EQ,51.85,52.0,52.25,50.75,,51.35,51.43,3140100,1.6148031e+13,,,
1997-09-29,ICICIBANK,EQ,51.35,51.8,51.9,50.1,,50.55,51.13,2586300,1.32239755e+13,,,
1997-09-30,ICICIBANK,EQ,50.55,50.0,50.4,47.75,,48.1,48.73,4078400,1.98744845e+13,,,
1997-10-01,ICICIBANK,EQ,48.1,48.1,48.85,46.35,,47.1,47.65,2554600,1.21731985e+13,,,
1997-10-09,ICICIBANK,EQ,47.1,47.5,49.25,47.1,,48.6,48.33,1926800,9.3131655e+12,,,
1997-10-10,ICICIBANK,EQ,48.6,48.9,49.5,47.6,,48.45,48.34,1095700,5.2965375e+12,,,
1997-10-13,ICICIBANK,EQ,48.45,48.05,49.75,48.05,,48.75,48.96,2412700,1.1812504e+13,,,
1997-10-14,ICICIBANK,EQ,48.75,49.05,49.5,46.5,,46.95,47.65,1624200,7.739694e+12,,,
1997-10-15,ICICIBANK,EQ,46.95,47.1,48.45,47.1,,48.05,47.96,970600,4.655051e+12,,,
1997-10-16,ICICIBANK,EQ,48.05,48.3,48.75,48.05,,48.6,48.49,829500,4.022118e+12,,,
1997-10-17,ICICIBANK,EQ,48.6,48.5,49.1,48.0,,48.75,48.69,834800,4.064994e+12,,,
1997-10-20,ICICIBANK,EQ,48.75,48.75,50.0,48.5,,49.75,49.49,1417700,7.015691e+12,,,
1997-10-21,ICICIBANK,EQ,49.75,49.65,52.95,48.5,,52.6,50.85,1730600,8.799535e+12,,,
1997-10-22,ICICIBANK,EQ,52.6,53.0,54.5,51.75,,52.45,52.68,1253900,6.6055835e+12,,,
1997-10-23,ICICIBANK,EQ,52.45,52.75,52.9,50.3,,51.1,51.33,714200,3.6661815e+12,,,
1997-10-24,ICICIBANK,EQ,51.1,51.0,51.1,49.5,,50.75,50.33,495500,2.4937085e+12,,,
1997-10-27,ICICIBANK,EQ,50.75,50.05,51.55,47.0,,48.1,49.11,875500,4.2998965e+12,,,
1997-10-28,ICICIBANK,EQ,48.1,47.65,48.0,44.5,,45.7,46.42,982700,4.561664e+12,,,
1997-10-29,ICICIBANK,EQ,45.7,48.5,48.95,47.05,,48.7,48.17,316300,1.5237385e+12,,,
1997-10-30,ICICIBANK,EQ,48.7,49.0,49.0,47.6,,48.35,48.19,127300,6.134505e+11,,,
1997-11-03,ICICIBANK,EQ,48.35,48.35,48.7,47.25,,47.75,47.82,137000,6.550675e+11,,,
1997-11-04,ICICIBANK,EQ,47.75,47.7,48.0,47.5,,47.65,47.69,198100,9.44643e+11,,,
1997-11-05,ICICIBANK,EQ,47.65,47.1,48.0,47.1,,47.75,47.62,112200,5.342645e+11,,,
1997-11-06,ICICIBANK,EQ,47.75,47.3,47.8,47.3,,47.75,47.59,107000,5.09162e+11,,,
1997-11-07,ICICIBANK,EQ,47.75,47.5,47.85,47.4,,47.7,47.64,214100,1.019984e+12,,,
1997-11-10,ICICIBANK,EQ,47.7,47.95,47.95,45.0,,45.95,46.47,305900,1.421645e+12,,,
1997-11-11,ICICIBANK,EQ,45.95,46.0,47.5,45.65,,47.05,46.44,155400,7.21711e+11,,,
1997-11-12,ICICIBANK,EQ,47.05,46.35,46.8,43.9,,44.05,44.85,297400,1.3336925e+12,,,
1997-11-13,ICICIBANK,EQ,44.05,43.3,44.25,39.8,,42.45,42.15,1220400,5.144197e+12,,,
1997-11-17,ICICIBANK,EQ,42.45,43.2,44.0,42.6,,43.5,43.32,204800,8.87157e+11,,,
1997-11-18,ICICIBANK,EQ,43.5,43.2,43.95,42.95,,43.4,43.35,226900,9.836445e+11,,,
1997-11-19,ICICIBANK,EQ,43.4,41.0,43.35,41.0,,42.65,42.33,157600,6.67162e+11,,,
1997-11-20,ICICIBANK,EQ,42.65,41.75,43.25,41.75,,43.15,42.83,98000,4.1974e+11,,,
1997-11-21,ICICIBANK,EQ,43.15,42.5,43.2,42.5,,42.85,42.95,41600,1.786555e+11,,,
1997-11-24,ICICIBANK,EQ,42.85,42.45,43.1,41.8,,42.0,42.3,69600,2.943875e+11,,,
1997-11-25,ICICIBANK,EQ,42.0,41.6,43.7,41.6,,43.3,42.75,92500,3.954215e+11,,,
1997-11-26,ICICIBANK,EQ,43.3,43.0,44.0,43.0,,43.6,43.6,53900,2.35007e+11,,,
1997-11-27,ICICIBANK,EQ,43.6,42.8,44.2,42.8,,44.05,43.82,46700,2.04622e+11,,,
1997-11-28,ICICIBANK,EQ,44.05,43.5,43.8,43.0,,43.1,43.24,34700,1.500325e+11,,,
1997-12-01,ICICIBANK,EQ,43.1,42.5,42.5,41.2,,42.35,41.95,62700,2.629965e+11,,,
1997-12-02,ICICIBANK,EQ,42.35,42.35,42.75,41.35,,41.6,41.9,61000,2.555835e+11,,,
1997-12-03,ICICIBANK,EQ,41.6,41.95,42.05,40.75,,41.0,41.49,82600,3.42734e+11,,,
1997-12-04,ICICIBANK,EQ,41.0,40.1,40.5,37.5,,38.35,39.39,133300,5.25113e+11,,,
1997-12-05,ICICIBANK,EQ,38.35,37.75,38.75,37.25,,37.3,37.74,310900,1.1732115e+12,,,
1997-12-08,ICICIBANK,EQ,37.3,38.2,38.2,36.0,,36.5,36.82,188100,6.92662e+11,,,
1997-12-09,ICICIBANK,EQ,36.5,36.25,36.45,35.6,,36.15,36.1,135000,4.87342e+11,,,
1997-12-10,ICICIBANK,EQ,36.15,36.0,36.2,35.25,,35.55,35.89,129800,4.658465e+11,,,
