Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-08-12,IDFC,EQ,34.0,60.0,72.4,50.25,69.0,69.5,66.8,249606999,1.66749881736e+15,,84166756,0.3372
2005-08-16,IDFC,EQ,69.5,69.45,71.7,63.7,64.8,64.7,66.0,76170605,5.02701127005e+14,,24546791,0.3223
2005-08-17,IDFC,EQ,64.7,70.0,70.0,62.0,67.4,67.45,66.71,28196524,1.880987846e+14,,8352818,0.2962
2005-08-18,IDFC,EQ,67.45,69.65,70.7,67.65,68.5,68.3,69.15,44899852,3.10487797305e+14,,12498941,0.2784
2005-08-19,IDFC,EQ,68.3,69.05,69.3,67.1,67.3,67.3,68.17,10928517,7.4501479445e+13,,3916758,0.3584
2005-08-22,IDFC,EQ,67.3,67.1,68.8,66.1,66.55,66.65,67.43,9479054,6.3916041095e+13,,3612609,0.3811
2005-08-23,IDFC,EQ,66.65,66.65,67.0,64.15,65.6,65.45,65.31,14056274,9.179599688e+13,,6083695,0.4328
2005-08-24,IDFC,EQ,65.45,66.0,66.0,63.75,64.1,64.2,64.34,12296429,7.911486384e+13,,6416039,0.5218
2005-08-25,IDFC,EQ,64.2,64.5,66.35,63.85,65.35,65.3,65.26,15411828,1.00584742725e+14,,5646072,0.3663
2005-08-26,IDFC,EQ,65.3,65.5,66.65,65.15,65.3,65.55,65.74,8441714,5.549904405e+13,,3318410,0.3931
2005-08-29,IDFC,EQ,65.55,65.2,65.8,63.7,64.05,64.2,64.22,6099475,3.9171450215e+13,,3067220,0.5029
2005-08-30,IDFC,EQ,64.2,65.0,66.25,64.5,66.25,65.85,65.4,9150007,5.9842738705e+13,,6164138,0.6737
2005-08-31,IDFC,EQ,65.85,66.25,67.2,65.9,66.05,66.15,66.44,4912503,3.264091619e+13,,2435162,0.4957
2005-09-01,IDFC,EQ,66.15,66.9,67.7,66.25,66.8,66.7,67.03,4950286,3.3182212215e+13,,2244058,0.4533
2005-09-02,IDFC,EQ,66.7,67.4,67.85,65.6,65.75,65.75,66.14,3069726,2.030442543e+13,,1838779,0.599
2005-09-05,IDFC,EQ,65.75,65.75,70.65,65.75,69.3,69.4,69.08,20841557,1.43970561065e+14,,7544305,0.362
2005-09-06,IDFC,EQ,69.4,70.25,70.9,68.5,68.8,68.8,69.69,10832055,7.5492384845e+13,,3390869,0.313
2005-09-08,IDFC,EQ,68.8,69.85,74.55,69.2,73.5,73.55,72.5,34908760,2.5309153851e+14,,9919678,0.2842
2005-09-09,IDFC,EQ,73.55,74.0,75.45,72.5,74.0,73.9,74.12,19281259,1.4291577874e+14,,5780018,0.2998
2005-09-12,IDFC,EQ,73.9,74.0,75.3,73.2,74.15,74.15,74.35,10079886,7.49412727e+13,,2533328,0.2513
2005-09-13,IDFC,EQ,74.15,74.6,75.9,73.7,75.1,75.1,74.9,9423730,7.0587732255e+13,,3304278,0.3506
2005-09-14,IDFC,EQ,75.1,75.7,76.65,74.45,75.4,75.25,75.65,9141522,6.91526781e+13,,3680097,0.4026
2005-09-15,IDFC,EQ,75.25,75.65,75.95,74.5,74.75,74.7,75.12,6797466,5.1059489345e+13,,3759170,0.553
2005-09-16,IDFC,EQ,74.7,76.0,76.0,74.5,75.25,75.2,75.13,8563672,6.4339076275e+13,,4285536,0.5004
2005-09-19,IDFC,EQ,75.2,75.45,75.9,74.5,74.55,74.75,75.1,3217133,2.4159872475e+13,,1715454,0.5332
2005-09-20,IDFC,EQ,74.75,74.9,75.0,72.6,72.75,72.95,73.45,5612611,4.122360212e+13,,3104440,0.5531
2005-09-21,IDFC,EQ,72.95,73.45,73.45,68.0,69.9,70.05,70.25,12917306,9.074294666e+13,,7643449,0.5917
2005-09-22,IDFC,EQ,70.05,70.2,71.8,66.75,67.1,67.25,69.01,9379587,6.4724327135e+13,,3826821,0.408
2005-09-23,IDFC,EQ,67.25,69.55,70.0,67.4,68.65,68.5,68.64,5529798,3.795778553e+13,,2377519,0.4299
2005-09-26,IDFC,EQ,68.5,69.9,71.5,67.5,71.35,71.25,70.55,4508450,3.1806883075e+13,,1927112,0.4274
2005-09-27,IDFC,EQ,71.25,70.9,72.7,70.6,71.6,71.6,71.73,5228763,3.7507389925e+13,,2464900,0.4714
2005-09-28,IDFC,EQ,71.6,72.0,72.0,70.9,72.0,71.6,71.37,2448099,1.7473128655e+13,,1012221,0.4135
2005-09-29,IDFC,EQ,71.6,72.0,72.5,70.5,71.5,71.35,71.59,3921421,2.8073763795e+13,,1691229,0.4313
2005-09-30,IDFC,EQ,71.35,72.0,72.3,69.5,70.8,70.95,70.69,2350651,1.661625121e+13,,837504,0.3563
2005-10-03,IDFC,EQ,70.95,71.45,73.2,71.0,71.7,71.9,72.04,5140532,3.7032059385e+13,,2064587,0.4016
2005-10-04,IDFC,EQ,71.9,72.0,72.7,72.0,72.6,72.45,72.3,2196130,1.587753689e+13,,1052005,0.479
2005-10-05,IDFC,EQ,72.45,72.9,73.0,71.55,71.75,71.7,71.99,2270048,1.634099894e+13,,1217168,0.5362
2005-10-06,IDFC,EQ,71.7,71.9,71.9,70.1,70.65,70.45,70.71,3092708,2.186863236e+13,,1724581,0.5576
2005-10-07,IDFC,EQ,70.45,70.75,71.65,70.0,70.95,70.65,70.84,2452882,1.737521646e+13,,1072476,0.4372
2005-10-10,IDFC,EQ,70.65,71.0,72.1,70.0,70.8,70.95,71.09,2573483,1.829449534e+13,,683317,0.2655
2005-10-11,IDFC,EQ,70.95,71.45,71.45,69.05,69.9,69.9,69.85,1934407,1.3512451785e+13,,894110,0.4622
2005-10-13,IDFC,EQ,69.9,70.0,70.55,69.0,69.5,69.3,69.74,1547517,1.079227638e+13,,743498,0.4804
2005-10-14,IDFC,EQ,69.3,69.5,69.8,68.1,68.25,68.45,68.85,2280786,1.5702273925e+13,,1239683,0.5435
2005-10-17,IDFC,EQ,68.45,69.0,69.0,66.25,66.75,66.9,67.19,3364137,2.260386604e+13,,1646378,0.4894
2005-10-18,IDFC,EQ,66.9,67.15,68.0,65.3,65.4,65.95,67.04,2948322,1.976440267e+13,,1451551,0.4923
2005-10-19,IDFC,EQ,65.95,65.95,65.95,63.75,64.5,64.4,64.76,3053323,1.977473059e+13,,1704252,0.5582
2005-10-20,IDFC,EQ,64.4,65.05,66.9,60.75,62.7,62.05,62.89,3549703,2.232252388e+13,,1773996,0.4998
2005-10-21,IDFC,EQ,62.05,62.7,65.45,59.8,65.0,64.5,62.15,8371025,5.2028813525e+13,,4102201,0.49
2005-10-24,IDFC,EQ,64.5,65.55,65.7,63.75,64.0,64.0,64.44,3997844,2.576348843e+13,,2146323,0.5369
2005-10-25,IDFC,EQ,64.0,64.25,65.25,63.7,64.7,64.65,64.48,2785736,1.796372359e+13,,1524786,0.5474
2005-10-26,IDFC,EQ,64.65,64.5,65.15,63.6,64.05,64.0,64.29,3249792,2.0892525905e+13,,1613386,0.4965
2005-10-27,IDFC,EQ,64.0,63.5,64.0,62.05,62.65,62.65,62.95,4673382,2.942125111e+13,,2956163,0.6326
2005-10-28,IDFC,EQ,62.65,63.4,63.4,61.6,61.8,61.85,62.23,2572044,1.6005619595e+13,,1285832,0.4999
2005-10-31,IDFC,EQ,61.85,62.75,65.45,62.75,65.35,64.95,64.48,3508855,2.262473861e+13,,1801196,0.5133
2005-11-01,IDFC,EQ,64.95,66.5,67.5,65.75,66.0,66.0,66.12,1271934,8.409426435e+12,,711629,0.5595
2005-11-02,IDFC,EQ,66.0,66.4,67.35,65.35,67.1,67.0,66.43,4196626,2.7878718275e+13,,2228918,0.5311
2005-11-07,IDFC,EQ,67.0,68.0,68.3,66.2,67.15,67.3,67.23,3285156,2.2085314805e+13,,2007886,0.6112
2005-11-08,IDFC,EQ,67.3,67.8,67.8,66.5,66.8,66.9,67.05,3457507,2.3181799815e+13,,1899071,0.5493
2005-11-09,IDFC,EQ,66.9,67.2,67.3,65.0,65.3,65.45,66.16,2435010,1.611109038e+13,,1189167,0.4884
2005-11-10,IDFC,EQ,65.45,64.0,66.9,63.0,66.35,66.45,65.85,2304660,1.5175286415e+13,,901596,0.3912
2005-11-11,IDFC,EQ,66.45,66.7,69.3,66.4,69.25,69.0,68.0,5878140,3.997076881e+13,,2740784,0.4663
2005-11-14,IDFC,EQ,69.0,69.75,70.3,68.0,68.5,68.5,68.77,2444563,1.681117847e+13,,1113231,0.4554
2005-11-16,IDFC,EQ,68.5,68.95,71.15,68.15,70.6,70.7,70.08,5700290,3.9948820895e+13,,2198185,0.3856
2005-11-17,IDFC,EQ,70.7,71.0,72.75,70.7,72.0,71.8,71.78,8810937,6.324219841e+13,,4686205,0.5319
2005-11-18,IDFC,EQ,71.8,72.35,73.4,72.3,72.4,72.5,72.97,4632546,3.3802484385e+13,,2107352,0.4549
2005-11-21,IDFC,EQ,72.5,72.5,72.8,68.65,70.2,69.9,70.01,10169696,7.1201070535e+13,,6236204,0.6132
2005-11-22,IDFC,EQ,69.9,70.0,70.5,67.0,69.1,69.2,69.79,3328732,2.3232496495e+13,,1734143,0.521
2005-11-23,IDFC,EQ,69.2,69.0,70.35,68.0,70.05,70.0,69.86,2458362,1.717347241e+13,,1097336,0.4464
2005-11-24,IDFC,EQ,70.0,70.45,71.25,70.05,71.2,70.85,70.6,2644560,1.866934418e+13,,1500510,0.5674
2005-11-25,IDFC,EQ,70.85,71.2,73.2,70.5,72.8,72.85,72.5,4860627,3.52377968e+13,,2056118,0.423
2005-11-26,IDFC,EQ,72.85,72.85,75.0,72.7,75.0,74.85,74.16,4508635,3.343715731e+13,,2337225,0.5184
2005-11-28,IDFC,EQ,74.85,75.5,75.9,73.35,74.35,74.45,74.69,10211689,7.6269667545e+13,,4585824,0.4491
2005-11-29,IDFC,EQ,74.45,74.0,75.0,72.4,72.55,72.6,73.19,3969515,2.9052955835e+13,,2018400,0.5085
2005-11-30,IDFC,EQ,72.6,73.6,77.6,73.6,74.65,74.8,75.9,21807887,1.65532495695e+14,,8305398,0.3808
