Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-03-01,INDIANB,EQ,91.0,93.9,100.25,75.0,98.7,98.35,93.41,54802922,5.1193623449e+14,,22357821,0.408
2007-03-02,INDIANB,EQ,98.35,105.0,105.0,95.05,96.5,97.95,99.98,8722279,8.720682006e+13,,2944854,0.3376
2007-03-05,INDIANB,EQ,97.95,95.0,95.3,90.0,93.1,92.6,92.47,2352089,2.175071087e+13,,1192129,0.5068
2007-03-06,INDIANB,EQ,92.6,94.75,97.0,92.0,93.85,93.7,93.64,1299154,1.2165636835e+13,,705723,0.5432
2007-03-07,INDIANB,EQ,93.7,94.85,94.85,85.5,86.55,86.7,89.77,768085,6.895022635e+12,,339424,0.4419
2007-03-08,INDIANB,EQ,86.7,87.2,89.6,87.2,89.4,89.3,88.48,453539,4.012701925e+12,,250454,0.5522
2007-03-09,INDIANB,EQ,89.3,89.9,92.0,88.0,91.8,91.2,90.68,573863,5.203866095e+12,,354141,0.6171
2007-03-12,INDIANB,EQ,91.2,92.5,92.5,87.45,88.15,87.85,88.69,656800,5.82490396e+12,,535816,0.8158
2007-03-13,INDIANB,EQ,87.85,88.0,89.5,86.0,87.2,87.65,88.38,429771,3.798398955e+12,,329105,0.7658
2007-03-14,INDIANB,EQ,87.65,86.0,88.0,82.4,86.9,86.75,87.07,410183,3.57132823e+12,,277034,0.6754
2007-03-15,INDIANB,EQ,86.75,87.0,89.8,87.0,88.0,88.0,88.08,937409,8.256909025e+12,,802479,0.8561
2007-03-16,INDIANB,EQ,88.0,87.1,88.5,85.0,85.2,85.35,86.64,489834,4.24396842e+12,,407210,0.8313
2007-03-19,INDIANB,EQ,85.35,86.0,86.5,84.05,84.25,84.45,85.31,263636,2.24908508e+12,,195104,0.7401
2007-03-20,INDIANB,EQ,84.45,85.5,87.95,85.3,86.85,86.85,86.38,325721,2.813622155e+12,,159944,0.491
2007-07-30,INDIANB,EQ,141.9,142.0,153.3,140.0,148.3,148.1,147.9,940431,1.3909286725e+13,,282053,0.2999
2007-07-31,INDIANB,EQ,148.1,149.0,152.5,140.4,150.1,150.7,148.04,1529146,2.26374455e+13,,343038,0.2243
