Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,INDIASEC,EQ,26.0,24.5,25.5,24.5,,24.5,25.0,400,1000000000.0,,,
1996-01-02,INDIASEC,EQ,24.5,24.5,24.65,24.0,,24.25,24.32,3200,7781000000.0,,,
1996-01-03,INDIASEC,EQ,24.25,24.5,24.9,24.25,,24.9,24.71,800,1977000000.0,,,
1996-01-04,INDIASEC,EQ,24.9,24.8,24.9,24.0,,24.0,24.72,1300,3214000000.0,,,
1996-01-05,INDIASEC,EQ,24.0,24.55,25.0,24.25,,24.25,24.65,1200,2958000000.0,,,
1996-01-08,INDIASEC,EQ,24.25,23.5,23.5,23.3,,23.5,23.41,1100,2575500000.0,,,
1996-01-09,INDIASEC,EQ,23.5,23.5,23.2,22.0,,22.55,22.55,1700,3833500000.0,,,
1996-01-10,INDIASEC,EQ,22.55,22.05,22.95,22.05,,22.9,22.63,400,905000000.0,,,
1996-01-11,INDIASEC,EQ,22.9,23.0,23.0,22.6,,23.0,22.9,900,2061000000.0,,,
1996-01-12,INDIASEC,EQ,23.0,22.5,22.5,22.3,,22.35,22.43,400,897000000.0,,,
1996-01-15,INDIASEC,EQ,22.35,22.0,22.75,22.0,,22.75,22.58,1100,2484000000.0,,,
1996-01-16,INDIASEC,EQ,22.75,23.0,23.0,21.75,,22.1,22.57,2100,4740500000.0,,,
1996-01-17,INDIASEC,EQ,22.1,22.5,22.5,22.5,,22.5,22.5,100,225000000.0,,,
1996-01-18,INDIASEC,EQ,22.5,21.0,22.5,20.75,,22.4,21.9,1000,2189500000.0,,,
1996-01-19,INDIASEC,EQ,22.4,21.5,21.6,20.5,,20.5,20.94,900,1884500000.0,,,
1996-01-22,INDIASEC,EQ,20.5,20.4,20.4,19.0,,19.0,19.47,1400,2725500000.0,,,
1996-01-23,INDIASEC,EQ,19.0,19.0,20.85,19.6,,19.8,20.18,1600,3229500000.0,,,
1996-01-24,INDIASEC,EQ,19.8,20.1,20.25,19.75,,20.0,19.96,1500,2994500000.0,,,
1996-01-25,INDIASEC,EQ,20.0,19.5,19.5,18.9,,18.9,19.25,2300,4428500000.0,,,
1996-01-29,INDIASEC,EQ,18.9,19.0,19.25,19.0,,19.25,19.11,600,1146500000.0,,,
