Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-11-10,INDIGO,EQ,765.0,855.8,899.5,849.0,877.5,877.25,880.18,27351793,2.40746002066e+15,487567,11087159,0.4054
2015-11-11,INDIGO,EQ,877.25,887.0,935.1,880.0,935.0,923.35,911.16,3316606,3.02196194955e+14,59126,561763,0.1694
2015-11-13,INDIGO,EQ,923.35,918.0,1032.0,917.0,1019.0,1004.1,975.18,8446622,8.23698751005e+14,170169,1649533,0.1953
2015-11-16,INDIGO,EQ,1004.1,1011.0,1040.0,966.25,989.0,988.95,998.77,3358159,3.35402833985e+14,82492,495524,0.1476
2015-11-17,INDIGO,EQ,988.95,990.0,1049.9,976.2,1047.8,1036.9,1018.48,3694092,3.76236262145e+14,94567,801429,0.2169
2015-11-18,INDIGO,EQ,1036.9,1017.25,1068.8,1015.3,1048.0,1045.65,1047.21,3621593,3.7925707765e+14,94842,366488,0.1012
2015-11-19,INDIGO,EQ,1045.65,1055.0,1166.7,1052.0,1166.7,1143.8,1105.07,4320971,4.77498361725e+14,115496,647980,0.15
2015-11-20,INDIGO,EQ,1143.8,1156.0,1162.9,1088.2,1099.1,1105.4,1110.65,3636764,4.03915900035e+14,90693,645012,0.1774
2015-11-23,INDIGO,EQ,1105.4,1100.0,1124.8,1031.2,1046.95,1046.85,1080.7,2115930,2.2866877322e+14,70937,491068,0.2321
2015-11-24,INDIGO,EQ,1046.85,1049.95,1099.0,1032.35,1086.0,1089.8,1072.37,2080065,2.2305966345e+14,61080,255894,0.123
2015-11-26,INDIGO,EQ,1089.8,1100.0,1114.0,1062.1,1087.1,1088.2,1094.48,1278254,1.39902528625e+14,38002,169836,0.1329
2015-11-27,INDIGO,EQ,1088.2,1093.3,1109.8,1071.55,1092.55,1090.5,1090.48,830213,9.0533141665e+13,30565,142104,0.1712
2015-11-30,INDIGO,EQ,1090.5,1093.8,1122.0,1081.55,1109.0,1110.45,1106.17,953967,1.05524702155e+14,28141,191337,0.2006
2015-12-01,INDIGO,EQ,1110.45,1112.95,1115.0,1085.75,1087.0,1093.25,1102.8,566179,6.2438268545e+13,24492,180398,0.3186
2015-12-02,INDIGO,EQ,1093.25,1092.0,1124.9,1062.0,1096.2,1099.2,1099.83,1820435,2.00216709545e+14,71581,285459,0.1568
2015-12-03,INDIGO,EQ,1099.2,1096.0,1144.45,1091.0,1110.95,1113.7,1123.21,2008650,2.256133042e+14,56041,477247,0.2376
2015-12-04,INDIGO,EQ,1113.7,1103.0,1122.0,1071.7,1081.0,1079.7,1101.35,738821,8.137015576e+13,23606,183765,0.2487
2015-12-07,INDIGO,EQ,1079.7,1050.0,1085.5,1032.2,1042.0,1044.55,1060.86,1975506,2.09574064735e+14,88637,898151,0.4546
2015-12-08,INDIGO,EQ,1044.55,1050.7,1068.4,1010.0,1010.9,1018.1,1043.67,1221937,1.27529764525e+14,36212,367564,0.3008
2015-12-09,INDIGO,EQ,1018.1,1021.0,1047.8,995.45,1015.0,1012.75,1021.37,1037663,1.0598358931e+14,32455,284348,0.274
2015-12-10,INDIGO,EQ,1012.75,1021.95,1029.0,982.0,997.3,999.85,999.53,1524682,1.5239643176e+14,37551,688147,0.4513
2015-12-11,INDIGO,EQ,999.85,1014.0,1043.7,1005.0,1041.0,1035.0,1026.82,1853964,1.9036834553e+14,64697,737303,0.3977
2015-12-14,INDIGO,EQ,1035.0,1033.0,1103.9,1025.8,1090.6,1093.05,1077.81,1875740,2.02169334165e+14,53162,468303,0.2497
2015-12-15,INDIGO,EQ,1093.05,1094.8,1196.9,1085.0,1185.1,1185.45,1149.6,3012286,3.4629307932e+14,76607,489538,0.1625
2015-12-16,INDIGO,EQ,1185.45,1192.0,1234.0,1182.55,1194.0,1192.7,1210.81,2239135,2.7111732616e+14,65518,312142,0.1394
2015-12-17,INDIGO,EQ,1192.7,1203.9,1231.75,1180.1,1193.6,1190.85,1209.46,1460277,1.76614470725e+14,58425,345407,0.2365
2015-12-18,INDIGO,EQ,1190.85,1194.45,1206.2,1126.0,1141.25,1139.25,1161.42,1615029,1.8757294026e+14,53261,455501,0.282
2015-12-21,INDIGO,EQ,1139.25,1136.1,1156.5,1077.4,1080.0,1082.0,1098.19,1692348,1.85852077335e+14,56071,575013,0.3398
