Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1998-01-29,INDUSINDBK,EQ,45.0,47.05,47.05,42.35,,42.35,43.27,106600,4.61269e+11,,,
1998-01-30,INDUSINDBK,EQ,42.35,39.1,42.5,39.1,,41.45,40.91,941600,3.8525085e+12,,,
1998-02-02,INDUSINDBK,EQ,41.45,41.1,42.0,40.15,,40.35,41.04,399500,1.639375e+12,,,
1998-02-03,INDUSINDBK,EQ,40.35,40.5,40.5,37.3,,37.9,38.68,482800,1.867477e+12,,,
1998-02-04,INDUSINDBK,EQ,37.9,39.05,39.75,38.2,,38.3,38.99,270500,1.054678e+12,,,
1998-02-05,INDUSINDBK,EQ,38.3,38.55,38.8,37.8,,38.0,38.22,114300,4.368135e+11,,,
1998-02-06,INDUSINDBK,EQ,38.0,38.1,38.2,36.6,,36.8,37.06,218700,8.10439e+11,,,
1998-02-09,INDUSINDBK,EQ,36.8,37.45,37.45,34.3,,34.55,35.04,271100,9.498735e+11,,,
1998-02-10,INDUSINDBK,EQ,34.55,35.0,37.5,33.0,,33.15,33.69,371800,1.252731e+12,,,
1998-02-11,INDUSINDBK,EQ,33.15,33.7,33.9,33.0,,33.7,33.51,191000,6.40107e+11,,,
1998-02-12,INDUSINDBK,EQ,33.7,33.9,35.75,33.85,,34.55,34.82,305300,1.062965e+12,,,
1998-02-13,INDUSINDBK,EQ,34.55,35.0,35.45,34.05,,35.0,34.7,250400,8.688805e+11,,,
1998-02-17,INDUSINDBK,EQ,35.0,35.4,35.4,33.5,,33.9,34.24,301000,1.0307375e+12,,,
1998-02-18,INDUSINDBK,EQ,33.9,34.5,35.25,34.3,,34.9,34.78,137700,4.7897e+11,,,
1998-02-19,INDUSINDBK,EQ,34.9,34.9,35.05,34.75,,34.95,34.95,60400,2.11091e+11,,,
1998-02-20,INDUSINDBK,EQ,34.95,35.0,35.1,34.3,,34.6,34.65,93600,3.24297e+11,,,
1998-02-23,INDUSINDBK,EQ,34.6,34.7,34.9,34.5,,34.7,34.65,72100,2.497905e+11,,,
1998-02-24,INDUSINDBK,EQ,34.7,34.55,34.85,34.05,,34.3,34.42,166000,5.714055e+11,,,
1998-02-25,INDUSINDBK,EQ,34.3,34.5,35.25,31.05,,34.85,33.53,289000,9.68985e+11,,,
1998-02-26,INDUSINDBK,EQ,34.85,35.15,35.2,34.6,,34.75,34.81,84500,2.94114e+11,,,
1998-02-27,INDUSINDBK,EQ,34.75,34.95,35.2,31.55,,34.95,33.11,179000,5.92655e+11,,,
1998-03-02,INDUSINDBK,EQ,34.95,35.1,36.45,34.9,,36.05,35.69,194400,6.93869e+11,,,
1998-03-03,INDUSINDBK,EQ,36.05,39.5,39.5,33.7,,33.85,37.0,373100,1.380494e+12,,,
1998-03-04,INDUSINDBK,EQ,33.85,34.4,36.0,34.2,,35.65,35.4,125400,4.438875e+11,,,
1998-03-05,INDUSINDBK,EQ,35.65,35.45,35.95,35.15,,35.25,35.61,54600,1.944325e+11,,,
1998-03-06,INDUSINDBK,EQ,35.25,35.1,35.3,34.75,,35.0,35.0,58400,2.04395e+11,,,
1998-03-09,INDUSINDBK,EQ,35.0,35.55,35.55,34.65,,34.75,34.94,62100,2.16988e+11,,,
1998-03-10,INDUSINDBK,EQ,34.75,35.0,35.0,33.75,,33.9,34.28,134500,4.61126e+11,,,
1998-03-11,INDUSINDBK,EQ,33.9,34.8,35.0,34.3,,34.45,34.65,49100,1.70109e+11,,,
1998-03-12,INDUSINDBK,EQ,34.45,34.2,34.5,33.95,,34.05,34.16,40800,1.393865e+11,,,
1998-03-16,INDUSINDBK,EQ,34.05,34.3,35.0,30.75,,34.05,32.27,155300,5.011795e+11,,,
1998-03-17,INDUSINDBK,EQ,34.05,33.95,37.4,33.05,,33.3,35.56,167200,5.94483e+11,,,
1998-03-18,INDUSINDBK,EQ,33.3,33.6,34.45,33.5,,34.05,34.03,120900,4.11405e+11,,,
1998-03-19,INDUSINDBK,EQ,34.05,34.45,34.8,33.75,,34.25,34.19,72100,2.465345e+11,,,
1998-03-20,INDUSINDBK,EQ,34.25,33.75,34.1,33.6,,33.7,33.79,40300,1.361865e+11,,,
1998-03-23,INDUSINDBK,EQ,33.7,34.0,34.05,33.6,33.75,33.75,33.8,16200,54755500000.0,,,
1998-03-24,INDUSINDBK,EQ,33.75,34.1,34.1,32.6,33.15,33.05,33.39,169700,5.66603e+11,,,
1998-03-25,INDUSINDBK,EQ,33.05,33.9,34.95,33.5,34.75,34.65,34.11,170100,5.802155e+11,,,
1998-03-26,INDUSINDBK,EQ,34.65,34.75,35.0,33.7,33.85,33.85,34.25,114000,3.904395e+11,,,
1998-03-27,INDUSINDBK,EQ,33.85,33.85,34.15,33.4,33.4,33.5,33.69,101800,3.429675e+11,,,
1998-03-30,INDUSINDBK,EQ,33.5,33.85,33.85,32.55,32.75,32.65,33.2,94100,3.12422e+11,,,
1998-03-31,INDUSINDBK,EQ,32.65,32.55,33.5,31.0,31.95,32.35,31.86,194300,6.191145e+11,,,
1998-04-01,INDUSINDBK,EQ,32.35,34.0,34.0,32.35,32.6,32.75,32.8,84600,2.774665e+11,,,
1998-04-02,INDUSINDBK,EQ,32.75,33.8,33.95,32.5,32.65,32.65,32.83,50100,1.64471e+11,,,
1998-04-03,INDUSINDBK,EQ,32.65,33.4,33.95,32.0,32.1,32.1,32.3,69700,2.25123e+11,,,
1998-04-06,INDUSINDBK,EQ,32.1,32.9,33.45,31.5,32.4,32.2,32.0,92900,2.9729e+11,,,
1998-04-07,INDUSINDBK,EQ,32.2,32.5,32.9,31.85,32.7,32.55,32.23,153400,4.944455e+11,,,
1998-04-09,INDUSINDBK,EQ,32.55,33.05,35.85,32.25,35.85,35.85,35.36,274900,9.721285e+11,,,
1998-04-10,INDUSINDBK,EQ,35.85,36.5,37.25,35.0,36.0,36.15,36.2,372300,1.347698e+12,,,
1998-04-13,INDUSINDBK,EQ,36.15,37.0,39.25,35.0,37.35,35.85,36.78,541100,1.990412e+12,,,
1998-04-15,INDUSINDBK,EQ,35.85,39.25,39.45,39.25,39.45,39.45,39.4,18900,74471000000.0,,,
1998-04-16,INDUSINDBK,EQ,39.45,42.9,43.4,40.0,40.45,40.3,41.64,609900,2.539638e+12,,,
1998-04-17,INDUSINDBK,EQ,40.3,40.1,40.75,39.0,40.45,40.25,39.87,292800,1.167524e+12,,,
1998-04-20,INDUSINDBK,EQ,40.25,41.0,42.8,40.1,41.2,41.45,41.87,539900,2.2603795e+12,,,
1998-04-21,INDUSINDBK,EQ,41.45,41.0,43.9,41.0,43.7,43.25,42.39,505900,2.144749e+12,,,
1998-04-22,INDUSINDBK,EQ,43.25,44.3,47.0,44.0,44.0,44.2,45.33,662700,3.003842e+12,,,
1998-04-23,INDUSINDBK,EQ,44.2,43.8,43.9,41.5,41.6,42.0,42.86,288100,1.234763e+12,,,
1998-04-24,INDUSINDBK,EQ,42.0,41.65,42.35,39.65,41.0,41.2,40.94,279600,1.144819e+12,,,
1998-04-27,INDUSINDBK,EQ,41.2,42.0,42.85,41.0,41.45,41.2,41.89,203500,8.525395e+11,,,
1998-04-28,INDUSINDBK,EQ,41.2,41.0,41.45,39.5,40.9,40.15,40.19,303900,1.221365e+12,,,
1998-04-29,INDUSINDBK,EQ,40.15,42.5,42.5,39.4,39.9,39.75,40.9,327500,1.339429e+12,,,
1998-04-30,INDUSINDBK,EQ,39.75,39.3,39.8,37.9,39.75,39.45,38.72,159400,6.17164e+11,,,
1998-05-04,INDUSINDBK,EQ,39.45,40.35,40.35,38.55,39.4,39.15,39.39,99300,3.91133e+11,,,
1998-05-05,INDUSINDBK,EQ,39.15,39.1,40.0,38.55,39.55,39.65,39.21,182500,7.15601e+11,,,
1998-05-06,INDUSINDBK,EQ,39.65,39.8,40.0,38.7,38.95,38.9,39.18,114500,4.48587e+11,,,
1998-05-08,INDUSINDBK,EQ,38.9,38.5,38.7,38.0,38.2,38.25,38.23,67500,2.5808e+11,,,
1998-05-11,INDUSINDBK,EQ,38.25,37.5,39.0,36.75,38.7,38.65,38.47,85100,3.27402e+11,,,
1998-05-12,INDUSINDBK,EQ,38.65,37.2,38.0,35.2,37.45,37.4,37.0,185100,6.84853e+11,,,
1998-05-13,INDUSINDBK,EQ,37.4,36.15,37.2,35.6,36.0,35.85,36.35,159300,5.790595e+11,,,
1998-05-14,INDUSINDBK,EQ,35.85,35.0,37.0,35.0,36.9,36.85,36.14,127800,4.61825e+11,,,
1998-05-15,INDUSINDBK,EQ,36.85,36.5,37.3,36.1,37.2,36.85,36.72,148700,5.459955e+11,,,
1998-05-18,INDUSINDBK,EQ,36.85,36.95,37.4,36.6,37.3,37.2,37.07,107100,3.96984e+11,,,
1998-05-19,INDUSINDBK,EQ,37.2,37.25,39.95,36.9,39.5,39.15,38.08,258800,9.854865e+11,,,
1998-05-20,INDUSINDBK,EQ,39.15,40.0,41.0,39.65,40.7,40.8,40.39,279200,1.1277035e+12,,,
1998-05-21,INDUSINDBK,EQ,40.8,41.2,41.2,39.1,40.0,40.0,39.83,154700,6.16139e+11,,,
1998-05-22,INDUSINDBK,EQ,40.0,39.85,40.75,39.75,40.5,40.6,40.35,220300,8.88958e+11,,,
1998-05-25,INDUSINDBK,EQ,40.6,40.0,41.25,40.0,40.95,41.05,40.98,251300,1.0297175e+12,,,
