Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,VYSYABANK,EQ,438.15,438.15,438.0,432.0,,436.15,434.89,5400,2.3483975e+11,,,,436.15,1.0
1996-01-02,VYSYABANK,EQ,436.15,415.0,435.95,393.0,,401.1,419.04,40250,1.68665175e+12,,,,401.1,1.0
1996-01-03,VYSYABANK,EQ,401.1,401.1,421.0,401.5,,407.65,410.53,61800,2.5370765e+12,,,,407.65,1.0
1996-01-04,VYSYABANK,EQ,407.65,413.5,413.5,398.0,,405.55,403.68,34800,1.40479925e+12,,,,405.55,1.0
1996-01-05,VYSYABANK,EQ,405.55,405.55,405.0,395.5,,401.4,399.81,33050,1.3213815e+12,,,,401.4,1.0
1996-01-08,VYSYABANK,EQ,401.4,402.0,402.0,377.6,,379.8,389.39,81400,3.16961675e+12,,,,379.8,1.0
1996-01-09,VYSYABANK,EQ,379.8,365.0,374.0,340.0,,345.25,355.01,74700,2.65193925e+12,,,,345.25,1.0
1996-01-10,VYSYABANK,EQ,345.25,340.0,364.9,320.0,,344.9,346.56,183600,6.3628685e+12,,,,344.9,1.0
1996-01-11,VYSYABANK,EQ,344.9,344.9,353.0,341.05,,348.2,347.74,101800,3.54003975e+12,,,,348.2,1.0
1996-01-12,VYSYABANK,EQ,348.2,348.2,351.0,343.05,,344.4,346.29,28050,9.71332e+11,,,,344.4,1.0
1996-01-15,VYSYABANK,EQ,344.4,344.4,347.9,334.5,,335.4,339.66,58750,1.99552075e+12,,,,335.4,1.0
1996-01-16,VYSYABANK,EQ,335.4,335.4,348.0,331.0,,339.35,336.94,75700,2.55064375e+12,,,,339.35,1.0
1996-01-17,VYSYABANK,EQ,339.35,339.35,338.0,330.55,,332.2,333.88,58500,1.95319e+12,,,,332.2,1.0
1996-01-18,VYSYABANK,EQ,332.2,332.2,329.25,321.05,,323.8,325.15,49550,1.6110985e+12,,,,323.8,1.0
1996-01-19,VYSYABANK,EQ,323.8,323.8,327.5,322.0,,324.95,324.18,13800,4.4736225e+11,,,,324.95,1.0
1996-01-22,VYSYABANK,EQ,324.95,324.95,329.95,317.95,,327.65,326.74,26300,8.59334e+11,,,,327.65,1.0
1996-01-23,VYSYABANK,EQ,327.65,327.65,345.0,322.1,,337.8,331.26,55050,1.823562e+12,,,,337.8,1.0
1996-01-24,VYSYABANK,EQ,337.8,337.8,328.0,323.0,,324.35,325.12,17400,5.6570975e+11,,,,324.35,1.0
1996-01-25,VYSYABANK,EQ,324.35,324.35,324.0,322.0,,322.0,322.99,6750,2.1801975e+11,,,,322.0,1.0
1996-01-29,VYSYABANK,EQ,322.0,322.0,337.0,322.0,,332.25,330.53,11800,3.9003e+11,,,,332.25,1.0
1996-01-30,VYSYABANK,EQ,332.25,332.25,337.95,322.0,,327.0,329.95,19450,6.4175475e+11,,,,327.0,1.0
1996-01-31,VYSYABANK,EQ,327.0,327.0,332.0,325.0,,325.0,327.86,8500,2.7868275e+11,,,,325.0,1.0
1996-02-01,VYSYABANK,EQ,325.0,325.0,327.75,325.0,,326.0,325.75,9850,3.2086225e+11,,,,326.0,1.0
1996-02-02,VYSYABANK,EQ,326.0,326.0,336.0,327.95,,333.6,331.49,15550,5.15467e+11,,,,333.6,1.0
1996-02-05,VYSYABANK,EQ,333.6,333.6,338.0,328.0,,328.45,333.12,10050,3.3478475e+11,,,,328.45,1.0
1996-02-06,VYSYABANK,EQ,328.45,332.0,356.95,332.0,,355.3,352.37,38450,1.35485675e+12,,,,355.3,1.0
1996-02-07,VYSYABANK,EQ,355.3,355.3,375.0,330.0,,369.05,358.12,39050,1.398453e+12,,,,369.05,1.0
1996-02-08,VYSYABANK,EQ,369.05,369.05,377.0,368.0,,376.9,373.66,25750,9.6216475e+11,,,,376.9,1.0
1996-02-09,VYSYABANK,EQ,376.9,376.9,405.0,380.0,,399.85,389.25,34450,1.34095075e+12,,,,399.85,1.0
1996-02-12,VYSYABANK,EQ,399.85,399.85,418.4,399.0,,414.0,408.05,17550,7.16136e+11,,,,414.0,1.0
1996-02-13,VYSYABANK,EQ,414.0,414.0,415.0,385.0,,408.95,400.89,22750,9.12019e+11,,,,408.95,1.0
1996-02-14,VYSYABANK,EQ,408.95,408.95,451.7,411.0,,451.7,440.75,21850,9.6303425e+11,,,,451.7,1.0
1996-02-15,VYSYABANK,EQ,451.7,455.0,469.95,454.0,,462.0,462.75,45800,2.11941725e+12,,,,462.0,1.0
1996-02-16,VYSYABANK,EQ,462.0,462.0,455.0,431.5,,433.3,440.01,15200,6.6880825e+11,,,,433.3,1.0
1996-02-19,VYSYABANK,EQ,433.3,433.3,439.0,393.0,,422.65,424.93,19750,8.3923725e+11,,,,422.65,1.0
1996-02-20,VYSYABANK,EQ,422.65,422.65,438.0,385.1,,412.1,421.04,14750,6.2102875e+11,,,,412.1,1.0
1996-02-22,VYSYABANK,EQ,412.1,412.1,434.95,412.0,,420.8,422.98,16900,7.14833e+11,,,,420.8,1.0
1996-02-23,VYSYABANK,EQ,420.8,420.8,428.0,417.0,,417.85,422.92,5400,2.28379e+11,,,,417.85,1.0
1996-02-26,VYSYABANK,EQ,417.85,417.85,423.0,405.0,,411.75,416.0,4550,1.8928025e+11,,,,411.75,1.0
1996-02-27,VYSYABANK,EQ,411.75,411.75,416.0,371.0,,387.9,395.82,18750,7.421705e+11,,,,387.9,1.0
1996-02-28,VYSYABANK,EQ,387.9,387.9,405.0,370.05,,385.2,392.78,19050,7.4825225e+11,,,,385.2,1.0
1996-02-29,VYSYABANK,EQ,385.2,385.2,387.5,359.0,,361.5,369.68,16600,6.1367675e+11,,,,361.5,1.0
1996-03-01,VYSYABANK,EQ,361.5,361.5,369.0,357.0,,366.75,364.12,12100,4.4058975e+11,,,,366.75,1.0
1996-03-04,VYSYABANK,EQ,366.75,366.75,379.95,364.0,,365.75,366.89,22950,8.42006e+11,,,,365.75,1.0
1996-03-06,VYSYABANK,EQ,365.75,365.75,367.8,357.0,,363.05,363.91,9850,3.5844675e+11,,,,363.05,1.0
1996-03-07,VYSYABANK,EQ,363.05,363.05,368.0,356.25,,359.8,362.58,6400,2.32048e+11,,,,359.8,1.0
1996-03-08,VYSYABANK,EQ,359.8,359.8,358.0,345.0,,350.75,350.34,4700,1.6466025e+11,,,,350.75,1.0
1996-03-11,VYSYABANK,EQ,350.75,350.75,351.45,342.0,,345.2,347.02,2100,72873750000.0,,,,345.2,1.0
1996-03-12,VYSYABANK,EQ,345.2,345.2,346.0,340.0,,341.25,342.85,6750,2.3142675e+11,,,,341.25,1.0
1996-03-13,VYSYABANK,EQ,341.25,341.25,365.0,335.0,,349.45,347.01,13150,4.5631575e+11,,,,349.45,1.0
1996-03-14,VYSYABANK,EQ,349.45,349.45,384.6,357.0,,358.6,368.47,24050,8.86163e+11,,,,358.6,1.0
1996-03-15,VYSYABANK,EQ,358.6,358.6,358.0,337.05,,341.05,347.64,15450,5.37111e+11,,,,341.05,1.0
1996-03-18,VYSYABANK,EQ,341.05,341.05,340.0,332.0,,337.4,336.3,5250,1.76557e+11,,,,337.4,1.0
1996-03-19,VYSYABANK,EQ,337.4,337.4,340.0,305.0,,310.7,326.57,9950,3.2494175e+11,,,,310.7,1.0
1996-03-21,VYSYABANK,EQ,310.7,310.7,338.0,325.0,,328.65,332.97,6050,2.01446e+11,,,,328.65,1.0
1996-03-22,VYSYABANK,EQ,328.65,328.65,325.0,314.9,,317.0,318.29,5100,1.6232975e+11,,,,317.0,1.0
1996-03-25,VYSYABANK,EQ,317.0,317.0,317.0,312.0,,312.55,314.21,3450,1.084015e+11,,,,312.55,1.0
1996-03-26,VYSYABANK,EQ,312.55,309.0,330.0,305.0,,317.6,313.52,6800,2.1319475e+11,,,,317.6,1.0
1996-03-27,VYSYABANK,EQ,317.6,317.6,325.0,315.05,,319.75,321.0,10250,3.2902825e+11,,,,319.75,1.0
1996-03-28,VYSYABANK,EQ,319.75,319.75,329.75,323.5,,327.25,325.56,7450,2.4254575e+11,,,,327.25,1.0
1996-03-29,VYSYABANK,EQ,327.25,327.25,334.0,322.0,,322.3,326.7,13200,4.3124075e+11,,,,322.3,1.0
1996-04-01,VYSYABANK,EQ,322.3,322.3,323.5,318.0,,320.0,320.75,6400,2.05282e+11,,,,320.0,1.0
1996-04-02,VYSYABANK,EQ,320.0,320.0,326.0,317.0,,320.35,321.36,12000,3.856375e+11,,,,320.35,1.0
1996-04-03,VYSYABANK,EQ,320.35,320.35,333.0,324.0,,324.8,328.58,11650,3.8279125e+11,,,,324.8,1.0
1996-04-04,VYSYABANK,EQ,324.8,324.8,325.95,321.6,,321.7,322.93,4850,1.5662075e+11,,,,321.7,1.0
1996-04-08,VYSYABANK,EQ,321.7,324.5,331.0,323.0,,326.5,325.78,9700,3.16005e+11,,,,326.5,1.0
1996-04-09,VYSYABANK,EQ,326.5,326.5,330.15,316.0,,318.85,323.43,9000,2.91088e+11,,,,318.85,1.0
