Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2006-02-23,INOXLEISUR,EQ,120.0,172.0,194.8,167.05,179.9,175.25,181.19,26861677,4.867082956e+14,,5856953,0.218,175.25,1.0
2006-02-24,INOXLEISUR,EQ,175.25,177.0,190.3,177.0,187.0,187.3,184.86,8792512,1.62541352545e+14,,884421,0.1006,187.3,1.0
2006-02-27,INOXLEISUR,EQ,187.3,189.0,189.0,178.55,178.8,179.55,182.22,2595793,4.7300860095e+13,,622314,0.2397,179.55,1.0
2006-02-28,INOXLEISUR,EQ,179.55,180.75,180.75,171.55,172.55,172.45,174.45,1148234,2.003054458e+13,,342751,0.2985,172.45,1.0
2006-03-01,INOXLEISUR,EQ,172.45,172.45,177.5,164.25,169.0,167.35,171.36,1462594,2.506292093e+13,,419174,0.2866,167.35,1.0
2006-03-02,INOXLEISUR,EQ,167.35,170.0,184.3,166.7,175.4,177.0,178.54,2908684,5.1932264365e+13,,603655,0.2075,177.0,1.0
2006-03-03,INOXLEISUR,EQ,177.0,176.7,186.0,172.15,182.1,181.05,182.53,3502569,6.393152964e+13,,765236,0.2185,181.05,1.0
2006-03-06,INOXLEISUR,EQ,181.05,183.15,197.25,183.0,190.7,191.45,191.4,3986733,7.630434803e+13,,754660,0.1893,191.45,1.0
2006-03-07,INOXLEISUR,EQ,191.45,192.0,196.2,186.5,193.5,192.75,191.96,2036846,3.909910802e+13,,521757,0.2562,192.75,1.0
2006-03-08,INOXLEISUR,EQ,192.75,193.4,202.8,188.25,190.25,191.6,195.24,3278797,6.4015249555e+13,,714100,0.2178,191.6,1.0
2006-03-09,INOXLEISUR,EQ,191.6,191.0,196.5,188.9,195.6,195.7,193.62,1460663,2.828105598e+13,,428633,0.2935,195.7,1.0
2006-03-10,INOXLEISUR,EQ,195.7,196.8,210.7,195.6,205.25,207.25,203.3,2619400,5.3252494625e+13,,620629,0.2369,207.25,1.0
2006-03-13,INOXLEISUR,EQ,207.25,208.0,213.45,207.5,211.2,211.6,210.52,1563895,3.292251263e+13,,442849,0.2832,211.6,1.0
2006-03-14,INOXLEISUR,EQ,211.6,212.0,224.2,206.9,219.85,220.85,217.59,3065890,6.671120412e+13,,494507,0.1613,220.85,1.0
2006-03-16,INOXLEISUR,EQ,220.85,222.0,222.4,207.15,207.5,207.9,214.41,931157,1.9964914e+13,,319353,0.343,207.9,1.0
2006-03-17,INOXLEISUR,EQ,207.9,207.5,211.95,198.0,200.4,199.95,203.57,605284,1.2321814515e+13,,211548,0.3495,199.95,1.0
2006-03-20,INOXLEISUR,EQ,199.95,200.4,209.7,196.5,206.5,207.1,205.45,748975,1.5387718475e+13,,189263,0.2527,207.1,1.0
2006-03-21,INOXLEISUR,EQ,207.1,208.7,208.7,199.6,200.0,200.6,202.74,262951,5.330988565e+12,,127262,0.484,200.6,1.0
2006-03-22,INOXLEISUR,EQ,200.6,200.95,204.0,192.5,197.05,195.95,197.7,310320,6.13494877e+12,,139780,0.4504,195.95,1.0
2006-03-23,INOXLEISUR,EQ,195.95,198.2,204.25,194.4,195.15,195.75,199.04,291182,5.79576571e+12,,86684,0.2977,195.75,1.0
2006-03-24,INOXLEISUR,EQ,195.75,197.0,203.4,196.0,196.35,197.6,199.84,356534,7.12485886e+12,,104521,0.2932,197.6,1.0
2006-03-27,INOXLEISUR,EQ,197.6,199.7,203.6,198.0,200.0,199.25,200.31,338762,6.785853425e+12,,160424,0.4736,199.25,1.0
2006-03-28,INOXLEISUR,EQ,199.25,201.0,206.5,199.0,200.0,199.55,202.64,477045,9.667048935e+12,,146313,0.3067,199.55,1.0
2006-03-29,INOXLEISUR,EQ,199.55,202.0,210.75,201.5,209.25,208.25,205.82,622202,1.280645638e+13,,277256,0.4456,208.25,1.0
2006-03-30,INOXLEISUR,EQ,208.25,210.0,216.8,203.1,205.0,205.65,211.03,481446,1.0159801035e+13,,163057,0.3387,205.65,1.0
2006-03-31,INOXLEISUR,EQ,205.65,208.0,214.4,205.5,213.0,211.8,210.93,353899,7.464764115e+12,,152362,0.4305,211.8,1.0
2006-04-03,INOXLEISUR,EQ,211.8,213.65,220.75,207.05,212.0,215.5,215.49,730367,1.5738869155e+13,,242994,0.3327,215.5,1.0
2006-04-04,INOXLEISUR,EQ,215.5,216.25,216.25,209.4,210.5,210.45,211.89,222597,4.71671859e+12,,107428,0.4826,210.45,1.0
2006-04-05,INOXLEISUR,EQ,210.45,211.9,220.7,211.1,217.0,217.65,217.26,485684,1.055198639e+13,,206403,0.425,217.65,1.0
2006-04-07,INOXLEISUR,EQ,217.65,218.95,234.5,218.85,222.1,221.3,226.97,936921,2.126573971e+13,,311709,0.3327,221.3,1.0
2006-04-10,INOXLEISUR,EQ,221.3,222.8,229.5,210.25,213.0,213.3,219.16,300375,6.58296411e+12,,144480,0.481,213.3,1.0
2006-04-12,INOXLEISUR,EQ,213.3,215.0,253.0,213.2,220.85,219.6,232.98,1941176,4.522507168e+13,,432939,0.223,219.6,1.0
2006-04-13,INOXLEISUR,EQ,219.6,221.7,240.0,215.0,232.0,229.2,227.78,1356911,3.0907173915e+13,,246817,0.1819,229.2,1.0
2006-04-17,INOXLEISUR,EQ,229.2,233.0,243.4,229.5,238.5,237.8,237.55,1248266,2.9652978315e+13,,260535,0.2087,237.8,1.0
2006-04-18,INOXLEISUR,EQ,237.8,240.75,245.0,236.0,239.0,240.7,240.52,765689,1.841606234e+13,,293907,0.3838,240.7,1.0
2006-04-19,INOXLEISUR,EQ,240.7,240.0,242.0,232.05,232.15,234.45,237.69,368562,8.76027764e+12,,125163,0.3396,234.45,1.0
2006-04-20,INOXLEISUR,EQ,234.45,234.4,235.5,226.1,229.0,229.9,232.54,375467,8.731244555e+12,,209617,0.5583,229.9,1.0
2006-04-21,INOXLEISUR,EQ,229.9,230.9,231.4,224.0,225.5,225.2,226.14,180579,4.083687965e+12,,109518,0.6065,225.2,1.0
2006-04-24,INOXLEISUR,EQ,225.2,225.5,229.5,215.5,216.0,217.5,220.92,193390,4.2723801e+12,,98020,0.5069,217.5,1.0
2006-04-25,INOXLEISUR,EQ,217.5,219.0,221.85,211.15,214.0,213.8,217.19,165782,3.60069742e+12,,97976,0.591,213.8,1.0
2006-04-26,INOXLEISUR,EQ,213.8,214.9,217.8,205.0,206.0,205.85,208.09,441715,9.19168389e+12,,342188,0.7747,205.85,1.0
2006-04-27,INOXLEISUR,EQ,205.85,207.9,217.7,207.0,208.95,207.9,211.62,327922,6.93944416e+12,,171366,0.5226,207.9,1.0
2006-04-28,INOXLEISUR,EQ,207.9,201.1,211.4,177.0,205.0,204.8,205.7,179083,3.68381346e+12,,104313,0.5825,204.8,1.0
2006-04-29,INOXLEISUR,EQ,204.8,206.85,219.0,206.5,215.5,216.05,215.7,126047,2.71879115e+12,,49048,0.3891,216.05,1.0
2006-05-02,INOXLEISUR,EQ,216.05,217.7,220.9,210.55,212.0,212.55,217.74,216605,4.71638614e+12,,158299,0.7308,212.55,1.0
