Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,ITC,EQ,249.75,249.75,252.0,249.0,,251.25,250.45,21900,5.484855e+11,,,
1996-01-02,ITC,EQ,251.25,246.0,250.5,238.0,,241.75,241.85,166000,4.014747e+12,,,
1996-01-03,ITC,EQ,241.75,231.0,236.45,229.55,,234.0,234.09,336900,7.8866305e+12,,,
1996-01-04,ITC,EQ,234.0,234.0,239.95,231.5,,238.4,234.62,275500,6.463839e+12,,,
1996-01-05,ITC,EQ,238.4,238.4,237.5,233.5,,234.1,235.36,111300,2.619566e+12,,,
1996-01-08,ITC,EQ,234.1,234.1,235.75,225.5,,226.9,229.09,281000,6.437373e+12,,,
1996-01-09,ITC,EQ,226.9,226.9,229.9,224.25,,226.3,226.74,199300,4.5188755e+12,,,
1996-01-10,ITC,EQ,226.3,226.3,230.0,224.0,,225.55,227.44,66400,1.510218e+12,,,
1996-01-11,ITC,EQ,225.55,225.55,226.95,224.5,,226.75,225.53,49500,1.116366e+12,,,
1996-01-12,ITC,EQ,226.75,226.75,231.0,226.0,,229.0,229.16,106800,2.447376e+12,,,
1996-01-15,ITC,EQ,229.0,229.0,230.0,226.25,,226.55,227.5,44900,1.021474e+12,,,
1996-01-16,ITC,EQ,226.55,226.55,228.05,225.0,,225.85,226.64,68500,1.5525105e+12,,,
1996-01-17,ITC,EQ,225.85,225.85,227.0,225.1,,225.8,226.23,68400,1.547389e+12,,,
1996-01-18,ITC,EQ,225.8,225.8,224.9,220.0,,223.0,222.94,114400,2.5503795e+12,,,
1996-01-19,ITC,EQ,223.0,223.0,223.5,208.25,,213.35,213.2,358400,7.6410395e+12,,,
1996-01-22,ITC,EQ,213.35,213.35,214.9,209.05,,211.85,211.86,87700,1.858009e+12,,,
1996-01-23,ITC,EQ,211.85,211.85,213.65,197.0,,198.75,205.83,176600,3.6349e+12,,,
1996-01-24,ITC,EQ,198.75,198.75,201.5,186.75,,190.15,191.68,350300,6.7145455e+12,,,
1996-01-25,ITC,EQ,190.15,190.15,190.0,186.5,,188.2,188.3,180900,3.4063845e+12,,,
1996-01-29,ITC,EQ,188.2,188.2,202.75,187.55,,198.75,195.77,214200,4.193288e+12,,,
1996-01-30,ITC,EQ,198.75,198.75,216.95,199.8,,211.15,204.98,348200,7.137361e+12,,,
1996-01-31,ITC,EQ,211.15,211.15,209.25,200.7,,203.25,204.84,213300,4.369152e+12,,,
1996-02-01,ITC,EQ,203.25,203.25,219.0,203.5,,215.9,210.56,279400,5.883051e+12,,,
1996-02-02,ITC,EQ,215.9,219.95,245.0,218.0,,240.65,230.62,626200,1.44416415e+13,,,
1996-02-05,ITC,EQ,240.65,240.65,265.0,241.0,,252.95,250.5,419400,1.05059095e+13,,,
1996-02-06,ITC,EQ,252.95,258.0,259.95,243.55,,250.55,254.25,313600,7.973206e+12,,,
1996-02-07,ITC,EQ,250.55,247.0,252.0,240.1,,246.85,246.77,310400,7.6597525e+12,,,
1996-02-08,ITC,EQ,246.85,250.0,272.8,247.0,,272.8,260.59,487900,1.271411e+13,,,
