Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1998-04-09,JAICORPLTD,EQ,50.0,42.5,42.55,42.5,42.55,42.55,42.51,700,2976000000.0,,,,2.1275,20.0
1998-04-10,JAICORPLTD,EQ,42.55,42.55,46.5,41.5,46.5,45.75,43.34,1400,6068000000.0,,,,2.2875,20.0
1998-04-13,JAICORPLTD,EQ,45.75,45.0,45.0,45.0,45.0,45.0,45.0,200,900000000.0,,,,2.25,20.0
1998-04-15,JAICORPLTD,EQ,45.0,47.5,47.5,47.5,47.5,47.5,47.5,100,475000000.0,,,,2.375,20.0
1998-04-16,JAICORPLTD,EQ,47.5,44.5,47.0,43.05,47.0,47.0,44.91,500,2245500000.0,,,,2.35,20.0
1998-04-20,JAICORPLTD,EQ,47.0,45.5,46.0,44.5,44.5,44.5,45.33,300,1360000000.0,,,,2.225,20.0
1998-04-21,JAICORPLTD,EQ,44.5,43.0,43.0,43.0,43.0,43.0,43.0,100,430000000.0,,,,2.15,20.0
1998-04-22,JAICORPLTD,EQ,43.0,40.0,40.0,38.75,38.75,38.75,39.58,300,1187500000.0,,,,1.9375,20.0
1998-04-24,JAICORPLTD,EQ,38.75,40.0,41.35,40.0,41.35,40.65,40.68,200,813500000.0,,,,2.0325,20.0
1998-04-27,JAICORPLTD,EQ,40.65,40.0,40.0,37.25,37.25,37.25,38.63,400,1545000000.0,,,,1.8625,20.0
1998-04-28,JAICORPLTD,EQ,37.25,37.25,37.25,36.0,36.0,36.0,36.64,400,1465500000.0,,,,1.8,20.0
1998-05-19,JAICORPLTD,EQ,36.0,36.0,36.0,36.0,36.0,36.0,36.0,200,720000000.0,,,,1.8,20.0
1998-05-20,JAICORPLTD,EQ,36.0,38.25,38.25,38.25,38.25,38.25,38.25,100,382500000.0,,,,1.9125,20.0
1998-05-21,JAICORPLTD,EQ,38.25,39.0,39.0,39.0,39.0,39.0,39.0,100,390000000.0,,,,1.95,20.0
1998-05-22,JAICORPLTD,EQ,39.0,39.0,39.0,39.0,39.0,39.0,39.0,100,390000000.0,,,,1.95,20.0
1998-06-02,JAICORPLTD,EQ,39.0,36.0,36.0,36.0,36.0,36.0,36.0,100,360000000.0,,,,1.8,20.0
1998-06-04,JAICORPLTD,EQ,36.0,36.0,37.0,36.0,37.0,37.0,36.5,200,730000000.0,,,,1.85,20.0
1998-06-23,JAICORPLTD,EQ,37.0,33.5,33.5,33.5,33.5,33.5,33.5,200,670000000.0,,,,1.675,20.0
1998-07-23,JAICORPLTD,EQ,33.5,31.5,31.5,31.5,31.5,31.5,31.5,100,315000000.0,,,,1.575,20.0
1998-08-04,JAICORPLTD,EQ,31.5,30.8,31.0,30.8,31.0,31.0,30.9,200,618000000.0,,,,1.55,20.0
1998-08-05,JAICORPLTD,EQ,31.0,30.0,30.0,30.0,30.0,30.0,30.0,100,300000000.0,,,,1.5,20.0
1998-09-14,JAICORPLTD,EQ,30.0,29.0,29.0,29.0,29.0,29.0,29.0,20200,58580000000.0,,,,1.45,20.0
1998-09-22,JAICORPLTD,EQ,29.0,29.1,29.1,29.1,29.1,29.1,29.1,100,291000000.0,,,,1.455,20.0
1998-09-23,JAICORPLTD,EQ,29.1,29.5,29.5,29.5,29.5,29.5,29.5,100,295000000.0,,,,1.475,20.0
1998-10-07,JAICORPLTD,EQ,29.5,26.0,26.0,26.0,26.0,26.0,26.0,100,260000000.0,,,,1.3,20.0
1998-10-09,JAICORPLTD,EQ,26.0,26.0,26.0,26.0,26.0,26.0,26.0,100,260000000.0,,,,1.3,20.0
1998-11-05,JAICORPLTD,EQ,26.0,28.0,28.0,28.0,28.0,28.0,28.0,100,280000000.0,,,,1.4,20.0
1998-11-10,JAICORPLTD,EQ,28.0,28.5,28.5,28.5,28.5,28.5,28.5,100,285000000.0,,,,1.425,20.0
1998-11-11,JAICORPLTD,EQ,28.5,29.25,29.25,29.25,29.25,29.25,29.25,100,292500000.0,,,,1.4625,20.0
1998-11-12,JAICORPLTD,EQ,29.25,30.0,30.0,30.0,30.0,30.0,30.0,200,600000000.0,,,,1.5,20.0
1998-11-17,JAICORPLTD,EQ,30.0,29.0,29.0,29.0,29.0,29.0,29.0,100,290000000.0,,,,1.45,20.0
1998-11-20,JAICORPLTD,EQ,29.0,31.0,31.0,29.25,29.25,29.25,29.5,700,2065000000.0,,,,1.4625,20.0
1998-11-24,JAICORPLTD,EQ,29.25,29.3,29.3,29.3,29.3,29.3,29.3,100,293000000.0,,,,1.465,20.0
1998-12-04,JAICORPLTD,EQ,29.3,27.0,27.0,27.0,27.0,27.0,27.0,100,270000000.0,,,,1.35,20.0
1998-12-16,JAICORPLTD,EQ,27.0,27.0,27.0,27.0,27.0,27.0,27.0,100,270000000.0,,,,1.35,20.0
1999-04-30,JAICORPLTD,EQ,24.85,22.9,22.9,22.9,22.9,22.9,22.9,300,687000000.0,,,,1.145,20.0
1999-05-11,JAICORPLTD,EQ,22.9,23.0,23.0,23.0,23.0,23.0,23.0,100,230000000.0,,,,1.15,20.0
1999-05-12,JAICORPLTD,EQ,23.0,24.1,24.5,24.1,24.15,24.15,24.24,400,969500000.0,,,,1.2075,20.0
1999-05-13,JAICORPLTD,EQ,24.15,24.5,26.0,24.25,24.25,24.25,24.92,300,747500000.0,,,,1.2125,20.0
1999-05-17,JAICORPLTD,EQ,24.25,24.0,24.0,23.5,23.5,23.5,23.57,700,1650000000.0,,,,1.175,20.0
1999-05-18,JAICORPLTD,EQ,23.5,23.0,23.5,23.0,23.5,23.5,23.25,200,465000000.0,,,,1.175,20.0
1999-05-19,JAICORPLTD,EQ,23.5,25.25,25.25,25.25,25.25,25.25,25.25,100,252500000.0,,,,1.2625,20.0
1999-05-20,JAICORPLTD,EQ,25.25,23.5,23.5,23.5,23.5,23.5,23.5,100,235000000.0,,,,1.175,20.0
1999-06-14,JAICORPLTD,EQ,23.5,21.1,21.1,21.0,21.0,21.0,21.05,200,421000000.0,,,,1.05,20.0
1999-06-15,JAICORPLTD,EQ,21.0,22.0,22.0,22.0,22.0,22.0,22.0,100,220000000.0,,,,1.1,20.0
1999-06-24,JAICORPLTD,EQ,22.0,23.1,23.1,23.1,23.1,23.1,23.1,100,231000000.0,,,,1.155,20.0
1999-06-25,JAICORPLTD,EQ,23.1,23.1,23.1,23.1,23.1,23.1,23.1,100,231000000.0,,,,1.155,20.0
1999-06-29,JAICORPLTD,EQ,23.1,22.5,22.5,22.5,22.5,22.5,22.5,100,225000000.0,,,,1.125,20.0
1999-07-05,JAICORPLTD,EQ,22.5,24.1,24.1,24.1,24.1,24.1,24.1,100,241000000.0,,,,1.205,20.0
1999-07-06,JAICORPLTD,EQ,24.1,25.75,26.0,25.05,26.0,26.0,25.7,400,1028000000.0,,,,1.3,20.0
1999-07-07,JAICORPLTD,EQ,26.0,27.0,27.0,25.1,25.1,25.1,26.03,400,1041000000.0,,,,1.255,20.0
1999-07-08,JAICORPLTD,EQ,25.1,26.0,27.0,26.0,27.0,27.0,26.5,200,530000000.0,,,,1.35,20.0
1999-07-09,JAICORPLTD,EQ,27.0,25.35,29.15,25.35,25.6,25.6,26.8,500,1340000000.0,,,,1.28,20.0
1999-07-12,JAICORPLTD,EQ,25.6,27.0,27.6,27.0,27.6,27.6,27.3,200,546000000.0,,,,1.38,20.0
