Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2005-03-14,JETAIRWAYS,EQ,1100.0,1155.0,1338.9,1155.0,1299.95,1304.2,1257.22,12791631,1.6081862247e+15,,3276408,0.2561,1304.2,1.0
2005-03-15,JETAIRWAYS,EQ,1304.2,1310.0,1311.7,1280.0,1290.95,1293.35,1295.43,3701537,4.7950760021e+14,,870624,0.2352,1293.35,1.0
2005-03-16,JETAIRWAYS,EQ,1293.35,1295.0,1300.95,1275.55,1279.0,1282.6,1293.05,958818,1.2398021663e+14,,266715,0.2782,1282.6,1.0
2005-03-17,JETAIRWAYS,EQ,1282.6,1280.0,1280.0,1246.65,1248.05,1251.5,1264.77,839750,1.06208809725e+14,,369418,0.4399,1251.5,1.0
2005-03-18,JETAIRWAYS,EQ,1251.5,1248.0,1251.5,1219.15,1235.9,1229.4,1233.22,1389118,1.7130815223e+14,,695775,0.5009,1229.4,1.0
2005-03-21,JETAIRWAYS,EQ,1229.4,1240.0,1263.5,1213.1,1224.0,1222.5,1240.6,1168916,1.45015468165e+14,,213707,0.1828,1222.5,1.0
2005-03-22,JETAIRWAYS,EQ,1222.5,1220.0,1232.95,1185.5,1203.0,1194.3,1208.86,884667,1.06943750765e+14,,224781,0.2541,1194.3,1.0
2005-03-23,JETAIRWAYS,EQ,1194.3,1200.1,1215.0,1176.6,1200.15,1193.55,1189.76,1036120,1.2327300584e+14,,401178,0.3872,1193.55,1.0
2005-03-24,JETAIRWAYS,EQ,1193.55,1195.0,1215.0,1195.0,1209.0,1207.25,1205.98,382099,4.6080356055e+13,,102328,0.2678,1207.25,1.0
2005-03-28,JETAIRWAYS,EQ,1207.25,1212.0,1226.0,1190.0,1200.0,1209.6,1214.9,283047,3.438729866e+13,,70691,0.2498,1209.6,1.0
2005-03-29,JETAIRWAYS,EQ,1209.6,1200.0,1209.8,1170.0,1185.0,1185.6,1192.87,495640,5.912345389e+13,,229010,0.462,1185.6,1.0
2005-03-30,JETAIRWAYS,EQ,1185.6,1185.0,1235.0,1174.0,1230.0,1210.45,1196.39,382540,4.576665967e+13,,132442,0.3462,1210.45,1.0
2005-03-31,JETAIRWAYS,EQ,1210.45,1221.15,1235.0,1201.2,1208.0,1211.55,1221.42,446037,5.447991666e+13,,139146,0.312,1211.55,1.0
2005-04-01,JETAIRWAYS,EQ,1211.55,1211.65,1274.9,1202.0,1262.0,1264.3,1239.64,454939,5.6396176245e+13,,127495,0.2802,1264.3,1.0
2005-04-04,JETAIRWAYS,EQ,1264.3,1248.0,1288.0,1245.0,1248.0,1258.9,1268.7,906485,1.1500567088e+14,,333653,0.3681,1258.9,1.0
2005-04-05,JETAIRWAYS,EQ,1258.9,1246.0,1262.95,1220.25,1230.0,1227.4,1239.97,241783,2.9980310785e+13,,26335,0.1089,1227.4,1.0
2005-04-06,JETAIRWAYS,EQ,1227.4,1227.0,1240.0,1222.2,1230.0,1230.6,1232.07,162751,2.005210437e+13,,20102,0.1235,1230.6,1.0
2005-04-07,JETAIRWAYS,EQ,1230.6,1230.6,1259.0,1230.6,1253.0,1253.9,1248.0,388696,4.8509363975e+13,,234187,0.6025,1253.9,1.0
2005-04-08,JETAIRWAYS,EQ,1253.9,1250.1,1259.0,1237.0,1245.0,1252.75,1249.01,226075,2.8237057395e+13,,87701,0.3879,1252.75,1.0
2005-04-11,JETAIRWAYS,EQ,1252.75,1259.0,1291.0,1242.0,1260.0,1254.7,1254.93,214015,2.685737682e+13,,46969,0.2195,1254.7,1.0
2005-04-12,JETAIRWAYS,EQ,1254.7,1260.0,1274.0,1245.05,1270.0,1265.0,1258.73,405058,5.0986049035e+13,,165074,0.4075,1265.0,1.0
2005-04-13,JETAIRWAYS,EQ,1265.0,1266.9,1280.0,1254.15,1273.15,1267.55,1262.66,173628,2.1923276725e+13,,74488,0.429,1267.55,1.0
2005-04-15,JETAIRWAYS,EQ,1267.55,1268.0,1268.0,1235.55,1240.0,1246.45,1246.01,223648,2.78668712e+13,,104370,0.4667,1246.45,1.0
2005-04-18,JETAIRWAYS,EQ,1246.45,1246.45,1259.0,1204.95,1255.0,1252.8,1246.82,118649,1.479339475e+13,,45514,0.3836,1252.8,1.0
2005-04-19,JETAIRWAYS,EQ,1252.8,1255.0,1270.0,1252.25,1254.0,1262.6,1263.11,214946,2.7150105435e+13,,136632,0.6357,1262.6,1.0
2005-04-20,JETAIRWAYS,EQ,1262.6,1254.05,1264.0,1237.85,1260.0,1259.1,1251.34,185130,2.316605399e+13,,104579,0.5649,1259.1,1.0
2005-04-21,JETAIRWAYS,EQ,1259.1,1260.0,1294.0,1159.0,1283.0,1287.8,1275.13,290295,3.701643033e+13,,133517,0.4599,1287.8,1.0
2005-04-22,JETAIRWAYS,EQ,1287.8,1290.05,1330.0,1284.9,1311.0,1320.7,1313.18,502590,6.599896661e+13,,177194,0.3526,1320.7,1.0
2005-04-25,JETAIRWAYS,EQ,1320.7,1285.0,1348.0,1285.0,1345.0,1338.05,1328.7,288929,3.839005643e+13,,90457,0.3131,1338.05,1.0
2005-04-26,JETAIRWAYS,EQ,1338.05,1330.0,1382.75,1330.0,1372.0,1375.1,1357.0,552837,7.5020027335e+13,,168377,0.3046,1375.1,1.0
2005-04-27,JETAIRWAYS,EQ,1375.1,1370.0,1370.0,1316.3,1319.0,1323.95,1343.69,269799,3.6252730005e+13,,80831,0.2996,1323.95,1.0
2005-04-28,JETAIRWAYS,EQ,1323.95,1323.0,1334.6,1291.35,1310.0,1303.1,1316.48,266275,3.5054488975e+13,,107384,0.4033,1303.1,1.0
2005-04-29,JETAIRWAYS,EQ,1303.1,1309.0,1332.8,1305.5,1329.8,1323.95,1315.19,242009,3.182868782e+13,,137888,0.5698,1323.95,1.0
2005-05-02,JETAIRWAYS,EQ,1323.95,1301.0,1341.0,1301.0,1338.0,1339.2,1335.26,162346,2.167743247e+13,,57167,0.3521,1339.2,1.0
2005-05-03,JETAIRWAYS,EQ,1339.2,1338.9,1341.0,1321.3,1340.0,1339.7,1336.77,162154,2.167620175e+13,,87355,0.5387,1339.7,1.0
2005-05-04,JETAIRWAYS,EQ,1339.7,1332.0,1343.6,1324.0,1328.0,1334.6,1338.53,104329,1.3964739445e+13,,47757,0.4578,1334.6,1.0
2005-05-05,JETAIRWAYS,EQ,1334.6,1335.0,1349.0,1288.2,1313.0,1297.95,1318.86,204891,2.702226996e+13,,76737,0.3745,1297.95,1.0
2005-05-06,JETAIRWAYS,EQ,1297.95,1305.0,1340.0,1297.0,1340.0,1337.05,1320.7,182725,2.4132496705e+13,,51441,0.2815,1337.05,1.0
2005-05-09,JETAIRWAYS,EQ,1337.05,1336.0,1337.0,1316.0,1316.0,1326.95,1329.26,87544,1.163687277e+13,,27537,0.3146,1326.95,1.0
2005-05-10,JETAIRWAYS,EQ,1326.95,1328.9,1340.0,1305.55,1311.0,1310.5,1320.06,101339,1.337731834e+13,,29516,0.2913,1310.5,1.0
2005-05-11,JETAIRWAYS,EQ,1310.5,1305.0,1310.0,1287.0,1293.0,1294.05,1298.73,96818,1.25740448e+13,,40272,0.416,1294.05,1.0
2005-05-12,JETAIRWAYS,EQ,1294.05,1300.0,1310.0,1291.1,1292.0,1294.4,1301.94,93366,1.2155658075e+13,,39655,0.4247,1294.4,1.0
