Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-03-14,JKCEMENT,EQ,166.15,160.0,163.0,128.1,153.5,155.5,149.18,3649008,5.443429736e+13,,896095,0.2456
2006-03-16,JKCEMENT,EQ,155.5,154.0,154.5,148.75,151.0,151.1,151.26,889792,1.345920987e+13,,554139,0.6228
2006-03-17,JKCEMENT,EQ,151.1,151.9,154.9,150.0,151.8,152.8,152.8,265626,4.05878199e+12,,146933,0.5532
2006-03-20,JKCEMENT,EQ,152.8,153.6,155.0,150.95,153.05,153.1,152.63,272437,4.158294365e+12,,163529,0.6002
2006-03-21,JKCEMENT,EQ,153.1,153.8,154.0,151.0,152.3,151.15,151.71,84770,1.28606976e+12,,44596,0.5261
2006-03-22,JKCEMENT,EQ,151.15,151.45,152.4,149.75,152.35,152.05,151.45,139429,2.111650735e+12,,117584,0.8433
2006-03-23,JKCEMENT,EQ,152.05,152.05,154.4,151.1,153.05,153.2,152.75,227191,3.470323155e+12,,208573,0.9181
2006-03-24,JKCEMENT,EQ,153.2,153.0,156.6,152.05,155.0,155.15,154.09,301547,4.64668002e+12,,242166,0.8031
2006-03-27,JKCEMENT,EQ,155.15,155.15,164.45,155.15,162.05,162.3,159.97,631906,1.0108617125e+13,,329827,0.522
2006-03-28,JKCEMENT,EQ,162.3,162.9,164.0,158.5,163.15,162.95,162.12,180920,2.93300273e+12,,141005,0.7794
2006-03-29,JKCEMENT,EQ,162.95,162.9,166.0,155.1,166.0,164.1,161.6,214117,3.46019579e+12,,161987,0.7565
2006-03-30,JKCEMENT,EQ,164.1,165.0,170.45,162.5,163.1,166.1,167.76,292600,4.908519535e+12,,115148,0.3935
2006-03-31,JKCEMENT,EQ,166.1,162.5,176.5,162.1,176.0,175.3,173.17,255759,4.428976615e+12,,156883,0.6134
2006-04-03,JKCEMENT,EQ,175.3,178.0,180.0,172.0,174.05,175.55,176.0,201419,3.544876885e+12,,140480,0.6975
2006-04-04,JKCEMENT,EQ,175.55,177.5,180.9,172.1,174.45,174.9,176.4,112833,1.9903417e+12,,69419,0.6152
2006-04-05,JKCEMENT,EQ,174.9,175.0,179.0,174.0,177.9,177.65,177.16,145990,2.586335215e+12,,65684,0.4499
2006-04-07,JKCEMENT,EQ,177.65,175.0,183.95,174.0,176.35,175.6,179.69,306950,5.515693955e+12,,177807,0.5793
2006-04-10,JKCEMENT,EQ,175.6,177.0,185.0,177.0,185.0,183.8,182.18,235557,4.291270155e+12,,163002,0.692
2006-04-12,JKCEMENT,EQ,183.8,184.0,200.0,175.05,176.75,177.55,185.57,329925,6.1223934e+12,,149418,0.4529
2006-04-13,JKCEMENT,EQ,177.55,190.0,190.0,171.1,171.1,172.95,174.05,194627,3.38745732e+12,,154206,0.7923
2006-04-17,JKCEMENT,EQ,172.95,168.15,179.9,151.25,178.45,178.45,177.34,89725,1.591158495e+12,,50850,0.5667
2006-04-18,JKCEMENT,EQ,178.45,180.0,185.0,175.3,180.9,179.95,179.22,352171,6.31160834e+12,,268188,0.7615
2006-04-19,JKCEMENT,EQ,179.95,183.0,185.0,178.0,180.3,180.85,180.18,161218,2.904793285e+12,,95358,0.5915
2006-04-20,JKCEMENT,EQ,180.85,182.65,186.4,176.15,183.0,183.5,182.72,281258,5.139050645e+12,,97399,0.3463
2006-04-21,JKCEMENT,EQ,183.5,183.0,185.0,178.0,182.0,183.1,181.18,117465,2.1282439e+12,,67033,0.5707
2006-04-24,JKCEMENT,EQ,183.1,182.85,186.8,180.2,184.0,184.0,184.47,192002,3.54188792e+12,,109692,0.5713
2006-04-25,JKCEMENT,EQ,184.0,186.5,186.5,181.5,183.05,182.9,183.96,67378,1.23947776e+12,,42075,0.6245
2006-04-26,JKCEMENT,EQ,182.9,184.9,195.0,182.0,191.0,192.5,188.86,165082,3.11775858e+12,,121995,0.739
2006-04-27,JKCEMENT,EQ,192.5,195.0,196.5,188.0,195.0,194.7,194.7,346431,6.745009935e+12,,185336,0.535
2006-04-28,JKCEMENT,EQ,194.7,172.25,193.0,172.25,187.5,188.35,189.75,130175,2.47013191e+12,,83276,0.6397
2006-04-29,JKCEMENT,EQ,188.35,194.0,225.1,192.0,206.35,206.85,206.3,345576,7.129134755e+12,,139286,0.4031
2006-05-02,JKCEMENT,EQ,206.85,211.9,211.9,193.55,194.95,195.75,201.98,604521,1.221033916e+13,,329693,0.5454
2006-05-03,JKCEMENT,EQ,195.75,194.0,197.45,187.5,195.0,195.3,193.65,389804,7.548704165e+12,,224474,0.5759
2006-05-04,JKCEMENT,EQ,195.3,198.0,205.0,193.1,196.25,196.3,198.01,180208,3.568224835e+12,,101739,0.5646
2006-05-05,JKCEMENT,EQ,196.3,197.5,203.0,195.15,195.15,196.1,198.7,114094,2.26702354e+12,,58711,0.5146
2006-05-08,JKCEMENT,EQ,196.1,199.0,200.95,195.0,195.75,195.7,197.25,53930,1.063759395e+12,,25576,0.4742
2006-05-09,JKCEMENT,EQ,195.7,197.95,198.6,193.3,194.5,194.4,196.25,64546,1.26673679e+12,,30972,0.4798
2006-05-10,JKCEMENT,EQ,194.4,197.0,197.0,186.0,188.0,188.1,192.23,82482,1.585592695e+12,,40721,0.4937
2006-05-11,JKCEMENT,EQ,188.1,185.25,193.9,183.1,189.0,188.7,189.04,71022,1.342565515e+12,,36393,0.5124
2006-05-12,JKCEMENT,EQ,188.7,187.8,190.0,181.5,185.0,184.8,185.74,121716,2.26078247e+12,,60839,0.4998
2006-05-15,JKCEMENT,EQ,184.8,180.0,186.0,151.0,175.0,174.85,181.77,97692,1.77577786e+12,,59322,0.6072
2006-05-16,JKCEMENT,EQ,174.85,176.05,183.0,170.4,173.25,176.55,178.12,74502,1.327042145e+12,,38485,0.5166
2006-05-17,JKCEMENT,EQ,176.55,183.0,183.0,179.0,180.0,180.45,180.38,85826,1.54809612e+12,,64631,0.753
2006-05-18,JKCEMENT,EQ,180.45,180.5,180.5,166.0,167.5,169.65,173.27,73526,1.27400014e+12,,55829,0.7593
2006-05-19,JKCEMENT,EQ,169.65,172.0,180.0,155.0,168.25,166.95,163.96,119145,1.953450265e+12,,90722,0.7614
2006-05-22,JKCEMENT,EQ,166.95,167.0,167.0,133.6,150.0,148.9,144.11,89229,1.285865325e+12,,54722,0.6133
2006-05-23,JKCEMENT,EQ,148.9,135.1,157.95,135.1,153.95,154.9,146.4,134638,1.971054425e+12,,74894,0.5563
2006-05-24,JKCEMENT,EQ,154.9,152.0,163.95,151.0,159.05,159.7,157.7,76204,1.201738415e+12,,59171,0.7765
2006-05-25,JKCEMENT,EQ,159.7,157.85,168.0,153.5,164.9,165.0,159.06,36526,5.8096954e+11,,20007,0.5477
2006-05-26,JKCEMENT,EQ,165.0,168.0,168.5,155.05,159.0,158.75,162.85,44684,7.2767925e+11,,24268,0.5431
2006-05-29,JKCEMENT,EQ,158.75,164.95,164.95,155.25,156.0,156.8,158.33,30152,4.7739257e+11,,13007,0.4314
2006-05-30,JKCEMENT,EQ,156.8,164.9,164.9,151.0,152.0,152.6,157.05,40359,6.33825775e+11,,27208,0.6741
2006-05-31,JKCEMENT,EQ,152.6,135.0,152.6,135.0,142.0,142.25,143.73,43718,6.28365075e+11,,27299,0.6244
2006-06-01,JKCEMENT,EQ,142.25,145.1,147.95,139.2,139.6,140.0,142.98,36738,5.25264165e+11,,19524,0.5314
2006-06-02,JKCEMENT,EQ,140.0,131.1,141.05,131.1,135.5,135.75,136.15,44560,6.066998e+11,,31532,0.7076
2006-06-05,JKCEMENT,EQ,135.75,142.0,143.0,137.0,140.85,141.25,141.04,56370,7.9505932e+11,,45275,0.8032
2006-06-06,JKCEMENT,EQ,141.25,130.1,141.0,130.1,135.7,134.9,137.32,57879,7.9480139e+11,,43905,0.7586
2006-06-07,JKCEMENT,EQ,134.9,129.0,137.5,116.1,119.0,119.55,123.15,87979,1.08347415e+12,,72997,0.8297
2006-06-08,JKCEMENT,EQ,119.55,121.0,121.0,108.1,113.0,111.5,112.95,30988,3.49996065e+11,,19731,0.6367
2006-06-09,JKCEMENT,EQ,111.5,109.25,123.0,109.25,120.0,120.9,118.81,27910,3.31599155e+11,,11094,0.3975
2006-06-12,JKCEMENT,EQ,120.9,129.0,129.0,118.0,120.4,119.3,120.29,14428,1.735558e+11,,7287,0.5051
2006-06-13,JKCEMENT,EQ,119.3,105.25,119.0,105.25,115.0,111.95,111.79,16222,1.8134238e+11,,7889,0.4863
2006-06-14,JKCEMENT,EQ,111.95,118.95,121.0,112.5,121.0,118.75,116.47,29295,3.4119673e+11,,16214,0.5535
2006-06-15,JKCEMENT,EQ,118.75,114.0,123.0,114.0,118.55,119.4,119.01,20628,2.4550307e+11,,7611,0.369
2006-06-16,JKCEMENT,EQ,119.4,123.05,143.3,123.05,130.0,132.8,136.42,107921,1.472277425e+12,,65592,0.6078
2006-06-19,JKCEMENT,EQ,132.8,130.0,145.0,128.4,144.05,143.05,138.12,40450,5.58679205e+11,,23557,0.5824
2006-06-20,JKCEMENT,EQ,143.05,130.0,147.2,125.0,143.25,144.55,143.08,55863,7.99289375e+11,,22760,0.4074
2006-06-21,JKCEMENT,EQ,144.55,146.0,156.75,146.0,154.1,155.45,152.98,76497,1.170277785e+12,,43692,0.5712
2006-06-22,JKCEMENT,EQ,155.45,159.9,164.95,156.4,161.0,160.35,160.79,106092,1.70589032e+12,,61194,0.5768
2006-06-23,JKCEMENT,EQ,160.35,146.0,161.5,146.0,160.0,159.35,158.95,31216,4.9619155e+11,,14060,0.4504
2006-06-25,JKCEMENT,EQ,159.35,155.0,162.0,155.0,158.0,158.25,159.01,3152,50120530000.0,,1871,0.5936
2006-06-26,JKCEMENT,EQ,158.25,158.15,161.0,145.0,148.0,147.8,153.17,18932,2.8997695e+11,,7766,0.4102
2006-06-27,JKCEMENT,EQ,147.8,145.0,152.9,140.0,142.55,143.8,144.77,21664,3.13625765e+11,,7094,0.3275
2006-06-28,JKCEMENT,EQ,143.8,140.0,144.95,137.1,140.0,139.3,141.48,23065,3.26319425e+11,,15165,0.6575
2006-06-29,JKCEMENT,EQ,139.3,144.5,144.5,140.0,140.05,140.35,142.88,5548,79270850000.0,,3720,0.6705
2006-06-30,JKCEMENT,EQ,140.35,142.0,148.05,142.0,143.05,143.25,144.16,19279,2.7793289e+11,,8649,0.4486
2006-07-03,JKCEMENT,EQ,143.25,140.5,145.9,137.15,139.05,139.6,140.98,17414,2.45499025e+11,,9803,0.5629
2006-07-04,JKCEMENT,EQ,139.6,145.9,145.9,141.1,141.5,141.9,143.42,16500,2.3664615e+11,,7463,0.4523
2006-07-05,JKCEMENT,EQ,141.9,142.0,147.95,139.3,142.0,141.35,141.48,18856,2.6676553e+11,,8626,0.4575
2006-07-06,JKCEMENT,EQ,141.35,139.15,146.0,132.0,138.9,138.35,141.2,57342,8.09673605e+11,,30876,0.5385
2006-07-07,JKCEMENT,EQ,138.35,141.9,144.25,139.05,142.1,142.05,142.34,52108,7.4172523e+11,,25434,0.4881
2006-07-10,JKCEMENT,EQ,142.05,144.0,146.0,141.3,146.0,144.95,143.79,16684,2.3989257e+11,,8425,0.505
2006-07-11,JKCEMENT,EQ,144.95,148.0,149.5,145.05,145.25,146.15,146.99,32227,4.73714265e+11,,10720,0.3326
2006-07-12,JKCEMENT,EQ,146.15,139.0,155.0,139.0,149.0,150.55,151.21,84854,1.283097395e+12,,26804,0.3159
2006-07-13,JKCEMENT,EQ,150.55,154.0,154.95,145.0,146.0,146.85,150.1,41637,6.24974915e+11,,18900,0.4539
2006-07-14,JKCEMENT,EQ,146.85,142.0,145.8,140.1,143.05,143.35,143.01,27287,3.90223075e+11,,11692,0.4285
2006-07-17,JKCEMENT,EQ,143.35,144.0,147.65,142.0,143.2,143.55,145.11,17253,2.503667e+11,,7565,0.4385
2006-07-18,JKCEMENT,EQ,143.55,142.1,147.5,133.55,137.95,137.3,139.0,53900,7.4918519e+11,,31851,0.5909
2006-07-19,JKCEMENT,EQ,137.3,140.0,142.95,136.25,139.5,139.4,139.34,29111,4.05635695e+11,,17489,0.6008
2006-07-20,JKCEMENT,EQ,139.4,141.1,142.5,139.05,140.8,140.45,140.5,14495,2.03653775e+11,,6092,0.4203
2006-07-21,JKCEMENT,EQ,140.45,142.5,142.5,135.1,135.2,136.55,136.33,9680,1.31971025e+11,,5815,0.6007
2006-07-24,JKCEMENT,EQ,136.55,131.2,136.0,129.25,135.9,134.9,131.96,50793,6.70245055e+11,,30392,0.5984
