Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2006-06-19,JKLAKSHMI,EQ,81.65,87.0,102.8,81.0,101.8,98.95,94.87,50177,4.7602549e+11,,20566,0.4099,49.475,2.0
2006-06-20,JKLAKSHMI,EQ,98.95,98.6,108.0,95.1,103.0,103.85,103.61,91876,9.51947475e+11,,22106,0.2406,51.925,2.0
2006-06-21,JKLAKSHMI,EQ,103.85,104.0,117.5,104.0,115.65,115.8,112.69,135216,1.523735595e+12,,63060,0.4664,57.9,2.0
2006-06-22,JKLAKSHMI,EQ,115.8,117.0,124.5,112.1,116.6,116.15,119.57,130904,1.565246065e+12,,55102,0.4209,58.075,2.0
2006-06-23,JKLAKSHMI,EQ,116.15,116.7,116.7,105.65,112.4,112.5,110.26,179807,1.982610075e+12,,86045,0.4785,56.25,2.0
2006-06-25,JKLAKSHMI,EQ,112.5,113.0,115.75,112.0,115.75,114.55,113.8,17862,2.0326883e+11,,12040,0.6741,57.275,2.0
2006-06-26,JKLAKSHMI,EQ,114.55,113.0,115.45,107.5,108.0,108.05,112.17,50354,5.64811565e+11,,23789,0.4724,54.025,2.0
2006-06-27,JKLAKSHMI,EQ,108.05,108.0,110.0,102.0,105.25,105.8,105.38,21920,2.30982e+11,,8308,0.379,52.9,2.0
2006-06-28,JKLAKSHMI,EQ,105.8,107.0,107.0,91.7,101.0,100.95,102.74,30809,3.1654406e+11,,14270,0.4632,50.475,2.0
2006-06-29,JKLAKSHMI,EQ,100.95,104.9,105.0,99.2,101.0,100.7,102.05,30366,3.0989352e+11,,14471,0.4766,50.35,2.0
2006-06-30,JKLAKSHMI,EQ,100.7,105.0,110.0,103.75,106.4,106.65,106.93,56443,6.03537725e+11,,21787,0.386,53.325,2.0
2006-07-03,JKLAKSHMI,EQ,106.65,108.0,109.0,103.1,104.95,104.55,106.77,24731,2.64040925e+11,,12420,0.5022,52.275,2.0
2006-07-04,JKLAKSHMI,EQ,104.55,105.3,108.4,102.55,103.5,103.05,105.85,31317,3.3147571e+11,,10700,0.3417,51.525,2.0
2006-07-05,JKLAKSHMI,EQ,103.05,103.7,106.0,103.7,104.2,104.4,104.45,16218,1.6939679e+11,,8229,0.5074,52.2,2.0
2006-07-06,JKLAKSHMI,EQ,104.4,103.0,109.3,102.7,108.3,108.35,107.51,72423,7.78616775e+11,,35843,0.4949,54.175,2.0
2006-07-07,JKLAKSHMI,EQ,108.35,111.0,115.0,105.2,105.95,106.65,111.48,148136,1.65144512e+12,,52641,0.3554,53.325,2.0
2006-07-10,JKLAKSHMI,EQ,106.65,107.0,111.6,105.3,110.9,110.0,108.6,58331,6.33472045e+11,,26636,0.4566,55.0,2.0
2006-07-11,JKLAKSHMI,EQ,110.0,109.5,111.25,106.5,108.05,109.0,109.23,60473,6.6057208e+11,,24449,0.4043,54.5,2.0
2006-07-12,JKLAKSHMI,EQ,109.0,107.05,112.95,105.5,112.0,111.95,110.7,150250,1.663253035e+12,,75894,0.5051,55.975,2.0
2006-07-13,JKLAKSHMI,EQ,111.95,116.0,119.25,112.4,114.75,114.8,115.98,291858,3.384889885e+12,,90638,0.3106,57.4,2.0
2006-07-14,JKLAKSHMI,EQ,114.8,114.0,115.5,111.0,114.0,114.4,113.27,91520,1.036615365e+12,,32928,0.3598,57.2,2.0
2006-07-17,JKLAKSHMI,EQ,114.4,113.1,116.7,107.0,107.0,107.85,113.38,99749,1.13091791e+12,,48340,0.4846,53.925,2.0
2006-07-18,JKLAKSHMI,EQ,107.85,105.0,111.0,102.05,103.0,103.0,105.8,75057,7.9413523e+11,,29744,0.3963,51.5,2.0
2006-07-19,JKLAKSHMI,EQ,103.0,105.0,106.0,96.15,98.85,98.0,100.79,89670,9.0380571e+11,,29166,0.3253,49.0,2.0
2006-07-20,JKLAKSHMI,EQ,98.0,98.5,103.4,98.5,101.4,101.45,101.93,87661,8.93566865e+11,,41073,0.4685,50.725,2.0
2006-07-21,JKLAKSHMI,EQ,101.45,100.0,100.0,95.0,97.75,97.55,97.86,25404,2.4859497e+11,,11666,0.4592,48.775,2.0
2006-07-24,JKLAKSHMI,EQ,97.55,99.7,99.7,93.05,95.4,95.05,94.98,20346,1.9324275e+11,,10176,0.5001,47.525,2.0
2006-07-25,JKLAKSHMI,EQ,95.05,97.9,103.0,95.7,100.1,100.55,98.94,53501,5.2931809e+11,,25077,0.4687,50.275,2.0
2006-07-26,JKLAKSHMI,EQ,100.55,102.9,111.7,100.0,109.65,110.15,107.47,139409,1.49820529e+12,,62539,0.4486,55.075,2.0
2006-07-27,JKLAKSHMI,EQ,110.15,112.0,124.5,112.0,122.0,121.4,118.28,857184,1.0138822745e+13,,258274,0.3013,60.7,2.0
2006-07-28,JKLAKSHMI,EQ,121.4,130.0,131.25,121.15,123.0,123.75,126.46,787011,9.95288546e+12,,293783,0.3733,61.875,2.0
2006-07-31,JKLAKSHMI,EQ,123.75,126.0,133.05,125.0,128.35,127.5,129.82,539633,7.005687475e+12,,150655,0.2792,63.75,2.0
2006-08-01,JKLAKSHMI,EQ,127.5,126.9,129.55,124.2,126.25,126.3,126.45,241744,3.056868465e+12,,58169,0.2406,63.15,2.0
2006-08-02,JKLAKSHMI,EQ,126.3,126.9,136.9,126.05,136.5,135.05,132.11,619488,8.183790915e+12,,187330,0.3024,67.525,2.0
2006-08-03,JKLAKSHMI,EQ,135.05,135.9,138.9,131.7,132.9,132.75,135.72,533197,7.236649805e+12,,234924,0.4406,66.375,2.0
2006-08-04,JKLAKSHMI,EQ,132.75,133.0,134.7,130.1,133.5,132.85,132.77,253921,3.37127125e+12,,58459,0.2302,66.425,2.0
2006-08-07,JKLAKSHMI,EQ,132.85,132.05,134.0,130.05,130.5,131.0,131.42,131973,1.734417595e+12,,62291,0.472,65.5,2.0
2006-08-08,JKLAKSHMI,EQ,131.0,130.05,133.9,130.05,133.0,132.85,131.93,177015,2.33537332e+12,,65650,0.3709,66.425,2.0
2006-08-09,JKLAKSHMI,EQ,132.85,134.0,136.9,131.9,134.0,134.6,135.18,234379,3.168219225e+12,,109111,0.4655,67.3,2.0
2006-08-10,JKLAKSHMI,EQ,134.6,133.5,136.9,133.5,134.15,134.95,135.08,157002,2.120760595e+12,,45115,0.2874,67.475,2.0
2006-08-11,JKLAKSHMI,EQ,134.95,136.4,139.7,133.7,137.05,137.85,137.11,280749,3.84933198e+12,,99556,0.3546,68.925,2.0
2006-08-14,JKLAKSHMI,EQ,137.85,139.4,141.9,138.0,138.1,139.0,140.15,171294,2.40075971e+12,,76801,0.4484,69.5,2.0
2006-08-16,JKLAKSHMI,EQ,139.0,140.7,143.25,139.5,140.3,140.35,141.44,201460,2.84954903e+12,,126905,0.6299,70.175,2.0
2006-08-17,JKLAKSHMI,EQ,140.35,142.0,142.65,135.0,137.0,137.65,138.67,220857,3.0625587e+12,,103113,0.4669,68.825,2.0
2006-08-18,JKLAKSHMI,EQ,137.65,138.7,146.4,135.75,145.2,145.0,142.47,283362,4.03715919e+12,,109657,0.387,72.5,2.0
2006-08-21,JKLAKSHMI,EQ,145.0,146.8,149.85,143.0,147.2,147.8,146.77,362580,5.32152874e+12,,137680,0.3797,73.9,2.0
2006-08-22,JKLAKSHMI,EQ,147.8,149.0,149.0,142.0,143.0,142.9,145.08,183232,2.658322975e+12,,83790,0.4573,71.45,2.0
2006-08-23,JKLAKSHMI,EQ,142.9,144.5,144.5,137.3,138.0,138.15,141.0,88633,1.24975789e+12,,31233,0.3524,69.075,2.0
2006-08-24,JKLAKSHMI,EQ,138.15,137.25,143.4,136.1,142.7,142.45,140.68,141793,1.994698615e+12,,61569,0.4342,71.225,2.0
2006-08-25,JKLAKSHMI,EQ,142.45,143.7,145.05,141.2,142.5,142.75,143.0,125769,1.79851076e+12,,54515,0.4335,71.375,2.0
2006-08-28,JKLAKSHMI,EQ,142.75,143.8,147.7,142.1,146.0,145.75,145.62,185546,2.701942385e+12,,51347,0.2767,72.875,2.0
2006-08-29,JKLAKSHMI,EQ,145.75,146.0,148.0,145.15,145.5,145.75,146.71,136721,2.005770125e+12,,56609,0.414,72.875,2.0
2006-08-30,JKLAKSHMI,EQ,145.75,146.0,147.5,140.7,147.1,147.0,145.16,159826,2.32007255e+12,,84943,0.5315,73.5,2.0
2006-08-31,JKLAKSHMI,EQ,147.0,148.0,152.7,145.5,148.5,148.65,149.47,322027,4.81346516e+12,,144169,0.4477,74.325,2.0
2006-09-01,JKLAKSHMI,EQ,148.65,148.6,151.0,146.2,147.0,148.05,148.24,105593,1.565270895e+12,,40575,0.3843,74.025,2.0
2006-09-04,JKLAKSHMI,EQ,148.05,149.9,152.2,149.1,150.05,150.6,150.67,171697,2.587034455e+12,,82684,0.4816,75.3,2.0
2006-09-05,JKLAKSHMI,EQ,150.6,151.8,155.9,150.0,152.75,153.05,153.57,390934,6.003452345e+12,,118326,0.3027,76.525,2.0
2006-09-06,JKLAKSHMI,EQ,153.05,153.9,154.45,149.0,149.25,149.85,151.66,160534,2.43462525e+12,,66183,0.4123,74.925,2.0
2006-09-07,JKLAKSHMI,EQ,149.85,150.25,153.0,148.0,149.2,149.6,150.57,205117,3.088473885e+12,,52117,0.2541,74.8,2.0
2006-09-08,JKLAKSHMI,EQ,149.6,151.4,152.9,148.5,149.3,149.35,150.3,122049,1.83444995e+12,,47313,0.3877,74.675,2.0
2006-09-11,JKLAKSHMI,EQ,149.35,150.0,153.5,143.0,143.9,146.45,150.45,208593,3.13827663e+12,,109288,0.5239,73.225,2.0
2006-09-12,JKLAKSHMI,EQ,146.45,146.0,146.9,140.5,146.9,146.4,144.42,125655,1.814728025e+12,,49794,0.3963,73.2,2.0
2006-09-13,JKLAKSHMI,EQ,146.4,147.5,150.45,147.0,148.4,147.7,148.71,163660,2.43378822e+12,,81752,0.4995,73.85,2.0
2006-09-14,JKLAKSHMI,EQ,147.7,149.6,158.9,148.5,158.5,155.85,153.82,477048,7.3379359e+12,,203216,0.426,77.925,2.0
2006-09-15,JKLAKSHMI,EQ,155.85,160.0,167.4,159.0,161.8,162.55,164.12,1187086,1.9482545745e+13,,453708,0.3822,81.275,2.0
2006-09-18,JKLAKSHMI,EQ,162.55,163.2,168.5,161.8,161.8,162.85,164.96,396176,6.5353856e+12,,126040,0.3181,81.425,2.0
2006-09-19,JKLAKSHMI,EQ,162.85,162.0,164.15,150.05,154.1,153.75,159.53,341600,5.44941623e+12,,181625,0.5317,76.875,2.0
2006-09-20,JKLAKSHMI,EQ,153.75,153.8,157.4,151.1,154.0,154.85,154.9,134992,2.091070045e+12,,57034,0.4225,77.425,2.0
2006-09-21,JKLAKSHMI,EQ,154.85,156.25,158.7,154.25,158.0,156.85,156.46,204132,3.19380511e+12,,90003,0.4409,78.425,2.0
2006-09-22,JKLAKSHMI,EQ,156.85,156.5,162.9,155.55,160.0,159.0,159.05,327841,5.21432324e+12,,119643,0.3649,79.5,2.0
2006-09-25,JKLAKSHMI,EQ,159.0,159.6,160.95,156.05,157.9,157.1,158.38,136741,2.16571311e+12,,47349,0.3463,78.55,2.0
2006-09-26,JKLAKSHMI,EQ,157.1,158.8,159.3,155.15,157.55,157.65,157.49,114718,1.806725475e+12,,42639,0.3717,78.825,2.0
2006-09-27,JKLAKSHMI,EQ,157.65,158.6,159.7,153.65,154.0,154.4,156.73,128240,2.00987392e+12,,60756,0.4738,77.2,2.0
2006-09-28,JKLAKSHMI,EQ,154.4,156.0,157.0,150.65,151.0,151.55,152.87,163371,2.497450475e+12,,101680,0.6224,75.775,2.0
2006-09-29,JKLAKSHMI,EQ,151.55,153.3,156.25,149.1,151.5,150.85,152.75,211625,3.232478175e+12,,120893,0.5713,75.425,2.0
2006-10-03,JKLAKSHMI,EQ,150.85,151.5,155.45,151.5,155.05,154.95,154.19,159334,2.456739895e+12,,79299,0.4977,77.475,2.0
2006-10-04,JKLAKSHMI,EQ,154.95,156.1,156.1,152.0,153.5,153.15,153.87,69995,1.07698423e+12,,22695,0.3242,76.575,2.0
2006-10-05,JKLAKSHMI,EQ,153.15,154.9,157.25,154.0,156.0,155.95,155.9,117867,1.837509905e+12,,63386,0.5378,77.975,2.0
2006-10-06,JKLAKSHMI,EQ,155.95,157.0,160.0,156.55,157.8,157.9,158.75,250634,3.978839575e+12,,151157,0.6031,78.95,2.0
2006-10-09,JKLAKSHMI,EQ,157.9,159.0,164.8,154.8,161.9,161.15,161.59,340310,5.499076195e+12,,185881,0.5462,80.575,2.0
2006-10-10,JKLAKSHMI,EQ,161.15,163.0,164.0,158.0,159.65,159.5,162.02,174619,2.82924984e+12,,89735,0.5139,79.75,2.0
2006-10-11,JKLAKSHMI,EQ,159.5,160.2,163.0,156.1,157.0,156.95,160.19,131675,2.109328605e+12,,68723,0.5219,78.475,2.0
2006-10-12,JKLAKSHMI,EQ,156.95,157.65,159.5,155.25,158.7,159.0,157.84,90764,1.4325817e+12,,48910,0.5389,79.5,2.0
2006-10-13,JKLAKSHMI,EQ,159.0,159.9,161.0,157.0,158.0,158.95,159.15,131350,2.090469795e+12,,61388,0.4674,79.475,2.0
2006-10-16,JKLAKSHMI,EQ,158.95,159.8,160.0,156.0,156.55,156.8,158.02,114632,1.81138843e+12,,74614,0.6509,78.4,2.0
2006-10-17,JKLAKSHMI,EQ,156.8,157.65,157.7,153.0,154.65,154.45,154.4,60130,9.28408415e+11,,26422,0.4394,77.225,2.0
2006-10-18,JKLAKSHMI,EQ,154.45,153.0,154.8,151.5,152.2,152.5,153.17,51749,7.9266092e+11,,24626,0.4759,76.25,2.0
2006-10-19,JKLAKSHMI,EQ,152.5,155.0,155.0,152.2,153.0,152.85,153.49,57027,8.75309695e+11,,26579,0.4661,76.425,2.0
2006-10-20,JKLAKSHMI,EQ,152.85,153.45,154.5,151.6,152.8,152.65,153.63,94916,1.45818457e+12,,58423,0.6155,76.325,2.0
2006-10-21,JKLAKSHMI,EQ,152.65,150.0,154.0,150.0,151.25,151.8,152.22,55415,8.43534875e+11,,48556,0.8762,75.9,2.0
2006-10-23,JKLAKSHMI,EQ,151.8,152.5,153.25,149.7,150.5,150.15,151.35,86269,1.305685165e+12,,54567,0.6325,75.075,2.0
2006-10-26,JKLAKSHMI,EQ,150.15,150.9,151.5,149.0,151.1,151.0,150.29,71949,1.0813288e+12,,50082,0.6961,75.5,2.0
2006-10-27,JKLAKSHMI,EQ,151.0,151.0,154.9,147.0,150.0,152.7,151.95,393862,5.984918605e+12,,158093,0.4014,76.35,2.0
2006-10-30,JKLAKSHMI,EQ,152.7,152.0,152.75,145.4,145.4,146.2,147.95,190201,2.81411292e+12,,103841,0.546,73.1,2.0
2006-10-31,JKLAKSHMI,EQ,146.2,147.9,147.9,141.9,143.4,142.6,143.75,97684,1.404249445e+12,,53884,0.5516,71.3,2.0
2006-11-01,JKLAKSHMI,EQ,142.6,143.0,150.85,141.5,148.0,147.5,147.66,237881,3.512480795e+12,,127986,0.538,73.75,2.0
2006-11-02,JKLAKSHMI,EQ,147.5,148.0,148.95,143.8,144.0,144.9,146.43,115942,1.697776255e+12,,76456,0.6594,72.45,2.0
2006-11-03,JKLAKSHMI,EQ,144.9,145.0,147.95,142.05,145.55,146.6,145.67,125864,1.833519375e+12,,66521,0.5285,73.3,2.0
2006-11-06,JKLAKSHMI,EQ,146.6,146.0,152.75,146.0,151.85,151.8,150.14,145346,2.182158e+12,,76523,0.5265,75.9,2.0
2006-11-07,JKLAKSHMI,EQ,151.8,153.7,155.7,149.05,149.05,150.5,151.97,161926,2.4607216e+12,,77193,0.4767,75.25,2.0
2006-11-08,JKLAKSHMI,EQ,150.5,150.0,152.6,146.0,148.8,148.2,148.8,114219,1.699612575e+12,,47729,0.4179,74.1,2.0
2006-11-09,JKLAKSHMI,EQ,148.2,149.15,150.0,147.05,150.0,149.1,148.61,65628,9.7529152e+11,,35107,0.5349,74.55,2.0
2006-11-10,JKLAKSHMI,EQ,149.1,148.2,148.9,145.5,145.5,146.1,147.51,75890,1.119484575e+12,,50406,0.6642,73.05,2.0
2006-11-13,JKLAKSHMI,EQ,146.1,146.6,152.7,146.2,149.35,149.5,150.39,116799,1.756494535e+12,,63780,0.5461,74.75,2.0
2006-11-14,JKLAKSHMI,EQ,149.5,148.0,152.0,147.7,148.2,148.1,149.45,75467,1.127821525e+12,,49503,0.656,74.05,2.0
2006-11-15,JKLAKSHMI,EQ,148.1,148.25,149.0,145.55,146.0,146.25,147.25,71446,1.05204875e+12,,46143,0.6458,73.125,2.0
2006-11-16,JKLAKSHMI,EQ,146.25,144.0,151.0,144.0,146.2,146.4,148.56,163757,2.432704155e+12,,88649,0.5413,73.2,2.0
2006-11-17,JKLAKSHMI,EQ,146.4,147.25,147.25,142.5,142.75,143.4,144.71,90401,1.308233545e+12,,39613,0.4382,71.7,2.0
2006-11-20,JKLAKSHMI,EQ,143.4,142.55,144.0,137.0,137.8,138.2,138.42,76413,1.057677105e+12,,38898,0.509,69.1,2.0
2006-11-21,JKLAKSHMI,EQ,138.2,141.4,142.45,139.0,139.65,139.85,140.83,73374,1.033330285e+12,,45466,0.6196,69.925,2.0
2006-11-22,JKLAKSHMI,EQ,139.85,140.0,141.0,138.4,138.9,139.2,139.69,69892,9.7630801e+11,,39846,0.5701,69.6,2.0
2006-11-23,JKLAKSHMI,EQ,139.2,142.1,143.1,136.0,139.15,140.05,141.37,66232,9.36336175e+11,,29655,0.4477,70.025,2.0
2006-11-24,JKLAKSHMI,EQ,140.05,140.9,142.0,139.05,139.15,139.2,140.49,51026,7.1684813e+11,,21200,0.4155,69.6,2.0
2006-11-27,JKLAKSHMI,EQ,139.2,139.8,140.2,138.55,138.6,138.8,139.26,66312,9.23481225e+11,,35693,0.5383,69.4,2.0
2006-11-28,JKLAKSHMI,EQ,138.8,137.0,140.5,136.05,137.2,137.95,139.26,105788,1.473169365e+12,,43118,0.4076,68.975,2.0
2006-11-29,JKLAKSHMI,EQ,137.95,138.0,141.8,138.0,140.3,140.1,140.03,99824,1.397850545e+12,,42806,0.4288,70.05,2.0
2006-11-30,JKLAKSHMI,EQ,140.1,145.0,145.0,139.0,139.05,139.9,140.83,54369,7.6570189e+11,,29038,0.5341,69.95,2.0
2006-12-01,JKLAKSHMI,EQ,139.9,142.5,142.5,140.0,140.7,141.1,141.46,71522,1.01173093e+12,,34336,0.4801,70.55,2.0
2006-12-04,JKLAKSHMI,EQ,141.1,138.0,148.2,138.0,144.6,144.95,145.14,204021,2.96125929e+12,,99494,0.4877,72.475,2.0
2006-12-05,JKLAKSHMI,EQ,144.95,146.0,149.85,144.65,145.1,145.25,146.84,121169,1.77923629e+12,,50150,0.4139,72.625,2.0
2006-12-06,JKLAKSHMI,EQ,145.25,146.9,149.45,143.5,145.45,145.45,146.45,203657,2.982509035e+12,,114841,0.5639,72.725,2.0
2006-12-07,JKLAKSHMI,EQ,145.45,147.25,147.25,143.5,146.5,146.1,145.78,67591,9.85329925e+11,,40470,0.5987,73.05,2.0
2006-12-08,JKLAKSHMI,EQ,146.1,148.0,148.0,138.6,139.35,139.8,141.86,111836,1.586556135e+12,,63902,0.5714,69.9,2.0
2006-12-11,JKLAKSHMI,EQ,139.8,141.0,141.0,127.1,129.65,130.75,132.89,218395,2.90230259e+12,,137210,0.6283,65.375,2.0
2006-12-12,JKLAKSHMI,EQ,130.75,129.0,136.4,124.6,126.0,126.25,129.63,128198,1.661836215e+12,,56425,0.4401,63.125,2.0
2006-12-13,JKLAKSHMI,EQ,126.25,130.0,131.5,122.0,131.5,130.3,127.74,58569,7.4813392e+11,,23529,0.4017,65.15,2.0
2006-12-14,JKLAKSHMI,EQ,130.3,134.0,137.85,131.5,136.6,136.1,135.48,93084,1.26114663e+12,,46097,0.4952,68.05,2.0
2006-12-15,JKLAKSHMI,EQ,136.1,138.0,139.85,134.05,134.75,134.55,136.51,94778,1.293825765e+12,,60039,0.6335,67.275,2.0
2006-12-18,JKLAKSHMI,EQ,134.55,136.0,136.95,131.1,132.3,132.25,132.43,88037,1.16585453e+12,,56977,0.6472,66.125,2.0
2006-12-19,JKLAKSHMI,EQ,132.25,134.0,138.0,132.2,132.6,132.75,134.12,63477,8.51373545e+11,,20936,0.3298,66.375,2.0
2006-12-20,JKLAKSHMI,EQ,132.75,134.9,136.0,129.1,133.4,132.5,132.84,59074,7.8471841e+11,,24898,0.4215,66.25,2.0
2006-12-21,JKLAKSHMI,EQ,132.5,131.5,132.95,131.1,132.4,131.85,131.96,18061,2.3832695e+11,,8011,0.4436,65.925,2.0
2006-12-22,JKLAKSHMI,EQ,131.85,131.1,133.9,131.1,133.1,133.35,132.64,71500,9.48346415e+11,,51356,0.7183,66.675,2.0
2006-12-26,JKLAKSHMI,EQ,133.35,135.35,138.6,134.1,137.1,137.3,137.11,55083,7.55257925e+11,,26664,0.4841,68.65,2.0
2006-12-27,JKLAKSHMI,EQ,137.3,137.0,139.6,134.75,135.0,135.65,136.61,45145,6.1670363e+11,,33540,0.7429,67.825,2.0
2006-12-28,JKLAKSHMI,EQ,135.65,136.9,136.9,133.75,134.0,134.05,134.53,45139,6.07250895e+11,,36855,0.8165,67.025,2.0
2006-12-29,JKLAKSHMI,EQ,134.05,134.8,136.8,134.0,135.0,134.45,135.42,90045,1.219381395e+12,,68808,0.7642,67.225,2.0
2007-01-02,JKLAKSHMI,EQ,134.45,132.0,143.4,132.0,143.0,142.5,139.73,101220,1.414362345e+12,,68758,0.6793,71.25,2.0
2007-01-03,JKLAKSHMI,EQ,142.5,144.0,146.0,141.1,144.1,144.7,143.77,109039,1.567605425e+12,,56771,0.5206,72.35,2.0
2007-01-04,JKLAKSHMI,EQ,144.7,141.15,145.9,141.15,142.35,143.15,143.42,61661,8.84315585e+11,,42103,0.6828,71.575,2.0
2007-01-05,JKLAKSHMI,EQ,143.15,132.65,147.9,132.65,144.6,144.25,144.53,96992,1.401794535e+12,,67008,0.6909,72.125,2.0
2007-01-08,JKLAKSHMI,EQ,144.25,144.1,144.8,140.5,141.65,142.2,142.25,41479,5.90036415e+11,,25967,0.626,71.1,2.0
2007-01-09,JKLAKSHMI,EQ,142.2,143.5,143.95,140.0,141.5,140.8,142.21,49510,7.0410143e+11,,27244,0.5503,70.4,2.0
2007-01-10,JKLAKSHMI,EQ,140.8,138.6,143.4,138.6,140.9,140.55,141.73,85991,1.21872738e+12,,61325,0.7132,70.275,2.0
2007-01-11,JKLAKSHMI,EQ,140.55,139.2,145.25,139.2,144.2,144.1,143.3,75181,1.077338545e+12,,49748,0.6617,72.05,2.0
2007-01-12,JKLAKSHMI,EQ,144.1,145.0,149.2,145.0,146.2,146.75,147.17,148562,2.18640898e+12,,103428,0.6962,73.375,2.0
2007-01-15,JKLAKSHMI,EQ,146.75,150.0,161.7,147.0,158.0,158.5,156.86,501247,7.862727665e+12,,286299,0.5712,79.25,2.0
2007-01-16,JKLAKSHMI,EQ,158.5,155.0,164.0,150.1,158.0,158.6,158.91,271387,4.312690635e+12,,132259,0.4873,79.3,2.0
2007-01-17,JKLAKSHMI,EQ,158.6,160.8,168.0,158.1,166.0,166.05,164.16,325557,5.344232695e+12,,225005,0.6911,83.025,2.0
2007-01-18,JKLAKSHMI,EQ,166.05,168.05,172.65,164.5,169.25,168.55,169.03,509064,8.604954935e+12,,261985,0.5146,84.275,2.0
2007-01-19,JKLAKSHMI,EQ,168.55,188.0,190.0,173.0,181.0,180.6,179.86,1457314,2.6211437885e+13,,736687,0.5055,90.3,2.0
2007-01-22,JKLAKSHMI,EQ,180.6,183.0,184.85,177.2,182.4,181.3,181.16,432355,7.83256108e+12,,171923,0.3976,90.65,2.0
2007-01-23,JKLAKSHMI,EQ,181.3,180.0,180.0,165.8,173.0,173.5,174.73,541861,9.46767063e+12,,253546,0.4679,86.75,2.0
2007-01-24,JKLAKSHMI,EQ,173.5,174.9,178.9,171.25,172.6,173.9,174.68,237545,4.14952722e+12,,130472,0.5493,86.95,2.0
2007-01-25,JKLAKSHMI,EQ,173.9,174.0,175.5,172.1,172.5,172.45,173.61,110326,1.915387715e+12,,78517,0.7117,86.225,2.0
2007-01-29,JKLAKSHMI,EQ,172.45,173.0,173.0,168.1,168.4,168.55,170.53,95508,1.628665035e+12,,74087,0.7757,84.275,2.0
2007-01-31,JKLAKSHMI,EQ,168.55,168.0,170.5,164.45,167.0,166.45,167.22,105099,1.75746606e+12,,57929,0.5512,83.225,2.0
2007-02-01,JKLAKSHMI,EQ,166.45,169.8,173.45,165.55,170.8,171.35,170.26,163602,2.78555425e+12,,81093,0.4957,85.675,2.0
2007-02-02,JKLAKSHMI,EQ,171.35,173.45,174.25,170.1,172.6,171.65,172.56,114172,1.970113475e+12,,65523,0.5739,85.825,2.0
2007-02-05,JKLAKSHMI,EQ,171.65,171.65,172.15,166.3,166.5,167.4,167.96,113398,1.9046356e+12,,88055,0.7765,83.7,2.0
2007-02-06,JKLAKSHMI,EQ,167.4,170.0,170.0,164.1,165.4,165.9,167.37,148453,2.484667915e+12,,111440,0.7507,82.95,2.0
