Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2006-04-20,ISPATIND,EQ,10.0,15.0,25.0,15.0,22.9,22.9,23.17,13736639,3.183252172e+13,,4375867,0.3186,22.9,1.0
2006-04-21,ISPATIND,EQ,22.9,23.25,23.4,20.7,21.2,21.3,21.67,4261979,9.237604495e+12,,1403966,0.3294,21.3,1.0
2006-04-24,ISPATIND,EQ,21.3,21.7,21.7,20.0,20.05,20.1,20.36,2186069,4.45119983e+12,,1056669,0.4834,20.1,1.0
2006-04-25,ISPATIND,EQ,20.1,20.1,20.1,18.5,18.7,18.7,19.04,1838210,3.500589745e+12,,973183,0.5294,18.7,1.0
2006-04-26,ISPATIND,EQ,18.7,18.0,19.0,18.0,18.2,18.3,18.45,1299143,2.396780515e+12,,664993,0.5119,18.3,1.0
2006-04-27,ISPATIND,EQ,18.3,18.75,19.0,18.35,18.7,18.6,18.73,993519,1.860724725e+12,,517967,0.5213,18.6,1.0
2006-04-28,ISPATIND,EQ,18.6,17.9,18.2,16.25,18.0,18.0,17.91,1200460,2.14976606e+12,,650369,0.5418,18.0,1.0
2006-04-29,ISPATIND,EQ,18.0,18.35,18.6,18.0,18.4,18.45,18.31,527092,9.64913215e+11,,311567,0.5911,18.45,1.0
2006-05-02,ISPATIND,EQ,18.45,18.9,18.95,18.1,18.8,18.75,18.67,979931,1.82992464e+12,,538140,0.5492,18.75,1.0
2006-05-03,ISPATIND,EQ,18.75,19.0,20.75,18.8,20.15,20.05,20.14,3405430,6.85700728e+12,,1467393,0.4309,20.05,1.0
2006-05-04,ISPATIND,EQ,20.05,20.45,20.85,19.75,19.9,19.9,20.4,1362394,2.77886801e+12,,692939,0.5086,19.9,1.0
2006-05-05,ISPATIND,EQ,19.9,19.8,20.5,19.5,19.75,19.7,19.95,1414948,2.822249755e+12,,578749,0.409,19.7,1.0
2006-05-08,ISPATIND,EQ,19.7,19.85,20.25,19.65,19.75,19.7,19.86,829454,1.647507335e+12,,421471,0.5081,19.7,1.0
2006-05-09,ISPATIND,EQ,19.7,19.9,20.4,19.65,19.85,19.85,19.92,1080891,2.152847735e+12,,495421,0.4583,19.85,1.0
2006-05-10,ISPATIND,EQ,19.85,20.3,20.5,19.8,20.25,20.15,20.15,2004383,4.038965295e+12,,818957,0.4086,20.15,1.0
2006-05-11,ISPATIND,EQ,20.15,20.0,20.0,18.65,18.9,18.8,18.95,1355817,2.568945395e+12,,791905,0.5841,18.8,1.0
2006-05-12,ISPATIND,EQ,18.8,18.5,19.5,18.05,18.6,18.6,18.85,1843626,3.475182765e+12,,744061,0.4036,18.6,1.0
2006-05-15,ISPATIND,EQ,18.6,18.6,18.95,16.9,17.2,17.2,17.86,1152129,2.05796856e+12,,696646,0.6047,17.2,1.0
2006-05-16,ISPATIND,EQ,17.2,17.5,17.85,16.1,17.1,16.9,16.81,931583,1.565868125e+12,,447521,0.4804,16.9,1.0
2006-05-17,ISPATIND,EQ,16.9,17.0,18.4,17.0,17.8,17.8,17.82,713498,1.27145944e+12,,387204,0.5427,17.8,1.0
2006-05-18,ISPATIND,EQ,17.8,17.8,17.8,16.5,16.75,16.6,17.03,687754,1.171107775e+12,,398073,0.5788,16.6,1.0
2006-05-19,ISPATIND,EQ,16.6,16.6,17.25,15.4,15.75,15.55,16.15,670567,1.082891165e+12,,384748,0.5738,15.55,1.0
2006-05-22,ISPATIND,EQ,15.55,16.2,16.2,13.05,13.5,13.4,13.92,839127,1.167942115e+12,,477269,0.5688,13.4,1.0
2006-05-23,ISPATIND,EQ,13.4,14.0,15.2,13.05,15.0,15.0,14.42,804867,1.160990585e+12,,428224,0.532,15.0,1.0
2006-05-24,ISPATIND,EQ,15.0,15.8,15.95,14.7,14.9,15.0,15.39,779795,1.199755065e+12,,320742,0.4113,15.0,1.0
2006-05-25,ISPATIND,EQ,15.0,15.75,15.75,14.25,15.3,14.95,14.94,479081,7.1561665e+11,,232781,0.4859,14.95,1.0
2006-05-26,ISPATIND,EQ,14.95,15.8,15.9,15.3,15.7,15.65,15.63,601299,9.39818505e+11,,302875,0.5037,15.65,1.0
2006-05-29,ISPATIND,EQ,15.65,16.0,16.2,14.95,15.2,15.05,15.3,589757,9.0261713e+11,,373289,0.633,15.05,1.0
2006-05-30,ISPATIND,EQ,15.05,15.45,15.75,15.0,15.05,15.15,15.31,709378,1.085977185e+12,,329179,0.464,15.15,1.0
2006-05-31,ISPATIND,EQ,15.15,14.65,14.9,14.1,14.6,14.55,14.43,483268,6.9735321e+11,,247444,0.512,14.55,1.0
2006-06-01,ISPATIND,EQ,14.55,15.1,15.1,13.95,14.3,14.1,14.54,716845,1.04197118e+12,,298236,0.416,14.1,1.0
2006-06-02,ISPATIND,EQ,14.1,14.4,14.6,13.4,14.5,14.1,13.85,601683,8.3327555e+11,,347858,0.5781,14.1,1.0
