Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-07-11,JVLAGRO,EQ,21.9,21.9,22.6,21.0,22.5,21.45,21.54,26510,57090995000.0,119,22492,0.8484
2011-07-12,JVLAGRO,EQ,21.45,21.0,22.2,21.0,22.0,21.45,21.62,7281,15738255000.0,112,4304,0.5911
2011-07-13,JVLAGRO,EQ,21.45,21.05,22.2,21.05,21.25,21.55,21.81,11516,25118105000.0,114,9490,0.8241
2011-07-14,JVLAGRO,EQ,21.55,21.3,21.95,20.5,20.8,20.95,21.42,28899,61895775000.0,114,24759,0.8567
2011-07-15,JVLAGRO,EQ,20.95,21.9,21.9,20.35,20.35,20.7,21.13,15396,32533270000.0,117,13840,0.8989
2011-07-18,JVLAGRO,EQ,20.7,20.7,21.8,20.6,20.75,20.8,20.99,20686,43426505000.0,126,14337,0.6931
2011-07-19,JVLAGRO,EQ,20.8,21.0,21.6,20.25,20.45,20.5,20.8,26805,55763865000.0,125,18812,0.7018
2011-07-20,JVLAGRO,EQ,20.5,20.8,22.5,20.1,20.6,20.65,21.1,42554,89790720000.0,269,21972,0.5163
2011-07-21,JVLAGRO,EQ,20.65,20.9,21.1,20.0,20.5,20.5,20.66,18249,37701700000.0,164,13746,0.7532
2011-07-22,JVLAGRO,EQ,20.5,20.0,21.45,19.5,20.35,19.95,20.16,54156,1.09203575e+11,231,41538,0.767
2011-07-25,JVLAGRO,EQ,19.95,20.0,20.6,19.95,20.15,20.35,20.25,29244,59217490000.0,150,24899,0.8514
2011-07-26,JVLAGRO,EQ,20.35,20.25,20.5,19.9,20.1,20.05,20.21,23808,48118130000.0,130,19108,0.8026
2011-07-27,JVLAGRO,EQ,20.05,19.6,20.35,19.5,19.75,19.75,19.83,36633,72638860000.0,161,29058,0.7932
2011-07-28,JVLAGRO,EQ,19.75,19.95,20.2,18.8,19.3,18.95,19.17,59095,1.13257835e+11,166,30489,0.5159
