Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,KALPATPOWR,EQ,73.0,67.0,67.0,67.0,,67.0,67.0,100,670000000.0,,,,6.7,10.0
1996-01-02,KALPATPOWR,EQ,67.0,73.0,73.0,73.0,,73.0,73.0,100,730000000.0,,,,7.3,10.0
1996-01-03,KALPATPOWR,EQ,73.0,73.0,74.5,65.75,,68.2,68.55,2400,16452000000.0,,,,6.82,10.0
1996-01-04,KALPATPOWR,EQ,68.2,74.5,74.5,74.5,,74.5,74.5,100,745000000.0,,,,7.45,10.0
1996-01-05,KALPATPOWR,EQ,74.5,74.5,69.75,69.75,,69.75,69.75,100,697500000.0,,,,6.975,10.0
1996-01-08,KALPATPOWR,EQ,69.75,65.0,65.0,64.45,,64.45,64.73,200,1294500000.0,,,,6.445,10.0
1996-01-09,KALPATPOWR,EQ,64.45,68.0,68.0,60.0,,60.35,61.46,1400,8605000000.0,,,,6.035,10.0
1996-01-10,KALPATPOWR,EQ,60.35,62.0,62.25,61.0,,61.65,61.92,900,5573000000.0,,,,6.165,10.0
1996-01-11,KALPATPOWR,EQ,61.65,62.0,62.0,62.0,,62.0,62.0,100,620000000.0,,,,6.2,10.0
1996-01-12,KALPATPOWR,EQ,62.0,62.0,62.0,62.0,,62.0,62.0,600,3720000000.0,,,,6.2,10.0
1996-01-16,KALPATPOWR,EQ,62.0,62.0,62.0,61.0,,61.5,61.25,600,3675000000.0,,,,6.15,10.0
1996-01-17,KALPATPOWR,EQ,61.5,61.5,60.5,60.5,,60.5,60.5,100,605000000.0,,,,6.05,10.0
1996-01-22,KALPATPOWR,EQ,60.5,60.5,61.0,61.0,,61.0,61.0,100,610000000.0,,,,6.1,10.0
1996-01-23,KALPATPOWR,EQ,61.0,58.25,58.25,58.25,,58.25,58.25,200,1165000000.0,,,,5.825,10.0
1996-01-25,KALPATPOWR,EQ,58.25,58.0,58.0,58.0,,58.0,58.0,200,1160000000.0,,,,5.8,10.0
1996-01-29,KALPATPOWR,EQ,58.0,55.5,58.0,55.0,,58.0,56.17,300,1685000000.0,,,,5.8,10.0
1996-01-30,KALPATPOWR,EQ,58.0,57.0,58.0,57.0,,58.0,57.5,200,1150000000.0,,,,5.8,10.0
1996-01-31,KALPATPOWR,EQ,58.0,57.0,57.0,57.0,,57.0,57.0,200,1140000000.0,,,,5.7,10.0
1996-02-01,KALPATPOWR,EQ,57.0,57.0,58.0,57.0,,58.0,57.91,1100,6370000000.0,,,,5.8,10.0
1996-02-02,KALPATPOWR,EQ,58.0,58.5,58.5,58.0,,58.0,58.25,200,1165000000.0,,,,5.8,10.0
1996-02-05,KALPATPOWR,EQ,58.0,58.0,58.0,58.0,,58.0,58.0,200,1160000000.0,,,,5.8,10.0
1996-02-06,KALPATPOWR,EQ,58.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,,6.0,10.0
1996-02-12,KALPATPOWR,EQ,60.0,59.0,59.0,59.0,,59.0,59.0,100,590000000.0,,,,5.9,10.0
1996-02-13,KALPATPOWR,EQ,59.0,62.0,62.0,61.0,,61.0,61.5,200,1230000000.0,,,,6.1,10.0
1996-02-14,KALPATPOWR,EQ,61.0,62.0,65.0,62.0,,63.2,63.28,1100,6960500000.0,,,,6.32,10.0
1996-02-15,KALPATPOWR,EQ,63.2,63.05,65.0,63.05,,63.05,63.38,600,3802500000.0,,,,6.305,10.0
1996-02-16,KALPATPOWR,EQ,63.05,65.0,65.0,62.5,,62.5,63.95,500,3197500000.0,,,,6.25,10.0
1996-02-19,KALPATPOWR,EQ,62.5,62.0,62.5,62.0,,62.5,62.13,400,2485000000.0,,,,6.25,10.0
1996-02-20,KALPATPOWR,EQ,62.5,63.0,64.0,62.0,,63.0,62.93,1500,9440000000.0,,,,6.3,10.0
1996-02-22,KALPATPOWR,EQ,63.0,63.0,64.75,61.5,,64.75,63.4,500,3170000000.0,,,,6.475,10.0
1996-02-23,KALPATPOWR,EQ,64.75,64.0,66.0,64.0,,66.0,64.5,1400,9030000000.0,,,,6.6,10.0
1996-02-26,KALPATPOWR,EQ,66.0,66.0,67.0,66.0,,67.0,66.5,200,1330000000.0,,,,6.7,10.0
1996-02-27,KALPATPOWR,EQ,67.0,65.75,65.75,63.0,,63.0,64.46,600,3867500000.0,,,,6.3,10.0
1996-02-28,KALPATPOWR,EQ,63.0,65.0,69.0,64.0,,69.0,65.56,900,5900000000.0,,,,6.9,10.0
1996-02-29,KALPATPOWR,EQ,69.0,66.0,66.5,64.05,,64.55,65.5,1200,7860500000.0,,,,6.455,10.0
1996-03-01,KALPATPOWR,EQ,64.55,63.0,63.5,63.0,,63.5,63.17,300,1895000000.0,,,,6.35,10.0
1996-03-04,KALPATPOWR,EQ,63.5,64.05,66.75,64.05,,66.75,65.41,800,5233000000.0,,,,6.675,10.0
