Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,GOODLASNER,EQ,187.2,190.0,190.0,190.0,,190.0,190.0,250,4750000000.0,,,
1996-01-02,GOODLASNER,EQ,190.0,190.0,191.0,190.0,,191.0,190.67,300,5720000000.0,,,
1996-01-03,GOODLASNER,EQ,191.0,190.0,192.0,190.0,,192.0,190.5,200,3810000000.0,,,
1996-01-04,GOODLASNER,EQ,192.0,192.0,191.0,190.0,,191.0,190.9,1100,20999000000.0,,,
1996-01-05,GOODLASNER,EQ,191.0,191.0,199.0,191.0,,195.0,191.85,5500,1.055175e+11,,,
1996-01-08,GOODLASNER,EQ,195.0,195.0,198.0,193.0,,197.0,194.71,3700,72042750000.0,,,
1996-01-09,GOODLASNER,EQ,197.0,197.0,215.0,189.0,,215.0,193.61,7550,1.461765e+11,,,
1996-01-10,GOODLASNER,EQ,215.0,195.0,200.0,195.0,,200.0,198.75,400,7950000000.0,,,
1996-01-11,GOODLASNER,EQ,200.0,200.0,202.0,200.0,,202.0,201.33,750,15100000000.0,,,
1996-01-12,GOODLASNER,EQ,202.0,202.0,204.9,202.0,,203.05,202.69,500,10134500000.0,,,
1996-01-15,GOODLASNER,EQ,203.05,203.05,204.0,202.0,,202.0,202.35,300,6070500000.0,,,
1996-01-16,GOODLASNER,EQ,202.0,196.0,208.0,196.0,,208.0,203.7,250,5092500000.0,,,
1996-01-17,GOODLASNER,EQ,208.0,208.0,205.0,203.25,,204.1,203.97,800,16317500000.0,,,
1996-01-18,GOODLASNER,EQ,204.1,204.1,207.0,202.0,,204.0,203.09,550,11170000000.0,,,
1996-01-19,GOODLASNER,EQ,204.0,202.0,202.05,202.0,,202.0,202.01,400,8080250000.0,,,
1996-01-22,GOODLASNER,EQ,202.0,203.0,203.0,202.0,,202.0,202.15,650,13140000000.0,,,
1996-01-23,GOODLASNER,EQ,202.0,204.0,204.0,202.0,,202.0,202.07,2700,54560000000.0,,,
1996-01-25,GOODLASNER,EQ,202.0,202.0,204.0,200.55,,200.55,202.24,900,18201500000.0,,,
1996-01-29,GOODLASNER,EQ,200.55,200.55,202.0,202.0,,202.0,202.0,350,7070000000.0,,,
1996-01-30,GOODLASNER,EQ,202.0,202.0,210.0,201.05,,210.0,207.75,1200,24930250000.0,,,
1996-01-31,GOODLASNER,EQ,210.0,210.0,211.0,207.5,,211.0,209.71,600,12582500000.0,,,
1996-02-02,GOODLASNER,EQ,211.0,220.0,220.0,220.0,,220.0,220.0,50,1100000000.0,,,
1996-02-05,GOODLASNER,EQ,220.0,230.0,230.0,228.25,,228.6,228.85,250,5721250000.0,,,
1996-02-06,GOODLASNER,EQ,228.6,227.0,229.0,227.0,,229.0,228.13,400,9125000000.0,,,
1996-02-07,GOODLASNER,EQ,229.0,229.0,230.0,225.0,,225.0,227.86,350,7975000000.0,,,
1996-02-08,GOODLASNER,EQ,225.0,225.0,231.0,229.0,,229.5,229.89,450,10345000000.0,,,
1996-02-09,GOODLASNER,EQ,229.5,230.0,230.0,230.0,,230.0,230.0,400,9200000000.0,,,
1996-02-12,GOODLASNER,EQ,230.0,230.0,238.0,232.0,,238.0,233.53,950,22185000000.0,,,
1996-02-13,GOODLASNER,EQ,238.0,232.0,239.0,230.0,,239.0,232.55,550,12790000000.0,,,
1996-02-14,GOODLASNER,EQ,239.0,239.0,262.9,250.0,,262.9,254.83,850,21660250000.0,,,
1996-02-15,GOODLASNER,EQ,262.9,262.9,272.0,261.0,,270.05,267.86,1000,26786250000.0,,,
1996-02-16,GOODLASNER,EQ,270.05,270.05,270.0,265.0,,265.0,269.1,1100,29601250000.0,,,
1996-02-19,GOODLASNER,EQ,265.0,265.0,266.0,262.5,,266.0,264.39,450,11897500000.0,,,
1996-02-20,GOODLASNER,EQ,266.0,266.0,263.0,262.5,,262.6,262.6,750,19694750000.0,,,
1996-02-22,GOODLASNER,EQ,262.6,262.55,270.0,262.5,,269.8,267.63,1350,36129750000.0,,,
1996-02-23,GOODLASNER,EQ,269.8,269.8,268.5,265.95,,266.0,266.58,300,7997250000.0,,,
1996-02-26,GOODLASNER,EQ,266.0,266.0,265.0,264.0,,264.0,264.5,400,10580000000.0,,,
1996-02-27,GOODLASNER,EQ,264.0,264.0,265.0,262.0,,262.05,262.94,1450,38125750000.0,,,
1996-02-28,GOODLASNER,EQ,262.05,262.05,270.0,262.0,,269.3,268.08,900,24127500000.0,,,
1996-02-29,GOODLASNER,EQ,269.3,269.3,268.0,266.05,,266.05,266.54,200,5330750000.0,,,
1996-03-01,GOODLASNER,EQ,266.05,266.05,266.0,262.25,,264.5,263.77,950,25058000000.0,,,
1996-03-04,GOODLASNER,EQ,264.5,264.5,269.0,267.0,,267.0,268.22,1250,33527500000.0,,,
1996-03-06,GOODLASNER,EQ,267.0,267.0,266.1,266.1,,266.1,266.1,150,3991500000.0,,,
1996-03-07,GOODLASNER,EQ,266.1,264.05,264.05,264.05,,264.05,264.05,100,2640500000.0,,,
1996-03-08,GOODLASNER,EQ,264.05,264.05,264.0,262.5,,262.55,263.43,650,17123000000.0,,,
1996-03-11,GOODLASNER,EQ,262.55,262.55,263.4,260.55,,263.4,261.95,500,13097250000.0,,,
1996-03-12,GOODLASNER,EQ,263.4,262.0,263.5,260.0,,260.0,261.75,2250,58894750000.0,,,
1996-03-13,GOODLASNER,EQ,260.0,259.0,264.0,259.0,,264.0,260.67,300,7820000000.0,,,
1996-03-14,GOODLASNER,EQ,264.0,264.0,257.05,257.05,,257.05,257.05,200,5141000000.0,,,
1996-03-18,GOODLASNER,EQ,257.05,253.0,253.0,252.5,,252.5,252.6,250,6315000000.0,,,
1996-03-26,GOODLASNER,EQ,252.5,252.5,252.5,252.5,,252.5,252.5,50,1262500000.0,,,
1996-03-27,GOODLASNER,EQ,252.5,256.0,256.0,256.0,,256.0,256.0,50,1280000000.0,,,
1996-03-28,GOODLASNER,EQ,256.0,256.0,250.0,245.05,,245.05,247.53,100,2475250000.0,,,
1996-03-29,GOODLASNER,EQ,245.05,245.05,240.0,240.0,,240.0,240.0,50,1200000000.0,,,
1996-04-01,GOODLASNER,EQ,240.0,245.1,245.1,245.1,,245.1,245.1,50,1225500000.0,,,
1996-04-03,GOODLASNER,EQ,245.1,245.1,255.0,245.0,,255.0,248.43,700,17390000000.0,,,
1996-04-04,GOODLASNER,EQ,255.0,247.35,247.35,247.35,,247.35,247.35,600,14841000000.0,,,
1996-04-08,GOODLASNER,EQ,247.35,247.35,247.35,240.0,,244.0,246.15,750,18461000000.0,,,
1996-04-09,GOODLASNER,EQ,244.0,247.35,247.5,242.75,,247.5,245.93,1200,29511750000.0,,,
1996-04-10,GOODLASNER,EQ,247.5,247.5,246.0,245.0,,246.0,245.5,200,4910000000.0,,,
1996-04-11,GOODLASNER,EQ,246.0,246.0,245.0,245.0,,245.0,245.0,150,3675000000.0,,,
1996-04-12,GOODLASNER,EQ,245.0,244.0,245.0,240.5,,240.5,243.91,550,13415000000.0,,,
1996-04-15,GOODLASNER,EQ,240.5,240.5,245.0,245.0,,245.0,245.0,50,1225000000.0,,,
1996-04-16,GOODLASNER,EQ,245.0,245.0,245.0,245.0,,245.0,245.0,850,20825000000.0,,,
1996-04-17,GOODLASNER,EQ,245.0,255.0,255.0,255.0,,255.0,255.0,200,5100000000.0,,,
1996-04-18,GOODLASNER,EQ,255.0,255.0,269.5,255.0,,267.3,262.39,650,17055250000.0,,,
1996-04-19,GOODLASNER,EQ,267.3,260.0,269.95,260.0,,269.95,265.9,2000,53179750000.0,,,
1996-04-22,GOODLASNER,EQ,269.95,269.95,270.0,267.0,,267.0,268.98,300,8069250000.0,,,
1996-04-23,GOODLASNER,EQ,267.0,265.0,269.5,265.0,,269.0,267.9,250,6697500000.0,,,
