Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
1996-01-01,KESORAMIND,EQ,57.5,57.0,57.0,57.0,,57.0,57.0,600,3420000000.0,,,,57.0,1.0
1996-01-02,KESORAMIND,EQ,57.0,57.0,57.2,56.0,,56.35,56.45,1000,5645000000.0,,,,56.35,1.0
1996-01-04,KESORAMIND,EQ,56.35,56.0,57.45,56.0,,57.45,56.39,500,2819500000.0,,,,57.45,1.0
1996-01-05,KESORAMIND,EQ,57.45,55.0,55.0,55.0,,55.0,55.0,100,550000000.0,,,,55.0,1.0
1996-01-08,KESORAMIND,EQ,55.0,56.5,56.5,53.0,,53.0,55.63,400,2225000000.0,,,,53.0,1.0
1996-01-09,KESORAMIND,EQ,53.0,53.0,54.0,51.05,,53.3,53.3,1900,10126500000.0,,,,53.3,1.0
1996-01-10,KESORAMIND,EQ,53.3,51.0,51.0,51.0,,51.0,51.0,500,2550000000.0,,,,51.0,1.0
1996-01-11,KESORAMIND,EQ,51.0,51.0,51.0,50.1,,50.1,50.44,800,4035000000.0,,,,50.1,1.0
1996-01-12,KESORAMIND,EQ,50.1,50.1,52.0,50.75,,50.75,51.41,1500,7711500000.0,,,,50.75,1.0
1996-01-15,KESORAMIND,EQ,50.75,51.0,51.0,49.5,,49.7,50.0,400,2000000000.0,,,,49.7,1.0
1996-01-16,KESORAMIND,EQ,49.7,49.75,49.75,49.5,,49.5,49.69,400,1987500000.0,,,,49.5,1.0
1996-01-17,KESORAMIND,EQ,49.5,49.9,50.0,49.7,,49.7,49.96,1100,5495500000.0,,,,49.7,1.0
1996-01-18,KESORAMIND,EQ,49.7,49.7,49.9,49.5,,49.9,49.58,500,2479000000.0,,,,49.9,1.0
1996-01-19,KESORAMIND,EQ,49.9,49.5,49.5,48.0,,48.0,48.46,1100,5331000000.0,,,,48.0,1.0
1996-01-22,KESORAMIND,EQ,48.0,49.0,49.0,45.55,,45.55,47.9,700,3353000000.0,,,,45.55,1.0
1996-01-23,KESORAMIND,EQ,45.55,45.0,46.0,45.0,,45.0,45.55,1400,6376500000.0,,,,45.0,1.0
1996-01-24,KESORAMIND,EQ,45.0,46.5,46.5,45.0,,45.0,46.0,400,1840000000.0,,,,45.0,1.0
1996-01-25,KESORAMIND,EQ,45.0,43.0,46.0,43.0,,46.0,44.67,300,1340000000.0,,,,46.0,1.0
1996-01-29,KESORAMIND,EQ,46.0,45.95,47.0,45.0,,47.0,46.47,1200,5576500000.0,,,,47.0,1.0
1996-01-31,KESORAMIND,EQ,47.0,49.0,50.0,48.9,,50.0,49.38,500,2469000000.0,,,,50.0,1.0
1996-02-01,KESORAMIND,EQ,50.0,50.0,52.0,48.0,,51.0,49.55,5500,27254000000.0,,,,51.0,1.0
1996-02-02,KESORAMIND,EQ,51.0,51.0,58.05,52.0,,58.05,54.53,4200,22900500000.0,,,,58.05,1.0
1996-02-05,KESORAMIND,EQ,58.05,60.0,62.9,56.0,,58.0,60.15,4700,28272500000.0,,,,58.0,1.0
1996-02-06,KESORAMIND,EQ,58.0,58.5,60.0,58.0,,58.0,58.67,1500,8800000000.0,,,,58.0,1.0
1996-02-07,KESORAMIND,EQ,58.0,55.05,55.05,55.0,,55.0,55.04,700,3853000000.0,,,,55.0,1.0
1996-02-08,KESORAMIND,EQ,55.0,60.0,60.0,56.1,,60.0,58.68,1200,7041000000.0,,,,60.0,1.0
1996-02-09,KESORAMIND,EQ,60.0,62.0,64.0,61.6,,63.0,62.93,1600,10068500000.0,,,,63.0,1.0
1996-02-12,KESORAMIND,EQ,63.0,62.55,64.0,62.55,,63.0,63.09,2800,17666000000.0,,,,63.0,1.0
1996-02-13,KESORAMIND,EQ,63.0,62.5,68.5,62.5,,64.0,65.14,6000,39081000000.0,,,,64.0,1.0
1996-02-14,KESORAMIND,EQ,64.0,67.0,70.0,67.0,,70.0,69.32,5900,40899000000.0,,,,70.0,1.0
1996-02-15,KESORAMIND,EQ,70.0,68.5,74.0,68.5,,73.35,72.02,6300,45370000000.0,,,,73.35,1.0
1996-02-16,KESORAMIND,EQ,73.35,70.05,72.0,67.6,,68.05,69.07,3300,22791500000.0,,,,68.05,1.0
1996-02-19,KESORAMIND,EQ,68.05,68.05,68.5,66.0,,67.5,67.85,2400,16284500000.0,,,,67.5,1.0
1996-02-20,KESORAMIND,EQ,67.5,67.0,67.75,66.0,,66.0,67.36,5000,33677500000.0,,,,66.0,1.0
1996-02-22,KESORAMIND,EQ,66.0,66.0,66.5,66.0,,66.0,66.14,700,4630000000.0,,,,66.0,1.0
1996-02-23,KESORAMIND,EQ,66.0,66.0,66.0,64.1,,65.0,65.28,600,3917000000.0,,,,65.0,1.0
1996-02-26,KESORAMIND,EQ,65.0,65.0,65.0,63.5,,64.0,64.06,2100,13453000000.0,,,,64.0,1.0
1996-02-27,KESORAMIND,EQ,64.0,62.0,64.25,62.0,,64.05,63.38,1100,6971500000.0,,,,64.05,1.0
1996-02-28,KESORAMIND,EQ,64.05,65.0,65.0,62.75,,63.4,63.49,800,5079500000.0,,,,63.4,1.0
1996-02-29,KESORAMIND,EQ,63.4,61.9,61.9,61.9,,61.9,61.9,100,619000000.0,,,,61.9,1.0
1996-03-01,KESORAMIND,EQ,61.9,61.0,61.0,58.0,,59.95,60.1,1300,7813000000.0,,,,59.95,1.0
1996-03-04,KESORAMIND,EQ,59.95,59.95,60.25,58.0,,59.0,59.25,1600,9480000000.0,,,,59.0,1.0
1996-03-06,KESORAMIND,EQ,59.0,59.5,60.0,59.5,,60.0,59.92,1200,7190000000.0,,,,60.0,1.0
1996-03-07,KESORAMIND,EQ,60.0,60.0,60.0,59.1,,59.25,59.43,600,3565500000.0,,,,59.25,1.0
1996-03-08,KESORAMIND,EQ,59.25,58.0,58.75,58.0,,58.65,58.54,600,3512500000.0,,,,58.65,1.0
1996-03-11,KESORAMIND,EQ,58.65,58.0,58.75,58.0,,58.75,58.39,800,4671500000.0,,,,58.75,1.0
