Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2006-06-12,AIRDECCAN,EQ,148.0,129.9,129.9,97.25,99.0,99.1,103.94,6683370,6.94658271e+13,,663084,0.0992,99.1,1.0
2006-06-13,AIRDECCAN,EQ,99.1,99.0,99.0,84.0,84.0,85.2,88.65,2570850,2.279015197e+13,,296623,0.1154,85.2,1.0
2006-06-14,AIRDECCAN,EQ,85.2,91.0,92.0,81.2,83.9,82.5,85.8,2006706,1.7217187065e+13,,142114,0.0708,82.5,1.0
2006-06-15,AIRDECCAN,EQ,82.5,84.0,94.8,82.65,88.65,89.95,89.07,3180909,2.83334382e+13,,220525,0.0693,89.95,1.0
2006-06-16,AIRDECCAN,EQ,89.95,92.1,97.45,87.65,90.0,89.65,93.26,3537520,3.298968653e+13,,260108,0.0735,89.65,1.0
2006-06-19,AIRDECCAN,EQ,89.65,89.0,91.2,86.0,89.0,89.1,88.46,1347480,1.192045821e+13,,109679,0.0814,89.1,1.0
2006-06-20,AIRDECCAN,EQ,89.1,87.8,89.4,85.35,86.0,86.3,87.27,636033,5.55049948e+12,,116567,0.1833,86.3,1.0
2006-06-21,AIRDECCAN,EQ,86.3,86.8,91.45,86.1,88.6,90.0,89.39,796280,7.117835845e+12,,102568,0.1288,90.0,1.0
2006-06-22,AIRDECCAN,EQ,90.0,90.5,93.35,88.1,88.85,89.75,91.4,747252,6.829675e+12,,133576,0.1788,89.75,1.0
2006-06-23,AIRDECCAN,EQ,89.75,89.75,89.75,87.1,87.75,88.15,88.44,399523,3.533437555e+12,,64588,0.1617,88.15,1.0
2006-06-25,AIRDECCAN,EQ,88.15,89.8,89.8,88.05,88.15,88.25,88.41,43552,3.8504776e+11,,15269,0.3506,88.25,1.0
2006-06-26,AIRDECCAN,EQ,88.25,88.65,88.7,84.0,84.25,84.5,86.34,179475,1.549555875e+12,,61295,0.3415,84.5,1.0
2006-06-27,AIRDECCAN,EQ,84.5,85.0,85.9,82.8,83.55,83.4,83.79,155321,1.30137771e+12,,31237,0.2011,83.4,1.0
