Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2007-05-03,KNL,EQ,171.35,182.95,182.95,178.0,182.95,182.95,182.37,52241,9.52735545e+11,,19864.0,0.3802,18.295,10.0
2007-05-04,KNL,EQ,182.95,187.0,187.0,174.0,177.0,176.65,180.07,17781,3.20186075e+11,,9042.0,0.5085,17.665,10.0
2007-05-07,KNL,EQ,176.65,176.75,182.0,173.45,173.45,174.9,178.57,5145,91874670000.0,,3586.0,0.697,17.49,10.0
2007-05-08,KNL,EQ,174.9,173.6,177.0,166.2,166.2,167.2,171.79,16436,2.82360515e+11,,10112.0,0.6152,16.72,10.0
2007-05-09,KNL,EQ,167.2,170.0,173.0,159.0,159.05,159.8,162.08,6678,1.08237645e+11,,6321.0,0.9465,15.98,10.0
2007-05-10,KNL,EQ,159.8,164.9,164.9,159.6,159.6,159.7,162.13,6443,1.04463205e+11,,5626.0,0.8732,15.97,10.0
2007-05-11,KNL,EQ,159.7,157.5,167.7,151.8,155.6,157.1,158.94,2586,41101425000.0,,1594.0,0.6164,15.71,10.0
2007-05-14,KNL,EQ,157.1,165.0,165.0,153.1,160.0,158.45,159.66,1210,19318810000.0,,1000.0,0.8264,15.845,10.0
2007-05-15,KNL,EQ,158.45,156.05,163.9,153.6,160.0,159.95,161.9,13244,2.14416265e+11,,13171.0,0.9945,15.995,10.0
2007-05-16,KNL,EQ,159.95,151.0,163.9,151.0,157.8,158.45,161.75,654,10578685000.0,,618.0,0.945,15.845,10.0
2007-05-17,KNL,EQ,158.45,170.0,174.3,170.0,174.3,174.3,173.36,931,16139540000.0,,728.0,0.782,17.43,10.0
2007-05-18,KNL,EQ,174.3,180.0,184.9,168.0,173.0,170.75,179.57,23706,4.2569986e+11,,12322.0,0.5198,17.075,10.0
2007-05-21,KNL,EQ,170.75,179.8,179.8,160.4,161.0,162.8,169.75,6407,1.08757105e+11,,3429.0,0.5352,16.28,10.0
2007-05-22,KNL,EQ,162.8,170.0,173.75,150.0,163.6,162.75,163.9,3653,59871190000.0,,2775.0,0.7596,16.275,10.0
2007-05-23,KNL,EQ,162.75,160.0,163.9,148.1,151.0,151.2,154.42,4485,69257315000.0,,3590.0,0.8004,15.12,10.0
2007-05-24,KNL,EQ,151.2,152.0,152.0,140.3,142.95,143.0,145.5,11040,1.6062826e+11,,9528.0,0.863,14.3,10.0
2007-05-25,KNL,EQ,143.0,140.1,146.95,136.5,143.0,145.15,144.95,6158,89260990000.0,,5672.0,0.9211,14.515,10.0
2007-05-28,KNL,EQ,145.15,150.0,159.7,148.1,159.7,159.7,157.68,18691,2.9472509e+11,,9859.0,0.5275,15.97,10.0
2007-05-29,KNL,EQ,159.7,162.0,175.7,162.0,175.7,175.3,173.32,46482,8.05627405e+11,,19844.0,0.4269,17.53,10.0
2007-05-30,KNL,EQ,175.3,175.0,188.45,158.0,168.0,169.35,182.12,29122,5.30382665e+11,,11714.0,0.4022,16.935,10.0
2007-05-31,KNL,EQ,169.35,184.9,186.3,177.75,186.3,186.3,183.88,39651,7.2911294e+11,,19324.0,0.4874,18.63,10.0
2007-06-01,KNL,EQ,186.3,193.65,194.6,180.25,182.1,183.2,189.6,45812,8.68603105e+11,,16076.0,0.3509,18.32,10.0
2007-06-04,KNL,EQ,183.2,184.0,185.0,175.5,179.0,179.55,180.89,12366,2.2368871e+11,,4656.0,0.3765,17.955,10.0
2007-06-05,KNL,EQ,179.55,179.1,186.0,178.9,184.2,184.35,181.83,7222,1.3131867e+11,,4428.0,0.6131,18.435,10.0
2007-06-06,KNL,EQ,184.35,189.0,189.0,175.2,178.25,175.5,179.74,5394,96950240000.0,,4137.0,0.767,17.55,10.0
2007-06-07,KNL,EQ,175.5,171.1,180.9,166.75,177.0,176.8,173.18,28733,4.97588345e+11,,10246.0,0.3566,17.68,10.0
