Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-07-28,CAMLIN,EQ,165.1,173.9,176.5,152.6,165.0,168.35,164.94,16610,2.73958765e+11,,1557.0,0.0937
2008-07-29,CAMLIN,EQ,168.35,164.95,167.0,158.0,158.15,159.0,162.58,2111,34320930000.0,,966.0,0.4576
2008-07-30,CAMLIN,EQ,159.0,160.0,166.95,159.6,159.6,162.0,162.1,637,10325680000.0,,544.0,0.854
2008-07-31,CAMLIN,EQ,162.0,155.05,167.7,155.0,166.5,166.5,166.37,254,4225885000.0,,51.0,0.2008
2008-08-01,CAMLIN,EQ,166.5,167.9,167.9,161.1,166.5,165.5,166.57,341,5679975000.0,,122.0,0.3578
2008-08-04,CAMLIN,EQ,165.5,166.0,197.9,166.0,176.05,176.65,179.31,6517,1.16855235e+11,,3173.0,0.4869
2008-08-05,CAMLIN,EQ,176.65,187.65,187.7,175.5,175.55,176.25,179.34,2717,48727750000.0,,2214.0,0.8149
2008-08-06,CAMLIN,EQ,176.25,173.3,176.5,166.1,170.0,170.2,172.99,980,16953435000.0,,712.0,0.7265
2008-08-07,CAMLIN,EQ,170.2,179.75,179.9,170.0,177.0,177.0,174.47,759,13242150000.0,,529.0,0.697
2008-08-08,CAMLIN,EQ,177.0,180.0,183.0,168.1,169.2,169.75,170.0,1293,21980745000.0,,917.0,0.7092
2008-08-11,CAMLIN,EQ,169.75,179.9,180.0,169.6,170.2,170.25,174.43,2861,49903340000.0,,1833.0,0.6407
2008-08-12,CAMLIN,EQ,170.25,175.9,175.9,172.0,172.0,172.45,173.57,940,16315690000.0,,740.0,0.7872
2008-08-13,CAMLIN,EQ,172.45,180.0,180.0,174.0,174.15,175.05,175.73,987,17344405000.0,,767.0,0.7771
2008-08-14,CAMLIN,EQ,175.05,179.35,179.35,172.0,174.8,174.8,173.4,570,9883775000.0,,410.0,0.7193
