Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-01-24,KRBL,EQ,13.3,10.65,16.0,10.65,16.0,16.0,13.33,2,2665000.0,,1.0,0.5
2002-01-25,KRBL,EQ,16.0,19.2,19.2,12.8,12.8,12.8,15.1,3,4530000.0,,,
2002-01-29,KRBL,EQ,12.8,10.25,10.25,10.25,10.25,10.25,10.25,6,6150000.0,,6.0,1.0
2002-01-31,KRBL,EQ,10.25,11.0,12.3,11.0,12.3,12.3,11.65,200,233000000.0,,100.0,0.5
2002-02-04,KRBL,EQ,12.3,14.8,14.8,14.8,14.8,14.8,14.8,5,7400000.0,,5.0,1.0
2002-02-05,KRBL,EQ,14.8,13.1,17.8,13.1,17.8,17.8,17.37,11,19110000.0,,10.0,0.9091
2002-02-08,KRBL,EQ,17.8,18.0,20.6,18.0,20.6,20.6,19.3,2,3860000.0,,1.0,0.5
2002-02-11,KRBL,EQ,20.6,19.5,19.5,19.5,19.5,19.5,19.5,729,1421550000.0,,729.0,1.0
2002-02-12,KRBL,EQ,19.5,15.65,15.65,15.65,15.65,15.65,15.65,1,1565000.0,,0.0,0.0
2002-02-13,KRBL,EQ,15.65,15.6,16.25,15.5,16.1,16.1,15.95,6600,10525500000.0,,5600.0,0.8485
2002-02-14,KRBL,EQ,16.1,17.0,17.0,17.0,17.0,17.0,17.0,200,340000000.0,,200.0,1.0
2002-02-15,KRBL,EQ,17.0,20.35,20.35,17.0,17.0,17.0,17.03,101,172035000.0,,101.0,1.0
2002-02-18,KRBL,EQ,17.0,20.4,20.4,17.0,17.0,17.0,17.07,102,174080000.0,,101.0,0.9902
2002-02-20,KRBL,EQ,17.0,17.0,17.0,17.0,17.0,17.0,17.0,50,85000000.0,,,
2002-02-21,KRBL,EQ,17.0,17.0,17.0,17.0,17.0,17.0,17.0,200,340000000.0,,200.0,1.0
2002-02-25,KRBL,EQ,17.0,17.0,17.0,16.3,16.3,16.3,16.6,325,539375000.0,,325.0,1.0
2002-03-11,KRBL,EQ,16.3,16.0,16.0,16.0,16.0,16.0,16.0,210,336000000.0,,,
2002-03-18,KRBL,EQ,16.0,15.5,15.5,15.5,15.5,15.5,15.5,100,155000000.0,,100.0,1.0
2002-03-19,KRBL,EQ,15.5,15.25,15.25,15.25,15.25,15.25,15.25,100,152500000.0,,100.0,1.0
2002-03-20,KRBL,EQ,15.25,18.0,18.0,15.3,15.3,15.3,16.2,150,243000000.0,,150.0,1.0
2002-04-04,KRBL,EQ,15.3,15.05,17.0,15.05,17.0,17.0,16.35,300,490500000.0,,300.0,1.0
2002-04-09,KRBL,EQ,17.0,17.0,17.0,17.0,17.0,17.0,17.0,300,510000000.0,,300.0,1.0
2002-04-10,KRBL,EQ,17.0,15.75,17.0,15.75,17.0,17.0,17.0,301,511575000.0,,300.0,0.9967
2002-04-11,KRBL,EQ,17.0,14.0,17.0,14.0,15.55,15.55,16.96,102,172955000.0,,101.0,0.9902
2002-04-12,KRBL,EQ,15.55,17.0,17.0,15.65,17.0,17.0,16.99,201,341565000.0,,200.0,0.995
2002-04-15,KRBL,EQ,17.0,17.5,17.5,17.5,17.5,17.5,17.5,100,175000000.0,,100.0,1.0
2002-04-16,KRBL,EQ,17.5,20.2,20.2,20.2,20.2,20.2,20.2,100,202000000.0,,,
2002-04-24,KRBL,EQ,20.2,17.1,19.0,17.0,19.0,19.0,17.67,310,547750000.0,,,
2002-04-25,KRBL,EQ,19.0,17.2,17.2,17.0,17.0,17.0,17.1,200,342000000.0,,415.0,0.8137
2002-04-26,KRBL,EQ,17.0,15.05,17.0,15.05,17.0,17.0,16.35,75,122625000.0,,50.0,0.6667
2002-05-03,KRBL,EQ,17.0,18.0,18.0,18.0,18.0,18.0,18.0,300,540000000.0,,300.0,1.0
2002-05-06,KRBL,EQ,18.0,20.0,20.8,19.0,19.0,19.0,20.39,201,409900000.0,,200.0,0.995
2002-05-07,KRBL,EQ,19.0,22.5,22.8,22.5,22.55,22.55,22.6,350,791000000.0,,350.0,1.0
2002-05-08,KRBL,EQ,22.55,23.6,27.1,23.6,27.1,27.1,25.94,2999,7780860000.0,,2199.0,0.7332
2002-05-09,KRBL,EQ,27.1,31.95,31.95,26.0,26.5,26.5,27.11,800,2168750000.0,,750.0,0.9375
2002-05-10,KRBL,EQ,26.5,25.5,25.5,24.0,24.0,24.0,25.17,950,2391000000.0,,850.0,0.8947
2002-05-13,KRBL,EQ,24.0,26.9,26.9,25.0,25.2,25.2,25.68,580,1489400000.0,,550.0,0.9483
2002-05-14,KRBL,EQ,25.2,25.0,25.0,22.7,22.7,22.7,23.44,180,422000000.0,,80.0,0.4444
2002-05-15,KRBL,EQ,22.7,22.2,24.75,22.2,24.75,24.75,22.27,103,229425000.0,,101.0,0.9806
2002-05-16,KRBL,EQ,24.75,22.1,24.7,22.1,24.7,24.7,23.26,1279,2974700000.0,,779.0,0.6091
2002-05-20,KRBL,EQ,24.7,22.75,23.0,20.0,20.0,21.45,21.45,4,8580000.0,,1.0,0.25
2002-05-23,KRBL,EQ,21.45,22.5,22.5,22.5,22.5,22.5,22.5,100,225000000.0,,100.0,1.0
2002-05-24,KRBL,EQ,22.5,22.5,22.5,22.5,22.5,22.5,22.5,400,900000000.0,,400.0,1.0
2002-05-27,KRBL,EQ,22.5,21.1,25.5,21.1,22.1,22.1,23.7,550,1303500000.0,,500.0,0.9091
2002-05-28,KRBL,EQ,22.1,21.1,21.5,21.0,21.0,21.0,21.22,929,1971045000.0,,929.0,1.0
2002-05-30,KRBL,EQ,21.0,23.6,23.6,22.9,22.9,22.9,23.25,4,9300000.0,,,
2002-05-31,KRBL,EQ,22.9,22.5,22.5,20.25,22.5,21.75,21.75,3,6525000.0,,,
2002-06-05,KRBL,EQ,21.75,24.0,24.0,23.9,24.0,23.95,24.0,202,484790000.0,,200.0,0.9901
2002-06-07,KRBL,EQ,23.95,20.6,21.0,20.5,20.5,20.5,20.59,700,1441600000.0,,700.0,1.0
2002-06-10,KRBL,EQ,20.5,22.4,22.5,22.4,22.5,22.5,22.44,350,785500000.0,,350.0,1.0
2002-06-11,KRBL,EQ,22.5,22.0,22.0,21.6,21.6,21.6,21.75,320,696000000.0,,320.0,1.0
2002-06-12,KRBL,EQ,21.6,22.5,23.35,22.5,23.35,23.35,22.83,130,296750000.0,,130.0,1.0
2002-06-13,KRBL,EQ,23.35,21.75,21.75,21.7,21.7,21.7,21.7,1050,2279000000.0,,1050.0,1.0
2002-06-14,KRBL,EQ,21.7,23.35,23.35,20.8,20.85,21.25,21.18,1801,3814585000.0,,1750.0,0.9717
2002-06-17,KRBL,EQ,21.25,23.35,23.35,20.75,21.75,22.35,22.55,2878,6489620000.0,,2675.0,0.9295
2002-06-18,KRBL,EQ,22.35,20.15,23.8,20.15,23.45,23.45,22.76,980,2230070000.0,,929.0,0.948
2002-06-19,KRBL,EQ,23.45,24.5,24.5,22.7,23.45,22.75,22.92,1650,3782400000.0,,1595.0,0.9667
