Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,LICHSGFIN,EQ,38.5,38.6,39.0,38.2,,39.0,38.6,1200,4631500000.0,,,
1996-01-02,LICHSGFIN,EQ,39.0,39.0,39.0,37.7,,38.5,38.33,2800,10731000000.0,,,
1996-01-03,LICHSGFIN,EQ,38.5,39.5,39.5,37.7,,38.5,38.31,1000,3830500000.0,,,
1996-01-04,LICHSGFIN,EQ,38.5,38.5,38.5,36.05,,36.95,36.8,2800,10304000000.0,,,
1996-01-05,LICHSGFIN,EQ,36.95,37.0,37.0,36.75,,36.75,36.92,2400,8861000000.0,,,
1996-01-08,LICHSGFIN,EQ,36.75,36.75,37.2,36.0,,36.2,36.45,1600,5832500000.0,,,
1996-01-09,LICHSGFIN,EQ,36.2,35.05,36.0,34.3,,34.8,35.33,2000,7066500000.0,,,
1996-01-10,LICHSGFIN,EQ,34.8,34.8,35.5,34.5,,34.6,35.02,3500,12257500000.0,,,
1996-01-11,LICHSGFIN,EQ,34.6,35.25,35.95,35.0,,35.0,35.26,2000,7052500000.0,,,
1996-01-12,LICHSGFIN,EQ,35.0,36.0,36.0,35.0,,35.5,35.33,2700,9538500000.0,,,
1996-01-15,LICHSGFIN,EQ,35.5,36.5,36.5,35.85,,35.85,36.04,1700,6126000000.0,,,
1996-01-16,LICHSGFIN,EQ,35.85,35.5,35.75,35.0,,35.25,35.27,1700,5996500000.0,,,
1996-01-17,LICHSGFIN,EQ,35.25,35.25,36.95,35.5,,36.0,36.09,2100,7578000000.0,,,
1996-01-18,LICHSGFIN,EQ,36.0,36.0,35.95,35.15,,35.75,35.59,1500,5338500000.0,,,
1996-01-19,LICHSGFIN,EQ,35.75,35.25,35.25,34.3,,34.65,34.76,1200,4171000000.0,,,
1996-01-22,LICHSGFIN,EQ,34.65,34.25,34.75,33.25,,33.95,34.19,1400,4786500000.0,,,
1996-01-23,LICHSGFIN,EQ,33.95,33.75,34.25,32.3,,32.5,33.65,4800,16150500000.0,,,
1996-01-24,LICHSGFIN,EQ,32.5,33.0,33.0,30.5,,32.2,31.65,10300,32598500000.0,,,
1996-01-25,LICHSGFIN,EQ,32.2,32.2,31.5,30.0,,31.1,30.72,3300,10138000000.0,,,
1996-01-29,LICHSGFIN,EQ,31.1,31.0,31.0,30.7,,31.0,30.98,1500,4647000000.0,,,
1996-01-30,LICHSGFIN,EQ,31.0,31.0,33.75,30.75,,33.75,32.23,1600,5157000000.0,,,
1996-01-31,LICHSGFIN,EQ,33.75,33.5,33.75,33.0,,33.75,33.48,900,3013500000.0,,,
1996-02-01,LICHSGFIN,EQ,33.75,33.75,33.25,32.6,,33.0,32.9,2300,7566000000.0,,,
1996-02-02,LICHSGFIN,EQ,33.0,35.0,35.95,34.0,,35.05,34.82,1500,5222500000.0,,,
1996-02-05,LICHSGFIN,EQ,35.05,35.05,38.5,36.0,,37.85,37.11,4600,17071000000.0,,,
1996-02-06,LICHSGFIN,EQ,37.85,37.85,40.0,37.0,,37.5,38.21,4000,15285000000.0,,,
