Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2001-09-10,LUPIN,EQ,10.0,75.0,84.3,72.5,81.4,80.55,81.48,32021,2.60898715e+11,,,,8.055,10.0
2001-09-11,LUPIN,EQ,80.55,82.25,83.9,77.75,78.45,78.1,79.82,17541,1.40007655e+11,,,,7.81,10.0
2001-09-12,LUPIN,EQ,78.1,72.35,75.0,72.35,73.85,73.65,73.41,8053,59118935000.0,,,,7.365,10.0
2001-09-13,LUPIN,EQ,73.65,74.0,75.0,72.55,73.65,73.95,74.07,7840,58066960000.0,,,,7.395,10.0
2001-09-14,LUPIN,EQ,73.95,69.05,70.8,68.85,68.9,68.85,69.33,6078,42137285000.0,,,,6.885,10.0
2001-09-17,LUPIN,EQ,68.85,65.0,65.0,63.4,63.4,63.4,63.58,13596,86445670000.0,,,,6.34,10.0
2001-09-18,LUPIN,EQ,63.4,63.5,68.1,63.5,65.05,65.4,65.84,7117,46855600000.0,,,,6.54,10.0
2001-09-19,LUPIN,EQ,65.4,67.0,69.5,67.0,69.4,68.5,68.25,2294,15657610000.0,,,,6.85,10.0
2001-09-20,LUPIN,EQ,68.5,69.95,70.0,67.0,68.4,68.65,68.32,2126,14525270000.0,,,,6.865,10.0
2001-09-21,LUPIN,EQ,68.65,64.25,72.0,64.2,69.75,70.05,68.63,5531,37959025000.0,,,,7.005,10.0
2001-09-24,LUPIN,EQ,70.05,72.8,72.8,70.5,71.5,71.15,71.36,2911,20773660000.0,,,,7.115,10.0
2001-09-25,LUPIN,EQ,71.15,73.0,73.0,69.0,69.15,69.15,70.27,2286,16064615000.0,,,,6.915,10.0
2001-09-26,LUPIN,EQ,69.15,73.0,73.0,69.0,69.5,69.2,69.88,2933,20496075000.0,,,,6.92,10.0
2001-09-27,LUPIN,EQ,69.2,70.4,70.75,69.05,70.5,70.05,70.16,3179,22305100000.0,,,,7.005,10.0
2001-09-28,LUPIN,EQ,70.05,70.1,70.45,64.4,65.0,64.7,67.25,11342,76278195000.0,,,,6.47,10.0
